,id,total,precision,recall,f1,span,error_type
8,DJ,47,0.91,0.76,0.83,Error + unigram,Derivation of adjective error (n = 47)
8,DJ,47,0.85,0.56,0.68,Error + bigram,Derivation of adjective error (n = 47)
25,W,44,0.56,0.21,0.3,Padded error,Word order error (n = 44)
25,W,44,0.5,0.21,0.29,Error + unigram,Word order error (n = 44)
25,W,44,0.7,0.29,0.41,Error + bigram,Word order error (n = 44)
5,UV,44,0.73,0.69,0.71,Padded error,Unnecessary verb (n = 44)
5,UV,44,0.69,0.69,0.69,Error + unigram,Unnecessary verb (n = 44)
5,UV,44,0.71,0.62,0.67,Error + bigram,Unnecessary verb (n = 44)
29,RD,42,0.0,0.0,0.0,Padded error,Replace determiner (n = 42)
29,RD,42,0.0,0.0,0.0,Error + unigram,Replace determiner (n = 42)
29,RD,42,0.5,0.11,0.18,Error + bigram,Replace determiner (n = 42)
21,RA,33,0.0,0.0,0.0,Padded error,Replace anaphor (n = 33)
21,RA,33,0.0,0.0,0.0,Error + unigram,Replace anaphor (n = 33)
21,RA,33,0.0,0.0,0.0,Error + bigram,Replace anaphor (n = 33)
34,DN,29,0.5,0.2,0.29,Padded error,Derivation of noun error (n = 29)
34,DN,29,0.67,0.5,0.57,Error + unigram,Derivation of noun error (n = 29)
34,DN,29,0.78,0.35,0.48,Error + bigram,Derivation of noun error (n = 29)
14,U,25,0.4,0.25,0.31,Padded error,Unnecessary error (n = 25)
14,U,25,0.25,0.12,0.17,Error + unigram,Unnecessary error (n = 25)
14,U,25,0.4,0.25,0.31,Error + bigram,Unnecessary error (n = 25)
35,DA,21,0.0,0.0,0.0,Padded error,Derivation of anaphor error (n = 21)
35,DA,21,0.0,0.0,0.0,Error + unigram,Derivation of anaphor error (n = 21)
35,DA,21,1.0,1.0,1.0,Error + bigram,Derivation of anaphor error (n = 21)
27,UA,20,0.0,0.0,0.0,Padded error,Unnecessary anaphor (n = 20)
27,UA,20,0.0,0.0,0.0,Error + unigram,Unnecessary anaphor (n = 20)
27,UA,20,0.0,0.0,0.0,Error + bigram,Unnecessary anaphor (n = 20)
28,MC,20,1.0,0.47,0.64,Padded error,Missing link word (n = 20)
28,MC,20,0.9,0.53,0.67,Error + unigram,Missing link word (n = 20)
28,MC,20,1.0,0.47,0.64,Error + bigram,Missing link word (n = 20)
12,DY,19,0.29,0.25,0.27,Padded error,Derivation of adverb error (n = 19)
12,DY,19,0.38,0.38,0.38,Error + unigram,Derivation of adverb error (n = 19)
12,DY,19,0.43,0.38,0.4,Error + bigram,Derivation of adverb error (n = 19)
32,AGA,19,0.0,0.0,0.0,Padded error,Anaphor agreement error (n = 19)
32,AGA,19,0.0,0.0,0.0,Error + unigram,Anaphor agreement error (n = 19)
32,AGA,19,0.0,0.0,0.0,Error + bigram,Anaphor agreement error (n = 19)
9,UY,18,1.0,0.5,0.67,Padded error,Unnecessary adverb (n = 18)
9,UY,18,0.4,0.5,0.44,Error + unigram,Unnecessary adverb (n = 18)
9,UY,18,0.5,0.5,0.5,Error + bigram,Unnecessary adverb (n = 18)
4,AS,17,0.0,0.0,0.0,Padded error,Argument structure error (n = 17)
4,AS,17,0.0,0.0,0.0,Error + unigram,Argument structure error (n = 17)
4,AS,17,0.67,0.33,0.44,Error + bigram,Argument structure error (n = 17)
45,UC,14,0.0,0.0,0.0,Padded error,Unnecessary link word (n = 14)
45,UC,14,0.0,0.0,0.0,Error + unigram,Unnecessary link word (n = 14)
45,UC,14,0.2,1.0,0.33,Error + bigram,Unnecessary link word (n = 14)
37,RQ,14,0.0,0.0,0.0,Padded error,Replace quantifier (n = 14)
37,RQ,14,0.0,0.0,0.0,Error + unigram,Replace quantifier (n = 14)
37,RQ,14,0.75,0.43,0.55,Error + bigram,Replace quantifier (n = 14)
30,MN,14,0.33,0.17,0.22,Padded error,Missing noun (n = 14)
30,MN,14,0.33,0.17,0.22,Error + unigram,Missing noun (n = 14)
30,MN,14,0.75,0.5,0.6,Error + bigram,Missing noun (n = 14)
23,MY,13,1.0,0.5,0.67,Padded error,Missing adverb (n = 13)
23,MY,13,1.0,0.58,0.74,Error + unigram,Missing adverb (n = 13)
23,MY,13,0.83,0.42,0.56,Error + bigram,Missing adverb (n = 13)
15,IV,13,0.0,0.0,0.0,Padded error,Incorrect verb inflection (n = 13)
15,IV,13,0.0,0.0,0.0,Error + unigram,Incorrect verb inflection (n = 13)
15,IV,13,0.0,0.0,0.0,Error + bigram,Incorrect verb inflection (n = 13)
47,FD,13,0.0,0.0,0.0,Padded error,Incorrect determiner form (n = 13)
47,FD,13,0.0,0.0,0.0,Error + unigram,Incorrect determiner form (n = 13)
47,FD,13,0.0,0.0,0.0,Error + bigram,Incorrect determiner form (n = 13)
38,DD,12,0.0,0.0,0.0,Padded error,Derivation of determiner error (n = 12)
38,DD,12,0.0,0.0,0.0,Error + unigram,Derivation of determiner error (n = 12)
38,DD,12,0.0,0.0,0.0,Error + bigram,Derivation of determiner error (n = 12)
41,CN,12,1.0,0.6,0.75,Padded error,Countability of noun error (n = 12)
41,CN,12,0.75,0.6,0.67,Error + unigram,Countability of noun error (n = 12)
41,CN,12,0.83,0.5,0.62,Error + bigram,Countability of noun error (n = 12)
50,UN,9,0.86,0.75,0.8,Padded error,Unnecessary noun (n = 9)
50,UN,9,0.89,1.0,0.94,Error + unigram,Unnecessary noun (n = 9)
50,UN,9,1.0,0.62,0.77,Error + bigram,Unnecessary noun (n = 9)
44,IN,9,1.0,0.4,0.57,Padded error,Incorrect noun inflection (n = 9)
44,IN,9,0.62,1.0,0.77,Error + unigram,Incorrect noun inflection (n = 9)
44,IN,9,0.8,0.8,0.8,Error + bigram,Incorrect noun inflection (n = 9)
42,L,9,1.0,0.2,0.33,Padded error,Inappropriate register (n = 9)
42,L,9,0.67,0.4,0.5,Error + unigram,Inappropriate register (n = 9)
42,L,9,1.0,0.2,0.33,Error + bigram,Inappropriate register (n = 9)
40,X,8,0.5,0.25,0.33,Padded error,Incorrect negative formation (n = 8)
40,X,8,0.5,0.25,0.33,Error + unigram,Incorrect negative formation (n = 8)
40,X,8,0.5,0.25,0.33,Error + bigram,Incorrect negative formation (n = 8)
49,AGQ,7,0.0,0.0,0.0,Padded error,Quantifier agreement error (n = 7)
49,AGQ,7,0.0,0.0,0.0,Error + unigram,Quantifier agreement error (n = 7)
49,AGQ,7,1.0,0.14,0.25,Error + bigram,Quantifier agreement error (n = 7)
24,UJ,6,0.0,0.0,0.0,Padded error,Unnecessary adjective (n = 6)
24,UJ,6,0.0,0.0,0.0,Error + unigram,Unnecessary adjective (n = 6)
24,UJ,6,0.0,0.0,0.0,Error + bigram,Unnecessary adjective (n = 6)
26,DV,5,1.0,0.4,0.57,Padded error,Derivation of verb error (n = 5)
26,DV,5,1.0,0.6,0.75,Error + unigram,Derivation of verb error (n = 5)
26,DV,5,1.0,0.4,0.57,Error + bigram,Derivation of verb error (n = 5)
33,CQ,4,0.0,0.0,0.0,Padded error,Wrong quantifier because of noun countability (n = 4)
33,CQ,4,0.0,0.0,0.0,Error + unigram,Wrong quantifier because of noun countability (n = 4)
33,CQ,4,1.0,0.67,0.8,Error + bigram,Wrong quantifier because of noun countability (n = 4)
39,FJ,4,0.0,0.0,0.0,Padded error,Wrong adjective form (n = 4)
39,FJ,4,0.0,0.0,0.0,Error + unigram,Wrong adjective form (n = 4)
39,FJ,4,1.0,0.33,0.5,Error + bigram,Wrong adjective form (n = 4)
46,MJ,4,0.0,0.0,0.0,Padded error,Missing adjective (n = 4)
46,MJ,4,1.0,0.5,0.67,Error + unigram,Missing adjective (n = 4)
46,MJ,4,1.0,1.0,1.0,Error + bigram,Missing adjective (n = 4)
31,AGD,4,0.0,0.0,0.0,Padded error,Determiner agreement error (n = 4)
31,AGD,4,0.0,0.0,0.0,Error + unigram,Determiner agreement error (n = 4)
31,AGD,4,0.0,0.0,0.0,Error + bigram,Determiner agreement error (n = 4)
51,UQ,3,0.0,0.0,0.0,Padded error,Unnecessary quantifier (n = 3)
51,UQ,3,0.0,0.0,0.0,Error + unigram,Unnecessary quantifier (n = 3)
51,UQ,3,0.0,0.0,0.0,Error + bigram,Unnecessary quantifier (n = 3)
53,MQ,3,0.0,0.0,0.0,Padded error,Missing quantifier (n = 3)
53,MQ,3,1.0,1.0,1.0,Error + unigram,Missing quantifier (n = 3)
53,MQ,3,1.0,0.5,0.67,Error + bigram,Missing quantifier (n = 3)
52,FA,2,0.0,0.0,0.0,Padded error,Wrong anaphor form (n = 2)
52,FA,2,0.0,0.0,0.0,Error + unigram,Wrong anaphor form (n = 2)
52,FA,2,0.0,0.0,0.0,Error + bigram,Wrong anaphor form (n = 2)
43,IJ,2,0.0,0.0,0.0,Padded error,Incorrect adjective inflection (n = 2)
43,IJ,2,0.0,0.0,0.0,Error + unigram,Incorrect adjective inflection (n = 2)
43,IJ,2,0.0,0.0,0.0,Error + bigram,Incorrect adjective inflection (n = 2)
55,CD,1,0.0,0.0,0.0,Padded error,Wrong determiner because of noun countability (n = 1)
55,CD,1,0.0,0.0,0.0,Error + unigram,Wrong determiner because of noun countability (n = 1)
55,CD,1,0.0,0.0,0.0,Error + bigram,Wrong determiner because of noun countability (n = 1)
48,FY,1,1.0,1.0,1.0,Padded error,Wrong adverb form (n = 1)
48,FY,1,1.0,1.0,1.0,Error + unigram,Wrong adverb form (n = 1)
48,FY,1,0.0,0.0,0.0,Error + bigram,Wrong adverb form (n = 1)
54,IQ,1,0.0,0.0,0.0,Padded error,Incorrect quantifier inflection (n = 1)
54,IQ,1,1.0,1.0,1.0,Error + unigram,Incorrect quantifier inflection (n = 1)
54,IQ,1,0.0,0.0,0.0,Error + bigram,Incorrect quantifier inflection (n = 1)
