,english,spanish,en_pos,es_pos
85,Is the tomato a fruit or a vegetable?,¿Es el tomate una fruta o un vegetal?,VERB DET NOUN DET NOUN CCONJ DET NOUN PUNCT ,PUNCT AUX DET NOUN DET NOUN CONJ DET NOUN PUNCT 
86,Leave some cookies for me.,Déjame algunas galletas para mí.,VERB DET NOUN ADP PRON PUNCT ,NOUN DET NOUN ADP PRON PUNCT 
87,Our relationship is over.,Nuestra relación se terminó. ,DET NOUN VERB ADV PUNCT ,DET NOUN PRON VERB PUNCT 
88,I'm OK.,Estoy bien.,PRON VERB ADJ PUNCT ,AUX ADV PUNCT 
89,Open your English textbook to page 10.,Abra su libro de inglés en la página 10.,VERB DET ADJ NOUN ADP NOUN NUM PUNCT ,VERB DET NOUN ADP NOUN ADP DET NOUN NUM PUNCT 
90,I want to be a history professor.,Deseo ser profesor de Historia.,PRON VERB PART VERB DET NOUN NOUN PUNCT ,VERB AUX NOUN ADP PROPN PUNCT 
91,"Oops, I left my wallet in the classroom.","Oops, dejé mi billetera en la sala de clases.",INTJ PUNCT PRON VERB DET NOUN ADP DET NOUN PUNCT ,ADV PUNCT VERB DET NOUN ADP DET NOUN ADP NOUN PUNCT 
92,It is better to use public transportation.,Es mejor utilizar el transporte público.,PRON VERB ADJ PART VERB ADJ NOUN PUNCT ,AUX ADJ VERB DET NOUN ADJ PUNCT 
93,I go to church every Sunday morning.,Voy a la iglesia cada domingo por la mañana..,PRON VERB ADP NOUN DET PROPN NOUN PUNCT ,AUX ADP DET NOUN DET NOUN ADP DET NOUN PUNCT 
94,The man was looking around the shop.,El hombre miraba alrededor de la tienda.,DET NOUN VERB VERB ADP DET NOUN PUNCT ,DET NOUN VERB ADV ADP DET NOUN PUNCT 
95,Please shine my shoes.,"Lústreme los zapatos, por favor.",INTJ VERB DET NOUN PUNCT ,VERB DET NOUN PUNCT ADP NOUN PUNCT 
96,There are no clouds in the sky.,No hay nubes en el cielo.,ADV VERB DET NOUN ADP DET NOUN PUNCT ,ADV AUX NOUN ADP DET NOUN PUNCT 
97,How many soldiers are there in Korea?,¿Cuántos soldados hay en Corea?,ADV ADJ NOUN VERB ADV ADP PROPN PUNCT ,PUNCT NOUN NOUN AUX ADP PROPN PUNCT 
98,How many books have you published?,¿Cuántos tomos has publicado?,ADV ADJ NOUN VERB PRON VERB PUNCT ,PUNCT NOUN VERB AUX VERB PUNCT 
99,Why are you plugging your ears?,¿Por qué estás tapando tus oídos?,ADV VERB PRON VERB DET NOUN PUNCT ,PUNCT ADP PRON AUX VERB DET NOUN PUNCT 
100,You're cute when you smile.,Eres lindo cuando sonríes.,PRON VERB ADJ ADV PRON VERB PUNCT ,AUX VERB SCONJ ADJ PUNCT 
101,Give me that book.,Dame ese libro.,VERB PRON DET NOUN PUNCT ,VERB DET NOUN PUNCT 
102,Will he come?,¿Él vendrá?,VERB PRON VERB PUNCT ,PUNCT PRON VERB PUNCT 
103,It sounds fun.,Eso suena divertido.,PRON VERB ADJ PUNCT ,PRON VERB ADJ PUNCT 
104,How's the weather over there?,¿Cómo está el tiempo allí?,ADV VERB DET NOUN ADV ADV PUNCT ,PUNCT PRON VERB DET NOUN ADV PUNCT 
105,What were you doing that night?,¿Qué hacías ese día por la noche?,PRON VERB PRON VERB DET NOUN PUNCT ,PUNCT DET NOUN DET NOUN ADP DET NOUN PUNCT 
106,We're just friends.,Somos solo amigos.,PRON VERB ADV NOUN PUNCT ,AUX ADV NOUN PUNCT 
107,Leave it as it is.,Dejarlo como es.,VERB PRON ADP PRON VERB PUNCT ,PROPN SCONJ AUX PUNCT 
108,Long time no see! How have you been?,¡Tanto tiempo sin verte! ¿Cómo has estado durante este tiempo?,ADJ NOUN DET INTJ PUNCT ADV VERB PRON VERB PUNCT ,PUNCT DET NOUN ADP NOUN PUNCT PUNCT PRON AUX VERB ADP DET NOUN PUNCT 
109,I have not seen her since then.,No la he visto desde entonces.,PRON VERB ADV VERB PRON ADP ADV PUNCT ,ADV PRON AUX VERB ADP ADV PUNCT 
110,"Why not come along? - Oh, OK.","¿Quieres venir? - Sí, está bien.",ADV ADV VERB PART PUNCT PUNCT INTJ PUNCT INTJ PUNCT ,PUNCT ADJ VERB PUNCT PUNCT ADV PUNCT AUX ADV PUNCT 
111,"She is short, but still taller than me.","Ella es baja, pero todavia es más alta que yo. ",PRON VERB ADJ PUNCT CCONJ ADV ADJ ADP PRON PUNCT ,PRON AUX ADJ PUNCT CONJ NOUN AUX ADV ADJ SCONJ PRON PUNCT 
112,So what did you say at that time?,"Por lo tanto, ¿qué es lo que has dicho?",ADV PRON VERB PRON VERB ADP DET NOUN PUNCT ,ADP DET NOUN PUNCT PUNCT PRON AUX DET PRON AUX VERB PUNCT 
113,I'll be back late. So don't wait up for me.,Regresaré tarde asi que no me esperen.,PRON AUX VERB ADV ADV PUNCT ADV VERB ADV VERB PART ADP PRON PUNCT ,VERB ADV NOUN PRON ADV PRON VERB PUNCT 
114,"Well then, let's go there on Friday.",Entonces vayamos allí el viernes.,INTJ ADV PUNCT VERB PRON VERB ADV ADP PROPN PUNCT ,ADV VERB ADV DET NOUN PUNCT 
115,Nobody can do such a thing.,Nadie puede hacer tal cosa.,NOUN VERB VERB DET DET NOUN PUNCT ,PRON AUX VERB DET NOUN PUNCT 
116,"By the way, what brings you here?","¿A propósito, qué te trae por aquí?",ADP DET NOUN PUNCT PRON VERB PRON ADV PUNCT ,PUNCT ADP NOUN PUNCT PRON PRON VERB ADP ADV PUNCT 
117,Then I'll see you there.,Entonces te veré allí.,ADV PRON AUX VERB PRON ADV PUNCT ,ADV PRON VERB ADV PUNCT 
118,"Yes, it is.","Sí, lo es.",INTJ PUNCT PRON VERB PUNCT ,ADV PUNCT PRON AUX PUNCT 
119,"It looks really good on you, though.",Pero te queda bien.,PRON VERB ADV ADJ ADP PRON PUNCT ADV PUNCT ,CONJ PRON VERB ADV PUNCT 
120,Work in groups of six.,Divídansen en grupos de seis.,NOUN ADP NOUN ADP NUM PUNCT ,VERB ADP NOUN ADP NUM PUNCT 
121,"This costs 5,000 won per bowl.",Esto cuesta 5.000 won por vajilla.,DET VERB NUM VERB ADP NOUN PUNCT ,PRON VERB NUM VERB ADP NOUN PUNCT 
122,"We need milk, butter and jam.","Necesitamos leche, mantequilla y jamón.",PRON VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT ,VERB NOUN PUNCT NOUN CONJ NOUN PUNCT 
123,How did you draw this?,¿Cómo dibujaste esto?,ADV VERB PRON VERB DET PUNCT ,PUNCT PRON VERB PRON PUNCT 
124,My mom bought me a picture book.,Mi mamá me compró un libro de dibujos.,DET NOUN VERB PRON DET NOUN NOUN PUNCT ,DET NOUN PRON VERB DET NOUN ADP NOUN PUNCT 
125,Stop crying.,Para de gritar.,VERB VERB PUNCT ,ADP ADP VERB PUNCT 
126,Does he know you?,¿Él te conoce?,VERB PRON VERB PRON PUNCT ,PUNCT PRON PRON VERB PUNCT 
127,Is there a bus going that way?,¿Hay un autobús que va por esa dirección?,VERB ADV DET NOUN VERB DET NOUN PUNCT ,PUNCT AUX DET NOUN PRON VERB ADP DET NOUN PUNCT 
128,I want to go to the movie theater.,Quireo ir al cine.,PRON VERB PART VERB ADP DET NOUN NOUN PUNCT ,VERB VERB ADP NOUN PUNCT 
129,Do you live in this neighborhood?,¿Vives en esta vecindad?,VERB PRON VERB ADP DET NOUN PUNCT ,PUNCT NOUN ADP DET NOUN PUNCT 
130,Which one is more important between speaking and writing?,¿Qué es más importante enre leer y redactar?,DET NOUN VERB ADV ADJ ADP VERB CCONJ NOUN PUNCT ,PUNCT PRON AUX ADV ADJ VERB VERB CONJ VERB PUNCT 
131,This machine seems to be broken.,Esta máquina parece estar rota.,DET NOUN VERB PART VERB VERB PUNCT ,DET NOUN AUX AUX ADJ PUNCT 
132,I'll wait here.,Esperaré aquí.,PRON AUX VERB ADV PUNCT ,VERB ADV PUNCT 
133,My mom raised two children by herself.,Mi mamá crió a dos niños ella misma.,DET NOUN VERB NUM NOUN ADP PRON PUNCT ,DET NOUN VERB ADP NUM NOUN PRON PRON PUNCT 
134,What is the basics of a healthy life?,¿Cuáles son las bases para una vida sana?,PRON VERB DET NOUN ADP DET ADJ NOUN PUNCT ,PUNCT VERB AUX DET NOUN ADP DET NOUN ADJ PUNCT 
135,I'm not in the mood.,No estoy de humor.,PRON VERB ADV ADP DET NOUN PUNCT ,ADV AUX ADP NOUN PUNCT 
136,How's life in your dormitory?,¿Cómo es tu vida en el nuevo refugio universitario?,ADV VERB NOUN ADP DET NOUN PUNCT ,PUNCT PRON AUX DET NOUN ADP DET ADJ NOUN ADJ PUNCT 
137,It's a painful memory for me.,Es un recuerdo doloroso para mí.,PRON VERB DET ADJ NOUN ADP PRON PUNCT ,AUX DET NOUN ADJ ADP PRON PUNCT 
138,I just missed train.,Acabo de perder el tren.,PRON ADV VERB NOUN PUNCT ,AUX ADP VERB DET NOUN PUNCT 
139,"Give me another chance, please.","Déme otra oportunidad, por favor.",VERB PRON DET NOUN PUNCT INTJ PUNCT ,VERB DET NOUN PUNCT ADP NOUN PUNCT 
140,Let's cross the street.,Crucemos la calle.,VERB PRON VERB DET NOUN PUNCT ,VERB DET NOUN PUNCT 
141,"In the winter, night is longer than day.","En el invierno, la noche es más larga que día.",ADP DET NOUN PUNCT NOUN VERB ADJ ADP NOUN PUNCT ,ADP DET NOUN PUNCT DET NOUN AUX ADV ADJ SCONJ NOUN PUNCT 
142,He ordered cheese gimbap.,Él pidió el gimbap de queso.,PRON VERB NOUN NOUN PUNCT ,PRON VERB DET NOUN ADP NOUN PUNCT 
143,I love Kimchi more than anything else.,Amo el kimchi más que cualquier otra cosa.,PRON VERB PROPN ADV ADP NOUN ADV PUNCT ,VERB DET NOUN ADV SCONJ DET DET NOUN PUNCT 
144,I didn't know that the water was so deep.,No sabía que el agua era tan profundo.,PRON VERB ADV VERB ADP DET NOUN VERB ADV ADJ PUNCT ,ADV VERB SCONJ DET NOUN AUX ADV ADJ PUNCT 
145,Please peel me an apple.,"Córtame una manzana, por favor.",INTJ VERB PRON DET NOUN PUNCT ,VERB DET NOUN PUNCT ADP NOUN PUNCT 
146,Do you think this room is clean?,¿Piensas que este sitio está limpio?,VERB PRON VERB DET NOUN VERB ADJ PUNCT ,PUNCT VERB SCONJ DET NOUN AUX ADJ PUNCT 
147,I pretended to take out some money from my purse.,Fingí tomar dinero de mi monedero.,PRON VERB PART VERB PART DET NOUN ADP DET NOUN PUNCT ,VERB VERB NOUN ADP DET NOUN PUNCT 
148,I'll be there for sure.,"Estaré allí, sin lugar a dudas.",PRON AUX VERB ADV ADP ADJ PUNCT ,VERB ADV PUNCT ADP NOUN ADP NOUN PUNCT 
149,Water the flowers in an hour.,Regar las flores en una hora.,NOUN DET NOUN ADP DET NOUN PUNCT ,VERB DET NOUN ADP DET NOUN PUNCT 
150,I had a dream about eating pizza last night.,Ayer por la noche soñé que estaba comiendo pizza.,PRON VERB DET NOUN ADP VERB NOUN ADJ NOUN PUNCT ,ADV ADP DET NOUN NOUN SCONJ AUX VERB NOUN PUNCT 
151,Did you put out the fire? (or Did you switch off the light?),¿Apagaste la luz?,VERB PRON VERB PART DET NOUN PUNCT PUNCT CCONJ VERB PRON VERB PART DET NOUN PUNCT PUNCT ,PUNCT VERB DET NOUN PUNCT 
152,The building is at the end of this street.,El edificio está a lo último de esta calle.,DET NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT ,DET NOUN VERB ADP DET ADJ ADP DET NOUN PUNCT 
153,School vacation ends tomorrow.,Las vacaciones (de la escuela) terminan mañana.,NOUN NOUN VERB NOUN PUNCT ,DET NOUN PUNCT ADP DET NOUN PUNCT VERB ADV PUNCT 
154,We have to finish all the work today.,Tenemos que acabar todo el trabajo hoy.,PRON VERB PART VERB DET DET NOUN NOUN PUNCT ,VERB SCONJ VERB DET DET NOUN ADV PUNCT 
155,Who's there? - It's me.,¿Quién está allí? - Soy yo.,PRON VERB ADV PUNCT PUNCT PRON VERB PRON PUNCT ,PUNCT PRON VERB ADV PUNCT PUNCT AUX PRON PUNCT 
156,Let's go out for lunch.,Salgamos para el almuerzo.,VERB PRON VERB PART ADP NOUN PUNCT ,VERB ADP DET NOUN PUNCT 
157,He split the apple into two with his bare hands.,Él partió la manzana en dos sólo con sus manos.,PRON VERB DET NOUN ADP NUM ADP DET ADJ NOUN PUNCT ,PRON VERB DET NOUN ADP NUM ADV ADP DET NOUN PUNCT 
158,I guess an accident has happened up ahead.,Presiento que un accidente ha sucedido alli adelante. ,PRON VERB DET NOUN VERB VERB PART ADV PUNCT ,VERB SCONJ DET NOUN AUX VERB VERB ADV PUNCT 
159,which country do you want to visit?,¿qué país deseas visitar?,DET NOUN VERB PRON VERB PART VERB PUNCT ,PUNCT DET NOUN NOUN VERB PUNCT 
160,He is sitting under the tree.,Él está sentando debajo del árbol.,PRON VERB VERB ADP DET NOUN PUNCT ,PRON AUX VERB ADV ADP NOUN PUNCT 
161,How's that? - Not bad.,¿Cómo estuvo? - No tan malo.,ADV VERB DET PUNCT PUNCT ADV ADJ PUNCT ,PUNCT PRON VERB PUNCT PUNCT ADV ADV ADJ PUNCT 
