,english,spanish,en_poss,en_tags,es_poss,es_tags
10,My chest was hurting since last night.,Me duele el pecho desde el ayer por la noche.,DET NOUN VERB VERB ADP ADJ NOUN PUNCT ,PRP$ NN VBD VBG IN JJ NN . ,PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT ,PRP VBZ DT NN IN DT NN IN DT NN . 
11,"Sit there, in the middle.","Sientate allí, en el centro.",VERB ADV PUNCT ADP DET NOUN PUNCT ,"VB RB , IN DT NN . ",ADV ADV PUNCT ADP DET NOUN PUNCT ,"RB RB , IN DT NN . "
12,It is good to read books in the fall.,Es bueno leer los libros en otoño.,PRON VERB ADJ PART VERB NOUN ADP DET NOUN PUNCT ,PRP VBZ JJ TO VB NNS IN DT NN . ,AUX ADJ VERB DET NOUN ADP NOUN PUNCT ,VBZ JJ TO VB DT NNS IN NN . 
13,I like skiing the most.,Me gusta más el esquí.,PRON VERB VERB DET ADJ PUNCT ,PRP VBP VBG DT JJS . ,PRON VERB ADV DET NOUN PUNCT ,PRP VBZ RB DT NN . 
14,Almost every home is hooked up to the internet now.,Ahora casi todos los hogares estan conectados al internet.,ADV DET NOUN VERB VERB PART ADP DET NOUN ADV PUNCT ,RB DT NN VBZ VBN RP IN DT NN RB . ,ADV ADV DET DET NOUN VERB ADJ ADP NOUN PUNCT ,RB RB DT DT NNS VBP VBN IN NNP . 
15,Did you bring towels?,¿Trajiste las toallas?,VERB PRON VERB NOUN PUNCT ,VBD PRP VB NNS . ,PUNCT VERB DET NOUN PUNCT ,. VBP DT NNS . 
16,The whole family has caught a cold.,La familia entera se ha resfriado.,DET ADJ NOUN VERB VERB DET NOUN PUNCT ,DT JJ NN VBZ VBN DT NN . ,DET NOUN ADJ PRON AUX VERB PUNCT ,DT NN JJ PRP VBZ VBN . 
17,They sell various kinds of things at the shop.,Venden varias clases de cosas en la tienda.,PRON VERB ADJ NOUN ADP NOUN ADP DET NOUN PUNCT ,PRP VBP JJ NNS IN NNS IN DT NN . ,VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT ,VBP DT NNS IN NNS IN DT NN . 
18,She has a beautiful voice.,Ella tiene una voz hermosa.,PRON VERB DET ADJ NOUN PUNCT ,PRP VBZ DT JJ NN . ,PRON VERB DET NOUN ADJ PUNCT ,PRP VBZ DT NN JJ . 
19,The other three classes are one hour each.,Las otras tres clases restantes son de una hora cada una.,DET ADJ NUM NOUN VERB NUM NOUN DET PUNCT ,DT JJ CD NNS VBP CD NN DT . ,DET DET NUM NOUN ADJ AUX ADP DET NOUN DET PRON PUNCT ,DT DT CD NNS JJ VBP IN DT NN DT DT . 
20,I wanted to be a nurse when I was younger.,Deseé ser enfermera cuando era más joven.,PRON VERB PART VERB DET NOUN ADV PRON VERB ADJ PUNCT ,PRP VBD TO VB DT NN WRB PRP VBD JJR . ,VERB AUX NOUN SCONJ AUX ADV ADJ PUNCT ,VBD TO VB NN IN VBD RB JJ . 
21,Do you like ribs?,¿Te gustan las costillas?,VERB PRON ADP NOUN PUNCT ,VBP PRP IN NNS . ,PUNCT PRON VERB DET NOUN PUNCT ,. PRP VBP DT NNS . 
22,I think I have a cold.,Creo que me he resfriado.,PRON VERB PRON VERB DET NOUN PUNCT ,PRP VBP PRP VBP DT NN . ,VERB SCONJ PRON AUX VERB PUNCT ,VBP IN PRP VBP VBN . 
23,Thank you.,Gracias.,VERB PRON PUNCT ,VBP PRP . ,NOUN PUNCT ,NNP . 
24,I got a strange feeling when I saw him.,Tuve una sensación extraña cuando lo vi.,PRON VERB DET ADJ NOUN ADV PRON VERB PRON PUNCT ,PRP VBD DT JJ NN WRB PRP VBD PRP . ,VERB DET NOUN ADJ SCONJ PRON VERB PUNCT ,VBD DT NN JJ IN PRP VBD . 
25,It's getting cold suddenly.,De repente está haciendo frío.,PRON VERB VERB ADJ ADV PUNCT ,PRP VBZ VBG JJ RB . ,ADP NOUN AUX VERB NOUN PUNCT ,IN NNP VBZ VBG NN . 
26,The price of vegetables rose this year.,El precio de los vegetales ha subido este año.,DET NOUN ADP NOUN VERB DET NOUN PUNCT ,DT NN IN NNS VBD DT NN . ,DET NOUN ADP DET NOUN AUX VERB DET NOUN PUNCT ,DT NN IN DT NNS VBZ VBN DT NN . 
27,The Han river is the biggest river in Korea.,El río de Han es el río más grande de Corea.,DET PROPN NOUN VERB DET ADJ NOUN ADP PROPN PUNCT ,DT NNP NN VBZ DT JJS NN IN NNP . ,DET NOUN ADP PROPN AUX DET NOUN ADV ADJ ADP PROPN PUNCT ,DT NN IN NNP VBZ DT NN RB JJ IN NNP . 
28,My teacher emphasized process over results.,Mi profesor acentuó más el proceso que los resultados.,DET NOUN VERB NOUN ADP NOUN PUNCT ,PRP$ NN VBD NN IN NNS . ,DET NOUN VERB ADV DET NOUN PRON DET NOUN PUNCT ,PRP$ NN VBD RB DT NN DT DT NNS . 
29,Wow! she has a very strong serve.,¡Waw! Ella tiene un saque muy fuerte.,INTJ PUNCT PRON VERB DET ADV ADJ NOUN PUNCT ,UH . PRP VBZ DT RB JJ NN . ,PUNCT INTJ PUNCT PRON VERB DET NOUN ADV ADJ PUNCT ,. UH . PRP VBZ DT NN RB JJ . 
30,We went to the same school as children.,Fuimos a la misma escuela de niños.,PRON VERB ADP DET ADJ NOUN ADP NOUN PUNCT ,PRP VBD IN DT JJ NN IN NNS . ,VERB ADP DET DET NOUN ADP NOUN PUNCT ,VBD IN DT DT NN IN NNS . 
31,Let's do it together.,Hagámoslo juntos.,VERB PRON VERB PRON ADV PUNCT ,VB PRP VB PRP RB . ,PROPN ADJ PUNCT ,NNP JJ . 
32,I'd like to raise a dog.,Quisiera criar un perro.,PRON AUX VERB PART VERB DET NOUN PUNCT ,PRP MD VB TO VB DT NN . ,VERB VERB DET NOUN PUNCT ,VBD TO VB DT NN . 
33,These candies cost a hundred won a piece.,Estos caramelos costaron cien won cada uno.,DET NOUN VERB DET NUM VERB DET NOUN PUNCT ,DT NNS VBP DT CD VBD DT NN . ,DET NOUN VERB NUM PROPN DET PRON PUNCT ,DT NNS VBD CD NNP DT DT . 
34,Hyean and I have been married for three months.,Hyean y yo nos casamos hace tres meses.,PROPN CCONJ PRON VERB VERB VERB ADP NUM NOUN PUNCT ,NNP CC PRP VBP VBN VBN IN CD NNS . ,PROPN CCONJ PRON PRON VERB AUX NUM NOUN PUNCT ,NNP CC PRP PRP VBP VBZ CD NNS . 
35,See you there.,Te veo allí.,VERB PRON ADV PUNCT ,VB PRP RB . ,PRON VERB ADV PUNCT ,PRP VBP RB . 
36,There are many cars in this street.,Hay muchos coches en esta calle.,ADV VERB ADJ NOUN ADP DET NOUN PUNCT ,EX VBP JJ NNS IN DT NN . ,AUX DET NOUN ADP DET NOUN PUNCT ,VBZ DT NNS IN DT NN . 
37,Look at yourself in the mirror.,Mirar se en el espejo.,VERB ADP PRON ADP DET NOUN PUNCT ,VB IN PRP IN DT NN . ,VERB PRON ADP DET NOUN PUNCT ,TO VB PRP IN DT NN . 
38,It's almost finished.,Casi listo.,PRON VERB ADV VERB PUNCT ,PRP VBZ RB VBN . ,ADV ADJ PUNCT ,RB JJ . 
39,I'm not telling a lie.,No estoy mintiendo.,PRON VERB ADV VERB DET NOUN PUNCT ,PRP VBP RB VBG DT NN . ,ADV AUX VERB PUNCT ,RB VBP VBG . 
40,You look worried today.,Hoy pareces preocupado.,PRON VERB ADJ NOUN PUNCT ,PRP VBP JJ NN . ,ADV VERB ADJ PUNCT ,RB VBP JJ . 
41,Alcohol is bad for your health.,El alcohol es malo para tu salud.,NOUN VERB ADJ ADP DET NOUN PUNCT ,NN VBZ JJ IN PRP$ NN . ,DET NOUN AUX ADJ ADP DET NOUN PUNCT ,DT NN VBZ JJ IN PRP$ NN . 
42,It is at the back of this building.,Está en la parte posterior de este edificio.,PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ,PRP VBZ IN DT NN IN DT NN . ,VERB ADP DET NOUN ADJ ADP DET NOUN PUNCT ,VBZ IN DT NN JJ IN DT NN . 
43,Why are you walking so fast?,¿Por qué estás caminando tan rápido?,ADV VERB PRON VERB ADV ADV PUNCT ,WRB VBP PRP VBG RB RB . ,PUNCT ADP PRON AUX VERB ADV ADJ PUNCT ,. IN WP VBP VBG RB JJ . 
44,Hang clothes on a hanger.,Cuelga la ropa en la percha.,VERB NOUN ADP DET NOUN PUNCT ,VB NNS IN DT NN . ,VERB DET NOUN ADP DET NOUN PUNCT ,VBZ DT NN IN DT NN . 
45,A picture is hanging on the wall.,El cuadro está colgado en la pared.,DET NOUN VERB VERB ADP DET NOUN PUNCT ,DT NN VBZ VBG IN DT NN . ,DET NOUN AUX ADJ ADP DET NOUN PUNCT ,DT NN VBZ JJ IN DT NN . 
46,Would you like to go on foot or by car?,¿Prefieres ir a pie o en coche?,VERB PRON VERB PART VERB ADP NOUN CCONJ ADP NOUN PUNCT ,MD PRP VB TO VB IN NN CC IN NN . ,PUNCT VERB AUX ADP NOUN CCONJ ADP NOUN PUNCT ,. VBP TO VB IN NNP CC IN NN . 
47,How far have we come on foot?,¿Cuánto hemos venido a pie?,ADV ADV VERB PRON VERB ADP NOUN PUNCT ,WRB RB VBP PRP VBN IN NN . ,PUNCT PRON AUX VERB ADP NOUN PUNCT ,. PRP VBP VBN IN NNP . 
48,A man was carrying a black bag.,Un hombre llevaba un bolso negro.,DET NOUN VERB VERB DET ADJ NOUN PUNCT ,DT NN VBD VBG DT JJ NN . ,DET NOUN VERB DET NOUN ADJ PUNCT ,DT NN VBD DT NN JJ . 
49,Show me another one in the same color.,Muéstrame otro en el mismo color.,VERB PRON DET NUM ADP DET ADJ NOUN PUNCT ,VB PRP DT CD IN DT JJ NN . ,VERB PRON ADP DET DET NOUN PUNCT ,VBP DT IN DT DT NN . 
50,Do you like computer games?,¿A ti te gustan los juegos de computadora?,VERB PRON VERB NOUN NOUN PUNCT ,VBP PRP VB NN NNS . ,PUNCT ADP PRON PRON VERB DET NOUN ADP NOUN PUNCT ,. IN PRP PRP VBP DT NNS IN NN . 
51,Winter in Korea sure is cold. ,El invierno en Corea es muy frío.,NOUN ADP PROPN ADV VERB ADJ PUNCT ,NN IN NNP RB VBZ JJ . ,DET NOUN ADP PROPN AUX ADV ADJ PUNCT ,DT NN IN NNP VBZ RB JJ . 
52,The married couple next door finally got divorced.,"La pareja de la puerta de al lado, finalmente se divorciaron.",DET ADJ NOUN ADJ NOUN ADV VERB VERB PUNCT ,DT JJ NN JJ NN RB VBD VBN . ,DET NOUN ADP DET NOUN ADP ADP NOUN PUNCT ADV PRON VERB PUNCT ,"DT NN IN DT NN IN IN NNP , RB PRP VBD . "
53,I haven't decided yet.,No lo he decidido todavía.,PRON VERB ADV VERB ADV PUNCT ,PRP VBP RB VBN RB . ,ADV PRON AUX VERB ADV PUNCT ,RB PRP VBP VBN RB . 
54,Will you marry me?,¿Te casarías conmigo?,VERB PRON VERB PRON PUNCT ,MD PRP VB PRP . ,PUNCT PRON VERB PRON PUNCT ,. PRP VBP PRP . 
55,Where is he going to have the wedding ceremony?,¿En dónde se va a realizar la boda?,ADV VERB PRON VERB PART VERB DET NOUN NOUN PUNCT ,WRB VBZ PRP VBG TO VB DT NN NN . ,PUNCT ADP PRON PRON AUX ADP VERB DET NOUN PUNCT ,. IN WDT PRP VBZ IN TO VB DT NN . 
56,The soccer game ended in a tie.,El partido del fútbol terminó en un empate.,DET NOUN NOUN VERB ADP DET NOUN PUNCT ,DT NN NN VBD IN DT NN . ,DET NOUN ADP NOUN VERB ADP DET NOUN PUNCT ,DT NN IN NN VBD IN DT NN . 
57,"In some cases, I tend to jump to conclusions.",En ciertos casos tomo las decisiones muy rápido.,ADP DET NOUN PUNCT PRON VERB PART VERB ADP NOUN PUNCT ,"IN DT NNS , PRP VBP TO VB IN NNS . ",ADP DET NOUN NOUN DET NOUN ADV ADJ PUNCT ,IN DT NNS NN DT NNS RB JJ . 
58,Did you call the police?,¿Llamaste a policía?,VERB PRON VERB DET NOUN PUNCT ,VBD PRP VB DT NN . ,PUNCT VERB ADP NOUN PUNCT ,. VBP IN NN . 
59,The scenery is really beautiful.,El paisaje es realmente hermoso.,DET NOUN VERB ADV ADJ PUNCT ,DT NN VBZ RB JJ . ,DET NOUN AUX ADV ADJ PUNCT ,DT NN VBZ RB JJ . 
60,It would be a good experience.,Sería una buena experiencia.,PRON VERB VERB DET ADJ NOUN PUNCT ,PRP MD VB DT JJ NN . ,AUX DET ADJ NOUN PUNCT ,MD VB DT JJ NN . 
61,How many eggs are there in the refrigerator?,¿Cuántos huevos hay en el refrigerador?,ADV ADJ NOUN VERB ADV ADP DET NOUN PUNCT ,WRB JJ NNS VBP RB IN DT NN . ,PUNCT DET NOUN AUX ADP DET NOUN PUNCT ,. DT NNS VBZ IN DT NN . 
62,My nose bleeds continuously.,Mi nariz está sangrando continuamente.,DET NOUN VERB ADV PUNCT ,PRP$ NN VBZ RB . ,DET NOUN AUX VERB ADV PUNCT ,PRP$ NN VBZ VBG RB . 
63,Goodbye.,Adiós.,INTJ PUNCT ,UH . ,INTJ PUNCT ,UH . 
64,What season do you like best?,¿Qué estación te gusta más?,DET NOUN VERB PRON VERB ADV PUNCT ,WDT NN VBP PRP VB RBS . ,PUNCT DET NOUN PRON VERB ADV PUNCT ,. WDT NN PRP VBZ RB . 
65,Any special plans?,¿Algún plan en especial?,DET ADJ NOUN PUNCT ,DT JJ NNS . ,PUNCT DET NOUN ADP ADJ PUNCT ,. DT NN IN JJ . 
66,Let's go have some meat.,Vayamos a comer carne.,VERB PRON VERB VERB DET NOUN PUNCT ,VB PRP VB VB DT NN . ,AUX ADP VERB NOUN PUNCT ,VBP IN TO VB NN . 
67,I learned Japanese as a second foreign language in high school.,Aprendí japonés como segundo idioma extranjero en la secundaria.,PRON VERB PROPN ADP DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT ,PRP VBD NNP IN DT JJ JJ NN IN JJ NN . ,VERB ADJ SCONJ ADJ NOUN ADJ ADP DET NOUN PUNCT ,VBD JJ IN JJ NN JJ IN DT NN . 
68,I'll be in high school next year.,Seré un estudiante secundario el próximo año.,PRON AUX VERB ADP ADJ NOUN ADJ NOUN PUNCT ,PRP MD VB IN JJ NN JJ NN . ,AUX DET NOUN ADJ DET ADJ NOUN PUNCT ,VBP DT NN JJ DT JJ NN . 
69,Thank you.,Gracias.,VERB PRON PUNCT ,VBP PRP . ,NOUN PUNCT ,NNP . 
70,I think it is the cat.,Yo pienso que es el gato.,PRON VERB PRON VERB DET NOUN PUNCT ,PRP VBP PRP VBZ DT NN . ,PRON VERB SCONJ AUX DET NOUN PUNCT ,PRP VBP IN VBZ DT NN . 
71,I couldn’t endure the pain.,No puedo aguantar el dolor.,PRON AUX ADV VERB DET NOUN PUNCT ,PRP MD RB VB DT NN . ,ADV AUX VERB DET NOUN PUNCT ,RB VBP TO VB DT NN . 
72,"I'm really hungry, too.",Yo también tengo hambre.,PRON VERB ADV ADJ PUNCT ADV PUNCT ,"PRP VBP RB JJ , RB . ",PRON ADV VERB NOUN PUNCT ,PRP RB VBP NN . 
73,Many Koreans return to their hometown during Chusok.,Muchos coreanos vuelven a su ciudad natal durante Chusok.,ADJ PROPN VERB ADP DET NOUN ADP PROPN PUNCT ,JJ NNPS VBP IN PRP$ NN IN NNP . ,DET NOUN VERB ADP DET NOUN ADJ ADP PROPN PUNCT ,DT NNS VBP IN PRP$ NN JJ IN NNP . 
74,I'll be there soon.,Estaré allí pronto.,PRON AUX VERB ADV ADV PUNCT ,PRP MD VB RB RB . ,VERB ADV ADV PUNCT ,MD VB RB RB . 
75,This city is a good place to live.,Esta ciudad es un buen lugar a vivir.,DET NOUN VERB DET ADJ NOUN PART VERB PUNCT ,DT NN VBZ DT JJ NN TO VB . ,DET NOUN AUX DET ADJ NOUN ADP VERB PUNCT ,DT NN VBZ DT JJ NN IN TO VB . 
76,"Sorry, I threw the ball too hard.","Perdón, lancé la bola demasiado fuerte.",INTJ PUNCT PRON VERB DET NOUN ADV ADV PUNCT ,"UH , PRP VBD DT NN RB RB . ",NOUN PUNCT VERB DET NOUN ADV ADJ PUNCT ,"NN , VBD DT NN RB JJ . "
77,Wow! There's a lot to study.,¡Waw! Hay mucho para estudiar.,INTJ PUNCT ADV VERB DET NOUN PART VERB PUNCT ,UH . EX VBZ DT NN TO VB . ,PUNCT INTJ PUNCT AUX ADV ADP VERB PUNCT ,. UH . VBZ RB IN TO VB . 
78,How big is the park?,¿Qué tan grande es el parque?,ADV ADJ VERB DET NOUN PUNCT ,WRB JJ VBZ DT NN . ,PUNCT PRON ADV ADJ AUX DET NOUN PUNCT ,. WP RB JJ VBZ DT NN . 
79,I worked in a shoe factory.,Trabajé en una fábrica de zapato.,PRON VERB ADP DET NOUN NOUN PUNCT ,PRP VBD IN DT NN NN . ,VERB ADP DET NOUN ADP NOUN PUNCT ,VBP IN DT NN IN NN . 
80,"These days, it is hard to find a pay phone.","Actualmente, es duro encontrar un teléfono público.",DET NOUN PUNCT PRON VERB ADJ PART VERB DET NOUN NOUN PUNCT ,"DT NNS , PRP VBZ JJ TO VB DT NN NN . ",ADV PUNCT AUX ADJ VERB DET NOUN ADJ PUNCT ,"RB , VBZ JJ TO VB DT NN JJ . "
81,Can I borrow your notebook?,¿Me prestas tu cuaderno?,VERB PRON VERB DET NOUN PUNCT ,MD PRP VB PRP$ NN . ,PUNCT PRON ADJ DET NOUN PUNCT ,. PRP JJ PRP$ NN . 
82,Can you give me a ride to Incheon airport?,¿Puede llevarme hasta el aeropuerto de Incheon?,VERB PRON VERB PRON DET NOUN ADP PROPN NOUN PUNCT ,MD PRP VB PRP DT NN IN NNP NN . ,PUNCT AUX ADJ ADP DET NOUN ADP PROPN PUNCT ,. VBZ JJ IN DT NN IN NNP . 
83,March 1 is a national holiday in Korea.,El 1 de marzo es feriado nacional en Corea.,PROPN NUM VERB DET ADJ NOUN ADP PROPN PUNCT ,NNP CD VBZ DT JJ NN IN NNP . ,DET NUM ADP NOUN AUX VERB ADJ ADP PROPN PUNCT ,DT CD IN NNP VBZ VBN JJ IN NNP . 
84,What lesson are we on today?,¿Qué lección nos toca hoy?,DET NOUN VERB PRON ADP NOUN PUNCT ,WDT NN VBP PRP IN NN . ,PUNCT DET NOUN PRON VERB ADV PUNCT ,. WDT NN PRP VBZ RB . 
85,Is the tomato a fruit or a vegetable?,¿Es el tomate una fruta o un vegetal?,VERB DET NOUN DET NOUN CCONJ DET NOUN PUNCT ,VBZ DT NN DT NN CC DT NN . ,PUNCT AUX DET NOUN DET NOUN CCONJ DET NOUN PUNCT ,. VBZ DT NN DT NN CC DT NN . 
86,Leave some cookies for me.,Déjame algunas galletas para mí.,VERB DET NOUN ADP PRON PUNCT ,VB DT NNS IN PRP . ,VERB DET NOUN ADP PRON PUNCT ,VBP DT NNS IN PRP . 
87,Our relationship is over.,Nuestra relación se terminó. ,DET NOUN VERB ADV PUNCT ,PRP$ NN VBZ RB . ,DET NOUN PRON VERB PUNCT ,PRP$ NN PRP VBD . 
88,I'm OK.,Estoy bien.,PRON VERB ADJ PUNCT ,PRP VBP JJ . ,AUX ADV PUNCT ,VBP RB . 
89,Open your English textbook to page 10.,Abra su libro de inglés en la página 10.,VERB DET ADJ NOUN ADP NOUN NUM PUNCT ,VB PRP$ JJ NN IN NN CD . ,VERB DET NOUN ADP NOUN ADP DET NOUN NUM PUNCT ,VBZ PRP$ NN IN NN IN DT NN CD . 
90,I want to be a history professor.,Deseo ser profesor de Historia.,PRON VERB PART VERB DET NOUN NOUN PUNCT ,PRP VBP TO VB DT NN NN . ,VERB AUX NOUN ADP PROPN PUNCT ,VBP TO VB NN IN NNP . 
91,"Oops, I left my wallet in the classroom.","Oops, dejé mi billetera en la sala de clases.",INTJ PUNCT PRON VERB DET NOUN ADP DET NOUN PUNCT ,"UH , PRP VBD PRP$ NN IN DT NN . ",PROPN PUNCT VERB DET NOUN ADP DET NOUN ADP NOUN PUNCT ,"NNP , VBD PRP$ NN IN DT NN IN NNS . "
92,It is better to use public transportation.,Es mejor utilizar el transporte público.,PRON VERB ADJ PART VERB ADJ NOUN PUNCT ,PRP VBZ JJR TO VB JJ NN . ,AUX ADJ VERB DET NOUN ADJ PUNCT ,VBZ JJ TO VB DT NN JJ . 
93,I go to church every Sunday morning.,Voy a la iglesia cada domingo por la mañana..,PRON VERB ADP NOUN DET PROPN NOUN PUNCT ,PRP VBP IN NN DT NNP NN . ,VERB ADP DET NOUN DET NOUN ADP DET NOUN PUNCT ,VBP IN DT NN DT NNP IN DT NN . 
94,The man was looking around the shop.,El hombre miraba alrededor de la tienda.,DET NOUN VERB VERB ADP DET NOUN PUNCT ,DT NN VBD VBG IN DT NN . ,DET NOUN VERB ADV ADP DET NOUN PUNCT ,DT NN VBD RB IN DT NN . 
95,Please shine my shoes.,"Lústreme los zapatos, por favor.",INTJ VERB DET NOUN PUNCT ,UH VB PRP$ NNS . ,PROPN DET NOUN PUNCT ADP NOUN PUNCT ,"NNP DT NNS , IN NNP . "
96,There are no clouds in the sky.,No hay nubes en el cielo.,ADV VERB DET NOUN ADP DET NOUN PUNCT ,EX VBP DT NNS IN DT NN . ,ADV AUX NOUN ADP DET NOUN PUNCT ,RB VBZ NNS IN DT NN . 
97,How many soldiers are there in Korea?,¿Cuántos soldados hay en Corea?,ADV ADJ NOUN VERB ADV ADP PROPN PUNCT ,WRB JJ NNS VBP RB IN NNP . ,PUNCT DET NOUN AUX ADP PROPN PUNCT ,. DT NNS VBZ IN NNP . 
98,How many books have you published?,¿Cuántos tomos has publicado?,ADV ADJ NOUN VERB PRON VERB PUNCT ,WRB JJ NNS VBP PRP VBN . ,PUNCT DET NOUN AUX VERB PUNCT ,. DT NNS VBP VBN . 
99,Why are you plugging your ears?,¿Por qué estás tapando tus oídos?,ADV VERB PRON VERB DET NOUN PUNCT ,WRB VBP PRP VBG PRP$ NNS . ,PUNCT ADP PRON AUX VERB ADP NOUN PUNCT ,. IN WP VBP VBG IN NNS . 
100,You're cute when you smile.,Eres lindo cuando sonríes.,PRON VERB ADJ ADV PRON VERB PUNCT ,PRP VBP JJ WRB PRP VBP . ,AUX VERB SCONJ VERB PUNCT ,VBP VBG IN VBP . 
101,Give me that book.,Dame ese libro.,VERB PRON DET NOUN PUNCT ,VB PRP DT NN . ,VERB DET NOUN PUNCT ,VBP DT NN . 
102,Will he come?,¿Él vendrá?,VERB PRON VERB PUNCT ,MD PRP VB . ,PUNCT PRON VERB PUNCT ,. PRP MD VB . 
103,It sounds fun.,Eso suena divertido.,PRON VERB ADJ PUNCT ,PRP VBZ JJ . ,PRON VERB ADJ PUNCT ,DT VBZ JJ . 
104,How's the weather over there?,¿Cómo está el tiempo allí?,ADV VERB DET NOUN ADV ADV PUNCT ,WRB VBZ DT NN RB RB . ,PUNCT PRON VERB DET NOUN ADV PUNCT ,. WDT VBZ DT NN RB . 
105,What were you doing that night?,¿Qué hacías ese día por la noche?,PRON VERB PRON VERB DET NOUN PUNCT ,WP VBD PRP VBG DT NN . ,PUNCT PRON NOUN DET NOUN ADP DET NOUN PUNCT ,. WP NNS DT NN IN DT NN . 
106,We're just friends.,Somos solo amigos.,PRON VERB ADV NOUN PUNCT ,PRP VBP RB NNS . ,AUX NOUN NOUN PUNCT ,VBP NNP NNS . 
107,Leave it as it is.,Dejarlo como es.,VERB PRON ADP PRON VERB PUNCT ,VB PRP IN PRP VBZ . ,ADJ SCONJ AUX PUNCT ,JJ IN VBZ . 
108,Long time no see! How have you been?,¡Tanto tiempo sin verte! ¿Cómo has estado durante este tiempo?,ADJ NOUN INTJ VERB PUNCT ADV VERB PRON VERB PUNCT ,JJ NN UH VB . WRB VBP PRP VBN . ,PUNCT DET NOUN ADP INTJ PUNCT PUNCT PRON AUX VERB ADP DET NOUN PUNCT ,. DT NN IN UH . . WDT VBP VBN IN DT NN . 
109,I have not seen her since then.,No la he visto desde entonces.,PRON VERB ADV VERB PRON ADP ADV PUNCT ,PRP VBP RB VBN PRP IN RB . ,ADV PRON AUX VERB ADP ADV PUNCT ,RB PRP VBP VBN IN RB . 
110,"Why not come along? - Oh, OK.","¿Quieres venir? - Sí, está bien.",ADV ADV VERB PART PUNCT PUNCT INTJ PUNCT INTJ PUNCT ,"WRB RB VB RP . : UH , UH . ",PUNCT AUX VERB PUNCT PUNCT ADV PUNCT AUX ADV PUNCT ,". VBP TO VB . SYM RB , VBZ RB . "
111,"She is short, but still taller than me.","Ella es baja, pero todavia es más alta que yo. ",PRON VERB ADJ PUNCT CCONJ ADV ADJ ADP PRON PUNCT ,"PRP VBZ JJ , CC RB JJR IN PRP . ",PRON AUX ADJ PUNCT CCONJ ADV AUX ADV ADJ SCONJ PRON PUNCT ,"PRP VBZ JJ , CC RB VBZ RB JJ IN PRP . "
112,So what did you say at that time?,"Por lo tanto, ¿qué es lo que has dicho?",ADV PRON VERB PRON VERB ADP DET NOUN PUNCT ,RB WP VBD PRP VB IN DT NN . ,ADP DET NOUN PUNCT PUNCT PRON AUX DET PRON AUX ADJ PUNCT ,"IN DT NNP , . WP VBZ DT DT VBP JJ . "
