,english,spanish,en_ud,en_penn,es_ud,es_penn
17,This is required if we are to be honest with our citizens.,Es necesario para ser sinceros con los ciudadanos.,DET VERB VERB ADP PRON VERB PART VERB ADJ ADP DET NOUN PUNCT ,DT VBZ VBN IN PRP VBP TO VB JJ IN PRP$ NNS . ,AUX ADJ ADP AUX ADJ ADP DET NOUN PUNCT ,VBZ JJ IN TO VB JJ IN DT NNS . 
18,"I hope that the Commission will respond positively to these suggestions from Parliament in its legislative proposals and I expect that the future presidencies will find a way to communicate openly and transparently with Parliament, so that we can complete the assent procedures in the appropriate timeframe.","Espero que la Comisión responda de forma positiva a estas sugerencias del Parlamento en sus propuestas legislativas y espero que las futuras presidencias encuentren una manera de comunicarse de una manera abierta y transparente con el Parlamento, para que podamos completar los procedimientos de consentimiento en el plazo apropiado.",PRON VERB ADP DET PROPN VERB VERB ADV ADP DET NOUN ADP PROPN ADP DET ADJ NOUN CCONJ PRON VERB ADP DET ADJ NOUN VERB VERB DET NOUN PART VERB ADV CCONJ ADV ADP PROPN PUNCT ADP ADP PRON VERB VERB DET NOUN NOUN ADP DET ADJ NOUN PUNCT ,"PRP VBP IN DT NNP MD VB RB IN DT NNS IN NNP IN PRP$ JJ NNS CC PRP VBP IN DT JJ NNS MD VB DT NN TO VB RB CC RB IN NNP , IN IN PRP MD VB DT NN NNS IN DT JJ NN . ",VERB SCONJ DET PROPN VERB ADP NOUN ADJ ADP DET NOUN ADP PROPN ADP DET NOUN ADJ CCONJ VERB SCONJ DET ADJ NOUN VERB DET NOUN ADP AUX ADP DET NOUN ADJ CCONJ ADJ ADP DET PROPN PUNCT ADP SCONJ AUX VERB DET NOUN ADP NOUN ADP DET NOUN ADJ PUNCT ,"VBP IN DT NNP VBZ IN NN JJ IN DT NNS IN NNP IN PRP$ NNS JJ CC VBP IN DT JJ NNS VBP DT NN IN TO VB IN DT NN JJ CC JJ IN DT NNP , IN IN VBP TO VB DT NNS IN NN IN DT NN JJ . "
19,(The speaker agreed to take a blue-card question under Rule 149(8)),"(El orador acepta responder a una pregunta formulada con arreglo a la ""tarjeta azul"" en virtud del apartado 8 del artículo 149 del Reglamento)",PUNCT DET NOUN VERB PART VERB DET ADJ PUNCT NOUN NOUN ADP NOUN NUM PUNCT PUNCT ,-LRB- DT NN VBD TO VB DT JJ HYPH NN NN IN NN CD -RRB- -RRB- ,PUNCT DET NOUN VERB VERB ADP DET NOUN ADJ ADP NOUN ADP DET PUNCT NOUN ADJ PUNCT ADP NOUN ADP ADJ NUM ADP NOUN NUM ADP PROPN PUNCT ,_LRB_ DT NN VBZ TO VB IN DT NN JJ IN NNP IN DT '' NN JJ '' IN NNP IN JJ CD IN NN CD IN NNP -RBR- 
20,"Mr President, as far as I know, Mr Böge is a member of the CDU in Germany.","Señor Presidente, por lo que yo sé, el señor Böge es miembro de la CDU alemana.",PROPN PROPN PUNCT ADV ADV ADP PRON VERB PUNCT PROPN PROPN VERB DET NOUN ADP DET PROPN ADP PROPN PUNCT ,"NNP NNP , RB RB IN PRP VBP , NNP NNP VBZ DT NN IN DT NNP IN NNP . ",NOUN PROPN PUNCT ADP DET PRON PRON VERB PUNCT DET NOUN PROPN AUX NOUN ADP DET PROPN ADJ PUNCT ,"NN NNP , IN DT DT PRP VBP , DT NN NNP VBZ NN IN DT NNP JJ . "
21,I wonder whether his plea for own resources of the EU reflects his own personal position or the position of his party in Germany?,Me pregunto si su petición de recursos propios para la UE refleja la opinión personal o la posición de su partido en Alemania.,PRON VERB ADP DET NOUN ADP ADJ NOUN ADP DET PROPN VERB DET ADJ ADJ NOUN CCONJ DET NOUN ADP DET NOUN ADP PROPN PUNCT ,PRP VBP IN PRP$ NN IN JJ NNS IN DT NNP VBZ PRP$ JJ JJ NN CC DT NN IN PRP$ NN IN NNP . ,PRON VERB SCONJ DET NOUN ADP NOUN ADJ ADP DET PROPN VERB DET NOUN ADJ CCONJ DET NOUN ADP DET NOUN ADP PROPN PUNCT ,PRP VBP IN PRP$ NN IN NNS JJ IN DT NNP VBZ DT NN JJ CC DT NN IN PRP$ NN IN NNP . 
22,"(DE) Mr President, I am happy to deal with this question.","(DE) Señor Presidente, responderé con mucho gusto a su pregunta.",PUNCT PROPN PUNCT PROPN PROPN PUNCT PRON VERB ADJ PART VERB ADP DET NOUN PUNCT ,"-LRB- NNP -RRB- NNP NNP , PRP VBP JJ TO VB IN DT NN . ",PUNCT NOUN PUNCT NOUN PROPN PUNCT VERB ADP DET NOUN ADP DET NOUN PUNCT ,"_LRB_ NNP -RBR- NN NNP , MD VB IN DT NN IN PRP$ NN . "
23,"The fact is that I am not just a member of the Christian Democratic Union, but have also been Vice-Chair of the CDU in Schleswig-Holstein for 13 years.","En realidad, no solo soy miembro de la Unión Demócrata Cristiana (CDU), sino también vicepresidente de la CDU en Schleswig-Holstein desde hace trece años.",DET NOUN VERB ADP PRON VERB ADV ADV DET NOUN ADP DET PROPN PROPN PROPN PUNCT CCONJ VERB ADV VERB PROPN PUNCT PROPN ADP DET PROPN ADP PROPN PUNCT PROPN ADP NUM NOUN PUNCT ,"DT NN VBZ IN PRP VBP RB RB DT NN IN DT NNP NNP NNP , CC VBP RB VBN NNP HYPH NNP IN DT NNP IN NNP HYPH NNP IN CD NNS . ",ADP NOUN PUNCT PART NOUN AUX NOUN ADP DET PROPN PROPN PROPN PUNCT PROPN PUNCT PUNCT CCONJ ADV NOUN ADP DET PROPN ADP PROPN PUNCT PROPN ADP AUX NUM NOUN PUNCT ,"IN NNP , RB NNP VBP NN IN DT NNP NNP NNP _LRB_ NNP -RBR- , CC RB NN IN DT NNP IN NNP SYM NNP IN VBZ CD NNS . "
24,"Before this committee expressed its view, the CDU/CSU Members of the European Parliament agreed a position.","Antes de que esta comisión expresara su punto de vista, los miembros de la CDU/CSU del Parlamento Europeo convinieron una posición.",ADP DET NOUN VERB DET NOUN PUNCT DET PROPN SYM PROPN PROPN ADP DET PROPN PROPN VERB DET NOUN PUNCT ,"IN DT NN VBD PRP$ NN , DT NNP SYM NNP NNP IN DT NNP NNP VBD DT NN . ",ADV ADP SCONJ DET NOUN VERB DET NOUN ADP NOUN PUNCT DET NOUN ADP DET PROPN PUNCT PROPN ADP PROPN PROPN VERB DET NOUN PUNCT ,"RB IN IN DT NN VBD PRP$ NN IN NN , DT NNS IN DT NNP : NNP IN NNP NNP VBD DT NN . "
25,"The statement on own resources agreed by the CDU/CSU Members of the European Parliament, which, to a certain extent, contradicts the party's national position, is completely at one with the findings of the Policy Changes Committee.","La afirmación sobre los recursos propios acordada por los miembros de la CDU/CSU del Parlamento Europeo, que, hasta cierto punto, contradice la posición nacional del partido, concuerda con lo que dice la Comisión sobre retos políticos.",DET NOUN ADP ADJ NOUN VERB ADP DET PROPN SYM PROPN PROPN ADP DET PROPN PROPN PUNCT DET PUNCT ADP DET ADJ NOUN PUNCT VERB DET NOUN PART ADJ NOUN PUNCT VERB ADV ADP NUM ADP DET NOUN ADP DET PROPN PROPN PROPN PUNCT ,"DT NN IN JJ NNS VBN IN DT NNP SYM NNP NNP IN DT NNP NNP , WDT , IN DT JJ NN , VBZ DT NN POS JJ NN , VBZ RB IN CD IN DT NNS IN DT NNP NNPS NNP . ",DET NOUN ADP DET NOUN ADJ ADJ ADP DET NOUN ADP DET PROPN PUNCT PROPN ADP PROPN PROPN PUNCT PRON PUNCT ADP ADJ NOUN PUNCT VERB DET NOUN ADJ ADP NOUN PUNCT VERB ADP DET PRON VERB DET PROPN ADP NOUN ADJ PUNCT ,"DT NN IN DT NNS JJ JJ IN DT NNS IN DT NNP : NNP IN NNP NNP , DT , IN JJ NNP , VBZ DT NN JJ IN NN , VBZ IN DT DT VBZ DT NNP IN NNS JJ . "
26,"I stand by this, also in my capacity as a CDU politician in Germany.","Respaldo esta posición, también en mi capacidad como político de la CDU alemana.",PRON VERB ADP DET PUNCT ADV ADP DET NOUN ADP DET PROPN NOUN ADP PROPN PUNCT ,"PRP VBP IN DT , RB IN PRP$ NN IN DT NNP NN IN NNP . ",PROPN DET NOUN PUNCT ADV ADP DET NOUN SCONJ NOUN ADP DET PROPN ADJ PUNCT ,"NNP DT NN , RB IN PRP$ NN IN NN IN DT NNP JJ . "
27,"Mr President, the EU is currently facing the biggest challenges that it has faced in a very long time.","Señor Presidente, la UE tiene que hacer frente en la actualidad a los mayores desafíos que ha afrontado en mucho tiempo.",PROPN PROPN PUNCT DET PROPN VERB ADV VERB DET ADJ NOUN DET PRON VERB VERB ADP DET ADV ADJ NOUN PUNCT ,"NNP NNP , DT NNP VBZ RB VBG DT JJS NNS WDT PRP VBZ VBN IN DT RB JJ NN . ",NOUN PROPN PUNCT DET PROPN VERB SCONJ VERB NOUN ADP DET NOUN ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN PUNCT ,"NN NNP , DT NNP VBZ IN TO VB NN IN DT NN IN DT JJ NNS DT VBZ VBN IN DT NN . "
28,"We must try to put an end to the economic crisis and, at the same time, avoid new crises.","Tratemos de poner fin a la crisis económica y, al mismo tiempo, de evitar nuevas crisis.",PRON VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN CCONJ PUNCT ADP DET ADJ NOUN PUNCT VERB ADJ NOUN PUNCT ,"PRP MD VB TO VB DT NN IN DT JJ NN CC , IN DT JJ NN , VB JJ NNS . ",VERB ADP VERB NOUN ADP DET NOUN ADJ CCONJ PUNCT ADP DET NOUN PUNCT ADP VERB ADJ NOUN PUNCT ,"VBP IN TO VB NN IN DT NN JJ CC , IN DT NN , IN TO VB JJ NN . "
29,We need to deal with increased globalisation and competition.,Hay que abordar la creciente globalización y la mayor competencia.,PRON VERB PART VERB ADP ADJ NOUN CCONJ NOUN PUNCT ,PRP VBP TO VB IN JJ NN CC NN . ,AUX SCONJ VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT ,VBZ IN TO VB DT JJ NN CC DT JJ NN . 
30,"Major cross-border investments in research, for example, will be needed.","Requeriremos grandes inversiones fronterizas en investigación, por ejemplo.",ADJ ADJ ADJ ADJ NOUN ADP NOUN PUNCT ADP NOUN PUNCT VERB VERB VERB PUNCT ,"JJ JJ JJ JJ NNS IN NN , IN NN , MD VB VBN . ",NOUN ADJ NOUN ADJ ADP NOUN PUNCT ADP NOUN PUNCT ,"NNS JJ NNS JJ IN NN , IN NN . "
31,We need to get to grips with the challenges posed by the environment and the climate and with the sustainable supply of energy.,Tenemos que acometer los desafíos que plantean el medioambiente y el clima y controlar la provisión de energía sostenible.,PRON VERB PART VERB ADP NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ DET NOUN CCONJ ADP DET ADJ NOUN ADP NOUN PUNCT ,PRP VBP TO VB IN NNS IN DT NNS VBN IN DT NN CC DT NN CC IN DT JJ NN IN NN . ,VERB SCONJ VERB DET NOUN PRON VERB DET NOUN CCONJ DET NOUN CCONJ VERB DET NOUN ADP NOUN ADJ PUNCT ,VBP IN TO VB DT NNS DT VBP DT NN CC DT NN CC TO VB DT NN IN NN JJ . 
32,"We need to reverse the devastating trend towards permanently high unemployment and social exclusion that Europe is experiencing, and, in particular, we must try to help with regard to the crisis affecting our southern neighbours.","Hemos de invertir la devastadora tendencia hacia una elevada tasa de desempleo permanente y hacia la exclusión social que Europa está experimentando y, en particular, hay que intentar ayudar en lo que se refiere a la crisis que afecta a nuestros vecinos del sur.",PRON VERB PART VERB DET ADJ NOUN ADP ADV ADJ NOUN CCONJ ADJ NOUN ADP PROPN VERB VERB PUNCT CCONJ PUNCT ADP ADJ PUNCT PRON VERB VERB PART VERB ADP NOUN ADP DET NOUN VERB DET ADJ NOUN PUNCT ,"PRP VBP TO VB DT JJ NN IN RB JJ NN CC JJ NN IN NNP VBZ VBG , CC , IN JJ , PRP MD VB TO VB IN NN IN DT NN VBG PRP$ JJ NNS . ",AUX ADP VERB DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN ADJ CCONJ ADP DET NOUN ADJ PRON PROPN AUX VERB CCONJ PUNCT ADP NOUN PUNCT AUX SCONJ AUX VERB ADP DET PRON PRON VERB ADP DET NOUN PRON VERB ADP DET NOUN ADP NOUN PUNCT ,"VBP IN TO VB DT JJ NN IN DT JJ NN IN NN JJ CC IN DT NN JJ DT NNP VBZ VBG CC , IN NNP , VBZ IN TO VB TO VB IN DT DT PRP VBZ IN DT NN DT VBZ IN PRP$ NNS IN NN . "
33,"Unfortunately, in a situation where we most need solidarity and well-functioning European cooperation, the threats to the European idea are also growing.","Por desgracia, en la situación que vivimos, en la que se necesitan aún más la solidaridad y una eficiente cooperación europea, se multiplican las amenazas para la idea europea.",ADV PUNCT ADP DET NOUN ADV PRON ADV VERB NOUN CCONJ ADV PUNCT VERB ADJ NOUN PUNCT DET NOUN ADP DET ADJ NOUN VERB ADV VERB PUNCT ,"RB , IN DT NN WRB PRP RBS VBP NN CC RB HYPH VBG JJ NN , DT NNS IN DT JJ NN VBP RB VBG . ",ADP NOUN PUNCT ADP DET NOUN PRON VERB PUNCT ADP DET PRON PRON VERB ADV ADV DET NOUN CCONJ DET ADJ NOUN ADJ PUNCT PRON VERB DET NOUN ADP DET NOUN ADJ PUNCT ,"IN NNP , IN DT NN DT VBP , IN DT DT PRP VBP RB RB DT NN CC DT JJ NN JJ , PRP VBP DT NNS IN DT NN JJ . "
34,"Right now, these are directed at the EU budget, among other things.","Ahora mismo, estas van dirigidas al presupuesto de la UE, entre otras cosas.",ADV ADV PUNCT DET VERB VERB ADP DET PROPN NOUN PUNCT ADP ADJ NOUN PUNCT ,"RB RB , DT VBP VBN IN DT NNP NN , IN JJ NNS . ",ADV PRON PUNCT PRON AUX ADJ ADP NOUN ADP DET PROPN PUNCT ADP DET NOUN PUNCT ,"RB DT , DT VBP JJ IN NN IN DT NNP , IN DT NNS . "
