,incorrect_trigram_poss,count
244,PROPN PUNCT PROPN,1
270,SYM NUM ADV,1
225,PROPN ADP NUM,1
257,PUNCT NOUN PART,1
248,PUNCT ADJ PUNCT,1
294,VERB DET SYM,1
293,VERB DET PUNCT,1
297,VERB PUNCT ADJ,1
0,ADJ ADJ PUNCT,1
224,PROPN ADP NOUN,1
113,CCONJ ADV NOUN,1
74,ADP VERB PART,1
75,ADP VERB PUNCT,1
77,ADP _ _,1
78,ADV ADJ ADV,1
79,ADV ADJ CCONJ,1
80,ADV ADJ DET,1
84,ADV ADP ADP,1
85,ADV ADP ADV,1
90,ADV ADP SYM,1
92,ADV DET ADP,1
93,ADV DET DET,1
96,ADV NOUN PRON,1
98,ADV NOUN _,1
99,ADV PRON PART,1
100,ADV PRON PUNCT,1
106,ADV PUNCT NOUN,1
107,ADV PUNCT PART,1
110,CCONJ ADJ PUNCT,1
111,CCONJ ADP ADJ,1
71,ADP VERB ADV,1
69,ADP VERB ADJ,1
68,ADP PUNCT ADP,1
25,ADJ VERB DET,1
4,ADJ ADP NUM,1
7,ADJ ADV ADJ,1
8,ADJ ADV VERB,1
10,ADJ DET PRON,1
11,ADJ DET VERB,1
12,ADJ INTJ ADP,1
15,ADJ PUNCT ADV,1
20,ADJ PUNCT PROPN,1
26,ADJ VERB NOUN,1
65,ADP PROPN PRON,1
29,ADJ VERB VERB,1
31,ADP ADV ADJ,1
34,ADP ADV NOUN,1
35,ADP ADV PART,1
39,ADP CCONJ PRON,1
49,ADP NOUN ADJ,1
51,ADP NOUN ADV,1
59,ADP NOUN X,1
112,CCONJ ADP SYM,1
114,CCONJ ADV VERB,1
222,PROPN ADP ADP,1
117,CCONJ PROPN PROPN,1
197,NUM PROPN PUNCT,1
198,NUM PUNCT ADP,1
199,NUM PUNCT ADV,1
200,NUM PUNCT NUM,1
201,PART ADJ PART,1
203,PART PRON ADP,1
204,PART PRON ADV,1
205,PART PRON NOUN,1
206,PRON ADJ PUNCT,1
208,PRON ADP VERB,1
209,PRON ADV PRON,1
210,PRON AUX ADV,1
211,PRON AUX NOUN,1
212,PRON AUX PART,1
215,PRON DET DET,1
217,PRON PRON ADV,1
218,PRON PRON CCONJ,1
219,PRON PRON DET,1
221,PROPN ADJ CCONJ,1
194,NUM NOUN PRON,1
192,NUM NOUN CCONJ,1
188,NUM ADP NOUN,1
144,INTJ ADV ADV,1
119,DET ADV ADV,1
120,DET ADV NOUN,1
131,DET NOUN PROPN,1
134,DET NUM NOUN,1
137,DET PROPN ADP,1
138,DET PROPN PRON,1
142,INTJ ADP DET,1
143,INTJ ADP PRON,1
145,INTJ NOUN VERB,1
174,NOUN PRON PUNCT,1
148,NOUN ADJ CCONJ,1
149,NOUN ADJ PART,1
1,ADJ ADP ADJ,1
161,NOUN ADP X,1
168,NOUN NUM NOUN,1
170,NOUN PRON ADV,1
171,NOUN PRON AUX,1
173,NOUN PRON PART,1
314,_ _ _,1
