,incorrect_trigram_poss,error_type,count
747,PRON ADP NOUN,MT,4
199,ADP VERB NOUN,UT,3
923,VERB ADP PRON,RV,3
292,ADV PUNCT DET,UY,3
799,PROPN PUNCT CCONJ,RP,3
431,DET NOUN VERB,MP,3
797,PROPN PUNCT ADV,RP,3
435,DET NOUN VERB,RP,3
943,VERB ADV ADP,RV,3
439,DET NOUN VERB,W,3
520,NOUN ADP NOUN,MP,3
188,ADP PROPN PUNCT,UT,3
444,DET PRON VERB,SX,3
527,NOUN ADP NOUN,S,3
791,PROPN PROPN PUNCT,RP,3
310,ADV PUNCT _,RY,3
788,PROPN PROPN DET,MD,3
451,DET PROPN PUNCT,UD,3
573,NOUN ADV ADJ,W,3
782,PROPN DET NOUN,MP,3
547,NOUN ADP PRON,RP,3
228,ADV ADP DET,R,3
420,DET NOUN PUNCT,RP,3
403,DET NOUN PRON,MT,3
500,NOUN ADP DET,MQ,3
491,NOUN ADP DET,CN,3
341,DET DET NOUN,UD,3
384,DET NOUN DET,MT,3
386,DET NOUN DET,RP,3
484,NOUN ADP ADP,MD,3
400,DET NOUN PART,UD,3
256,ADV DET NOUN,RC,3
322,CCONJ PRON VERB,MA,3
834,PUNCT ADV PRON,RP,3
897,VERB ADP NOUN,AGV,3
514,NOUN ADP NOUN,FN,3
900,VERB ADP NOUN,MA,3
475,NOUN ADP ADJ,AGN,3
905,VERB ADP NOUN,R,3
908,VERB ADP NOUN,RV,3
415,DET NOUN PUNCT,MV,3
232,ADV ADP DET,UY,3
864,PUNCT _ _,MY,3
913,VERB ADP PRON,AGV,3
1070,VERB PUNCT _,TV,3
1032,VERB PUNCT CCONJ,S,3
1023,VERB PUNCT ADP,TV,3
1028,VERB PUNCT ADV,TV,3
646,NOUN PUNCT CCONJ,MT,3
139,ADP NOUN ADP,UT,3
678,NOUN PUNCT PRON,RN,3
93,ADP DET ADJ,UT,3
996,VERB DET NOUN,MV,3
963,VERB DET ADJ,MV,3
966,VERB DET ADJ,RV,3
142,ADP NOUN CCONJ,R,3
579,NOUN AUX ADV,MP,3
159,ADP NOUN PUNCT,MQ,3
595,NOUN CCONJ PRON,UN,3
986,VERB DET DET,TV,3
176,ADP NUM NOUN,UT,3
509,NOUN ADP DET,UN,2
334,DET DET NOUN,MA,2
338,DET DET NOUN,RQ,2
663,NOUN PUNCT NOUN,FN,2
852,PUNCT PUNCT DET,M,2
337,DET DET NOUN,R,2
690,NOUN PUNCT VERB,FN,2
842,PUNCT DET VERB,MY,2
321,CCONJ PRON VERB,M,2
1011,VERB DET VERB,RP,2
847,PUNCT NOUN PUNCT,MN,2
806,PROPN PUNCT PRON,S,2
637,NOUN PUNCT ADV,W,2
326,CCONJ PRON VERB,RC,2
419,DET NOUN PUNCT,RD,2
418,DET NOUN PUNCT,RA,2
954,VERB CCONJ DET,TV,2
78,ADP ADV PUNCT,RY,2
711,NOUN PUNCT _,MT,2
472,NOUN ADJ PUNCT,AGN,2
867,VERB ADP ADJ,FV,2
18,ADJ DET ADJ,W,2
290,ADV PUNCT DET,MA,2
291,ADV PUNCT DET,MP,2
114,ADP DET NOUN,SX,2
874,VERB ADP ADV,TV,2
113,ADP DET NOUN,RY,2
1060,VERB PUNCT VERB,FV,2
110,ADP DET NOUN,MY,2
868,VERB ADP ADJ,RV,2
742,PART DET NOUN,UY,2
802,PROPN PUNCT DET,S,2
303,ADV PUNCT PRON,UY,2
523,NOUN ADP NOUN,R,2
107,ADP DET NOUN,MP,2
106,ADP DET NOUN,MC,2
104,ADP DET NOUN,M,2
521,NOUN ADP NOUN,MQ,2
88,ADP DET ADJ,MP,2
504,NOUN ADP DET,RP,2
85,ADP DET ADJ,MA,2
75,ADP ADV PRON,UT,2
687,NOUN PUNCT PUNCT,MQ,2
689,NOUN PUNCT PUNCT,UN,2
618,NOUN PUNCT ADP,FV,2
822,PUNCT ADP NOUN,RP,2
489,NOUN ADP ADV,MP,2
376,DET NOUN CCONJ,MA,2
405,DET NOUN PRON,RP,2
1040,VERB PUNCT NOUN,MV,2
673,NOUN PUNCT PRON,MP,2
52,ADJ VERB ADV,MP,2
381,DET NOUN CCONJ,SX,2
51,ADJ VERB ADP,W,2
402,DET NOUN PRON,DY,2
385,DET NOUN DET,R,2
48,ADJ PUNCT _,RJ,2
388,DET NOUN DET,W,2
47,ADJ PUNCT _,R,2
761,PRON NOUN PUNCT,SX,2
1034,VERB PUNCT CCONJ,TV,2
392,DET NOUN NOUN,MV,2
393,DET NOUN NOUN,R,2
674,NOUN PUNCT PRON,MQ,2
395,DET NOUN NOUN,U,2
1036,VERB PUNCT DET,TV,2
56,ADJ VERB PART,MP,2
825,PUNCT ADP PRON,MY,2
342,DET DET NOUN,UQ,2
492,NOUN ADP DET,DJ,2
343,DET DET NOUN,W,2
416,DET NOUN PUNCT,MY,2
1046,VERB PUNCT PRON,FV,2
116,ADP DET NOUN,UC,2
412,DET NOUN PUNCT,M,2
350,DET NOUN ADJ,RP,2
832,PUNCT ADV PRON,MA,2
353,DET NOUN ADP,M,2
766,PRON PRON VERB,RA,2
496,NOUN ADP DET,MA,2
671,NOUN PUNCT PRON,M,2
357,DET NOUN ADP,MV,2
479,NOUN ADP ADJ,MP,2
67,ADP ADV ADP,UT,2
494,NOUN ADP DET,FV,2
361,DET NOUN ADP,RN,2
628,NOUN PUNCT ADV,AGN,2
363,DET NOUN ADP,U,2
64,ADP ADP NOUN,UT,2
406,DET NOUN PRON,RQ,2
615,NOUN PUNCT ADJ,MD,2
398,DET NOUN PART,R,2
288,ADV PUNCT CCONJ,RP,2
1062,VERB PUNCT _,AGV,2
545,NOUN ADP PRON,R,2
158,ADP NOUN PUNCT,MP,2
216,ADV ADJ PUNCT,IJ,2
728,NUM NOUN ADV,MT,2
218,ADV ADJ PUNCT,MV,2
708,NOUN PUNCT _,MJ,2
549,NOUN ADP PRON,S,2
221,ADV ADJ PUNCT,X,2
648,NOUN PUNCT CCONJ,S,2
546,NOUN ADP PRON,RN,2
582,NOUN CCONJ DET,FN,2
227,ADV ADP DET,MA,2
8,ADJ ADP DET,TV,2
152,ADP NOUN PRON,R,2
773,PROPN ADP DET,S,2
912,VERB ADP NUM,TV,2
231,ADV ADP DET,SX,2
970,VERB DET ADJ,UV,2
233,ADV ADP DET,W,2
13,ADJ ADP PROPN,MD,2
697,NOUN PUNCT X,CN,2
706,NOUN PUNCT _,MC,2
149,ADP NOUN NOUN,UT,2
649,NOUN PUNCT CCONJ,TV,2
554,NOUN ADP PROPN,FN,2
731,NUM NOUN NOUN,MP,2
961,VERB DET ADJ,MP,2
574,NOUN ADV ADP,AGN,2
174,ADP NUM NOUN,ID,2
712,NOUN PUNCT _,R,2
172,ADP NOUN VERB,UT,2
714,NOUN PUNCT _,RP,2
710,NOUN PUNCT _,MQ,2
187,ADP PROPN PROPN,UT,2
658,NOUN PUNCT DET,RN,2
945,VERB ADV ADP,W,2
716,NOUN PUNCT _,TV,2
192,ADP VERB ADP,R,2
161,ADP NOUN PUNCT,MY,2
567,NOUN ADP VERB,MD,2
4,ADJ ADP DET,FJ,2
937,VERB ADV ADP,AGV,2
164,ADP NOUN PUNCT,RT,2
785,PROPN DET PROPN,MP,2
203,ADP VERB VERB,R,2
559,NOUN ADP PROPN,RP,2
650,NOUN PUNCT CCONJ,UN,2
557,NOUN ADP PROPN,MP,2
555,NOUN ADP PROPN,MA,2
542,NOUN ADP PRON,MP,2
543,NOUN ADP PRON,MQ,2
240,ADV ADP PRON,MV,2
984,VERB DET DET,R,2
889,VERB ADP DET,RT,2
148,ADP NOUN NOUN,R,2
265,ADV NOUN VERB,RC,2
133,ADP NOUN ADP,ID,2
660,NOUN PUNCT DET,S,2
795,PROPN PUNCT ADP,UN,2
982,VERB DET DET,FV,2
700,NOUN PUNCT _,DJ,2
271,ADV PRON VERB,MC,2
884,VERB ADP DET,M,2
978,VERB DET ADV,TV,2
275,ADV PRON VERB,RC,2
276,ADV PRON VERB,RP,2
882,VERB ADP DET,ID,2
279,ADV PRON VERB,U,2
123,ADP DET PRON,MC,2
122,ADP DET NUM,U,2
282,ADV PUNCT ADP,R,2
1063,VERB PUNCT _,DJ,2
879,VERB ADP DET,AS,2
136,ADP NOUN ADP,RP,2
264,ADV NOUN VERB,R,2
442,DET NUM PUNCT,RP,2
244,ADV ADP PRON,UY,2
793,PROPN PROPN PUNCT,UN,2
794,PROPN PUNCT ADP,MD,2
537,NOUN ADP PRON,DJ,2
146,ADP NOUN DET,UT,2
901,VERB ADP NOUN,MC,2
443,DET PRON VERB,RA,2
975,VERB DET ADP,TV,2
903,VERB ADP NOUN,MP,2
904,VERB ADP NOUN,MV,2
976,VERB DET ADV,MA,2
892,VERB ADP DET,SX,2
259,ADV NOUN ADP,DJ,2
260,ADV NOUN ADP,RD,2
249,ADV ADV PRON,MP,2
667,NOUN PUNCT PART,R,1
662,NOUN PUNCT NOUN,CN,1
661,NOUN PUNCT DET,UN,1
764,PRON PRON DET,R,1
666,NOUN PUNCT PART,DJ,1
771,PROPN ADP DET,MT,1
776,PROPN ADP PRON,MT,1
772,PROPN ADP DET,RP,1
767,PRON PRON VERB,UA,1
777,PROPN ADP PRON,S,1
774,PROPN ADP NOUN,S,1
775,PROPN ADP NUM,MP,1
770,PROPN ADP ADP,RP,1
665,NOUN PUNCT NOUN,UP,1
664,NOUN PUNCT NOUN,RN,1
768,PRON PRON VERB,W,1
769,PROPN ADJ CCONJ,MP,1
763,PRON PRON CCONJ,MT,1
695,NOUN PUNCT VERB,RN,1
762,PRON PRON ADV,MT,1
675,NOUN PUNCT PRON,MT,1
740,PART ADJ PART,SX,1
739,NUM PUNCT NUM,MT,1
738,NUM PUNCT ADV,MT,1
737,NUM PUNCT ADP,M,1
736,NUM PROPN PUNCT,MT,1
699,NOUN PUNCT _,CN,1
701,NOUN PUNCT _,DN,1
734,NUM NOUN PUNCT,MN,1
703,NOUN PUNCT _,FV,1
733,NUM NOUN PUNCT,M,1
704,NOUN PUNCT _,IJ,1
732,NUM NOUN PRON,MD,1
705,NOUN PUNCT _,M,1
730,NUM NOUN NOUN,FJ,1
779,PROPN ADP PUNCT,MT,1
729,NUM NOUN CCONJ,MT,1
727,NUM NOUN ADV,MC,1
726,NUM NOUN ADP,W,1
725,NUM NOUN ADP,RD,1
724,NUM NOUN ADP,R,1
723,NUM NOUN ADP,MT,1
722,NUM NOUN ADP,MP,1
721,NUM NOUN ADJ,RP,1
720,NUM NOUN ADJ,MP,1
719,NUM NOUN ADJ,IJ,1
718,NUM ADP NOUN,AGN,1
709,NOUN PUNCT _,MP,1
741,PART DET NOUN,RY,1
743,PART PRON ADP,R,1
696,NOUN PUNCT VERB,UN,1
688,NOUN PUNCT PUNCT,RP,1
676,NOUN PUNCT PRON,MV,1
759,PRON DET DET,MT,1
758,PRON CCONJ VERB,UA,1
757,PRON CCONJ VERB,MV,1
677,NOUN PUNCT PRON,R,1
680,NOUN PUNCT PRON,RV,1
681,NOUN PUNCT PRON,RY,1
756,PRON AUX VERB,MY,1
684,NOUN PUNCT PUNCT,CN,1
685,NOUN PUNCT PUNCT,DN,1
755,PRON AUX VERB,MP,1
686,NOUN PUNCT PUNCT,FN,1
754,PRON AUX PART,U,1
744,PART PRON ADV,W,1
753,PRON AUX NOUN,TV,1
752,PRON AUX ADV,M,1
751,PRON ADV PRON,IV,1
750,PRON ADP VERB,S,1
691,NOUN PUNCT VERB,FV,1
692,NOUN PUNCT VERB,MC,1
749,PRON ADP NOUN,UA,1
748,PRON ADP NOUN,U,1
693,NOUN PUNCT VERB,MD,1
694,NOUN PUNCT VERB,R,1
746,PRON ADJ PUNCT,UA,1
745,PART PRON NOUN,MA,1
778,PROPN ADP PROPN,RP,1
0,ADJ ADJ PUNCT,DY,1
780,PROPN ADP VERB,S,1
1014,VERB DET VERB,U,1
971,VERB DET ADJ,W,1
973,VERB DET ADP,MT,1
974,VERB DET ADP,RV,1
977,VERB DET ADV,MY,1
979,VERB DET CCONJ,W,1
980,VERB DET DET,AGV,1
981,VERB DET DET,DJ,1
983,VERB DET DET,MP,1
985,VERB DET DET,RV,1
987,VERB DET DET,W,1
991,VERB DET NOUN,ID,1
992,VERB DET NOUN,IV,1
1002,VERB DET NOUN,UV,1
1004,VERB DET PRON,SX,1
1005,VERB DET PROPN,FV,1
1006,VERB DET PROPN,MA,1
1007,VERB DET PUNCT,MV,1
1008,VERB DET SYM,TV,1
1009,VERB DET VERB,M,1
1010,VERB DET VERB,MA,1
1012,VERB DET VERB,S,1
969,VERB DET ADJ,U,1
967,VERB DET ADJ,S,1
965,VERB DET ADJ,R,1
946,VERB ADV PUNCT,FV,1
934,VERB ADP PUNCT,RV,1
935,VERB ADP VERB,RV,1
936,VERB ADP VERB,S,1
938,VERB ADV ADP,AS,1
939,VERB ADV ADP,FV,1
940,VERB ADV ADP,M,1
941,VERB ADV ADP,MV,1
942,VERB ADV ADP,R,1
944,VERB ADV ADP,TV,1
947,VERB ADV PUNCT,MV,1
964,VERB DET ADJ,MY,1
948,VERB ADV PUNCT,MY,1
949,VERB ADV PUNCT,R,1
950,VERB ADV PUNCT,S,1
952,VERB ADV PUNCT,UV,1
953,VERB ADV PUNCT,X,1
957,VERB DET ADJ,IV,1
958,VERB DET ADJ,M,1
960,VERB DET ADJ,MC,1
962,VERB DET ADJ,MT,1
1013,VERB DET VERB,TV,1
1015,VERB PART DET,AGV,1
932,VERB ADP PUNCT,MA,1
1016,VERB PART DET,FV,1
1048,VERB PUNCT PRON,MP,1
1049,VERB PUNCT PRON,MV,1
1050,VERB PUNCT PRON,S,1
1052,VERB PUNCT PROPN,RJ,1
1053,VERB PUNCT PROPN,TV,1
1054,VERB PUNCT PUNCT,DN,1
1055,VERB PUNCT PUNCT,FV,1
1056,VERB PUNCT PUNCT,MP,1
1057,VERB PUNCT PUNCT,SX,1
1058,VERB PUNCT VERB,AGV,1
1059,VERB PUNCT VERB,DY,1
1061,VERB PUNCT VERB,TV,1
1064,VERB PUNCT _,DN,1
1065,VERB PUNCT _,FV,1
1066,VERB PUNCT _,MA,1
1067,VERB PUNCT _,RJ,1
1069,VERB PUNCT _,S,1
1071,X NOUN DET,UP,1
1072,X PUNCT CCONJ,S,1
1073,X VERB ADV,MP,1
1074,X VERB VERB,MP,1
1047,VERB PUNCT PRON,IV,1
1045,VERB PUNCT PRON,DN,1
1044,VERB PUNCT PRON,DJ,1
1027,VERB PUNCT ADV,SX,1
1017,VERB PART DET,RV,1
1018,VERB PART DET,TV,1
1019,VERB PUNCT ADJ,TV,1
1020,VERB PUNCT ADP,MA,1
1021,VERB PUNCT ADP,MV,1
1022,VERB PUNCT ADP,RT,1
1024,VERB PUNCT ADV,DJ,1
1025,VERB PUNCT ADV,FV,1
1026,VERB PUNCT ADV,MA,1
1029,VERB PUNCT ADV,W,1
1043,VERB PUNCT PART,RV,1
1030,VERB PUNCT CCONJ,AGV,1
1031,VERB PUNCT CCONJ,FV,1
1033,VERB PUNCT CCONJ,SX,1
1035,VERB PUNCT DET,FV,1
1037,VERB PUNCT INTJ,MV,1
1038,VERB PUNCT INTJ,TV,1
1039,VERB PUNCT NOUN,MD,1
1041,VERB PUNCT NOUN,SX,1
1042,VERB PUNCT PART,AGV,1
933,VERB ADP PUNCT,MV,1
931,VERB ADP PROPN,UV,1
781,PROPN DET DET,S,1
845,PUNCT NOUN PUNCT,FV,1
818,PROPN PUNCT _,UN,1
819,PUNCT ADJ PUNCT,MY,1
820,PUNCT ADP NOUN,MP,1
821,PUNCT ADP NOUN,R,1
823,PUNCT ADP PRON,M,1
824,PUNCT ADP PRON,MC,1
826,PUNCT ADV ADP,M,1
827,PUNCT ADV ADP,MV,1
828,PUNCT ADV ADV,MV,1
829,PUNCT ADV ADV,R,1
830,PUNCT ADV ADV,RP,1
831,PUNCT ADV PRON,M,1
833,PUNCT ADV PRON,MJ,1
835,PUNCT DET NOUN,M,1
836,PUNCT DET NOUN,MN,1
837,PUNCT DET NOUN,MT,1
838,PUNCT DET NOUN,UC,1
839,PUNCT DET NOUN,UD,1
840,PUNCT DET PUNCT,MA,1
841,PUNCT DET PUNCT,MT,1
843,PUNCT DET VERB,RP,1
817,PROPN PUNCT _,S,1
816,PROPN PUNCT _,MT,1
815,PROPN PUNCT _,MP,1
801,PROPN PUNCT DET,RP,1
783,PROPN DET NOUN,S,1
784,PROPN DET NUM,RP,1
786,PROPN DET PROPN,S,1
787,PROPN DET VERB,RP,1
790,PROPN PROPN PUNCT,MV,1
792,PROPN PROPN PUNCT,SX,1
796,PROPN PUNCT ADV,MT,1
798,PROPN PUNCT CCONJ,MD,1
800,PROPN PUNCT DET,MP,1
803,PROPN PUNCT INTJ,RP,1
814,PROPN PUNCT _,MC,1
804,PROPN PUNCT NOUN,SX,1
805,PROPN PUNCT PRON,DY,1
807,PROPN PUNCT PRON,UN,1
808,PROPN PUNCT PROPN,S,1
809,PROPN PUNCT PUNCT,AGN,1
810,PROPN PUNCT PUNCT,RP,1
811,PROPN PUNCT VERB,MP,1
812,PROPN PUNCT VERB,RP,1
813,PROPN PUNCT VERB,S,1
844,PUNCT NOUN PART,UP,1
846,PUNCT NOUN PUNCT,MD,1
930,VERB ADP PROPN,TV,1
848,PUNCT NOUN PUNCT,UP,1
887,VERB ADP DET,MV,1
894,VERB ADP DET,U,1
895,VERB ADP DET,UJ,1
896,VERB ADP DET,UT,1
899,VERB ADP NOUN,IV,1
902,VERB ADP NOUN,MD,1
906,VERB ADP NOUN,RP,1
907,VERB ADP NOUN,RT,1
910,VERB ADP NOUN,W,1
911,VERB ADP NUM,DJ,1
914,VERB ADP PRON,AS,1
916,VERB ADP PRON,IV,1
917,VERB ADP PRON,M,1
918,VERB ADP PRON,MA,1
919,VERB ADP PRON,MP,1
921,VERB ADP PRON,MV,1
922,VERB ADP PRON,R,1
924,VERB ADP PRON,S,1
926,VERB ADP PRON,UV,1
927,VERB ADP PRON,W,1
929,VERB ADP PROPN,MA,1
883,VERB ADP DET,IV,1
880,VERB ADP DET,DJ,1
877,VERB ADP DET,AGN,1
859,PUNCT X PUNCT,MN,1
849,PUNCT PRON ADV,MY,1
850,PUNCT PRON PUNCT,MA,1
851,PUNCT PROPN PUNCT,R,1
853,PUNCT VERB ADP,DJ,1
854,PUNCT VERB ADP,MT,1
855,PUNCT VERB DET,RP,1
856,PUNCT VERB NOUN,MY,1
857,PUNCT VERB PUNCT,M,1
858,PUNCT VERB VERB,MN,1
861,PUNCT _ _,MA,1
876,VERB ADP CCONJ,TV,1
863,PUNCT _ _,MT,1
865,SYM NUM ADV,MT,1
866,VERB ADP ADJ,DJ,1
869,VERB ADP ADJ,S,1
870,VERB ADP ADP,MA,1
871,VERB ADP ADP,RV,1
872,VERB ADP ADV,MP,1
873,VERB ADP ADV,RN,1
875,VERB ADP CCONJ,FV,1
657,NOUN PUNCT DET,MN,1
538,NOUN ADP PRON,DN,1
655,NOUN PUNCT DET,M,1
220,ADV ADJ PUNCT,UY,1
191,ADP VERB ADP,MY,1
193,ADP VERB ADP,UT,1
194,ADP VERB ADP,W,1
195,ADP VERB ADV,R,1
196,ADP VERB DET,MP,1
197,ADP VERB DET,R,1
198,ADP VERB DET,UT,1
200,ADP VERB PART,UT,1
201,ADP VERB PUNCT,UT,1
202,ADP VERB VERB,MQ,1
204,ADP VERB VERB,UT,1
205,ADP _ _,SX,1
206,ADV ADJ ADV,RY,1
207,ADV ADJ CCONJ,RJ,1
208,ADV ADJ DET,W,1
209,ADV ADJ PART,RY,1
210,ADV ADJ PART,UP,1
211,ADV ADJ PART,W,1
212,ADV ADJ PRON,MD,1
213,ADV ADJ PRON,MY,1
214,ADV ADJ PRON,U,1
215,ADV ADJ PRON,UY,1
217,ADV ADJ PUNCT,MP,1
190,ADP VERB ADJ,MC,1
189,ADP PUNCT ADP,UT,1
186,ADP PROPN PROPN,MN,1
169,ADP NOUN VERB,M,1
153,ADP NOUN PRON,RT,1
154,ADP NOUN PRON,U,1
155,ADP NOUN PRON,UT,1
156,ADP NOUN PUNCT,AGD,1
157,ADP NOUN PUNCT,M,1
160,ADP NOUN PUNCT,MT,1
163,ADP NOUN PUNCT,RD,1
165,ADP NOUN PUNCT,RY,1
166,ADP NOUN PUNCT,S,1
167,ADP NOUN PUNCT,SX,1
170,ADP NOUN VERB,MV,1
185,ADP PROPN PRON,W,1
171,ADP NOUN VERB,R,1
173,ADP NOUN X,UT,1
175,ADP NUM NOUN,SX,1
177,ADP NUM PUNCT,M,1
178,ADP NUM PUNCT,UT,1
180,ADP PROPN ADP,R,1
181,ADP PROPN ADP,RT,1
182,ADP PROPN ADP,UT,1
183,ADP PROPN CCONJ,MY,1
184,ADP PROPN CCONJ,UT,1
219,ADV ADJ PUNCT,RJ,1
222,ADV ADP ADP,UY,1
654,NOUN PUNCT DET,L,1
223,ADV ADP ADV,W,1
262,ADV NOUN PRON,RP,1
263,ADV NOUN VERB,MA,1
266,ADV NOUN VERB,RJ,1
267,ADV NOUN _,DJ,1
268,ADV PRON PART,U,1
269,ADV PRON PUNCT,R,1
273,ADV PRON VERB,MT,1
277,ADV PRON VERB,RY,1
278,ADV PRON VERB,S,1
280,ADV PRON VERB,UY,1
283,ADV PUNCT ADV,DJ,1
284,ADV PUNCT ADV,IV,1
285,ADV PUNCT ADV,MJ,1
286,ADV PUNCT ADV,R,1
287,ADV PUNCT ADV,RY,1
289,ADV PUNCT CCONJ,UY,1
293,ADV PUNCT NOUN,UN,1
294,ADV PUNCT PART,UC,1
295,ADV PUNCT PRON,DJ,1
296,ADV PUNCT PRON,FY,1
297,ADV PUNCT PRON,MC,1
298,ADV PUNCT PRON,MN,1
300,ADV PUNCT PRON,MY,1
261,ADV NOUN ADP,RJ,1
258,ADV DET NOUN,UJ,1
257,ADV DET NOUN,RP,1
239,ADV ADP NOUN,W,1
224,ADV ADP DET,AS,1
225,ADV ADP DET,DJ,1
226,ADV ADP DET,ID,1
229,ADV ADP DET,RT,1
230,ADV ADP DET,RY,1
234,ADV ADP NOUN,M,1
235,ADV ADP NOUN,MV,1
236,ADV ADP NOUN,MY,1
237,ADV ADP NOUN,RA,1
238,ADV ADP NOUN,SX,1
241,ADV ADP PRON,MY,1
254,ADV DET NOUN,MT,1
242,ADV ADP PRON,RJ,1
243,ADV ADP PRON,RP,1
245,ADV ADP PRON,W,1
246,ADV ADP PROPN,MV,1
247,ADV ADP PROPN,U,1
248,ADV ADP SYM,W,1
250,ADV ADV PRON,RC,1
251,ADV DET ADP,IV,1
252,ADV DET DET,W,1
253,ADV DET NOUN,MP,1
151,ADP NOUN PART,UT,1
150,ADP NOUN PART,U,1
147,ADP NOUN DET,W,1
145,ADP NOUN DET,R,1
32,ADJ PUNCT NOUN,FJ,1
33,ADJ PUNCT NOUN,MD,1
34,ADJ PUNCT PRON,DY,1
35,ADJ PUNCT PRON,RJ,1
36,ADJ PUNCT PRON,RN,1
37,ADJ PUNCT PRON,S,1
38,ADJ PUNCT PRON,SX,1
