,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,zhs,en,nlt,result
10,DY,False,Spelling error,"Furthermore, when you look around the supermarket, you can't | easily find the goods which you want to buy. It's very confusing without the right signs. Sometimes you get lost in the supermarket. ",ADV VERB DET,"Furthermore, when you look around the supermarket, you can't | easyly find the goods which you want to buy. It's very confusing without the right signs. Sometimes you get lost in the supermarket. ",ADV VERB DET,12,20.24224463369152,19.40997532251712,True,False
11,DY,False,Spelling error,"Also with weekend shopping . You , you can't find somewhere to sit down | comfortably to have a cup of tea. Mc.Donnals, K.F.C, are all full of people. ",ADV PART VERB,"Also with weekend shopping . You , you can't find somewhere to sit down | comfortaly to have a cup of tea. Mc.Donnals, K.F.C, are all full of people. ",NOUN PART VERB,15,21.164845063894624,20.018382057826916,True,False
12,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I had been really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and | carefully, and I climbed about 15 metres quite successfully, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but luckily my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",ADV PUNCT CCONJ,"On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I had been really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and | careful, and I climbed about 15 metres quite successfully, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but luckily my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",ADJ PUNCT CCONJ,65,19.63909093306668,20.825945815275574,False,False
13,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I had been really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and carefully, and I climbed about 15 metres quite | successfully, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but luckily my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",ADV PUNCT ADV,"On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I had been really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and carefully, and I climbed about 15 metres quite | success, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but luckily my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",NOUN PUNCT ADV,74,22.089231032563504,21.80026457410461,True,True
14,DY,False,Spelling error,"On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I had been really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and carefully, and I climbed about 15 metres quite successfully, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but | luckily my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",ADV DET NOUN,"On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I had been really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and carefully, and I climbed about 15 metres quite successfully, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but | luckly my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",ADV DET NOUN,109,18.05246523895071,19.593406958213144,False,True
15,DY,False,Spelling error,"In fact, some of my classmates have seen an advertisement for the 'London Fashion and Leisure Show'. | Coincidentally the show is in London and on Tuesday March 14, which is during the period we are in London for the three-day programme. We think it is a great opportunity because we are very interested in art and fashion. Of course, we are interested in leisure as well. Therefore, if it is possible, we would like to see the show in the afternoon on 14 March instead of going shopping. ",ADV DET NOUN,"In fact, some of my classmates have seen an advertisement for the 'London Fashion and Leisure Show'. | Concidently the show is in London and on Tuesday March 14, which is during the period we are in London for the three-day programme. We think it is a great opportunity because we are very interested in art and fashion. Of course, we are interested in leisure as well. Therefore, if it is possible, we would like to see the show in the afternoon on 14 March instead of going shopping. ",ADV DET NOUN,21,18.05246523895071,19.593406958213144,False,True
16,DY,False,General grammar rules confusion,| faithfully,ADV _ _,| faithful,ADJ _ _,0,18.99304438917831,20.09069183825385,False,True
17,DY,False,,Yours | sincerely,ADV _ _,Yours | sincerly,ADV _ _,1,19.6908971878722,19.0776195434848,True,False
18,DY,False,Spelling error,I hope your questions have been answered | appropriately.,ADV PUNCT _,I hope your questions have been answered | appropriatly.,ADV PUNCT _,7,20.336943731760567,19.81287352050652,True,False
19,DY,False,Spelling error,"Nowadays, our lives are becoming better and better. Lots of great inventions have been invented in order to help people live | comfortably. If you ask me which is the greatest invention of all, I will say that it is the television. ",ADV PUNCT ADP,"Nowadays, our lives are becoming better and better. Lots of great inventions have been invented in order to help people live | comfortablely. If you ask me which is the greatest invention of all, I will say that it is the television. ",ADV PUNCT ADP,23,20.336943731760567,19.81287352050652,True,False
20,MV,True,Chinese conventions conflict with English        ,"Of course there're also some aspects in which computer technology needs to be improved. For example, reading on the screen is still not as comfortable as | reading on paper. A very important and severe problem is reliability and security. So far, it is still somehow not safe enough to completely rely on computers. ",VERB ADP NOUN,"Of course there're also some aspects in which computer technology needs to be improved. For example, reading on the screen is still not as comfortable as | on paper. A very important and severe problem is reliability and security. So far, it is still somehow not safe enough to completely rely on computers. ",ADP NOUN PUNCT,29,20.496555674776975,21.667797109695396,False,False
21,MV,True,Chinese conventions conflict with English	,"Firstly, I would like to tell you , that the group has been booked into the Palace Hotel, which is located beside the congress house in the centre. You can make contact with Mrs Brackenbury using the number 06 8793888. Secondly, the best way | to get from the hotel to the conference is to take the bus, which has been specially organized by us. The bus leaves at 8:00 every morning and gets back to the hotel at 6 o'clock in the evening. Of course there's also a number 8 bus, in front of the hotel, which is also suitable, but it leaves only every half an hour. ",PART VERB ADP,"Firstly, I would like to tell you , that the group has been booked into the Palace Hotel, which is located beside the congress house in the centre. You can make contact with Mrs Brackenbury using the number 06 8793888. Secondly, the best way | from the hotel to the conference is to take the bus, which has been specially organized by us. The bus leaves at 8:00 every morning and gets back to the hotel at 6 o'clock in the evening. Of course there's also a number 8 bus, in front of the hotel, which is also suitable, but it leaves only every half an hour. ",ADP DET NOUN,49,17.669923056622793,21.151463783970406,False,False
22,MV,True,Chinese conventions conflict with English	,"At the end of the conference, we will have a party. The party is to let all the students | to get to know each other better. The party will be in the dance hall next to the conference room. I would suggest they wear formal clothing, such as tie, trousers and blazer. ",PART VERB PART,"At the end of the conference, we will have a party. The party is to let all the students | to know each other better. The party will be in the dance hall next to the conference room. I would suggest they wear formal clothing, such as tie, trousers and blazer. ",PART VERB DET,21,20.52799184048125,19.318617096405898,True,True
23,MV,True,Chinese conventions conflict with English	,"Finally, about the three free hours, my personal preference | is to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It | is worth spending time and money on that. ",VERB PART VERB,"Finally, about the three free hours, my personal preference | to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It | worth spending time and money on that. ",PART VERB NOUN,11,20.52799184048125,19.318617096405898,True,True
24,MV,True,Chinese conventions conflict with English	,"Finally, about the three free hours, my personal preference | is to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It | is worth spending time and money on that. ",VERB PART VERB,"Finally, about the three free hours, my personal preference | to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It | worth spending time and money on that. ",PART VERB NOUN,11,20.52799184048125,19.318617096405898,True,True
25,MV,True,Chinese conventions conflict with English	,"Secondly, if you live in a big city, things | are always expensive. You spend more money on buying clothes and food, you think you will be very happy when you shop , but , when you come back home and take out your purse, you will be sad , your . Your purse is nearly empty , (when you don't have enough money .) ). ",VERB ADV ADJ,"Secondly, if you live in a big city, things | always expensive. You spend more money on buying clothes and food, you think you will be very happy when you shop , but , when you come back home and take out your purse, you will be sad , your . Your purse is nearly empty , (when you don't have enough money .) ). ",ADV ADJ PUNCT,11,18.428957757608064,19.135421525109095,False,False
26,MV,True,Chinese conventions conflict with English	,"Another thing is when you shop on a busy street, like Oxford St in London . , a lot of thieves | are there , they . They will steal your money , that's . That's so dangerous. ",VERB ADV PUNCT,"Another thing is when you shop on a busy street, like Oxford St in London . , a lot of thieves | there , they . They will steal your money , that's . That's so dangerous. ",ADV PUNCT PRON,22,20.336943731760567,19.81287352050652,True,True
27,MV,True,Chinese conventions conflict with English	,"Secondly, if you live in a big city, things are always expensive. You spend more money on buying clothes and food, you think you will | be very happy when you shop , but , when you come back home and take out your purse, you will be sad , your . Your purse is nearly empty , (when you don't have enough money .) ). ",VERB ADV ADJ,"Secondly, if you live in a big city, things are always expensive. You spend more money on buying clothes and food, you think you will | very happy when you shop , but , when you come back home and take out your purse, you will be sad , your . Your purse is nearly empty , (when you don't have enough money .) ). ",ADV ADJ ADV,29,18.428957757608064,19.135421525109095,False,False
28,MV,True,Chinese conventions conflict with English	,"Secondly, if you live in a big city, things are always expensive. You spend more money on buying clothes and food, you think you will be very happy when you shop , but , when you come back home and take out your purse, you will be sad , your . Your purse | is nearly empty , (when you don't have enough money .) ). ",VERB ADV ADJ,"Secondly, if you live in a big city, things are always expensive. You spend more money on buying clothes and food, you think you will be very happy when you shop , but , when you come back home and take out your purse, you will be sad , your . Your purse | nearly empty , (when you don't have enough money .) ). ",ADV ADJ PUNCT,58,18.428957757608064,19.135421525109095,False,False
29,MV,True,Chinese conventions conflict with English	,"Firstly, I am a student , . I don't have a job, so, I have to ask for money from my parents. I can't ask for too much. That's very bad for my parents. When I go shopping . , I always feel ashamed because I spend my parents' money. (Although I have got a part-time job, it | provides just enough to pay my rent.) ",VERB ADV ADV,"Firstly, I am a student , . I don't have a job, so, I have to ask for money from my parents. I can't ask for too much. That's very bad for my parents. When I go shopping . , I always feel ashamed because I spend my parents' money. (Although I have got a part-time job, it | just enough to pay my rent.) ",ADV ADV PART,73,19.126810556301955,18.12234923034004,True,True
30,MV,True,Chinese conventions conflict with English	,"When I am at Camp, I will choose singing and photography. I can sing classical music and pop music, seem like rock &amp; roll. Maybe TITANIC. My mum likes me singing this song. And I can also take very good photographs, because I learned | to do this in China two years ago. ",PART VERB DET,"When I am at Camp, I will choose singing and photography. I can sing classical music and pop music, seem like rock &amp; roll. Maybe TITANIC. My mum likes me singing this song. And I can also take very good photographs, because I learned | this in China two years ago. ",DET ADP PROPN,53,17.669923056622793,21.151463783970406,False,False
31,MV,True,Chinese conventions conflict with English	,"Thirdly, there were no discounts available but it was printed on the poster . If there were are no discounts, don't write it on the poster. I got confused and | was disappointed again. ",VERB ADJ ADV,"Thirdly, there were no discounts available but it was printed on the poster . If there were are no discounts, don't write it on the poster. I got confused and | disappointed again. ",ADJ ADV PUNCT,34,18.428957757608064,19.135421525109095,False,False
32,MV,True,Chinese does not have auxiliary verbs,"Shopping is not always enjoyable. I don't really like shopping. Sometimes when I'm bored and can't find something else to do . , I go look round the shops. When I see some clothes in the window I like, I go in and try them on. But I always find they | do not look nice on me. The other thing I don't like going shopping is at the weekend. All the shops are full of people, and people treat the items like rubbish . Hanging , hanging them everywhere after they have tried them on and found that they did not suit them. ",VERB ADV VERB,"Shopping is not always enjoyable. I don't really like shopping. Sometimes when I'm bored and can't find something else to do . , I go look round the shops. When I see some clothes in the window I like, I go in and try them on. But I always find they | not look nice on me. The other thing I don't like going shopping is at the weekend. All the shops are full of people, and people treat the items like rubbish . Hanging , hanging them everywhere after they have tried them on and found that they did not suit them. ",ADV VERB ADJ,59,20.24224463369152,19.40997532251712,True,True
33,MV,True,Chinese conventions conflict with English	,"Shopping is not always enjoyable. I don't really like shopping. Sometimes when I'm bored and can't find something else to do . , I go look round the shops. When I see some clothes in the window I like, I go in and try them on. But I always find they do not look nice on me. The other thing I don't like going shopping is at the weekend. All the shops are full of people, and people treat the items like rubbish . Hanging , hanging them everywhere after they have tried them on and | found that they did not suit them. ",VERB ADP PRON,"Shopping is not always enjoyable. I don't really like shopping. Sometimes when I'm bored and can't find something else to do . , I go look round the shops. When I see some clothes in the window I like, I go in and try them on. But I always find they do not look nice on me. The other thing I don't like going shopping is at the weekend. All the shops are full of people, and people treat the items like rubbish . Hanging , hanging them everywhere after they have tried them on and | that they did not suit them. ",ADP PRON VERB,108,17.51968925394131,19.403587083678367,False,False
34,MV,True,Chinese conventions conflict with English	,"In addition, I choose painting and sailing for my activities. I can't wait to do my painting of the rising sun, and can't imagine how wonderful sailing along the rivers | will be. ",VERB VERB PUNCT,"In addition, I choose painting and sailing for my activities. I can't wait to do my painting of the rising sun, and can't imagine how wonderful sailing along the rivers | . ",PUNCT _ _,35,20.901030363330808,20.768143833651273,True,True
35,MV,False,Missing word is important to the sentence,"You can imagine how disappointed I was, spending money on such a terrible evening. I would like you to look into the matter immediately and I insist on | getting some money back. I look forward to receiving a satisfactory reply as soon as possible. ",VERB DET NOUN,"You can imagine how disappointed I was, spending money on such a terrible evening. I would like you to look into the matter immediately and I insist on | some money back. I look forward to receiving a satisfactory reply as soon as possible. ",DET NOUN ADV,30,19.804752539753643,21.580798011811236,False,True
36,MV,True,Chinese conventions conflict with English	,"Everyone likes sales, but those so-called sale items are not really good value. In the fashion industry, sales begin at the end of each season and just last a short time, because those retailers want to make room for new stock. But you'll find your 'cool bargain' soon gets out of date and you have to keep buying new ones. Also supermarket owners have invested a vast amount of money to find out the best way to place goods in order to get the most profit. Therefore, we become impulsive buyers easily under the influence of these tricks. The result , | is we feel guilty after spending more than we expected, or even suffer from financial difficulty. ",VERB PRON VERB,"Everyone likes sales, but those so-called sale items are not really good value. In the fashion industry, sales begin at the end of each season and just last a short time, because those retailers want to make room for new stock. But you'll find your 'cool bargain' soon gets out of date and you have to keep buying new ones. Also supermarket owners have invested a vast amount of money to find out the best way to place goods in order to get the most profit. Therefore, we become impulsive buyers easily under the influence of these tricks. The result , | we feel guilty after spending more than we expected, or even suffer from financial difficulty. ",PRON VERB ADJ,115,19.017665513658788,19.133156350098183,False,False
37,MV,False,Missing word is important to the sentence,"As you said, all accommodation and travel costs are paid , but I am sure I still need | to take some money with me. How much do you think that I will need . ? By the way, what kinds of clothes do you think I have to take with me? And is there anything else I have to take with me? ",PART VERB DET,"As you said, all accommodation and travel costs are paid , but I am sure I still need | some money with me. How much do you think that I will need . ? By the way, what kinds of clothes do you think I have to take with me? And is there anything else I have to take with me? ",DET NOUN ADP,19,19.804752539753643,21.580798011811236,False,True
38,MV,True,Chinese does not have auxiliary verbs,"Concerning the activities that you have listed . Some , some of them I | am really interested in , especially painting. Since I was young, my dad has always taken me to life drawing, so now it has become one of my hobbies. And I think , it will be nice to draw beautiful landscapes of the place. Beside drawing, swimming is my favourite as well. When I was in high school, I joined the swimming club. And I also participated in a few swimming competitions. Although I'm not the best, I have a lot of confidence at it. ",VERB ADV ADJ,"Concerning the activities that you have listed . Some , some of them I | really interested in , especially painting. Since I was young, my dad has always taken me to life drawing, so now it has become one of my hobbies. And I think , it will be nice to draw beautiful landscapes of the place. Beside drawing, swimming is my favourite as well. When I was in high school, I joined the swimming club. And I also participated in a few swimming competitions. Although I'm not the best, I have a lot of confidence at it. ",ADV ADJ ADP,14,18.428957757608064,19.135421525109095,False,False
39,MV,False,Incorrect/incomplete expression used,"Frankly, I like to shop. Of course not because of buying things . I like to go window shopping that is good to go around the shopping centre. It helps you | keep up to date . With what with what fashion is in now. ",VERB PART ADP,"Frankly, I like to shop. Of course not because of buying things . I like to go window shopping that is good to go around the shopping centre. It helps you | up to date . With what with what fashion is in now. ",PART ADP NOUN,34,19.030015580763774,19.58904782998608,False,True
40,MV,True,Chinese conventions conflict with English	,"Shopping, for most the people it is very important Shopping is very important for most people because you need to get the stuff you need or you want. For some people it may be a way to relax , after you have been to work or school. So it is a thing you will enjoy most of the time, but still have something you will not enjoy it . It depends on what is the place and the aim you are shopping . For example, some people always shop to get food or stuff they need in everyday life , they . They won't enjoy this kind of shopping, because it is not getting what they want. The place where you are shopping | is also very important. For example, in HK all the areas have lots of people it won't let you feel good of the noise and times when you are shopping . Because , because there are too many people it makes you want to stay home and you won't enjoy shopping. ",VERB ADV ADV,"Shopping, for most the people it is very important Shopping is very important for most people because you need to get the stuff you need or you want. For some people it may be a way to relax , after you have been to work or school. So it is a thing you will enjoy most of the time, but still have something you will not enjoy it . It depends on what is the place and the aim you are shopping . For example, some people always shop to get food or stuff they need in everyday life , they . They won't enjoy this kind of shopping, because it is not getting what they want. The place where you are shopping | also very important. For example, in HK all the areas have lots of people it won't let you feel good of the noise and times when you are shopping . Because , because there are too many people it makes you want to stay home and you won't enjoy shopping. ",ADV ADV ADJ,131,19.126810556301955,18.12234923034004,True,True
41,MV,True,Chinese conventions conflict with English	,"Firstly, I'm very glad to hear from you. Thank you for organising the programme for our class , . I think you have thought a long time about how we should study during these three days. We have seen your programme, and like all of those , especially the Science Museum , it . It will | be good for us to increase our knowledge, and so on. ",VERB ADJ ADP,"Firstly, I'm very glad to hear from you. Thank you for organising the programme for our class , . I think you have thought a long time about how we should study during these three days. We have seen your programme, and like all of those , especially the Science Museum , it . It will | good for us to increase our knowledge, and so on. ",ADJ ADP PRON,61,18.04641557528015,20.693478350866357,False,False
42,MV,True,Chinese conventions conflict with English	,"All of us want to go to the show , the . The generation who are the same age as us all like make-up, become beautiful , and it's important that it will | be free for students and just be showed for one day. So, we don't want to miss this chance. ",VERB ADJ ADP,"All of us want to go to the show , the . The generation who are the same age as us all like make-up, become beautiful , and it's important that it will | free for students and just be showed for one day. So, we don't want to miss this chance. ",VERB ADP NOUN,37,19.859702451363606,20.968032148274386,False,False
43,MV,True,Chinese does not have auxiliary verbs,"Finally, we would like to get your permission to go , maybe . Maybe if it is possible that you | can change your programme, we can go to your college any time after Tuesday. We're sorry to cause you trouble. ",VERB VERB DET,"Finally, we would like to get your permission to go , maybe . Maybe if it is possible that you | change your programme, we can go to your college any time after Tuesday. We're sorry to cause you trouble. ",VERB DET NOUN,21,19.16789931634027,20.881033050390226,False,False
44,MV,False,Missing word is important to the sentence,"This story happened two years ago. That was a very hot summer , all the . All the people in our city liked to swim in the river , perhaps . Perhaps they didn't think it was interesting if they swam in the pool. Personally, I'd like to say I was good at swimming. Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old , . So I had acquired some skills and | learned how to protect myself from my Dad, if you had an accident . ",VERB ADV PART,"This story happened two years ago. That was a very hot summer , all the . All the people in our city liked to swim in the river , perhaps . Perhaps they didn't think it was interesting if they swam in the pool. Personally, I'd like to say I was good at swimming. Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old , . So I had acquired some skills and | how to protect myself from my Dad, if you had an accident . ",ADV PART VERB,98,19.41255776309169,18.030991004228824,True,False
45,MV,True,Chinese conventions conflict with English	,"One day, I passed by a river in accident , . I saw there were a lot of people playing in the river. Suddenly, I heard a cry of ""Help, help"" in the distance. In a while , lots of passed-by passersby crowded at the river-side riverside . To my surprise, nobody went in to save that boy who was shouting, but just stood there, like lots of "" champ "". I started thinking about it , after . After all, either had I never done this task before, or trained . I | was just 15 years old. Finally, I jumped into the river , . I really knew that was dangerous, but I didn't think about anything except ""justify"" this word . I also really hated those people who stood there all the time. ",VERB ADV NUM,"One day, I passed by a river in accident , . I saw there were a lot of people playing in the river. Suddenly, I heard a cry of ""Help, help"" in the distance. In a while , lots of passed-by passersby crowded at the river-side riverside . To my surprise, nobody went in to save that boy who was shouting, but just stood there, like lots of "" champ "". I started thinking about it , after . After all, either had I never done this task before, or trained . I | just 15 years old. Finally, I jumped into the river , . I really knew that was dangerous, but I didn't think about anything except ""justify"" this word . I also really hated those people who stood there all the time. ",ADV NUM NOUN,110,19.156692446804726,18.09482177200584,True,True
