,correct_trigram_poss,error_type,count
672,NOUN PUNCT VERB,UD,3
504,NOUN ADP NOUN,FN,3
10,ADJ ADP NOUN,MQ,3
364,DET ADJ NOUN,UT,3
681,NOUN PUNCT _,MN,3
15,ADJ ADP PRON,DJ,3
347,CCONJ PRON VERB,UN,3
663,NOUN PUNCT PUNCT,MP,3
397,DET NOUN ADV,R,3
299,ADV PUNCT _,MY,3
398,DET NOUN ADV,UT,3
401,DET NOUN CCONJ,R,3
490,NOUN ADP DET,CN,3
854,PROPN ADP PRON,RP,3
686,NOUN PUNCT _,S,3
1105,VERB PUNCT _,RV,3
405,DET NOUN CCONJ,UT,3
768,PART VERB PART,UT,3
307,ADV VERB ADP,W,3
41,ADJ NOUN PUNCT,MJ,3
433,DET NOUN PUNCT,RD,3
302,ADV PUNCT _,S,3
585,NOUN NOUN PUNCT,UT,3
1059,VERB PART VERB,RV,3
826,PRON VERB ADV,U,3
453,DET PROPN PUNCT,MD,3
831,PRON VERB DET,W,3
610,NOUN PUNCT ADV,AGN,3
634,NOUN PUNCT DET,RN,3
1050,VERB PART ADP,RV,3
1012,VERB DET DET,TV,3
131,ADP DET NUM,ID,3
621,NOUN PUNCT CCONJ,MP,3
593,NOUN PART VERB,UD,3
614,NOUN PUNCT ADV,RP,3
181,ADP PROPN ADP,MT,3
94,ADP ADP DET,RT,3
1025,VERB DET NOUN,SX,3
1024,VERB DET NOUN,S,3
906,PUNCT NOUN ADJ,MP,2
764,PART VERB DET,U,2
448,DET PRON VERB,RA,2
34,ADJ NOUN CCONJ,RP,2
771,PART VERB PRON,UT,2
404,DET NOUN CCONJ,UD,2
157,ADP NOUN VERB,RC,2
146,ADP NOUN CCONJ,SX,2
905,PUNCT DET VERB,UY,2
911,PUNCT PRON VERB,UY,2
928,VERB ADJ NOUN,R,2
111,ADP DET ADJ,R,2
606,NOUN PUNCT ADP,MP,2
522,NOUN ADP PROPN,FN,2
447,DET PRON VERB,R,2
929,VERB ADJ NOUN,RV,2
856,PROPN ADP PROPN,RP,2
399,DET NOUN CCONJ,MD,2
320,ADV VERB PUNCT,RY,2
807,PRON PRON VERB,R,2
304,ADV PUNCT _,U,2
317,ADV VERB PUNCT,DY,2
1101,VERB PUNCT _,AGV,2
301,ADV PUNCT _,RY,2
300,ADV PUNCT _,R,2
1028,VERB DET NOUN,W,2
623,NOUN PUNCT CCONJ,RP,2
851,PROPN ADP DET,RP,2
917,PUNCT PUNCT VERB,MP,2
532,NOUN ADV ADP,AGN,2
311,ADV VERB DET,AS,2
312,ADV VERB DET,MA,2
313,ADV VERB DET,MY,2
297,ADV PUNCT _,DY,2
139,ADP NOUN ADP,ID,2
659,NOUN PUNCT PRON,W,2
43,ADJ NOUN PUNCT,RN,2
914,PUNCT PUNCT ADP,UN,2
530,NOUN ADV ADJ,AGN,2
712,NOUN VERB VERB,U,2
1006,VERB DET ADP,FV,2
29,ADJ NOUN ADP,DJ,2
498,NOUN ADP DET,RP,2
8,ADJ ADP DET,SX,2
368,DET ADJ PUNCT,MD,2
129,ADP DET NOUN,UY,2
370,DET ADJ VERB,W,2
121,ADP DET NOUN,RT,2
709,NOUN VERB PUNCT,U,2
791,PRON ADV VERB,W,2
4,ADJ ADP DET,FJ,2
1045,VERB NOUN PUNCT,R,2
124,ADP DET NOUN,U,2
685,NOUN PUNCT _,RP,2
379,DET DET NOUN,RQ,2
865,PROPN PROPN CCONJ,UT,2
864,PROPN PART NOUN,W,2
793,PRON CCONJ PRON,MA,2
794,PRON DET DET,MA,2
674,NOUN PUNCT X,CN,2
860,PROPN DET VERB,RP,2
386,DET NOUN ADP,M,2
493,NOUN ADP DET,M,2
115,ADP DET NOUN,ID,2
505,NOUN ADP NOUN,ID,2
363,DET ADJ NOUN,RQ,2
830,PRON VERB DET,R,2
138,ADP DET VERB,SX,2
288,ADV PUNCT PRON,R,2
711,NOUN VERB VERB,R,2
1115,VERB VERB ADV,TV,2
889,PUNCT ADP NOUN,RP,2
512,NOUN ADP NOUN,UT,2
345,CCONJ PRON VERB,RC,2
346,CCONJ PRON VERB,SX,2
609,NOUN PUNCT ADP,UD,2
134,ADP DET PROPN,MT,2
885,PROPN VERB ADV,W,2
1119,VERB VERB DET,RV,2
510,NOUN ADP NOUN,S,2
354,CCONJ PUNCT PRON,MP,2
355,CCONJ VERB ADP,MC,2
883,PROPN PUNCT _,UT,2
667,NOUN PUNCT VERB,FN,2
787,PRON ADV ADP,MA,2
880,PROPN PUNCT _,RP,2
1113,VERB VERB ADV,MV,2
44,ADJ NOUN PUNCT,RP,2
186,ADP PROPN PUNCT,MT,2
66,ADJ PUNCT NOUN,MP,2
981,VERB ADV ADP,MV,2
219,ADV ADP NOUN,DY,2
423,DET NOUN PRON,RP,2
221,ADV ADP NOUN,R,2
422,DET NOUN PRON,R,2
842,PRON VERB PUNCT,R,2
1013,VERB DET DET,W,2
640,NOUN PUNCT NOUN,FN,2
641,NOUN PUNCT NOUN,MN,2
416,DET NOUN PART,R,2
571,NOUN DET VERB,RP,2
747,PART PUNCT VERB,MP,2
970,VERB ADP PROPN,FV,2
174,ADP PRON VERB,RC,2
823,PRON VERB ADP,RA,2
846,PRON VERB VERB,U,2
967,VERB ADP PRON,S,2
236,ADV ADV ADP,MY,2
798,PRON NOUN ADP,MA,2
172,ADP PRON VERB,M,2
982,VERB ADV ADP,RV,2
214,ADV ADP DET,RY,2
751,PART VERB ADP,ID,2
454,DET PUNCT ADP,MP,2
1073,VERB PUNCT ADP,TV,2
636,NOUN PUNCT DET,S,2
190,ADP PUNCT DET,MT,2
727,NUM NOUN PUNCT,RQ,2
83,ADJ PUNCT _,U,2
82,ADJ PUNCT _,S,2
80,ADJ PUNCT _,RJ,2
79,ADJ PUNCT _,IJ,2
196,ADP VERB DET,R,2
637,NOUN PUNCT DET,UD,2
840,PRON VERB PUNCT,M,2
1077,VERB PUNCT ADV,S,2
436,DET NOUN PUNCT,SX,2
72,ADJ PUNCT PRON,MP,2
180,ADP PRON VERB,UY,2
71,ADJ PUNCT PRON,DJ,2
825,PRON VERB ADV,R,2
437,DET NOUN PUNCT,UQ,2
574,NOUN NOUN ADP,W,2
573,NOUN NOUN ADP,UD,2
91,ADP ADP DET,MT,2
643,NOUN PUNCT NOUN,RN,2
628,NOUN PUNCT DET,DN,2
546,NOUN CCONJ DET,FN,2
161,ADP NUM PUNCT,MT,2
170,ADP PRON PUNCT,M,2
461,DET VERB ADP,RA,2
942,VERB ADP DET,DJ,2
690,NOUN PUNCT _,UT,2
46,ADJ NOUN PUNCT,W,2
848,PRON VERB VERB,UC,2
273,ADV PUNCT ADV,S,2
277,ADV PUNCT DET,ID,2
479,NOUN ADJ PUNCT,AGN,2
278,ADV PUNCT DET,MP,2
279,ADV PUNCT DET,MY,2
280,ADV PUNCT DET,RY,2
411,DET NOUN NOUN,R,2
654,NOUN PUNCT PRON,RN,2
283,ADV PUNCT NOUN,ID,2
543,NOUN CCONJ ADV,UD,2
285,ADV PUNCT PRON,DY,2
1066,VERB PRON PUNCT,RV,2
952,VERB ADP DET,UD,2
822,PRON VERB ADP,R,2
92,ADP ADP DET,MY,2
248,ADV DET NOUN,RY,2
261,ADV PRON VERB,RP,2
247,ADV DET NOUN,RT,2
646,NOUN PUNCT NUM,MP,2
753,PART VERB ADP,MV,2
1046,VERB NOUN PUNCT,RT,2
249,ADV DET NOUN,S,2
755,PART VERB ADP,U,2
257,ADV PRON VERB,DY,2
721,NUM NOUN ADP,UT,2
959,VERB ADP NOUN,R,2
56,ADJ PUNCT ADV,DJ,2
93,ADP ADP DET,R,2
169,ADP PRON PRON,MT,2
693,NOUN VERB ADP,R,2
59,ADJ PUNCT CCONJ,IJ,2
805,PRON NOUN VERB,R,1
804,PRON NOUN PUNCT,RQ,1
808,PRON PRON VERB,S,1
806,PRON PART ADV,W,1
799,PRON NOUN ADP,MD,1
803,PRON NOUN PRON,UT,1
811,PRON PUNCT CCONJ,S,1
802,PRON NOUN PRON,RQ,1
809,PRON PUNCT ADV,MA,1
812,PRON PUNCT DET,MA,1
813,PRON PUNCT PRON,MA,1
800,PRON NOUN ADP,R,1
0,ADJ ADP ADJ,DJ,1
795,PRON DET NOUN,AS,1
719,NUM NOUN ADP,SX,1
708,NOUN VERB PUNCT,M,1
710,NOUN VERB VERB,DN,1
714,NOUN VERB VERB,UT,1
715,NOUN X PUNCT,UT,1
716,NUM ADP PRON,RN,1
717,NUM NOUN ADJ,IJ,1
718,NUM NOUN ADP,RQ,1
720,NUM NOUN ADP,UD,1
706,NOUN VERB PART,DN,1
722,NUM NOUN CCONJ,MP,1
723,NUM NOUN NOUN,FJ,1
724,NUM NOUN PART,UT,1
725,NUM NOUN PRON,R,1
726,NUM NOUN PRON,RQ,1
728,NUM PRON VERB,UD,1
729,NUM PUNCT ADV,UT,1
707,NOUN VERB PRON,UD,1
705,NOUN VERB NOUN,UD,1
792,PRON AUX VERB,MP,1
694,NOUN VERB ADP,RA,1
680,NOUN PUNCT _,MA,1
682,NOUN PUNCT _,R,1
683,NOUN PUNCT _,RA,1
687,NOUN PUNCT _,U,1
689,NOUN PUNCT _,UQ,1
691,NOUN VERB ADJ,RP,1
692,NOUN VERB ADP,M,1
695,NOUN VERB ADP,RP,1
704,NOUN VERB DET,UD,1
696,NOUN VERB ADP,UD,1
697,NOUN VERB ADP,UP,1
698,NOUN VERB ADP,UT,1
699,NOUN VERB ADV,R,1
700,NOUN VERB ADV,RP,1
702,NOUN VERB DET,MA,1
703,NOUN VERB DET,MD,1
730,NUM PUNCT DET,S,1
731,NUM PUNCT NOUN,MP,1
732,NUM PUNCT NOUN,R,1
778,PART VERB VERB,MV,1
767,PART VERB NUM,UT,1
769,PART VERB PRON,DV,1
770,PART VERB PRON,MV,1
772,PART VERB PROPN,MV,1
774,PART VERB PUNCT,ID,1
775,PART VERB PUNCT,MV,1
776,PART VERB PUNCT,R,1
779,PART VERB VERB,R,1
733,NUM PUNCT NOUN,RP,1
780,PART VERB VERB,UT,1
781,PRON ADP ADV,MA,1
782,PRON ADP DET,M,1
784,PRON ADP NOUN,DA,1
785,PRON ADP NOUN,MA,1
786,PRON ADP PRON,R,1
788,PRON ADV NOUN,MA,1
766,PART VERB NOUN,W,1
762,PART VERB DET,MV,1
760,PART VERB CCONJ,UT,1
759,PART VERB CCONJ,MV,1
735,NUM PUNCT VERB,MP,1
736,PART ADJ PUNCT,MY,1
737,PART ADP DET,MY,1
738,PART ADP NOUN,MY,1
739,PART ADP NOUN,RT,1
740,PART ADV ADJ,MY,1
741,PART CCONJ PRON,MT,1
743,PART DET NOUN,RT,1
744,PART DET NOUN,W,1
745,PART PUNCT ADP,MY,1
746,PART PUNCT PRON,MY,1
814,PRON PUNCT PRON,MP,1
752,PART VERB ADP,M,1
757,PART VERB ADV,MV,1
758,PART VERB ADV,UT,1
748,PART PUNCT _,RJ,1
894,PUNCT ADV PUNCT,MP,1
816,PRON PUNCT VERB,MP,1
1040,VERB NOUN ADV,RV,1
1030,VERB DET PROPN,FV,1
1031,VERB DET PROPN,R,1
1032,VERB DET PROPN,S,1
1033,VERB DET SYM,TV,1
1034,VERB DET VERB,RV,1
1035,VERB DET VERB,TV,1
1036,VERB INTJ ADV,MV,1
1037,VERB NOUN ADP,AS,1
1038,VERB NOUN ADP,MT,1
1039,VERB NOUN ADP,U,1
1041,VERB NOUN CCONJ,UT,1
1027,VERB DET NOUN,UT,1
1042,VERB NOUN PRON,R,1
1043,VERB NOUN PRON,RT,1
1044,VERB NOUN PUNCT,DN,1
1047,VERB NOUN PUNCT,SX,1
1048,VERB NOUN PUNCT,UT,1
1049,VERB NUM NOUN,SX,1
1051,VERB PART DET,AGV,1
1052,VERB PART DET,FV,1
1053,VERB PART DET,MV,1
1054,VERB PART DET,R,1
1029,VERB DET NUM,RT,1
1019,VERB DET NOUN,MT,1
1057,VERB PART DET,UT,1
1000,VERB DET ADJ,IV,1
987,VERB ADV PRON,IV,1
988,VERB ADV PRON,UD,1
989,VERB ADV PUNCT,FV,1
990,VERB ADV PUNCT,R,1
991,VERB ADV PUNCT,RV,1
993,VERB CCONJ ADP,RV,1
994,VERB CCONJ DET,TV,1
995,VERB CCONJ NOUN,UT,1
996,VERB CCONJ PRON,UT,1
997,VERB CCONJ PROPN,MV,1
1001,VERB DET ADJ,R,1
1018,VERB DET NOUN,IV,1
1002,VERB DET ADJ,RT,1
1003,VERB DET ADJ,RV,1
1005,VERB DET ADJ,W,1
1007,VERB DET ADP,IV,1
1008,VERB DET ADP,TV,1
1009,VERB DET ADV,TV,1
1010,VERB DET DET,AGV,1
1011,VERB DET DET,FV,1
1015,VERB DET NOUN,AS,1
1017,VERB DET NOUN,ID,1
1056,VERB PART DET,TV,1
1060,VERB PART VERB,U,1
985,VERB ADV ADV,AS,1
1114,VERB VERB ADV,R,1
1097,VERB PUNCT PRON,X,1
1098,VERB PUNCT VERB,AGV,1
1099,VERB PUNCT VERB,FV,1
1100,VERB PUNCT VERB,RT,1
1102,VERB PUNCT _,FV,1
1103,VERB PUNCT _,R,1
1104,VERB PUNCT _,RJ,1
1106,VERB PUNCT _,S,1
1108,VERB VERB ADJ,MV,1
1110,VERB VERB ADP,R,1
1116,VERB VERB CCONJ,TV,1
1094,VERB PUNCT PRON,S,1
1118,VERB VERB DET,R,1
1120,VERB VERB DET,SX,1
1122,VERB VERB DET,UT,1
1123,VERB VERB DET,W,1
1124,VERB VERB PRON,AS,1
1125,VERB VERB PRON,R,1
1127,VERB VERB PUNCT,RT,1
1129,VERB VERB VERB,MV,1
1130,VERB VERB VERB,R,1
1131,VERB VERB VERB,TV,1
1096,VERB PUNCT PRON,UT,1
1093,VERB PUNCT PRON,RN,1
1061,VERB PRON ADP,S,1
1076,VERB PUNCT ADV,MV,1
1062,VERB PRON CCONJ,FV,1
1063,VERB PRON PART,R,1
1064,VERB PRON PART,TV,1
1065,VERB PRON PUNCT,FV,1
1067,VERB PRON VERB,U,1
1068,VERB PRON VERB,UT,1
1069,VERB PROPN ADV,AS,1
1071,VERB PUNCT ADP,R,1
1072,VERB PUNCT ADP,RJ,1
1074,VERB PUNCT ADV,IV,1
1079,VERB PUNCT ADV,UD,1
1092,VERB PUNCT PRON,IV,1
1080,VERB PUNCT CCONJ,AGV,1
1081,VERB PUNCT CCONJ,FV,1
1082,VERB PUNCT CCONJ,IV,1
1083,VERB PUNCT CCONJ,MP,1
1084,VERB PUNCT CCONJ,S,1
1086,VERB PUNCT DET,TV,1
1087,VERB PUNCT INTJ,TV,1
1088,VERB PUNCT NOUN,RP,1
1089,VERB PUNCT PART,AGV,1
1090,VERB PUNCT PART,RP,1
986,VERB ADV NUM,U,1
984,VERB ADV ADP,W,1
817,PRON PUNCT _,R,1
878,PROPN PUNCT PUNCT,UN,1
866,PROPN PROPN DET,W,1
867,PROPN PROPN NOUN,W,1
868,PROPN PUNCT ADV,MP,1
869,PROPN PUNCT ADV,RP,1
870,PROPN PUNCT ADV,S,1
871,PROPN PUNCT ADV,UD,1
873,PROPN PUNCT DET,UD,1
874,PROPN PUNCT DET,UT,1
876,PROPN PUNCT PUNCT,AGN,1
877,PROPN PUNCT PUNCT,RP,1
881,PROPN PUNCT _,UD,1
862,PROPN NOUN PUNCT,W,1
882,PROPN PUNCT _,UN,1
884,PROPN VERB ADV,UD,1
886,PUNCT ADP DET,R,1
888,PUNCT ADP DET,UT,1
890,PUNCT ADP PRON,UN,1
891,PUNCT ADP PROPN,UN,1
892,PUNCT ADV ADV,RP,1
895,PUNCT ADV PUNCT,R,1
896,PUNCT ADV PUNCT,U,1
897,PUNCT CCONJ ADV,UN,1
863,PROPN PART ADJ,MP,1
861,PROPN NOUN ADP,U,1
899,PUNCT CCONJ PRON,UY,1
837,PRON VERB PART,UC,1
818,PRON VERB ADJ,M,1
819,PRON VERB ADJ,UP,1
820,PRON VERB ADP,DA,1
824,PRON VERB ADP,U,1
827,PRON VERB ADV,UC,1
832,PRON VERB NOUN,MP,1
833,PRON VERB NOUN,TV,1
834,PRON VERB NUM,M,1
835,PRON VERB PART,RP,1
836,PRON VERB PART,UA,1
838,PRON VERB PROPN,UC,1
859,PROPN CCONJ VERB,UT,1
839,PRON VERB PUNCT,DA,1
843,PRON VERB PUNCT,RA,1
847,PRON VERB VERB,UA,1
849,PRON VERB VERB,UP,1
850,PRON VERB VERB,UY,1
852,PROPN ADP NOUN,S,1
853,PROPN ADP NUM,RP,1
855,PROPN ADP PRON,UT,1
857,PROPN ADV PUNCT,MA,1
858,PROPN CCONJ PRON,RP,1
898,PUNCT CCONJ PRON,UN,1
900,PUNCT DET NOUN,MD,1
983,VERB ADV ADP,TV,1
966,VERB ADP PRON,RV,1
941,VERB ADP DET,AS,1
944,VERB ADP DET,IV,1
946,VERB ADP DET,R,1
951,VERB ADP DET,U,1
953,VERB ADP DET,UT,1
957,VERB ADP NOUN,IV,1
958,VERB ADP NOUN,MV,1
961,VERB ADP NUM,TV,1
962,VERB ADP NUM,UQ,1
965,VERB ADP PRON,IV,1
968,VERB ADP PRON,SX,1
937,VERB ADP ADV,FV,1
971,VERB ADP PROPN,S,1
972,VERB ADP PROPN,TV,1
973,VERB ADP PROPN,UY,1
974,VERB ADP PUNCT,TV,1
975,VERB ADV ADJ,MV,1
976,VERB ADV ADJ,R,1
977,VERB ADV ADJ,W,1
978,VERB ADV ADP,AGV,1
979,VERB ADV ADP,DV,1
980,VERB ADV ADP,FV,1
939,VERB ADP DET,AGN,1
936,VERB ADP ADP,RV,1
901,PUNCT DET NOUN,UY,1
918,PUNCT VERB ADP,DJ,1
902,PUNCT DET VERB,MP,1
903,PUNCT DET VERB,RP,1
904,PUNCT DET VERB,UN,1
907,PUNCT NOUN PUNCT,UN,1
908,PUNCT PART PUNCT,UC,1
909,PUNCT PART VERB,FV,1
912,PUNCT PROPN PUNCT,UD,1
913,PUNCT PUNCT ADP,MP,1
915,PUNCT PUNCT DET,MP,1
916,PUNCT PUNCT INTJ,MP,1
919,PUNCT VERB PUNCT,UN,1
935,VERB ADP ADJ,UD,1
922,PUNCT _ _,UT,1
924,VERB ADJ ADP,AGV,1
925,VERB ADJ ADP,MV,1
926,VERB ADJ ADP,RV,1
927,VERB ADJ ADP,SX,1
930,VERB ADJ PUNCT,MV,1
931,VERB ADJ PUNCT,RV,1
932,VERB ADP ADJ,DJ,1
933,VERB ADP ADJ,FV,1
934,VERB ADP ADJ,TV,1
677,NOUN PUNCT _,CN,1
566,NOUN DET PRON,SX,1
675,NOUN PUNCT X,MN,1
207,ADV ADJ PUNCT,RP,1
209,ADV ADP ADV,MY,1
210,ADV ADP DET,DY,1
211,ADV ADP DET,ID,1
212,ADV ADP DET,M,1
213,ADV ADP DET,RP,1
216,ADV ADP DET,SX,1
217,ADV ADP DET,UP,1
218,ADV ADP DET,UT,1
220,ADV ADP NOUN,MY,1
222,ADV ADP NOUN,S,1
223,ADV ADP NOUN,UT,1
224,ADV ADP NUM,RP,1
225,ADV ADP PRON,R,1
226,ADV ADP PRON,S,1
227,ADV ADP PROPN,MY,1
228,ADV ADP SYM,R,1
229,ADV ADP VERB,MY,1
230,ADV ADP VERB,R,1
231,ADV ADP VERB,RP,1
233,ADV ADP VERB,W,1
234,ADV ADV ADJ,R,1
235,ADV ADV ADJ,RY,1
237,ADV ADV ADV,RA,1
238,ADV ADV ADV,RY,1
239,ADV ADV PRON,MC,1
208,ADV ADP ADJ,S,1
206,ADV ADJ PUNCT,IJ,1
673,NOUN PUNCT VERB,UQ,1
205,ADV ADJ PART,SX,1
166,ADP PRON CCONJ,M,1
167,ADP PRON DET,MT,1
168,ADP PRON DET,R,1
171,ADP PRON VERB,ID,1
175,ADP PRON VERB,RT,1
177,ADP PRON VERB,SX,1
178,ADP PRON VERB,UN,1
179,ADP PRON VERB,UV,1
182,ADP PROPN CCONJ,RT,1
183,ADP PROPN CCONJ,UN,1
184,ADP PROPN PRON,RD,1
185,ADP PROPN PROPN,MT,1
187,ADP PROPN PUNCT,UV,1
188,ADP PUNCT ADP,MC,1
189,ADP PUNCT ADV,MP,1
191,ADP PUNCT VERB,MT,1
192,ADP SYM NUM,MT,1
194,ADP VERB DET,ID,1
197,ADP VERB DET,UN,1
198,ADP VERB NOUN,R,1
199,ADP VERB PRON,W,1
200,ADP VERB PUNCT,MC,1
201,ADP VERB PUNCT,SX,1
202,ADV ADJ ADP,IY,1
203,ADV ADJ NOUN,R,1
240,ADV ADV PUNCT,MY,1
241,ADV ADV VERB,ID,1
242,ADV CCONJ ADP,R,1
243,ADV CCONJ PRON,MY,1
287,ADV PUNCT PRON,MP,1
289,ADV PUNCT PRON,RY,1
290,ADV PUNCT PRON,S,1
291,ADV PUNCT PROPN,DY,1
292,ADV PUNCT PROPN,S,1
293,ADV PUNCT PUNCT,SX,1
294,ADV PUNCT VERB,DY,1
295,ADV PUNCT VERB,MP,1
296,ADV PUNCT VERB,MY,1
298,ADV PUNCT _,MT,1
303,ADV PUNCT _,SX,1
305,ADV VERB ADP,M,1
306,ADV VERB ADP,R,1
308,ADV VERB ADV,MY,1
309,ADV VERB ADV,R,1
310,ADV VERB ADV,RP,1
314,ADV VERB DET,R,1
315,ADV VERB DET,W,1
316,ADV VERB NOUN,M,1
318,ADV VERB PUNCT,L,1
319,ADV VERB PUNCT,R,1
321,ADV VERB VERB,M,1
323,CCONJ ADP DET,SX,1
324,CCONJ ADP PRON,RQ,1
325,CCONJ ADP PRON,U,1
286,ADV PUNCT PRON,FY,1
284,ADV PUNCT NOUN,MP,1
282,ADV PUNCT INTJ,UV,1
262,ADV PRON VERB,RY,1
245,ADV DET NOUN,R,1
246,ADV DET NOUN,RC,1
250,ADV DET NOUN,SX,1
251,ADV DET NOUN,X,1
252,ADV NOUN CCONJ,R,1
253,ADV NOUN VERB,SA,1
254,ADV PRON AUX,MY,1
255,ADV PRON PRON,UT,1
256,ADV PRON PRON,W,1
