,Unnamed: 0,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,type_and_trigram_ud,ud_quadgram,penn_quadgram,nlt,result
1993,37,RV,True,,"Therefore, our life has been influenced and changed by the development of technology. In conclusion, we should work hard to | acquire knowledge , to make the future better and better. ",VERB NOUN PUNCT,"Therefore, our life has been influenced and changed by the development of technology. In conclusion, we should work hard to | learn knowledge , to make the future better and better. ",VERB NOUN PUNCT,23,RV VERB NOUN PUNCT,PART VERB NOUN PUNCT,"RV TO VB NN ,",True,True
1417,149,TV,True,Chinese generally expresses actions in present tense,"Music is a traditional subject in our school , everyone . Everyone in our school can play at least one instrument, so music lessons should be | filmed to show music is part of our school's daily life. ",VERB PART VERB,"Music is a traditional subject in our school , everyone . Everyone in our school can play at least one instrument, so music lessons should be | film to show music is part of our school's daily life. ",NOUN PART VERB,27,TV NOUN PART VERB,AUX NOUN PART VERB,TV VB NN TO VB,True,True
1588,51,MP,True,Chinese uses commas to mark the end of a complete thought,"It said in the advertisement that the singers are Danny Brook and Tina Truelove. However, there was a different | , unknown actor in that. The show started late | , at 20:15 | , which was very different from '19.30' as shown . There was no discount at all | , which was in contrast with 'Discounts Available'. After the show, I wanted to have something in the theatre restaurant and found it was closed for no reason. ",PUNCT ADJ NOUN,"It said in the advertisement that the singers are Danny Brook and Tina Truelove. However, there was a different | unknown actor in that. The show started late | at 20:15 | which was very different from '19.30' as shown . There was no discount at all | which was in contrast with 'Discounts Available'. After the show, I wanted to have something in the theatre restaurant and found it was closed for no reason. ",ADJ NOUN ADP,21,MP ADJ NOUN ADP,ADJ ADJ NOUN ADP,MP JJ JJ NN IN,True,True
248,8,RN,False,Misunderstanding of word usage/meaning,"There are a lot of differences between the details of the musical show in the advertisement and the ones it actually was . Firstly the | star in the advertisement were Danny Brook and Tina Truelove, while there were different actors in the musical show. Secondly time starts at 19:30 on the leaflet but it actually started at 20:15. Thirdly it said there were discounts available in the advertisement , however . However , there were not any at all. Finally it said we could visit your theatre restaurant after the show but it was closed because your excuse of being used at that moment . ",NOUN ADP DET,"There are a lot of differences between the details of the musical show in the advertisement and the ones it actually was . Firstly the | starring in the advertisement were Danny Brook and Tina Truelove, while there were different actors in the musical show. Secondly time starts at 19:30 on the leaflet but it actually started at 20:15. Thirdly it said there were discounts available in the advertisement , however . However , there were not any at all. Finally it said we could visit your theatre restaurant after the show but it was closed because your excuse of being used at that moment . ",NOUN ADP DET,25,RN NOUN ADP DET,DET NOUN ADP DET,RN DT NN IN DT,True,False
2589,40,RC,False,Incorrect/incomplete expression used,"Last but not least, it is a good kind of entertainment. Maybe you think that playing basketball , and going to cinemas and discos are much better | than staying at home sitting in front of an object. However, televisions can bring you the fun that other activities can't. If sometimes I don't want to go out and I don't want to be lonely, it's easy, I just turn on the television and enjoy myself. ",ADP VERB ADP,"Last but not least, it is a good kind of entertainment. Maybe you think that playing basketball , and going to cinemas and discos are much better | that staying at home sitting in front of an object. However, televisions can bring you the fun that other activities can't. If sometimes I don't want to go out and I don't want to be lonely, it's easy, I just turn on the television and enjoy myself. ",DET VERB ADP,29,RC DET VERB ADP,ADJ SCONJ VERB ADP,RC JJR IN VBG IN,True,False
328,91,RN,True,English words map to the same Chinese word,"You can inform all the students that they can take some traditional food to the party. After the meal, you can play some games and prepare a | prize for the winner. At the end of the conference you can dance and sing together. ",NOUN ADP DET,"You can inform all the students that they can take some traditional food to the party. After the meal, you can play some games and prepare a | gift for the winner. At the end of the conference you can dance and sing together. ",NOUN ADP DET,29,RN NOUN ADP DET,DET NOUN ADP DET,RN DT NN IN DT,True,True
851,30,AGN,False,Overcorrection,"You wanted to hear about my experience at the pop concert which I enjoyed helping at last month? I must say that was great fun , . I'd never had this kind of experience before. Before the concert actually started I had to give out lots of leaflets , they . They were lists of pop bands and groups which would appear in the concert in order, and some information about their performance and backgrounds. After that, I had to help people who had a ticket but couldn't find their seat. During the concert, I didn't have a lot to do, so I had a chance to see most of the performance , that . That was excellent. I was excited that I had a closer look at so many famous pop stars. During the break time I did give a | lot of directions to people who couldn't find the toilet, and gave people information such as where they could have a cup of coffee. That was a bit boring, but it was part of my job. ",NOUN ADP NOUN,"You wanted to hear about my experience at the pop concert which I enjoyed helping at last month? I must say that was great fun , . I'd never had this kind of experience before. Before the concert actually started I had to give out lots of leaflets , they . They were lists of pop bands and groups which would appear in the concert in order, and some information about their performance and backgrounds. After that, I had to help people who had a ticket but couldn't find their seat. During the concert, I didn't have a lot to do, so I had a chance to see most of the performance , that . That was excellent. I was excited that I had a closer look at so many famous pop stars. During the break time I did give a | lots of directions to people who couldn't find the toilet, and gave people information such as where they could have a cup of coffee. That was a bit boring, but it was part of my job. ",NOUN ADP NOUN,154,AGN NOUN ADP NOUN,DET NOUN ADP NOUN,AGN DT NNS IN NNS,True,False
538,98,RP,False,Overcorrection,"Regarding the end-of-conference party . We , we have planned a barbecue for 5 oo pm . on our most idyllic playing field, which is | overlooking the endless Countryside and farms. At 7:00pm . we can move to our student hall to have a disco dance until 10:00pm. ",VERB DET ADJ,"Regarding the end-of-conference party . We , we have planned a barbecue for 5 oo pm . on our most idyllic playing field, which is | over looking the endless Countryside and farms. At 7:00pm . we can move to our student hall to have a disco dance until 10:00pm. ",ADP VERB DET,30,RP ADP VERB DET,AUX ADP VERB DET,RP VBZ IN VBG DT,True,False
683,31,DY,False,Spelling error,"In my opinion, maths, politics, Chinese, English and painting lessons are the most interesting ones. They are also the lessons which English people and other foreigners are | particularly curious about. ",ADV ADJ ADP,"In my opinion, maths, politics, Chinese, English and painting lessons are the most interesting ones. They are also the lessons which English people and other foreigners are | particularlly curious about. ",ADV ADJ ADP,32,DY ADV ADJ ADP,AUX ADV ADJ ADP,DY VBP RB JJ IN,True,False
1413,145,TV,False,Past perfect used instead of past tense; Extra unecessary auxiliary added,"The fourth day, the singers and the musicians | were there to test . Then I had a chance to speak with them. From that, I learnt more about the instruments. ",VERB ADV PART,"The fourth day, the singers and the musicians | have been there to test . Then I had a chance to speak with them. From that, I learnt more about the instruments. ",VERB VERB ADV,9,TV VERB VERB ADV,NOUN AUX AUX ADV,TV NNS VBP VBN RB,True,False
844,23,AGN,True,Number error,"Above is all the information you asked for , however . However , there are | some things I'd like to know; the first is about the clothes , what . What kind of clothes do I need to take with me? And another question is what are the prices of things like there, which I want to know so that I can make a better budget for my trip. ",DET NOUN PRON,"Above is all the information you asked for , however . However , there are | some thing I'd like to know; the first is about the clothes , what . What kind of clothes do I need to take with me? And another question is what are the prices of things like there, which I want to know so that I can make a better budget for my trip. ",DET NOUN PRON,15,AGN DET NOUN PRON,AUX DET NOUN PRON,AGN VBP DT NN PRP,True,True
532,92,RP,False,Punctuation error related to Spelling errors (extra spaces),"I was thinking 'what should I do?' I hadn't got my mobile phone with me and I was | halfway between my school and home. At that time he was unconscious , . I kept asking myself 'Should I wake him up or try to use my dubious first aid skills to help with him."" I was struggling because I knew if I didn't help him, he would die in a short time. ",ADV ADP DET,"I was thinking 'what should I do?' I hadn't got my mobile phone with me and I was | half way between my school and home. At that time he was unconscious , . I kept asking myself 'Should I wake him up or try to use my dubious first aid skills to help with him."" I was struggling because I knew if I didn't help him, he would die in a short time. ",ADJ NOUN ADP,22,RP ADJ NOUN ADP,AUX ADJ NOUN ADP,RP VBD JJ NN IN,True,False
1240,43,MT,True,Chinese doesn't use the word in this context,"Firstly, I am a student , . I don't have a job, so, I have to ask | for money from my parents. I can't ask | for too much. That's very bad for my parents. When I go shopping . , I always feel ashamed because I spend my parents' money. (Although I have got a part-time job, it provides just enough to pay my rent.) ",ADP NOUN ADP,"Firstly, I am a student , . I don't have a job, so, I have to ask | money from my parents. I can't ask | too much. That's very bad for my parents. When I go shopping . , I always feel ashamed because I spend my parents' money. (Although I have got a part-time job, it provides just enough to pay my rent.) ",NOUN ADP DET,21,MT NOUN ADP DET,VERB NOUN ADP DET,MT VB NN IN PRP$,True,True
194,19,R,False,Confusion of phrase meaning and usage,"Even though I would like to travel, I am only available in July, because I am a high school student. Thus I have not got a long holiday. I just have one month . Personally, I would rather stay in log cabins than in tents. On account of the fact that staying in log cabins is much more interesting than staying in tents. As far as two activities are concerned, I would choose singing and photography. I used to win a number of competitions in singing. I can sing plenty of songs . , which include English songs and the Japanese songs, and I have a part-time job singing at a restaurant. Although photography is not as good as singing, I am very interested in it. I have been studying photography since I was 15 years old. I got third prize in | a competition last year and my level is professional now. Furthermore, I am going to enter a competition next year. ",DET NOUN ADJ,"Even though I would like to travel, I am only available in July, because I am a high school student. Thus I have not got a long holiday. I just have one month . Personally, I would rather stay in log cabins than in tents. On account of the fact that staying in log cabins is much more interesting than staying in tents. As far as two activities are concerned, I would choose singing and photography. I used to win a number of competitions in singing. I can sing plenty of songs . , which include English songs and the Japanese songs, and I have a part-time job singing at a restaurant. Although photography is not as good as singing, I am very interested in it. I have been studying photography since I was 15 years old. I got third prize in | it competition last year and my level is professional now. Furthermore, I am going to enter a competition next year. ",PRON NOUN ADJ,159,R PRON NOUN ADJ,ADP PRON NOUN ADJ,R IN PRP NN JJ,True,False
795,69,RA,False,general grammar rules confusion,"There is a very big library. You can find any information from it | that you want. For the rest of the time, you can go to the IT suite to use the Internet. If you feel hungry, you don't need to go out. Just in the same building, you can find a restaurant. ",DET PRON VERB,"There is a very big library. You can find any information from it | what you want. For the rest of the time, you can go to the IT suite to use the Internet. If you feel hungry, you don't need to go out. Just in the same building, you can find a restaurant. ",PRON PRON VERB,14,RA PRON PRON VERB,PRON PRON PRON VERB,RA PRP WP PRP VBP,True,False
770,44,RA,False,Using 'It' incorrectly,"Firstly, the idea of holding this International Arts Festival is great. It allowed people to enjoy their weekend, relax , and also it brought a foreign culture to them, broadening their knowledge. In addition to | this, one weekend ticket for all the events was only £10 , this . This was excellent , it . It meant people only spent pocket-money , and then they could watch all the events at the weekend , for . For them it is a really economical way to spend their weekend. So my friends told me that this was their cheapest weekend. ",DET PUNCT NUM,"Firstly, the idea of holding this International Arts Festival is great. It allowed people to enjoy their weekend, relax , and also it brought a foreign culture to them, broadening their knowledge. In addition to | it, one weekend ticket for all the events was only £10 , this . This was excellent , it . It meant people only spent pocket-money , and then they could watch all the events at the weekend , for . For them it is a really economical way to spend their weekend. So my friends told me that this was their cheapest weekend. ",PRON PUNCT NUM,40,RA PRON PUNCT NUM,ADP PRON PUNCT NUM,"RA IN PRP , CD",True,False
593,29,AGV,True,Not applying the 3rd person present tense suffix -s,"Unfortunately, Pat wasn't very good at keeping secrets. , Pat is very smart and intelligent. She | likes to talk to other people. She has an open-mind open mind . So, she has got many friends. ",VERB PART VERB,"Unfortunately, Pat wasn't very good at keeping secrets. , Pat is very smart and intelligent. She | like to talk to other people. She has an open-mind open mind . So, she has got many friends. ",VERB PART VERB,20,AGV VERB PART VERB,PRON VERB PART VERB,AGV PRP VBP TO VB,True,True
1472,207,TV,True,Chinese generally expresses actions in present tense,"Thank goodness, I | succeeded , in saving that struggling child. When I got to the river bank, I saw some red-faced . ",VERB PUNCT ADP,"Thank goodness, I | succeed , in saving that struggling child. When I got to the river bank, I saw some red-faced . ",VERB PUNCT ADP,4,TV VERB PUNCT ADP,PRON VERB PUNCT ADP,"TV PRP VBP , IN",True,True
1399,130,TV,False,-,"Shopping does not just affect us mentally, but also physically. It's not hard to realise how exhausted we are after a day of shopping. Think of the awful crowds, the busy car parks, polluted air in the city centres and mile-long queues in front of the cash desks. I don't think anyone | really likes to face them. But once you get there, they're just inevitable, aren't they? ",ADV VERB PART,"Shopping does not just affect us mentally, but also physically. It's not hard to realise how exhausted we are after a day of shopping. Think of the awful crowds, the busy car parks, polluted air in the city centres and mile-long queues in front of the cash desks. I don't think anyone | would really like to face them. But once you get there, they're just inevitable, aren't they? ",VERB ADV VERB,62,TV VERB ADV VERB,PRON VERB ADV VERB,TV NN MD RB VB,True,False
1475,210,TV,False,Past tense used instead of past perfect,"On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I | had been really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and carefully, and I climbed about 15 metres quite successfully, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but luckily my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",VERB VERB ADV,"On the second day, we had to climb up a twenty-metre hill with our hands. It was so difficult for me because I | was really scared to stand on a high place since I was young. I did not want to climb up but I did not have any choice. So I started to climb really slow and carefully, and I climbed about 15 metres quite successfully, so I tried to climb quicker because the destination was not far away. But after I climbed two steps more, my right foot slipped , . I nearly fell , but luckily my hand caught a rock , it . It was dangerous, but I didn't have any choice , finally . Finally I did it. ",VERB ADV ADJ,27,TV VERB ADV ADJ,PRON AUX ADV ADJ,TV PRP VBD RB JJ,True,False
646,85,AGV,True,3rd person singular form used isntead of 3rd person plural verb form,"Secondly, the end-of-conference party will be held at the college's main hall, from 8:00 pm to 11:30 pm on 20th June. There will be various kinds of food and drinks provided. Moreover, students can dance and enjoy different sorts of music, for instance, rock, jazz, pop, garage and so on. Furthermore, I suggest you and the students wear pub-wears to it, as they | are suitable for dancing. ",VERB ADJ ADP,"Secondly, the end-of-conference party will be held at the college's main hall, from 8:00 pm to 11:30 pm on 20th June. There will be various kinds of food and drinks provided. Moreover, students can dance and enjoy different sorts of music, for instance, rock, jazz, pop, garage and so on. Furthermore, I suggest you and the students wear pub-wears to it, as they | is suitable for dancing. ",VERB ADJ ADP,83,AGV VERB ADJ ADP,PRON AUX ADJ ADP,AGV PRP VBZ JJ IN,True,True
1268,71,MT,False,,"First of all, the efficiency of society has been improved. When shopping, we don't need to wait | for the cashier to take every article's note by hand. When booking a flight, we can just make a phone call to any agency, and get it done in one minute. Secondly, instead of looking up tons of books to get the information that we need, we can very easily search | for it on the Internet or on the local network. It's very often heard , that someone , who has a rare illness , has had an operation at a foreign institute , which he found via the Internet. Moreover, with computer networks, it is possible for people to work from home, making projects, controlling operations or having conferences. Lastly the way of communications has also changed. Instead of traditional telecommunications, we can talk by, e-mail or even see each other with the help of a computer network. ",ADP DET NOUN,"First of all, the efficiency of society has been improved. When shopping, we don't need to wait | the cashier to take every article's note by hand. When booking a flight, we can just make a phone call to any agency, and get it done in one minute. Secondly, instead of looking up tons of books to get the information that we need, we can very easily search | it on the Internet or on the local network. It's very often heard , that someone , who has a rare illness , has had an operation at a foreign institute , which he found via the Internet. Moreover, with computer networks, it is possible for people to work from home, making projects, controlling operations or having conferences. Lastly the way of communications has also changed. Instead of traditional telecommunications, we can talk by, e-mail or even see each other with the help of a computer network. ",DET NOUN PART,21,MT DET NOUN PART,VERB DET NOUN PART,MT VB DT NN TO,True,False
24,24,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","The first and most important thing is that modern technology has made our life easier, for instance the rice cooker is a great invention, all you have to do is put rice in it and switch it on, it makes cooking more | efficient. Furthermore, we use the computer and telephone a lot. Wherever you are, you can get in touch with people whenever you want. ",ADJ PUNCT ADV,"The first and most important thing is that modern technology has made our life easier, for instance the rice cooker is a great invention, all you have to do is put rice in it and switch it on, it makes cooking more | efficiently . Furthermore, we use the computer and telephone a lot. Wherever you are, you can get in touch with people whenever you want. ",ADV PUNCT ADV,45,DJ ADV PUNCT ADV,ADV ADV PUNCT ADV,DJ RBR RB . RB,True,True
1715,27,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"By using the Internet we can make new pen friends overseas, and create clubs , and societies. Now a message can travel quicker and it is also worldwide . sending letters takes about a week from Hong Kong to the U.K., but network , eg. e.g. E-mail . , is much faster. | the time is only a few minutes. Now we can even create a club on Yahoo, which is free. Modern technology saves us a lot of time and brings us many benefits when we use it in the right way, but some bad way to e.g. send virus to break down network . ",DET NOUN VERB,"By using the Internet we can make new pen friends overseas, and create clubs , and societies. Now a message can travel quicker and it is also worldwide . sending letters takes about a week from Hong Kong to the U.K., but network , eg. e.g. E-mail . , is much faster. | require time is only a few minutes. Now we can even create a club on Yahoo, which is free. Modern technology saves us a lot of time and brings us many benefits when we use it in the right way, but some bad way to e.g. send virus to break down network . ",VERB NOUN VERB,59,MD VERB NOUN VERB,PUNCT VERB NOUN AUX,MD . VB NN VBZ,True,True
370,0,RD,False,Chinese has no articles and doesn't use classifiers in this situation,"Firstly, the idea of holding this International Arts Festival is great. It allowed people to enjoy their weekend, relax , and also it brought | a foreign culture to them, broadening their knowledge. In addition to this, one weekend ticket for all the events was only £10 , this . This was excellent , it . It meant people only spent pocket-money , and then they could watch all the events at the weekend , for . For them it is a really economical way to spend their weekend. So my friends told me that this was their cheapest weekend. ",DET ADJ NOUN,"Firstly, the idea of holding this International Arts Festival is great. It allowed people to enjoy their weekend, relax , and also it brought | the foreign culture to them, broadening their knowledge. In addition to this, one weekend ticket for all the events was only £10 , this . This was excellent , it . It meant people only spent pocket-money , and then they could watch all the events at the weekend , for . For them it is a really economical way to spend their weekend. So my friends told me that this was their cheapest weekend. ",DET ADJ NOUN,27,RD DET ADJ NOUN,VERB DET ADJ NOUN,RD VBD DT JJ NN,True,False
109,24,FN,True,Missing plural,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband had been fired the previous year. Lily felt very nervous about their financial | problems and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",NOUN CCONJ DET,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband had been fired the previous year. Lily felt very nervous about their financial | problem and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",NOUN CCONJ DET,44,FN NOUN CCONJ DET,ADJ NOUN CCONJ DET,FN JJ NN CC PRP$,True,True
2228,50,UN,True,Word prior or after contains the word in Chinese equivalent,Women always enjoy shopping. But a lot of inconveniences annoy them. So they said they do not always enjoy shopping. First of all the | parking is not convenient and is expensive. Sometimes you can't find a place to park your car. Sometimes you have to park your car in a further place then walk to the supermarket.,NOUN VERB ADV,Women always enjoy shopping. But a lot of inconveniences annoy them. So they said they do not always enjoy shopping. First of all the | car parking is not convenient and is expensive. Sometimes you can't find a place to park your car. Sometimes you have to park your car in a further place then walk to the supermarket.,NOUN NOUN VERB,27,UN NOUN NOUN VERB,DET NOUN NOUN AUX,UN DT NN NN VBZ,True,True
1866,178,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"It is | the main building of LUTON University in Park Square. It is an academic building. It includes a library . , II suit , academic rooms, a GYM Club and a restaurant. ",DET ADJ NOUN,"It is | main building of LUTON University in Park Square. It is an academic building. It includes a library . , II suit , academic rooms, a GYM Club and a restaurant. ",ADJ NOUN ADP,2,MD ADJ NOUN ADP,AUX ADJ NOUN ADP,MD VBZ JJ NN IN,True,True
2103,147,RV,False,,"Finally, we would like to ask you to think about our suggestion , the . The show would be fantastic , we . We would | learn about the latest fashions, Leisure and sports wear, and also learn about how to make up . It's a great opportunity to | learn more about fashion. Please, let us go to the show, because students are admitted free. ",VERB ADP DET,"Finally, we would like to ask you to think about our suggestion , the . The show would be fantastic , we . We would | know about the latest fashions, Leisure and sports wear, and also learn about how to make up . It's a great opportunity to | know more about fashion. Please, let us go to the show, because students are admitted free. ",VERB ADP DET,26,RV VERB ADP DET,VERB VERB ADP DET,RV MD VB IN DT,True,False
1857,169,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"Firstly, I would like to tell you , that the group has been booked into | the Palace Hotel, which is located beside the congress house in the centre. You can make contact with Mrs Brackenbury using the number 06 8793888. Secondly, the best way to get from the hotel to the conference is to take the bus, which has been specially organized by us. The bus leaves at 8:00 every morning and gets back to the hotel at 6 o'clock in the evening. Of course there's also a number 8 bus, in front of the hotel, which is also suitable, but it leaves only every half an hour. ",DET PROPN PROPN,"Firstly, I would like to tell you , that the group has been booked into | Palace Hotel, which is located beside the congress house in the centre. You can make contact with Mrs Brackenbury using the number 06 8793888. Secondly, the best way to get from the hotel to the conference is to take the bus, which has been specially organized by us. The bus leaves at 8:00 every morning and gets back to the hotel at 6 o'clock in the evening. Of course there's also a number 8 bus, in front of the hotel, which is also suitable, but it leaves only every half an hour. ",PROPN PROPN PUNCT,16,MD PROPN PROPN PUNCT,ADP PROPN PROPN PUNCT,"MD IN NNP NNP ,",True,True
832,11,AGN,True,Number error,"From my point of view , I think people will wear more clothes that are see-through in particular. As people are wearing thinner and thinner clothing to show off their figure, they might as well just wear clothes that are see-through to give it a better effect ! So if you want to know what clothes will be like 100 | years from now, the only thing you can do is to WAIT! ",NOUN ADP ADV,"From my point of view , I think people will wear more clothes that are see-through in particular. As people are wearing thinner and thinner clothing to show off their figure, they might as well just wear clothes that are see-through to give it a better effect ! So if you want to know what clothes will be like 100 | year from now, the only thing you can do is to WAIT! ",NOUN ADP ADV,66,AGN NOUN ADP ADV,NUM NOUN ADP ADV,AGN CD NN IN RB,True,True
