,Unnamed: 0,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,nlt,result
10,10,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","| Poisonous chemical compounds, e.g. gases , and liquids, are created too , they . They have been used to kill people , most . Most of them produce radiation, which can disable a person, mostly harming their brain and their bodies, and it can also cause death. ",ADJ NOUN NOUN,"| Poison chemical compounds, e.g. gases , and liquids, are created too , they . They have been used to kill people , most . Most of them produce radiation, which can disable a person, mostly harming their brain and their bodies, and it can also cause death. ",NOUN NOUN NOUN,True,True
11,11,DJ,False,Spelling error,"By using the Internet we can make new pen friends overseas, and create clubs , and societies. Now a message can travel quicker and it is also | worldwide . sending letters takes about a week from Hong Kong to the U.K., but network , eg. e.g. E-mail . , is much faster. require Require the time The time required is only a few minutes. Now we can even create a club on Yahoo, which is free. Modern technology saves us a lot of time and brings us many benefits when we use it in the right way, but some bad way to e.g. send virus to break down network . ",ADV PUNCT VERB,"By using the Internet we can make new pen friends overseas, and create clubs , and societies. Now a message can travel quicker and it is also | world wild . sending letters takes about a week from Hong Kong to the U.K., but network , eg. e.g. E-mail . , is much faster. require Require the time The time required is only a few minutes. Now we can even create a club on Yahoo, which is free. Modern technology saves us a lot of time and brings us many benefits when we use it in the right way, but some bad way to e.g. send virus to break down network . ",NOUN ADJ PUNCT,True,False
12,12,RJ,True,The two words map to the same word in Chinese,"It said in the leaflet that this would be a perfect evening out, while it was not that at all. I felt very | disappointed after seeing the music show in your theatre. As I said the reasons above , I want to ask for my money back! I look forwards to hearing from you. ",ADJ ADP VERB,"It said in the leaflet that this would be a perfect evening out, while it was not that at all. I felt very | disappointing after seeing the music show in your theatre. As I said the reasons above , I want to ask for my money back! I look forwards to hearing from you. ",ADJ ADP VERB,,
13,13,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After doing that, Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind, which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock, as if everything was going to die. She was so | frightened and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",ADJ CCONJ ADJ,"Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After doing that, Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind, which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock, as if everything was going to die. She was so | frighten and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",ADJ CCONJ ADJ,False,False
14,14,DJ,False,Chinese doesn't use hyphens in words,"Secondly, the show I went to was the evening one, which was supposed to start at 7:30 p.m., but there was a | 41-minute delay and it ended up starting at 8.15 p.m. ",NUM NOUN CCONJ,"Secondly, the show I went to was the evening one, which was supposed to start at 7:30 p.m., but there was a | 41 minutes delay and it ended up starting at 8.15 p.m. ",NUM NOUN NOUN,True,False
15,15,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Actually, we were quite good friends before this event happened. Pat has been studying in the same class with me this year. She sat next to me , we . We started to chat more and more , then . Then we became good friends. One day, we were sitting in the dinning-hall as | usual. Suddenly my heart was thumping so quickly because I saw him ? - a boy who was a new student. I know this is one right love , . I'm absolutely besotted with him. Then I told this to Pat and told her to keep it secret: I didn't want people gossiping about me then everyone would know I fancied him. But the thing which I'd never expected happened, which is that Pat betrayed me. She told everyone that I fancy him and everybody always makes a joke of it , that . That makes me feel so embarrassed: I was very angry at that time! ",ADJ PUNCT ADV,"Actually, we were quite good friends before this event happened. Pat has been studying in the same class with me this year. She sat next to me , we . We started to chat more and more , then . Then we became good friends. One day, we were sitting in the dinning-hall as | usually. Suddenly my heart was thumping so quickly because I saw him ? - a boy who was a new student. I know this is one right love , . I'm absolutely besotted with him. Then I told this to Pat and told her to keep it secret: I didn't want people gossiping about me then everyone would know I fancied him. But the thing which I'd never expected happened, which is that Pat betrayed me. She told everyone that I fancy him and everybody always makes a joke of it , that . That makes me feel so embarrassed: I was very angry at that time! ",ADV PUNCT ADV,True,True
16,16,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",3. I also found out that the theatre restaurant was not | open after the show due to the shortage of food sold . I was really hungry after the show and was very unhappy.,ADJ ADP DET,3. I also found out that the theatre restaurant was not | opened after the show due to the shortage of food sold . I was really hungry after the show and was very unhappy.,VERB ADP DET,True,True
17,17,RJ,True,The two words map to the same word in Chinese,"Considering all the above points, I would like to ask for some money back. I will consider taking this complaint to court if I do not receive an | acceptable explanation from the theatre. Thank You. ",ADJ NOUN ADP,"Considering all the above points, I would like to ask for some money back. I will consider taking this complaint to court if I do not receive an | agreeable explanation from the theatre. Thank You. ",ADJ NOUN ADP,,
18,18,RJ,True,Chinese would use word in this context,"I think people in the future will probably wear helmets with oxygen gas well provided . It is because of the increasing size of the population and the shortage of oxygen gas in the atmosphere. They will also wear water-proof, ultra-violet proof ultra-violet-proof and other dangerous liquid-proof dangerous-liquid-proof clothes to protect themselves. These clothes have to be made of something light, | comfortable to wear and protective. All the above ideas are needed to make them bear no burden when wearing these specially designed clothes. ",ADJ PART VERB,"I think people in the future will probably wear helmets with oxygen gas well provided . It is because of the increasing size of the population and the shortage of oxygen gas in the atmosphere. They will also wear water-proof, ultra-violet proof ultra-violet-proof and other dangerous liquid-proof dangerous-liquid-proof clothes to protect themselves. These clothes have to be made of something light, | suitable to wear and protective. All the above ideas are needed to make them bear no burden when wearing these specially designed clothes. ",ADJ PART VERB,,
19,19,RJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",I would be grateful if you could give us our money back. If I cannot get a | satisfactory reply within a month I shall go to the consumer protection organisation to sue you.,ADJ NOUN ADP,I would be grateful if you could give us our money back. If I cannot get a | satisfying reply within a month I shall go to the consumer protection organisation to sue you.,ADJ NOUN ADP,,
20,20,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","As for the colours, I think | metallic colours, especially silver, will be the most popular. As different kinds of fabrics will be invented &amp; and the clothings will never be just cotton as always been seen . Maybe paper can also be a fabric used to make clothing and for those who like to wear new clothes every day. They can be thrown away after wearing them and are light enough to be carried around whenever you want to change what you're wearing. ",ADJ NOUN PUNCT,"As for the colours, I think | metalic colours, especially silver, will be the most popular. As different kinds of fabrics will be invented &amp; and the clothings will never be just cotton as always been seen . Maybe paper can also be a fabric used to make clothing and for those who like to wear new clothes every day. They can be thrown away after wearing them and are light enough to be carried around whenever you want to change what you're wearing. ",ADJ NOUN PUNCT,True,True
21,21,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","The most important development is the Internet , which is connected to the whole world's computers by telephone lines. You can send a letter to your friend by e-mail instead of writing it on a piece of paper and sending it by post. It just takes you a few minutes. How | convenient it is! There are also many more advantages , you . You can buy something in a supermarket by only a mail order , you . You don't need to leave your home. ",ADJ PRON VERB,"The most important development is the Internet , which is connected to the whole world's computers by telephone lines. You can send a letter to your friend by e-mail instead of writing it on a piece of paper and sending it by post. It just takes you a few minutes. How | convenience it is! There are also many more advantages , you . You can buy something in a supermarket by only a mail order , you . You don't need to leave your home. ",NOUN PRON VERB,True,True
22,22,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","To be | honest, I would like you to return the money to me. And explain what had happened. ",ADJ PUNCT PRON,"To be | honestly, I would like you to return the money to me. And explain what had happened. ",ADV PUNCT PRON,True,True
23,23,RJ,False,Misunderstanding of word usage/meaning,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband had been fired the | previous year. Lily felt very nervous about their financial problems and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",ADJ NOUN PUNCT,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband had been fired the | last year. Lily felt very nervous about their financial problems and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",ADJ NOUN PUNCT,,
24,24,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","The first and most important thing is that modern technology has made our life easier, for instance the rice cooker is a great invention, all you have to do is put rice in it and switch it on, it makes cooking more | efficient. Furthermore, we use the computer and telephone a lot. Wherever you are, you can get in touch with people whenever you want. ",ADJ PUNCT ADV,"The first and most important thing is that modern technology has made our life easier, for instance the rice cooker is a great invention, all you have to do is put rice in it and switch it on, it makes cooking more | efficiently . Furthermore, we use the computer and telephone a lot. Wherever you are, you can get in touch with people whenever you want. ",ADV PUNCT ADV,True,True
25,25,RJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so | disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",ADJ PUNCT ADP,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so | disappointing, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",ADJ PUNCT ADP,,
26,26,DJ,True,Misunderstanding of word usage/meaning,"Science and technology can give us a better lifestyle or better food. For example, once people had to walk from one place to another, but now we can use science and technology to produce a lot of | petrol-powered vehicles and we can travel faster with them. We can also produce more and better food by using science and technology . , e.g. by using science to put all the good parts of two plants into one plant. We can also use technology to produce more food and help them grow faster. ",NOUN PUNCT VERB,"Science and technology can give us a better lifestyle or better food. For example, once people had to walk from one place to another, but now we can use science and technology to produce a lot of | petrol vehicles and we can travel faster with them. We can also produce more and better food by using science and technology . , e.g. by using science to put all the good parts of two plants into one plant. We can also use technology to produce more food and help them grow faster. ",NOUN NOUN CCONJ,True,True
27,27,RJ,False,Derived form is wrong,"I had an | unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",ADJ NOUN PUNCT,"I had an | unpleased experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",ADJ NOUN PUNCT,,
28,28,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not | true , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",ADJ PUNCT PRON,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not | truth , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",NOUN PUNCT PRON,True,True
29,29,RJ,False,Misunderstanding of word usage/meaning,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not | right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",ADJ PUNCT PRON,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not | true , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",ADJ PUNCT PRON,,
30,30,FJ,True,Chinese would use word in this context,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was | the longest queue , I have ever been in. ",DET ADJ NOUN,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was | long queue , I have ever been in. ",ADJ NOUN PUNCT,True,True
31,31,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Shopping is enjoyable, if you are | lucky. Even though I think most of the time it is very interesting, sometimes it gets people upset. ",ADJ PUNCT ADV,"Shopping is enjoyable, if you are | luck. Even though I think most of the time it is very interesting, sometimes it gets people upset. ",NOUN PUNCT ADV,True,True
32,32,RJ,False,Misunderstanding of word usage/meaning,"As for selecting two activities, basketball and surfing are definitely on my list. I spend one third of my spare time playing basketball. As a result, I have an important position in our local basketball team. Surfing was a | new sport to me which I took up recently. It is really fascinating to challenge the waves. I wish I could learn to be better so that I could enjoy it more in the future. ",ADJ NOUN ADP,"As for selecting two activities, basketball and surfing are definitely on my list. I spend one third of my spare time playing basketball. As a result, I have an important position in our local basketball team. Surfing was a | fresh sport to me which I took up recently. It is really fascinating to challenge the waves. I wish I could learn to be better so that I could enjoy it more in the future. ",ADJ NOUN ADP,,
33,33,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",Thank you very much for your letter which said I have won first prize in your competition. I was really | surprised to hear that.,ADJ PART VERB,Thank you very much for your letter which said I have won first prize in your competition. I was really | surprise to hear that.,ADJ PART VERB,True,True
34,34,RJ,False,Misunderstanding of word usage/meaning,I am writing to reply to your letter and I am so | pleased to have won the prize. Thank you very much!,ADJ PART VERB,I am writing to reply to your letter and I am so | glad to have won the prize. Thank you very much!,ADJ PART VERB,,
35,35,RJ,False,Misunderstanding of word usage/meaning,"The lifestyle has changed already from the past. Shopping is a common activity in their life. We must focus on the specific lifestyle , which will make us | happy. ",ADJ PUNCT _,"The lifestyle has changed already from the past. Shopping is a common activity in their life. We must focus on the specific lifestyle , which will make us | enjoyable. ",ADJ PUNCT _,,
36,36,RJ,False,Derived form is wrong,"Then I'd like to choose the tents for my accommodation when at Camp California. I think sleeping in a tent is | more fun than other . Also, during my stay at Camp, there are two activities I can choose , for . For one of them I will choose Basketball because it is the sport I play most , . I and my friend used to win the first place in the school-wide match when we were at school. And for the other one, I think painting will be a good idea; painting is one of my hobbies and I've been studying it since I was 5 years old and now I'm still doing it when I have some free time. ",ADJ NOUN ADP,"Then I'd like to choose the tents for my accommodation when at Camp California. I think sleeping in a tent is | funnier than other . Also, during my stay at Camp, there are two activities I can choose , for . For one of them I will choose Basketball because it is the sport I play most , . I and my friend used to win the first place in the school-wide match when we were at school. And for the other one, I think painting will be a good idea; painting is one of my hobbies and I've been studying it since I was 5 years old and now I'm still doing it when I have some free time. ",ADJ ADP ADJ,,
37,37,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Moreover, I am good at playing basketball , in . In fact, I am the captain in the basketball team, which is one of the best | teenage teams in my city, and I also like singing. I play piano very well. Two of my friends and I have a band , we . We sometimes perform in my school club. ",ADJ NOUN ADP,"Moreover, I am good at playing basketball , in . In fact, I am the captain in the basketball team, which is one of the best | teenagers teams in my city, and I also like singing. I play piano very well. Two of my friends and I have a band , we . We sometimes perform in my school club. ",NOUN NOUN ADP,True,True
