,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
39,X,False,Structure differs in Chinese,VERB AUX DET DET,ADV VERB AUX DET DET NOUN,VERB AUX DET DET NOUN,VERB AUX DET DET NOUN ADP,-10.009440422058105,-14.601841926574707,False
40,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX NUM NOUN NOUN,PRON AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT DET,-12.463180541992188,-17.143516540527344,False
41,W,True,Adjective/modifier precedes described object,DET NOUN ADP NOUN,AUX DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP DET,-7.83990478515625,-10.476058959960938,False
42,AS,False,This expression doesn't exist in Chinese,VERB PRON ADJ PART,PUNCT VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX NOUN,-9.863626480102539,-12.337836265563965,False
43,W,False,Interrogative sentence order error,VERB PRON VERB VERB,ADV VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT DET,-10.121634483337402,-10.37011432647705,False
44,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,VERB DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT PRON,-9.310505867004395,-10.187740325927734,False
45,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,ADP DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,-4.310181140899658,-6.663783550262451,False
46,W,False,Order is incorrect in Chinese and English,ADV ADP DET PROPN,VERB ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT ADV,-8.803826332092285,-10.539892196655273,False
47,X,True,Chinese would use phrase in given context,AUX PART AUX PRON,PRON AUX PART AUX PRON PART,AUX PART AUX PRON PART,AUX PART AUX PRON PART AUX,-9.611017227172852,-17.608840942382812,False
49,X,False,Structure differs in Chinese,VERB PRON AUX PART,PRON VERB PRON AUX PART VERB,VERB PRON AUX PART VERB,VERB PRON AUX PART VERB PART,-10.734936714172363,-12.968624114990234,False
50,W,False,Order is incorrect in Chinese and English,PRON ADJ ADP NOUN,VERB PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX ADV,-10.957029342651367,-13.689885139465332,False
53,W,False,Order is incorrect in Chinese and English,NOUN NOUN NUM,DET NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT ADP,-8.303279876708984,-8.842595100402832,False
54,W,False,Order is incorrect in Chinese and English,AUX ADV VERB,AUX AUX ADV VERB PUNCT,AUX ADV VERB PUNCT,AUX ADV VERB PUNCT ADV,-10.357625007629395,-13.896307945251465,False
55,FV,False,Incorrectly using past tense,ADJ VERB PUNCT,AUX ADJ VERB PUNCT,ADJ VERB PUNCT,ADJ VERB PUNCT,-4.655226707458496,-5.182485580444336,False
56,RP,False,Overcorrection,ADP VERB DET,AUX ADP VERB DET ADJ,ADP VERB DET ADJ,ADP VERB DET ADJ PROPN,-7.667015075683594,-9.005053520202637,False
57,U,False,Confusion of phrase meaning and usage,ADP DET NOUN,NOUN ADP DET NOUN PROPN,ADP DET NOUN PROPN,ADP DET NOUN PROPN AUX,-8.165277481079102,-11.057164192199707,False
58,W,True,Sentence could be valid in Chinese,PART AUX ADV,PRON PART AUX ADV PRON,PART AUX ADV PRON,PART AUX ADV PRON CCONJ,-10.974246978759766,-13.840021133422852,False
59,RP,True,Word not capitalized,ADJ ADP NOUN,AUX ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT PUNCT,-5.770612716674805,-7.7398834228515625,False
60,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART AUX PART,NOUN PART AUX PART VERB,PART AUX PART VERB,PART AUX PART VERB DET,-10.199544906616211,-14.025667190551758,False
61,U,False,Confusion of phrase meaning and usage,ADV ADP DET,PUNCT ADV ADP DET NOUN,ADV ADP DET NOUN,ADV ADP DET NOUN AUX,-7.811395645141602,-10.586699485778809,False
63,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB NOUN,ADJ PART VERB NOUN CCONJ,PART VERB NOUN CCONJ,PART VERB NOUN CCONJ NOUN,-7.328369617462158,-7.358985900878906,False
64,TV,False,Using future tense in combination with past confuses Chinese learners,PRON AUX ADV,SCONJ PRON AUX ADV VERB,PRON AUX ADV VERB,PRON AUX ADV VERB DET,-7.049956321716309,-14.01022720336914,False
67,TV,False,semantics issue has finished --> has no potential for being finished has been finish --> ongoing process that has been finished has to do with process,AUX AUX VERB,NOUN AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,-5.760994911193848,-11.661640167236328,False
68,U,True,Chinese conventions conflict with English,ADP DET DET,PUNCT ADP DET DET ADJ,ADP DET DET ADJ,ADP DET DET ADJ NOUN,-6.4730706214904785,-8.276966094970703,False
71,FV,False,Additional auxiliary added,PART AUX VERB,VERB PART AUX VERB ADP,PART AUX VERB ADP,PART AUX VERB ADP NUM,-10.122413635253906,-13.035966873168945,False
72,UP,False,Misunderstanding of comma rule,PROPN PUNCT PROPN,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT NUM,-7.390728950500488,-6.426995277404785,True
73,TV,False,-,VERB ADV VERB,PRON VERB ADV VERB PART,VERB ADV VERB PART,VERB ADV VERB PART VERB,-8.11314868927002,-7.524566650390625,True
74,RP,True,Punctuation error related to Spelling errors (missing space),PROPN ADP DET,ADP PROPN ADP DET PROPN,PROPN ADP DET PROPN,PROPN ADP DET PROPN PUNCT,-4.5969319343566895,-5.9019269943237305,False
75,AS,True,Missing article,DET NOUN AUX,PUNCT DET NOUN AUX ADV,DET NOUN AUX ADV,DET NOUN AUX ADV DET,-7.863487243652344,-12.933809280395508,False
76,TV,False,Using past tense instead of past participle,ADV VERB PRON,NOUN ADV VERB PRON ADP,ADV VERB PRON ADP,ADV VERB PRON ADP NOUN,-7.966289520263672,-7.353075981140137,True
78,UP,False,Overcorrection,PUNCT ADP DET,NOUN PUNCT ADP DET NOUN,PUNCT ADP DET NOUN,PUNCT ADP DET NOUN AUX,-8.390888214111328,-11.370867729187012,False
79,AS,True,Chinese sentence structure differs from English,VERB PRON ADV,PART VERB PRON ADV ADV,VERB PRON ADV ADV,VERB PRON ADV ADV PUNCT,-4.996712684631348,-6.95798397064209,False
80,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP ADJ,NOUN PUNCT ADP ADJ DET,PUNCT ADP ADJ DET,PUNCT ADP ADJ DET PROPN,-8.744646072387695,-9.780076026916504,False
81,TV,False,Using modals to show continuation of an event,AUX ADV AUX,NOUN AUX ADV AUX VERB,AUX ADV AUX VERB,AUX ADV AUX VERB PUNCT,-7.1400837898254395,-13.67978572845459,False
82,W,False,Modal and pronoun in incorrect order,VERB PRON VERB,ADV VERB PRON VERB ADP,VERB PRON VERB ADP,VERB PRON VERB ADP DET,-7.744859218597412,-9.050453186035156,False
84,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET DET,NOUN PUNCT DET DET NOUN,PUNCT DET DET NOUN,PUNCT DET DET NOUN ADP,-8.553834915161133,-10.045387268066406,False
85,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET NOUN,PRON AUX DET NOUN SCONJ,AUX DET NOUN SCONJ,AUX DET NOUN SCONJ ADP,-10.21638298034668,-13.507328033447266,False
86,AGV,True,Not applying the 3rd person present tense suffix -s,PRON VERB PRON,PUNCT PRON VERB PRON AUX,PRON VERB PRON AUX,PRON VERB PRON AUX ADJ,-6.754619598388672,-11.721826553344727,False
88,U,False,Confusion of phrase meaning and usage,DET NOUN ADP,CCONJ DET NOUN ADP VERB,DET NOUN ADP VERB,DET NOUN ADP VERB NOUN,-5.978913307189941,-6.954108238220215,False
90,AS,False,This expression doesn't exist in Chinese,VERB PRON AUX,PRON VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,-5.689201354980469,-10.191194534301758,False
91,UC,False,Wordiness,SCONJ PRON VERB,PUNCT SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ SCONJ,-9.506851196289062,-10.684349060058594,False
92,FN,True,Missing plural,DET NOUN DET,ADV DET NOUN DET VERB,DET NOUN DET VERB,DET NOUN DET VERB PART,-8.72911262512207,-9.452285766601562,False
93,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,-7.521240711212158,-8.748241424560547,False
94,UV,False,Unnecessary auxiliary added,VERB AUX VERB,PRON VERB AUX VERB PROPN,VERB AUX VERB PROPN,VERB AUX VERB PROPN PROPN,-9.331998825073242,-11.818353652954102,False
95,W,True,Sentence could be valid in Chinese,ADP PRON ADV,VERB ADP PRON ADV PUNCT,ADP PRON ADV PUNCT,ADP PRON ADV PUNCT PRON,-9.532417297363281,-9.739681243896484,False
96,FV,True,Progressive aspect not applied,VERB PRON ADJ,PUNCT VERB PRON ADJ PART,VERB PRON ADJ PART,VERB PRON ADJ PART AUX,-9.161273002624512,-11.218889236450195,False
97,X,True,Chinese would use phrase in given context,ADV AUX PART,NOUN ADV AUX PART VERB,ADV AUX PART VERB,ADV AUX PART VERB VERB,-8.716136932373047,-11.87549114227295,False
98,TV,True,Will and would map to the same word in Chinese,ADV PRON VERB,PUNCT ADV PRON VERB VERB,ADV PRON VERB VERB,ADV PRON VERB VERB DET,-7.932969570159912,-8.733866691589355,False
99,DJ,False,Misunderstanding of word usage/meaning,SCONJ ADP NOUN,AUX SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT ADJ,-8.714651107788086,-10.522954940795898,False
100,DN,False,Incorrect/incomplete expression used,VERB PRON ADP,DET VERB PRON ADP PUNCT,VERB PRON ADP PUNCT,VERB PRON ADP PUNCT PUNCT,-5.573688507080078,-8.043563842773438,False
101,FV,False,Incorrectly using past tense,VERB PRON VERB,ADV VERB PRON VERB VERB,VERB PRON VERB VERB,VERB PRON VERB VERB PUNCT,-5.639734268188477,-4.083743095397949,True
102,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,-7.521240711212158,-8.748241424560547,False
103,DN,True,English words map to the same Chinese word,DET NOUN NOUN,PUNCT DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT PUNCT,-4.880104064941406,-5.459598064422607,False
105,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,PRON AUX ADV VERB PROPN,AUX ADV VERB PROPN,AUX ADV VERB PROPN PUNCT,-7.109259128570557,-10.676942825317383,False
110,TV,False,Past perfect progressive used instead of past tense; Extra unecessary auxiliary added,AUX AUX VERB,ADV AUX AUX VERB ADP,AUX AUX VERB ADP,AUX AUX VERB ADP DET,-10.023736953735352,-15.014910697937012,False
112,W,False,Order is incorrect in Chinese and English,VERB PRON ADV,VERB VERB PRON ADV DET,VERB PRON ADV DET,VERB PRON ADV DET ADJ,-8.839427947998047,-10.191932678222656,False
113,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,NOUN AUX ADV VERB VERB,AUX ADV VERB VERB,AUX ADV VERB VERB PUNCT,-7.377972602844238,-10.73632526397705,False
115,U,True,Chinese conventions conflict with English,ADP ADJ NOUN,NOUN ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT CCONJ,-7.352856636047363,-10.032161712646484,False
116,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT PRON,-7.7014241218566895,-7.623541831970215,True
117,AGN,True,Number error,DET NOUN PRON,AUX DET NOUN PRON VERB,DET NOUN PRON VERB,DET NOUN PRON VERB VERB,-6.666802883148193,-7.261265277862549,False
120,U,False,Wordiness,ADP PRON VERB,NOUN ADP PRON VERB AUX,ADP PRON VERB AUX,ADP PRON VERB AUX ADV,-9.522586822509766,-11.345160484313965,False
122,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-6.516456127166748,-5.950233459472656,True
123,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,VERB PART VERB NOUN,PART VERB NOUN,PART VERB NOUN CCONJ,-8.400691032409668,-9.748001098632812,False
124,TV,True,Context carries tense rather than verb.,DET VERB,PRON DET VERB PRON,DET VERB PRON,DET VERB PRON CCONJ,-8.92209243774414,-8.831695556640625,True
125,RP,False,Overcorrection,PUNCT DET,PUNCT PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN CCONJ,-7.873648643493652,-9.010955810546875,False
127,W,False,Order is incorrect in Chinese and English,NOUN NUM,DET NOUN NUM CCONJ,NOUN NUM CCONJ,NOUN NUM CCONJ DET,-9.146942138671875,-9.623550415039062,False
129,FV,False,Present continuous tense used incorrectly,AUX VERB,NOUN AUX VERB NOUN,AUX VERB NOUN,AUX VERB NOUN ADP,-9.64438533782959,-11.353885650634766,False
130,TV,False,Present tense used instead of past present perfect continuous,AUX VERB,NOUN AUX VERB ADV,AUX VERB ADV,AUX VERB ADV PUNCT,-5.588224411010742,-10.099087715148926,False
132,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET NOUN,VERB DET NOUN PUNCT,DET NOUN PUNCT,DET NOUN PUNCT PRON,-7.625818729400635,-7.558201789855957,True
134,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,-7.558141708374023,-11.956733703613281,False
135,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,-7.558141708374023,-11.956733703613281,False
136,TV,True,Subjunctive error,VERB AUX,PRON VERB AUX ADJ,VERB AUX ADJ,VERB AUX ADJ ADP,-10.183863639831543,-11.58263111114502,False
138,U,False,Wordiness,ADV ADJ,DET ADV ADJ NOUN,ADV ADJ NOUN,ADV ADJ NOUN ADP,-7.4325714111328125,-7.325810432434082,True
139,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,VERB ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,-7.453649520874023,-7.284433364868164,True
140,AS,False,Misunderstanding of word usage/meaning,DET ADV,PUNCT DET ADV PUNCT,DET ADV PUNCT,DET ADV PUNCT VERB,-7.381674766540527,-8.473678588867188,False
141,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,ADJ ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,-7.453649520874023,-7.284433364868164,True
142,UV,True,Chinese conventions conflict with English,VERB NOUN,AUX VERB NOUN ADP,VERB NOUN ADP,VERB NOUN ADP DET,-7.997071266174316,-8.61541748046875,False
143,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT ADV,-7.100825309753418,-8.186555862426758,False
145,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT PRON,-8.561217308044434,-6.974422454833984,True
146,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ ADJ,PUNCT SCONJ ADJ,PUNCT SCONJ ADJ NOUN,-7.41984748840332,-7.037769794464111,True
147,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,PROPN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,-6.421430587768555,-6.842767238616943,False
148,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX VERB,-7.001579284667969,-10.1416597366333,False
149,TV,False,Incorrectly using progressive aspect,AUX VERB,DET AUX VERB DET,AUX VERB DET,AUX VERB DET ADJ,-8.966897010803223,-12.69186019897461,False
150,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON DET,-8.626718521118164,-9.17631721496582,False
151,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADP NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-8.428445816040039,-6.4231462478637695,True
152,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,VERB NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,-5.9445648193359375,-5.835969924926758,True
153,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT ADV,-7.163548469543457,-8.682249069213867,False
154,TV,False,Incorrectly using progressive aspect,ADV VERB,PRON ADV VERB ADP,ADV VERB ADP,ADV VERB ADP DET,-7.566429138183594,-8.308817863464355,False
155,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-8.428445816040039,-6.4231462478637695,True
157,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADV,-6.507762908935547,-7.411977767944336,False
158,UP,False,Unexplainable punctuation used,PUNCT VERB,NOUN PUNCT VERB ADP,PUNCT VERB ADP,PUNCT VERB ADP ADJ,-8.30209732055664,-10.16547966003418,False
159,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,-5.9445648193359375,-5.835969924926758,True
161,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT NOUN,NOUN PUNCT NOUN VERB,PUNCT NOUN VERB,PUNCT NOUN VERB PRON,-7.402071952819824,-6.716518402099609,True
162,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX DET,-7.3061933517456055,-10.862288475036621,False
163,UA,False,general grammar rules confusion,DET PRON,PUNCT DET PRON ADV,DET PRON ADV,DET PRON ADV VERB,-8.394872665405273,-6.95766019821167,True
164,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,-6.531130790710449,-6.244041442871094,True
165,TV,True,Chinese would use word in the given context,PRON VERB,PUNCT PRON VERB VERB,PRON VERB VERB,PRON VERB VERB DET,-6.867100715637207,-7.967352390289307,False
166,W,True,Adjective/modifier precedes described object,ADJ ADJ,ADJ ADJ ADJ NOUN,ADJ ADJ NOUN,ADJ ADJ NOUN PUNCT,-4.0069169998168945,-4.905035972595215,False
