,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,nlt,result
10,W,False,Order is incorrect in Chinese and English,PRON VERB VERB ADV ADJ ADV,ADV PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT CCONJ,True,False
11,AS,True,Chinese sentence structure differs from English,NOUN CCONJ NOUN ADP PRON PUNCT,PRON NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON VERB,True,True
12,AS,True,Chinese sentence structure differs from English,DET ADV AUX DET ADJ NOUN,PUNCT DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,False,False
13,AS,False,Misunderstanding of word usage/meaning,ADV PRON VERB SCONJ ADP PROPN,VERB ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,False,True
14,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET ADJ NOUN SCONJ,PRON AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT CCONJ,False,True
20,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN VERB,PUNCT PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP DET,False,False
21,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET NOUN CCONJ PRON,ADV PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB ADP,False,False
22,AS,True,Chinese sentence structure differs from English,VERB DET NOUN ADP PRON,ADP VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT PRON,False,False
24,TV,False,Past progressive used instead of past tense,ADV AUX VERB PUNCT,AUX ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV ADP,False,True
25,W,True,Sentence could be valid in Chinese,ADP DET NOUN ADV,NOUN ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV PRON,False,False
27,W,True,Adjective/modifier precedes described object,NOUN ADP PROPN PROPN,DET NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,False,False
28,AS,False,Error,NOUN PART VERB PUNCT,PRON NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ ADJ,False,True
29,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX DET ADJ NOUN,ADV AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ DET,False,True
31,TV,True,Chinese generally expresses actions in present tense,AUX DET ADJ NOUN,PRON AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ PUNCT,False,False
32,W,False,Order is incorrect in Chinese and English,PART VERB NOUN ADP,NOUN PART VERB NOUN ADP DET,PART VERB NOUN ADP DET,PART VERB NOUN ADP DET NOUN,False,True
33,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN,PUNCT PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX DET,False,False
34,W,True,Sentence could be valid in Chinese,ADP PROPN PROPN ADP,NOUN ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET PROPN,False,False
36,W,True,Sentence could be valid in Chinese,ADJ NOUN PRON VERB,DET ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB PART,True,True
37,W,True,Sentence could be valid in Chinese,ADV DET ADJ NOUN,VERB ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV PRON,False,False
38,X,True,Chinese sentence structure differs from English,VERB NOUN PART ADJ,ADP VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT SCONJ,True,True
39,X,False,Structure differs in Chinese,VERB AUX DET DET,ADV VERB AUX DET DET NOUN,VERB AUX DET DET NOUN,VERB AUX DET DET NOUN ADP,False,True
40,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX NUM NOUN NOUN,PRON AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT DET,False,True
41,W,True,Adjective/modifier precedes described object,DET NOUN ADP NOUN,AUX DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP DET,False,False
42,AS,False,This expression doesn't exist in Chinese,VERB PRON ADJ PART,PUNCT VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX NOUN,False,True
43,W,False,Interrogative sentence order error,VERB PRON VERB VERB,ADV VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT DET,False,True
44,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,VERB DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT PRON,False,False
45,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,ADP DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,False,False
46,W,False,Order is incorrect in Chinese and English,ADV ADP DET PROPN,VERB ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT ADV,False,True
47,X,True,Chinese would use phrase in given context,AUX PART AUX PRON,PRON AUX PART AUX PRON PART,AUX PART AUX PRON PART,AUX PART AUX PRON PART AUX,False,False
49,X,False,Structure differs in Chinese,VERB PRON AUX PART,PRON VERB PRON AUX PART VERB,VERB PRON AUX PART VERB,VERB PRON AUX PART VERB PART,False,True
50,W,False,Order is incorrect in Chinese and English,PRON ADJ ADP NOUN,VERB PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX ADV,False,True
53,W,False,Order is incorrect in Chinese and English,NOUN NOUN NUM,DET NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT ADP,True,False
54,W,False,Order is incorrect in Chinese and English,AUX ADV VERB,AUX AUX ADV VERB PUNCT,AUX ADV VERB PUNCT,AUX ADV VERB PUNCT ADV,False,True
55,FV,False,Incorrectly using past tense,ADJ VERB PUNCT,AUX ADJ VERB PUNCT,ADJ VERB PUNCT,ADJ VERB PUNCT,True,False
56,RP,False,Overcorrection,ADP VERB DET,AUX ADP VERB DET ADJ,ADP VERB DET ADJ,ADP VERB DET ADJ PROPN,False,True
57,U,False,Confusion of phrase meaning and usage,ADP DET NOUN,NOUN ADP DET NOUN PROPN,ADP DET NOUN PROPN,ADP DET NOUN PROPN AUX,False,True
58,W,True,Sentence could be valid in Chinese,PART AUX ADV,PRON PART AUX ADV PRON,PART AUX ADV PRON,PART AUX ADV PRON CCONJ,False,False
59,RP,True,Word not capitalized,ADJ ADP NOUN,AUX ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT PUNCT,False,False
60,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART AUX PART,NOUN PART AUX PART VERB,PART AUX PART VERB,PART AUX PART VERB DET,False,True
61,U,False,Confusion of phrase meaning and usage,ADV ADP DET,PUNCT ADV ADP DET NOUN,ADV ADP DET NOUN,ADV ADP DET NOUN AUX,False,True
63,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB NOUN,ADJ PART VERB NOUN CCONJ,PART VERB NOUN CCONJ,PART VERB NOUN CCONJ NOUN,True,False
64,TV,False,Using future tense in combination with past confuses Chinese learners,PRON AUX ADV,SCONJ PRON AUX ADV VERB,PRON AUX ADV VERB,PRON AUX ADV VERB DET,False,True
67,TV,False,semantics issue has finished --> has no potential for being finished has been finish --> ongoing process that has been finished has to do with process,AUX AUX VERB,NOUN AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,False,True
68,U,True,Chinese conventions conflict with English,ADP DET DET,PUNCT ADP DET DET ADJ,ADP DET DET ADJ,ADP DET DET ADJ NOUN,False,False
71,FV,False,Additional auxiliary added,PART AUX VERB,VERB PART AUX VERB ADP,PART AUX VERB ADP,PART AUX VERB ADP NUM,False,True
72,UP,False,Misunderstanding of comma rule,PROPN PUNCT PROPN,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT NUM,False,True
73,TV,False,-,VERB ADV VERB,PRON VERB ADV VERB PART,VERB ADV VERB PART,VERB ADV VERB PART VERB,True,False
74,RP,True,Punctuation error related to Spelling errors (missing space),PROPN ADP DET,ADP PROPN ADP DET PROPN,PROPN ADP DET PROPN,PROPN ADP DET PROPN PUNCT,False,False
75,AS,True,Missing article,DET NOUN AUX,PUNCT DET NOUN AUX ADV,DET NOUN AUX ADV,DET NOUN AUX ADV DET,False,False
76,TV,False,Using past tense instead of past participle,ADV VERB PRON,NOUN ADV VERB PRON ADP,ADV VERB PRON ADP,ADV VERB PRON ADP NOUN,False,True
78,UP,False,Overcorrection,PUNCT ADP DET,NOUN PUNCT ADP DET NOUN,PUNCT ADP DET NOUN,PUNCT ADP DET NOUN AUX,False,True
79,AS,True,Chinese sentence structure differs from English,VERB PRON ADV,PART VERB PRON ADV ADV,VERB PRON ADV ADV,VERB PRON ADV ADV PUNCT,True,True
80,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP ADJ,NOUN PUNCT ADP ADJ DET,PUNCT ADP ADJ DET,PUNCT ADP ADJ DET PROPN,False,False
81,TV,False,Using modals to show continuation of an event,AUX ADV AUX,NOUN AUX ADV AUX VERB,AUX ADV AUX VERB,AUX ADV AUX VERB PUNCT,False,True
82,W,False,Modal and pronoun in incorrect order,VERB PRON VERB,ADV VERB PRON VERB ADP,VERB PRON VERB ADP,VERB PRON VERB ADP DET,False,True
84,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET DET,NOUN PUNCT DET DET NOUN,PUNCT DET DET NOUN,PUNCT DET DET NOUN ADP,False,False
85,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET NOUN,PRON AUX DET NOUN SCONJ,AUX DET NOUN SCONJ,AUX DET NOUN SCONJ ADP,False,True
86,AGV,True,Not applying the 3rd person present tense suffix -s,PRON VERB PRON,PUNCT PRON VERB PRON AUX,PRON VERB PRON AUX,PRON VERB PRON AUX ADJ,False,False
88,U,False,Confusion of phrase meaning and usage,DET NOUN ADP,CCONJ DET NOUN ADP VERB,DET NOUN ADP VERB,DET NOUN ADP VERB NOUN,False,True
90,AS,False,This expression doesn't exist in Chinese,VERB PRON AUX,PRON VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,False,True
91,UC,False,Wordiness,SCONJ PRON VERB,PUNCT SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ SCONJ,False,True
92,FN,True,Missing plural,DET NOUN DET,ADV DET NOUN DET VERB,DET NOUN DET VERB,DET NOUN DET VERB PART,True,True
93,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,False,False
94,UV,False,Unnecessary auxiliary added,VERB AUX VERB,PRON VERB AUX VERB PROPN,VERB AUX VERB PROPN,VERB AUX VERB PROPN PROPN,False,True
95,W,True,Sentence could be valid in Chinese,ADP PRON ADV,VERB ADP PRON ADV PUNCT,ADP PRON ADV PUNCT,ADP PRON ADV PUNCT PRON,True,True
96,FV,True,Progressive aspect not applied,VERB PRON ADJ,PUNCT VERB PRON ADJ PART,VERB PRON ADJ PART,VERB PRON ADJ PART AUX,True,True
97,X,True,Chinese would use phrase in given context,ADV AUX PART,NOUN ADV AUX PART VERB,ADV AUX PART VERB,ADV AUX PART VERB VERB,False,False
98,TV,True,Will and would map to the same word in Chinese,ADV PRON VERB,PUNCT ADV PRON VERB VERB,ADV PRON VERB VERB,ADV PRON VERB VERB DET,True,True
99,DJ,False,Misunderstanding of word usage/meaning,SCONJ ADP NOUN,AUX SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT ADJ,False,True
100,DN,False,Incorrect/incomplete expression used,VERB PRON ADP,DET VERB PRON ADP PUNCT,VERB PRON ADP PUNCT,VERB PRON ADP PUNCT PUNCT,False,True
101,FV,False,Incorrectly using past tense,VERB PRON VERB,ADV VERB PRON VERB VERB,VERB PRON VERB VERB,VERB PRON VERB VERB PUNCT,True,False
102,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,False,False
103,DN,True,English words map to the same Chinese word,DET NOUN NOUN,PUNCT DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT PUNCT,True,True
105,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,PRON AUX ADV VERB PROPN,AUX ADV VERB PROPN,AUX ADV VERB PROPN PUNCT,False,True
110,TV,False,Past perfect progressive used instead of past tense; Extra unecessary auxiliary added,AUX AUX VERB,ADV AUX AUX VERB ADP,AUX AUX VERB ADP,AUX AUX VERB ADP DET,False,True
112,W,False,Order is incorrect in Chinese and English,VERB PRON ADV,VERB VERB PRON ADV DET,VERB PRON ADV DET,VERB PRON ADV DET ADJ,False,True
113,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,NOUN AUX ADV VERB VERB,AUX ADV VERB VERB,AUX ADV VERB VERB PUNCT,False,True
115,U,True,Chinese conventions conflict with English,ADP ADJ NOUN,NOUN ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT CCONJ,False,False
116,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT PRON,False,False
117,AGN,True,Number error,DET NOUN PRON,AUX DET NOUN PRON VERB,DET NOUN PRON VERB,DET NOUN PRON VERB VERB,True,True
120,U,False,Wordiness,ADP PRON VERB,NOUN ADP PRON VERB AUX,ADP PRON VERB AUX,ADP PRON VERB AUX ADV,False,True
122,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,True,True
123,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,VERB PART VERB NOUN,PART VERB NOUN,PART VERB NOUN CCONJ,True,False
124,TV,True,Context carries tense rather than verb.,DET VERB,PRON DET VERB PRON,DET VERB PRON,DET VERB PRON CCONJ,False,False
125,RP,False,Overcorrection,PUNCT DET,PUNCT PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN CCONJ,False,True
127,W,False,Order is incorrect in Chinese and English,NOUN NUM,DET NOUN NUM CCONJ,NOUN NUM CCONJ,NOUN NUM CCONJ DET,False,True
129,FV,False,Present continuous tense used incorrectly,AUX VERB,NOUN AUX VERB NOUN,AUX VERB NOUN,AUX VERB NOUN ADP,False,True
130,TV,False,Present tense used instead of past present perfect continuous,AUX VERB,NOUN AUX VERB ADV,AUX VERB ADV,AUX VERB ADV PUNCT,False,True
132,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET NOUN,VERB DET NOUN PUNCT,DET NOUN PUNCT,DET NOUN PUNCT PRON,False,True
134,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,False,False
135,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,False,False
136,TV,True,Subjunctive error,VERB AUX,PRON VERB AUX ADJ,VERB AUX ADJ,VERB AUX ADJ ADP,False,False
138,U,False,Wordiness,ADV ADJ,DET ADV ADJ NOUN,ADV ADJ NOUN,ADV ADJ NOUN ADP,False,True
139,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,VERB ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,False,False
140,AS,False,Misunderstanding of word usage/meaning,DET ADV,PUNCT DET ADV PUNCT,DET ADV PUNCT,DET ADV PUNCT VERB,True,False
141,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,ADJ ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,False,False
142,UV,True,Chinese conventions conflict with English,VERB NOUN,AUX VERB NOUN ADP,VERB NOUN ADP,VERB NOUN ADP DET,False,False
143,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT ADV,False,False
145,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT PRON,True,True
146,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ ADJ,PUNCT SCONJ ADJ,PUNCT SCONJ ADJ NOUN,False,True
147,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,PROPN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,True,True
148,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX VERB,False,True
149,TV,False,Incorrectly using progressive aspect,AUX VERB,DET AUX VERB DET,AUX VERB DET,AUX VERB DET ADJ,False,True
150,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON DET,False,False
151,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADP NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,True,False
152,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,VERB NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,False,True
153,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT ADV,True,False
154,TV,False,Incorrectly using progressive aspect,ADV VERB,PRON ADV VERB ADP,ADV VERB ADP,ADV VERB ADP DET,False,True
155,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,True,True
157,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADV,False,False
158,UP,False,Unexplainable punctuation used,PUNCT VERB,NOUN PUNCT VERB ADP,PUNCT VERB ADP,PUNCT VERB ADP ADJ,False,True
159,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,False,True
161,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT NOUN,NOUN PUNCT NOUN VERB,PUNCT NOUN VERB,PUNCT NOUN VERB PRON,True,True
162,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX DET,False,False
163,UA,False,general grammar rules confusion,DET PRON,PUNCT DET PRON ADV,DET PRON ADV,DET PRON ADV VERB,False,True
164,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,True,True
165,TV,True,Chinese would use word in the given context,PRON VERB,PUNCT PRON VERB VERB,PRON VERB VERB,PRON VERB VERB DET,False,False
166,W,True,Adjective/modifier precedes described object,ADJ ADJ,ADJ ADJ ADJ NOUN,ADJ ADJ NOUN,ADJ ADJ NOUN PUNCT,True,True
167,W,False,Order is incorrect in Chinese and English,AUX ADV,VERB AUX ADV ADJ,AUX ADV ADJ,AUX ADV ADJ PART,False,True
168,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN PUNCT,True,True
169,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,VERB PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,True,True
170,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,AUX PUNCT ADV PUNCT,PUNCT ADV PUNCT,PUNCT ADV PUNCT PRON,True,True
171,RP,True,Word not capitalized,VERB PRON,VERB VERB PRON PUNCT,VERB PRON PUNCT,VERB PRON PUNCT CCONJ,False,False
172,TV,True,Chinese would use word in the given context,VERB VERB,PRON VERB VERB SCONJ,VERB VERB SCONJ,VERB VERB SCONJ VERB,True,True
173,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,PRON PART VERB DET,PART VERB DET,PART VERB DET NOUN,True,False
174,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,True,True
175,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,True,True
176,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,PRON PART VERB ADJ,PART VERB ADJ,PART VERB ADJ NOUN,True,False
178,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX DET,False,True
180,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,AUX PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,False,False
181,UV,True,Chinese conventions conflict with English,PART VERB,NOUN PART VERB PUNCT,PART VERB PUNCT,PART VERB PUNCT DET,True,True
182,RP,True,Word not capitalized,NOUN PROPN,DET NOUN PROPN AUX,NOUN PROPN AUX,NOUN PROPN AUX VERB,False,False
183,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,PROPN PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX SCONJ,False,False
184,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,True,True
185,UP,False,Overcorrection,NOUN PART,ADV NOUN PART CCONJ,NOUN PART CCONJ,NOUN PART CCONJ ADJ,False,True
186,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,PRON PART VERB ADP,PART VERB ADP,PART VERB ADP DET,False,True
187,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,ADV PART VERB DET,PART VERB DET,PART VERB DET NOUN,True,False
188,W,True,Adjective/modifier precedes described object,ADJ NUM,DET ADJ NUM NOUN,ADJ NUM NOUN,ADJ NUM NOUN PUNCT,True,True
189,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PROPN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,False,False
190,UP,True,Chinese possessive modifier is used in this context,NOUN PART,VERB NOUN PART NOUN,NOUN PART NOUN,NOUN PART NOUN DET,True,True
191,RP,False,Punctuation error related to Spelling errors (extra spaces),ADP NOUN,PROPN ADP NOUN ADP,ADP NOUN ADP,ADP NOUN ADP VERB,False,True
192,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PRON PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,True,True
193,U,True,Chinese does not use conjunctions to join clauses,PUNCT CCONJ,ADV PUNCT CCONJ ADP,PUNCT CCONJ ADP,PUNCT CCONJ ADP DET,False,False
194,MP,True,Chinese sentence structure differs from English,ADP NOUN,NOUN ADP NOUN ADP,ADP NOUN ADP,ADP NOUN ADP DET,False,False
