,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
10,W,False,Order is incorrect in Chinese and English,PRON VERB VERB ADV ADJ ADV,ADV PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT CCONJ,-7.266438007354736,-10.318696975708008,False
11,AS,True,Chinese sentence structure differs from English,NOUN CCONJ NOUN ADP PRON PUNCT,PRON NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON VERB,-11.144427299499512,-11.189118385314941,False
12,AS,True,Chinese sentence structure differs from English,DET ADV AUX DET ADJ NOUN,PUNCT DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,-7.113799095153809,-12.055460929870605,False
13,AS,False,Misunderstanding of word usage/meaning,ADV PRON VERB SCONJ ADP PROPN,VERB ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,-6.820023059844971,-10.470534324645996,False
14,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET ADJ NOUN SCONJ,PRON AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT CCONJ,-8.30099105834961,-14.55441951751709,False
20,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN VERB,PUNCT PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP DET,-9.28825569152832,-10.98426342010498,False
21,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET NOUN CCONJ PRON,ADV PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB ADP,-9.609482765197754,-9.56926441192627,True
22,AS,True,Chinese sentence structure differs from English,VERB DET NOUN ADP PRON,ADP VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT PRON,-5.050419330596924,-7.752589702606201,False
24,TV,False,Past progressive used instead of past tense,ADV AUX VERB PUNCT,AUX ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV ADP,-10.422683715820312,-12.69326400756836,False
25,W,True,Sentence could be valid in Chinese,ADP DET NOUN ADV,NOUN ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV PRON,-6.485513687133789,-8.105634689331055,False
27,W,True,Adjective/modifier precedes described object,NOUN ADP PROPN PROPN,DET NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,-3.815734624862671,-5.871469497680664,False
28,AS,False,Error,NOUN PART VERB PUNCT,PRON NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ ADJ,-9.816923141479492,-9.65980339050293,True
29,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX DET ADJ NOUN,ADV AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ DET,-10.011089324951172,-14.050809860229492,False
31,TV,True,Chinese generally expresses actions in present tense,AUX DET ADJ NOUN,PRON AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ PUNCT,-10.011089324951172,-14.050809860229492,False
32,W,False,Order is incorrect in Chinese and English,PART VERB NOUN ADP,NOUN PART VERB NOUN ADP DET,PART VERB NOUN ADP DET,PART VERB NOUN ADP DET NOUN,-8.859228134155273,-10.436156272888184,False
33,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN,PUNCT PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX DET,-8.588325500488281,-10.531993865966797,False
34,W,True,Sentence could be valid in Chinese,ADP PROPN PROPN ADP,NOUN ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET PROPN,-9.359498023986816,-9.589530944824219,False
36,W,True,Sentence could be valid in Chinese,ADJ NOUN PRON VERB,DET ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB PART,-7.461246013641357,-8.572052001953125,False
37,W,True,Sentence could be valid in Chinese,ADV DET ADJ NOUN,VERB ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV PRON,-7.172131538391113,-6.769492149353027,True
38,X,True,Chinese sentence structure differs from English,VERB NOUN PART ADJ,ADP VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT SCONJ,-8.483620643615723,-9.043773651123047,False
39,X,False,Structure differs in Chinese,VERB AUX DET DET,ADV VERB AUX DET DET NOUN,VERB AUX DET DET NOUN,VERB AUX DET DET NOUN ADP,-8.865026473999023,-11.876745223999023,False
40,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX NUM NOUN NOUN,PRON AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT DET,-7.51387357711792,-10.591755867004395,False
41,W,True,Adjective/modifier precedes described object,DET NOUN ADP NOUN,AUX DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP DET,-7.007772445678711,-8.358697891235352,False
42,AS,False,This expression doesn't exist in Chinese,VERB PRON ADJ PART,PUNCT VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX NOUN,-9.161273002624512,-11.218889236450195,False
43,W,False,Interrogative sentence order error,VERB PRON VERB VERB,ADV VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT DET,-5.639734268188477,-4.083743095397949,True
44,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,VERB DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT PRON,-4.310181140899658,-6.663783550262451,False
45,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,ADP DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,-4.310181140899658,-6.663783550262451,False
46,W,False,Order is incorrect in Chinese and English,ADV ADP DET PROPN,VERB ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT ADV,-4.801710605621338,-6.2441606521606445,False
47,X,True,Chinese would use phrase in given context,AUX PART AUX PRON,PRON AUX PART AUX PRON PART,AUX PART AUX PRON PART,AUX PART AUX PRON PART AUX,-9.22331428527832,-14.45781421661377,False
49,X,False,Structure differs in Chinese,VERB PRON AUX PART,PRON VERB PRON AUX PART VERB,VERB PRON AUX PART VERB,VERB PRON AUX PART VERB PART,-7.927506923675537,-11.47821044921875,False
50,W,False,Order is incorrect in Chinese and English,PRON ADJ ADP NOUN,VERB PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX ADV,-9.42884635925293,-12.283844947814941,False
53,W,False,Order is incorrect in Chinese and English,NOUN NOUN NUM,DET NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT ADP,-4.8744072914123535,-4.171065807342529,True
54,W,False,Order is incorrect in Chinese and English,AUX ADV VERB,AUX AUX ADV VERB PUNCT,AUX ADV VERB PUNCT,AUX ADV VERB PUNCT ADV,-5.717953681945801,-10.513096809387207,False
55,FV,False,Incorrectly using past tense,ADJ VERB PUNCT,AUX ADJ VERB PUNCT,ADJ VERB PUNCT,ADJ VERB PUNCT,-4.655226707458496,-5.182485580444336,False
56,RP,False,Overcorrection,ADP VERB DET,AUX ADP VERB DET ADJ,ADP VERB DET ADJ,ADP VERB DET ADJ PROPN,-7.2883830070495605,-8.86384391784668,False
57,U,False,Confusion of phrase meaning and usage,ADP DET NOUN,NOUN ADP DET NOUN PROPN,ADP DET NOUN PROPN,ADP DET NOUN PROPN AUX,-5.330970287322998,-6.763699054718018,False
58,W,True,Sentence could be valid in Chinese,PART AUX ADV,PRON PART AUX ADV PRON,PART AUX ADV PRON,PART AUX ADV PRON CCONJ,-8.57371711730957,-11.414247512817383,False
59,RP,True,Word not capitalized,ADJ ADP NOUN,AUX ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT PUNCT,-4.662323951721191,-6.498350620269775,False
60,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART AUX PART,NOUN PART AUX PART VERB,PART AUX PART VERB,PART AUX PART VERB DET,-7.733743190765381,-10.9012451171875,False
61,U,False,Confusion of phrase meaning and usage,ADV ADP DET,PUNCT ADV ADP DET NOUN,ADV ADP DET NOUN,ADV ADP DET NOUN AUX,-5.444183826446533,-5.844971656799316,False
63,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB NOUN,ADJ PART VERB NOUN CCONJ,PART VERB NOUN CCONJ,PART VERB NOUN CCONJ NOUN,-8.400691032409668,-9.748001098632812,False
64,TV,False,Using future tense in combination with past confuses Chinese learners,PRON AUX ADV,SCONJ PRON AUX ADV VERB,PRON AUX ADV VERB,PRON AUX ADV VERB DET,-5.267322540283203,-10.464836120605469,False
67,TV,False,semantics issue has finished --> has no potential for being finished has been finish --> ongoing process that has been finished has to do with process,AUX AUX VERB,NOUN AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,-5.760994911193848,-11.661640167236328,False
68,U,True,Chinese conventions conflict with English,ADP DET DET,PUNCT ADP DET DET ADJ,ADP DET DET ADJ,ADP DET DET ADJ NOUN,-7.421710014343262,-9.370723724365234,False
71,FV,False,Additional auxiliary added,PART AUX VERB,VERB PART AUX VERB ADP,PART AUX VERB ADP,PART AUX VERB ADP NUM,-8.001835823059082,-12.223821640014648,False
72,UP,False,Misunderstanding of comma rule,PROPN PUNCT PROPN,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT NUM,-3.6995811462402344,-3.9935457706451416,False
73,TV,False,-,VERB ADV VERB,PRON VERB ADV VERB PART,VERB ADV VERB PART,VERB ADV VERB PART VERB,-9.118391036987305,-6.3258957862854,True
74,RP,True,Punctuation error related to Spelling errors (missing space),PROPN ADP DET,ADP PROPN ADP DET PROPN,PROPN ADP DET PROPN,PROPN ADP DET PROPN PUNCT,-5.492671489715576,-6.9617204666137695,False
75,AS,True,Missing article,DET NOUN AUX,PUNCT DET NOUN AUX ADV,DET NOUN AUX ADV,DET NOUN AUX ADV DET,-6.444890022277832,-10.554489135742188,False
76,TV,False,Using past tense instead of past participle,ADV VERB PRON,NOUN ADV VERB PRON ADP,ADV VERB PRON ADP,ADV VERB PRON ADP NOUN,-8.020049095153809,-7.850071907043457,True
78,UP,False,Overcorrection,PUNCT ADP DET,NOUN PUNCT ADP DET NOUN,PUNCT ADP DET NOUN,PUNCT ADP DET NOUN AUX,-6.071384429931641,-7.012767314910889,False
79,AS,True,Chinese sentence structure differs from English,VERB PRON ADV,PART VERB PRON ADV ADV,VERB PRON ADV ADV,VERB PRON ADV ADV PUNCT,-6.813365936279297,-7.362816333770752,False
80,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP ADJ,NOUN PUNCT ADP ADJ DET,PUNCT ADP ADJ DET,PUNCT ADP ADJ DET PROPN,-8.575586318969727,-9.097171783447266,False
81,TV,False,Using modals to show continuation of an event,AUX ADV AUX,NOUN AUX ADV AUX VERB,AUX ADV AUX VERB,AUX ADV AUX VERB PUNCT,-9.037418365478516,-12.653910636901855,False
82,W,False,Modal and pronoun in incorrect order,VERB PRON VERB,ADV VERB PRON VERB ADP,VERB PRON VERB ADP,VERB PRON VERB ADP DET,-6.810275554656982,-8.046364784240723,False
84,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET DET,NOUN PUNCT DET DET NOUN,PUNCT DET DET NOUN,PUNCT DET DET NOUN ADP,-7.099297046661377,-7.3202900886535645,False
85,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET NOUN,PRON AUX DET NOUN SCONJ,AUX DET NOUN SCONJ,AUX DET NOUN SCONJ ADP,-8.260560989379883,-12.552674293518066,False
86,AGV,True,Not applying the 3rd person present tense suffix -s,PRON VERB PRON,PUNCT PRON VERB PRON AUX,PRON VERB PRON AUX,PRON VERB PRON AUX ADJ,-6.9645538330078125,-9.73323917388916,False
88,U,False,Confusion of phrase meaning and usage,DET NOUN ADP,CCONJ DET NOUN ADP VERB,DET NOUN ADP VERB,DET NOUN ADP VERB NOUN,-6.120525360107422,-6.73164176940918,False
90,AS,False,This expression doesn't exist in Chinese,VERB PRON AUX,PRON VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,-5.689201354980469,-10.191194534301758,False
91,UC,False,Wordiness,SCONJ PRON VERB,PUNCT SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ SCONJ,-7.122401237487793,-8.73774242401123,False
92,FN,True,Missing plural,DET NOUN DET,ADV DET NOUN DET VERB,DET NOUN DET VERB,DET NOUN DET VERB PART,-6.362673759460449,-8.92024040222168,False
93,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,-2.3860995769500732,-3.6049630641937256,False
94,UV,False,Unnecessary auxiliary added,VERB AUX VERB,PRON VERB AUX VERB PROPN,VERB AUX VERB PROPN,VERB AUX VERB PROPN PROPN,-8.496294021606445,-10.632973670959473,False
95,W,True,Sentence could be valid in Chinese,ADP PRON ADV,VERB ADP PRON ADV PUNCT,ADP PRON ADV PUNCT,ADP PRON ADV PUNCT PRON,-5.487064361572266,-6.64983606338501,False
96,FV,True,Progressive aspect not applied,VERB PRON ADJ,PUNCT VERB PRON ADJ PART,VERB PRON ADJ PART,VERB PRON ADJ PART AUX,-9.168024063110352,-8.297853469848633,True
97,X,True,Chinese would use phrase in given context,ADV AUX PART,NOUN ADV AUX PART VERB,ADV AUX PART VERB,ADV AUX PART VERB VERB,-7.5004119873046875,-10.590108871459961,False
98,TV,True,Will and would map to the same word in Chinese,ADV PRON VERB,PUNCT ADV PRON VERB VERB,ADV PRON VERB VERB,ADV PRON VERB VERB DET,-5.6008405685424805,-4.93266487121582,True
99,DJ,False,Misunderstanding of word usage/meaning,SCONJ ADP NOUN,AUX SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT ADJ,-4.193808555603027,-5.705508232116699,False
100,DN,False,Incorrect/incomplete expression used,VERB PRON ADP,DET VERB PRON ADP PUNCT,VERB PRON ADP PUNCT,VERB PRON ADP PUNCT PUNCT,-4.619848251342773,-6.760967254638672,False
101,FV,False,Incorrectly using past tense,VERB PRON VERB,ADV VERB PRON VERB VERB,VERB PRON VERB VERB,VERB PRON VERB VERB PUNCT,-7.060915470123291,-6.042176246643066,True
102,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,-2.3860995769500732,-3.6049630641937256,False
103,DN,True,English words map to the same Chinese word,DET NOUN NOUN,PUNCT DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT PUNCT,-3.573436737060547,-3.8369455337524414,False
105,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,PRON AUX ADV VERB PROPN,AUX ADV VERB PROPN,AUX ADV VERB PROPN PUNCT,-8.169797897338867,-10.925071716308594,False
110,TV,False,Past perfect progressive used instead of past tense; Extra unecessary auxiliary added,AUX AUX VERB,ADV AUX AUX VERB ADP,AUX AUX VERB ADP,AUX AUX VERB ADP DET,-8.532184600830078,-13.190258026123047,False
112,W,False,Order is incorrect in Chinese and English,VERB PRON ADV,VERB VERB PRON ADV DET,VERB PRON ADV DET,VERB PRON ADV DET ADJ,-8.249177932739258,-8.631492614746094,False
113,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,NOUN AUX ADV VERB VERB,AUX ADV VERB VERB,AUX ADV VERB VERB PUNCT,-8.952903747558594,-10.779293060302734,False
115,U,True,Chinese conventions conflict with English,ADP ADJ NOUN,NOUN ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT CCONJ,-3.003045082092285,-4.059325218200684,False
116,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT PRON,-2.3860995769500732,-3.6049630641937256,False
117,AGN,True,Number error,DET NOUN PRON,AUX DET NOUN PRON VERB,DET NOUN PRON VERB,DET NOUN PRON VERB VERB,-5.474942207336426,-6.6454010009765625,False
120,U,False,Wordiness,ADP PRON VERB,NOUN ADP PRON VERB AUX,ADP PRON VERB AUX,ADP PRON VERB AUX ADV,-7.9250569343566895,-9.939120292663574,False
122,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-5.68824577331543,-5.788882255554199,False
123,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,VERB PART VERB NOUN,PART VERB NOUN,PART VERB NOUN CCONJ,-5.567583084106445,-5.518923759460449,True
124,TV,True,Context carries tense rather than verb.,DET VERB,PRON DET VERB PRON,DET VERB PRON,DET VERB PRON CCONJ,-6.218415260314941,-6.618427753448486,False
125,RP,False,Overcorrection,PUNCT DET,PUNCT PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN CCONJ,-5.688526153564453,-5.948286056518555,False
127,W,False,Order is incorrect in Chinese and English,NOUN NUM,DET NOUN NUM CCONJ,NOUN NUM CCONJ,NOUN NUM CCONJ DET,-8.081987380981445,-8.10445499420166,False
129,FV,False,Present continuous tense used incorrectly,AUX VERB,NOUN AUX VERB NOUN,AUX VERB NOUN,AUX VERB NOUN ADP,-6.885072708129883,-9.503705024719238,False
130,TV,False,Present tense used instead of past present perfect continuous,AUX VERB,NOUN AUX VERB ADV,AUX VERB ADV,AUX VERB ADV PUNCT,-6.7188615798950195,-9.988611221313477,False
132,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET NOUN,VERB DET NOUN PUNCT,DET NOUN PUNCT,DET NOUN PUNCT PRON,-3.3438291549682617,-3.534750461578369,False
134,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,-5.383158206939697,-9.59133529663086,False
135,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,-5.383158206939697,-9.59133529663086,False
136,TV,True,Subjunctive error,VERB AUX,PRON VERB AUX ADJ,VERB AUX ADJ,VERB AUX ADJ ADP,-6.79292631149292,-10.214851379394531,False
138,U,False,Wordiness,ADV ADJ,DET ADV ADJ NOUN,ADV ADJ NOUN,ADV ADJ NOUN ADP,-5.3885955810546875,-5.452826023101807,False
139,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,VERB ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,-4.427311420440674,-4.297308444976807,True
140,AS,False,Misunderstanding of word usage/meaning,DET ADV,PUNCT DET ADV PUNCT,DET ADV PUNCT,DET ADV PUNCT VERB,-5.098740577697754,-5.298763751983643,False
141,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,ADJ ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,-4.427311420440674,-4.297308444976807,True
142,UV,True,Chinese conventions conflict with English,VERB NOUN,AUX VERB NOUN ADP,VERB NOUN ADP,VERB NOUN ADP DET,-6.523250579833984,-5.993576526641846,True
143,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT ADV,-3.6745376586914062,-3.2047278881073,True
145,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT PRON,-3.6745376586914062,-3.2047278881073,True
146,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ ADJ,PUNCT SCONJ ADJ,PUNCT SCONJ ADJ NOUN,-6.936084747314453,-8.320295333862305,False
147,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,PROPN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,-5.688526153564453,-5.948286056518555,False
148,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX VERB,-6.584131240844727,-8.993627548217773,False
149,TV,False,Incorrectly using progressive aspect,AUX VERB,DET AUX VERB DET,AUX VERB DET,AUX VERB DET ADJ,-6.915292739868164,-11.157712936401367,False
150,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON DET,-6.6208367347717285,-6.183224678039551,True
151,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADP NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-3.781497001647949,-2.7727162837982178,True
152,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,VERB NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,-6.03188943862915,-6.254598617553711,False
153,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT ADV,-3.781497001647949,-2.7727162837982178,True
154,TV,False,Incorrectly using progressive aspect,ADV VERB,PRON ADV VERB ADP,ADV VERB ADP,ADV VERB ADP DET,-5.790158271789551,-7.351909637451172,False
155,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-3.781497001647949,-2.7727162837982178,True
157,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADV,-5.68824577331543,-5.788882255554199,False
158,UP,False,Unexplainable punctuation used,PUNCT VERB,NOUN PUNCT VERB ADP,PUNCT VERB ADP,PUNCT VERB ADP ADJ,-6.101990222930908,-7.7674455642700195,False
159,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,-6.03188943862915,-6.254598617553711,False
161,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT NOUN,NOUN PUNCT NOUN VERB,PUNCT NOUN VERB,PUNCT NOUN VERB PRON,-5.845170974731445,-5.049853324890137,True
162,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX DET,-6.584131240844727,-8.993627548217773,False
163,UA,False,general grammar rules confusion,DET PRON,PUNCT DET PRON ADV,DET PRON ADV,DET PRON ADV VERB,-7.761042594909668,-7.927425384521484,False
164,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,-7.02436637878418,-7.043272018432617,False
165,TV,True,Chinese would use word in the given context,PRON VERB,PUNCT PRON VERB VERB,PRON VERB VERB,PRON VERB VERB DET,-5.228297233581543,-5.464967727661133,False
