,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
10,W,False,Order is incorrect in Chinese and English,PRON VERB VERB ADV ADJ ADV,ADV PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT CCONJ,-8.458491325378418,-11.132675170898438,False
11,AS,True,Chinese sentence structure differs from English,NOUN CCONJ NOUN ADP PRON PUNCT,PRON NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON VERB,-14.792572975158691,-13.155316352844238,True
12,AS,True,Chinese sentence structure differs from English,DET ADV AUX DET ADJ NOUN,PUNCT DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,-7.952226638793945,-13.508044242858887,False
13,AS,False,Misunderstanding of word usage/meaning,ADV PRON VERB SCONJ ADP PROPN,VERB ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,-9.584153175354004,-11.809006690979004,False
14,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET ADJ NOUN SCONJ,PRON AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT CCONJ,-7.070740699768066,-15.513760566711426,False
20,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN VERB,PUNCT PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP DET,-11.19945240020752,-13.35411262512207,False
21,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET NOUN CCONJ PRON,ADV PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB ADP,-9.423333168029785,-9.480697631835938,False
22,AS,True,Chinese sentence structure differs from English,VERB DET NOUN ADP PRON,ADP VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT PRON,-5.9619317054748535,-9.182290077209473,False
24,TV,False,Past progressive used instead of past tense,ADV AUX VERB PUNCT,AUX ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV ADP,-12.080065727233887,-15.988983154296875,False
25,W,True,Sentence could be valid in Chinese,ADP DET NOUN ADV,NOUN ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV PRON,-7.423519134521484,-9.164353370666504,False
27,W,True,Adjective/modifier precedes described object,NOUN ADP PROPN PROPN,DET NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,-4.386528968811035,-7.206389427185059,False
28,AS,False,Error,NOUN PART VERB PUNCT,PRON NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ ADJ,-13.139056205749512,-11.12771987915039,True
29,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX DET ADJ NOUN,ADV AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ DET,-9.483656883239746,-15.019908905029297,False
31,TV,True,Chinese generally expresses actions in present tense,AUX DET ADJ NOUN,PRON AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ PUNCT,-8.780838966369629,-15.010149955749512,False
32,W,False,Order is incorrect in Chinese and English,PART VERB NOUN ADP,NOUN PART VERB NOUN ADP DET,PART VERB NOUN ADP DET,PART VERB NOUN ADP DET NOUN,-9.904945373535156,-11.112894058227539,False
33,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN,PUNCT PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX DET,-10.499521255493164,-12.901843070983887,False
34,W,True,Sentence could be valid in Chinese,ADP PROPN PROPN ADP,NOUN ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET PROPN,-8.733573913574219,-9.845762252807617,False
36,W,True,Sentence could be valid in Chinese,ADJ NOUN PRON VERB,DET ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB PART,-7.180775165557861,-9.672075271606445,False
37,W,True,Sentence could be valid in Chinese,ADV DET ADJ NOUN,VERB ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV PRON,-8.900699615478516,-9.118558883666992,False
38,X,True,Chinese sentence structure differs from English,VERB NOUN PART ADJ,ADP VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT SCONJ,-9.67359447479248,-9.847855567932129,False
39,X,False,Structure differs in Chinese,VERB AUX DET DET,ADV VERB AUX DET DET NOUN,VERB AUX DET DET NOUN,VERB AUX DET DET NOUN ADP,-10.024744033813477,-12.78706169128418,False
40,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX NUM NOUN NOUN,PRON AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT,AUX NUM NOUN NOUN PUNCT DET,-5.508669853210449,-11.551095962524414,False
41,W,True,Adjective/modifier precedes described object,DET NOUN ADP NOUN,AUX DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP,DET NOUN ADP NOUN ADP DET,-9.0513916015625,-15.407173156738281,False
42,AS,False,This expression doesn't exist in Chinese,VERB PRON ADJ PART,PUNCT VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX,VERB PRON ADJ PART AUX NOUN,-10.25601863861084,-12.691008567810059,False
43,W,False,Interrogative sentence order error,VERB PRON VERB VERB,ADV VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT,VERB PRON VERB VERB PUNCT DET,-5.79917049407959,-4.479798316955566,True
44,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,VERB DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT PRON,-5.050419330596924,-7.752589702606201,False
45,W,True,Adjective/modifier precedes described object,DET NOUN ADP PRON,ADP DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,DET NOUN ADP PRON PUNCT,-4.80624532699585,-8.007918357849121,False
46,W,False,Order is incorrect in Chinese and English,ADV ADP DET PROPN,VERB ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT,ADV ADP DET PROPN PUNCT ADV,-6.0509867668151855,-8.69603157043457,False
47,X,True,Chinese would use phrase in given context,AUX PART AUX PRON,PRON AUX PART AUX PRON PART,AUX PART AUX PRON PART,AUX PART AUX PRON PART AUX,-9.082463264465332,-15.417153358459473,False
49,X,False,Structure differs in Chinese,VERB PRON AUX PART,PRON VERB PRON AUX PART VERB,VERB PRON AUX PART VERB,VERB PRON AUX PART VERB PART,-6.895073413848877,-12.113189697265625,False
50,W,False,Order is incorrect in Chinese and English,PRON ADJ ADP NOUN,VERB PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX,PRON ADJ ADP NOUN AUX ADV,-9.489629745483398,-13.214242935180664,False
53,W,False,Order is incorrect in Chinese and English,NOUN NOUN NUM,DET NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT,NOUN NOUN NUM PUNCT ADP,-6.493603706359863,-5.607839107513428,True
54,W,False,Order is incorrect in Chinese and English,AUX ADV VERB,AUX AUX ADV VERB PUNCT,AUX ADV VERB PUNCT,AUX ADV VERB PUNCT ADV,-7.12341833114624,-12.759769439697266,False
55,FV,False,Incorrectly using past tense,ADJ VERB PUNCT,AUX ADJ VERB PUNCT,ADJ VERB PUNCT,ADJ VERB PUNCT,-6.665679931640625,-9.545059204101562,False
56,RP,False,Overcorrection,ADP VERB DET,AUX ADP VERB DET ADJ,ADP VERB DET ADJ,ADP VERB DET ADJ PROPN,-10.80695915222168,-14.261529922485352,False
57,U,False,Confusion of phrase meaning and usage,ADP DET NOUN,NOUN ADP DET NOUN PROPN,ADP DET NOUN PROPN,ADP DET NOUN PROPN AUX,-6.744894027709961,-8.013799667358398,False
58,W,True,Sentence could be valid in Chinese,PART AUX ADV,PRON PART AUX ADV PRON,PART AUX ADV PRON,PART AUX ADV PRON CCONJ,-8.754549026489258,-11.929161071777344,False
59,RP,True,Word not capitalized,ADJ ADP NOUN,AUX ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT,ADJ ADP NOUN PUNCT PUNCT,-6.486473560333252,-10.005578994750977,False
60,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART AUX PART,NOUN PART AUX PART VERB,PART AUX PART VERB,PART AUX PART VERB DET,-9.443815231323242,-11.511795043945312,False
61,U,False,Confusion of phrase meaning and usage,ADV ADP DET,PUNCT ADV ADP DET NOUN,ADV ADP DET NOUN,ADV ADP DET NOUN AUX,-6.9125657081604,-7.94173526763916,False
63,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB NOUN,ADJ PART VERB NOUN CCONJ,PART VERB NOUN CCONJ,PART VERB NOUN CCONJ NOUN,-9.652875900268555,-11.609018325805664,False
64,TV,False,Using future tense in combination with past confuses Chinese learners,PRON AUX ADV,SCONJ PRON AUX ADV VERB,PRON AUX ADV VERB,PRON AUX ADV VERB DET,-6.558954238891602,-11.047836303710938,False
67,TV,False,semantics issue has finished --> has no potential for being finished has been finish --> ongoing process that has been finished has to do with process,AUX AUX VERB,NOUN AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,AUX AUX VERB PUNCT,-4.357821941375732,-12.65900993347168,False
68,U,True,Chinese conventions conflict with English,ADP DET DET,PUNCT ADP DET DET ADJ,ADP DET DET ADJ,ADP DET DET ADJ NOUN,-9.497489929199219,-10.846502304077148,False
71,FV,False,Additional auxiliary added,PART AUX VERB,VERB PART AUX VERB ADP,PART AUX VERB ADP,PART AUX VERB ADP NUM,-8.729022979736328,-12.81442642211914,False
72,UP,False,Misunderstanding of comma rule,PROPN PUNCT PROPN,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT,PROPN PUNCT PROPN PUNCT NUM,-3.6995811462402344,-3.9935457706451416,False
73,TV,False,-,VERB ADV VERB,PRON VERB ADV VERB PART,VERB ADV VERB PART,VERB ADV VERB PART VERB,-8.059871673583984,-6.413271903991699,True
74,RP,True,Punctuation error related to Spelling errors (missing space),PROPN ADP DET,ADP PROPN ADP DET PROPN,PROPN ADP DET PROPN,PROPN ADP DET PROPN PUNCT,-7.01186990737915,-8.136595726013184,False
75,AS,True,Missing article,DET NOUN AUX,PUNCT DET NOUN AUX ADV,DET NOUN AUX ADV,DET NOUN AUX ADV DET,-7.838942527770996,-11.502636909484863,False
76,TV,False,Using past tense instead of past participle,ADV VERB PRON,NOUN ADV VERB PRON ADP,ADV VERB PRON ADP,ADV VERB PRON ADP NOUN,-8.467140197753906,-9.033714294433594,False
78,UP,False,Overcorrection,PUNCT ADP DET,NOUN PUNCT ADP DET NOUN,PUNCT ADP DET NOUN,PUNCT ADP DET NOUN AUX,-6.825341701507568,-8.007766723632812,False
79,AS,True,Chinese sentence structure differs from English,VERB PRON ADV,PART VERB PRON ADV ADV,VERB PRON ADV ADV,VERB PRON ADV ADV PUNCT,-7.64320182800293,-9.00041675567627,False
80,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP ADJ,NOUN PUNCT ADP ADJ DET,PUNCT ADP ADJ DET,PUNCT ADP ADJ DET PROPN,-9.136935234069824,-10.122983932495117,False
81,TV,False,Using modals to show continuation of an event,AUX ADV AUX,NOUN AUX ADV AUX VERB,AUX ADV AUX VERB,AUX ADV AUX VERB PUNCT,-6.855013370513916,-13.651280403137207,False
82,W,False,Modal and pronoun in incorrect order,VERB PRON VERB,ADV VERB PRON VERB ADP,VERB PRON VERB ADP,VERB PRON VERB ADP DET,-7.4337897300720215,-8.487954139709473,False
84,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET DET,NOUN PUNCT DET DET NOUN,PUNCT DET DET NOUN,PUNCT DET DET NOUN ADP,-8.276265144348145,-8.489299774169922,False
85,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET NOUN,PRON AUX DET NOUN SCONJ,AUX DET NOUN SCONJ,AUX DET NOUN SCONJ ADP,-6.848165035247803,-13.512014389038086,False
86,AGV,True,Not applying the 3rd person present tense suffix -s,PRON VERB PRON,PUNCT PRON VERB PRON AUX,PRON VERB PRON AUX,PRON VERB PRON AUX ADJ,-8.15982437133789,-10.665687561035156,False
88,U,False,Confusion of phrase meaning and usage,DET NOUN ADP,CCONJ DET NOUN ADP VERB,DET NOUN ADP VERB,DET NOUN ADP VERB NOUN,-7.586816310882568,-8.625897407531738,False
90,AS,False,This expression doesn't exist in Chinese,VERB PRON AUX,PRON VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,VERB PRON AUX PUNCT,-4.733639717102051,-10.826172828674316,False
91,UC,False,Wordiness,SCONJ PRON VERB,PUNCT SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ,SCONJ PRON VERB SCONJ SCONJ,-8.385454177856445,-9.895709991455078,False
92,FN,True,Missing plural,DET NOUN DET,ADV DET NOUN DET VERB,DET NOUN DET VERB,DET NOUN DET VERB PART,-7.609847068786621,-9.904817581176758,False
93,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,-4.155794143676758,-5.348519325256348,False
94,UV,False,Unnecessary auxiliary added,VERB AUX VERB,PRON VERB AUX VERB PROPN,VERB AUX VERB PROPN,VERB AUX VERB PROPN PROPN,-7.541745185852051,-11.535514831542969,False
95,W,True,Sentence could be valid in Chinese,ADP PRON ADV,VERB ADP PRON ADV PUNCT,ADP PRON ADV PUNCT,ADP PRON ADV PUNCT PRON,-5.562089920043945,-7.704970359802246,False
96,FV,True,Progressive aspect not applied,VERB PRON ADJ,PUNCT VERB PRON ADJ PART,VERB PRON ADJ PART,VERB PRON ADJ PART AUX,-10.26276969909668,-9.769972801208496,True
97,X,True,Chinese would use phrase in given context,ADV AUX PART,NOUN ADV AUX PART VERB,ADV AUX PART VERB,ADV AUX PART VERB VERB,-7.70980167388916,-11.53472900390625,False
98,TV,True,Will and would map to the same word in Chinese,ADV PRON VERB,PUNCT ADV PRON VERB VERB,ADV PRON VERB VERB,ADV PRON VERB VERB DET,-6.93020486831665,-6.42214298248291,True
99,DJ,False,Misunderstanding of word usage/meaning,SCONJ ADP NOUN,AUX SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT ADJ,-7.203984260559082,-11.099247932434082,False
100,DN,False,Incorrect/incomplete expression used,VERB PRON ADP,DET VERB PRON ADP PUNCT,VERB PRON ADP PUNCT,VERB PRON ADP PUNCT PUNCT,-5.90202522277832,-8.998549461364746,False
101,FV,False,Incorrectly using past tense,VERB PRON VERB,ADV VERB PRON VERB VERB,VERB PRON VERB VERB,VERB PRON VERB VERB PUNCT,-7.220351696014404,-6.438231468200684,True
102,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT ADP,-4.155794143676758,-5.348519325256348,False
103,DN,True,English words map to the same Chinese word,DET NOUN NOUN,PUNCT DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT,DET NOUN NOUN PUNCT PUNCT,-4.854517936706543,-5.693648338317871,False
105,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,PRON AUX ADV VERB PROPN,AUX ADV VERB PROPN,AUX ADV VERB PROPN PUNCT,-6.493057727813721,-11.884411811828613,False
110,TV,False,Past perfect progressive used instead of past tense; Extra unecessary auxiliary added,AUX AUX VERB,ADV AUX AUX VERB ADP,AUX AUX VERB ADP,AUX AUX VERB ADP DET,-9.331624984741211,-14.159357070922852,False
112,W,False,Order is incorrect in Chinese and English,VERB PRON ADV,VERB VERB PRON ADV DET,VERB PRON ADV DET,VERB PRON ADV DET ADJ,-9.91285514831543,-10.059974670410156,False
113,TV,False,Incorrectly using progressive aspect,AUX ADV VERB,NOUN AUX ADV VERB VERB,AUX ADV VERB VERB,AUX ADV VERB VERB PUNCT,-8.05449390411377,-11.776662826538086,False
115,U,True,Chinese conventions conflict with English,ADP ADJ NOUN,NOUN ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT,ADP ADJ NOUN PUNCT CCONJ,-3.717172145843506,-5.00301456451416,False
116,RP,True,Word not capitalized,ADP DET NOUN,PUNCT ADP DET NOUN PUNCT,ADP DET NOUN PUNCT,ADP DET NOUN PUNCT PRON,-4.155794143676758,-5.348519325256348,False
117,AGN,True,Number error,DET NOUN PRON,AUX DET NOUN PRON VERB,DET NOUN PRON VERB,DET NOUN PRON VERB VERB,-7.651372909545898,-12.455118179321289,False
120,U,False,Wordiness,ADP PRON VERB,NOUN ADP PRON VERB AUX,ADP PRON VERB AUX,ADP PRON VERB AUX ADV,-8.375253677368164,-11.016963958740234,False
122,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-6.573857307434082,-7.225975036621094,False
123,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,VERB PART VERB NOUN,PART VERB NOUN,PART VERB NOUN CCONJ,-6.963000297546387,-6.012795448303223,True
124,TV,True,Context carries tense rather than verb.,DET VERB,PRON DET VERB PRON,DET VERB PRON,DET VERB PRON CCONJ,-7.402232646942139,-8.173709869384766,False
125,RP,False,Overcorrection,PUNCT DET,PUNCT PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN CCONJ,-7.170546531677246,-7.545820236206055,False
127,W,False,Order is incorrect in Chinese and English,NOUN NUM,DET NOUN NUM CCONJ,NOUN NUM CCONJ,NOUN NUM CCONJ DET,-8.34329605102539,-8.926985740661621,False
129,FV,False,Present continuous tense used incorrectly,AUX VERB,NOUN AUX VERB NOUN,AUX VERB NOUN,AUX VERB NOUN ADP,-7.075405120849609,-10.50107479095459,False
130,TV,False,Present tense used instead of past present perfect continuous,AUX VERB,NOUN AUX VERB ADV,AUX VERB ADV,AUX VERB ADV PUNCT,-6.643059730529785,-10.985980987548828,False
132,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET NOUN,VERB DET NOUN PUNCT,DET NOUN PUNCT,DET NOUN PUNCT PRON,-3.4128577709198,-3.504751443862915,False
134,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,-6.016979694366455,-10.588705062866211,False
135,TV,True,Present perfect used instead of past perfect,AUX DET,NOUN AUX DET NOUN,AUX DET NOUN,AUX DET NOUN ADP,-6.016979694366455,-10.588705062866211,False
136,TV,True,Subjunctive error,VERB AUX,PRON VERB AUX ADJ,VERB AUX ADJ,VERB AUX ADJ ADP,-5.652073860168457,-11.117392539978027,False
138,U,False,Wordiness,ADV ADJ,DET ADV ADJ NOUN,ADV ADJ NOUN,ADV ADJ NOUN ADP,-5.617654800415039,-7.202912330627441,False
139,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,VERB ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,-6.323800086975098,-4.867801189422607,True
140,AS,False,Misunderstanding of word usage/meaning,DET ADV,PUNCT DET ADV PUNCT,DET ADV PUNCT,DET ADV PUNCT VERB,-7.138918876647949,-7.167809009552002,False
141,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,ADJ ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN ADP,-5.578330993652344,-6.485429763793945,False
142,UV,True,Chinese conventions conflict with English,VERB NOUN,AUX VERB NOUN ADP,VERB NOUN ADP,VERB NOUN ADP DET,-9.64438533782959,-11.353885650634766,False
143,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT ADV,-3.6292572021484375,-3.7608683109283447,False
145,RP,True,Word not capitalized,PROPN NOUN,ADP PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT PRON,-3.6292572021484375,-3.7608683109283447,False
146,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ ADJ,PUNCT SCONJ ADJ,PUNCT SCONJ ADJ NOUN,-8.405584335327148,-9.693038940429688,False
147,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,PROPN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,-5.7206525802612305,-6.673404693603516,False
148,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX VERB,-8.234291076660156,-9.946741104125977,False
149,TV,False,Incorrectly using progressive aspect,AUX VERB,DET AUX VERB DET,AUX VERB DET,AUX VERB DET ADJ,-7.361789703369141,-12.161134719848633,False
150,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON DET,-8.233621597290039,-8.291942596435547,False
151,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADP NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-4.025595664978027,-3.155755043029785,True
152,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,VERB NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,-7.640079498291016,-7.235602378845215,True
153,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT ADV,-3.573436737060547,-3.8369455337524414,False
154,TV,False,Incorrectly using progressive aspect,ADV VERB,PRON ADV VERB ADP,ADV VERB ADP,ADV VERB ADP DET,-5.780107498168945,-7.625889778137207,False
155,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-3.573436737060547,-3.8369455337524414,False
157,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADV,-6.573857307434082,-7.225975036621094,False
158,UP,False,Unexplainable punctuation used,PUNCT VERB,NOUN PUNCT VERB ADP,PUNCT VERB ADP,PUNCT VERB ADP ADJ,-7.169588565826416,-9.190662384033203,False
159,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP NOUN,-6.539341926574707,-6.842535018920898,False
161,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT NOUN,NOUN PUNCT NOUN VERB,PUNCT NOUN VERB,PUNCT NOUN VERB PRON,-5.920785427093506,-5.577400207519531,True
162,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX DET,-8.234291076660156,-9.946741104125977,False
163,UA,False,general grammar rules confusion,DET PRON,PUNCT DET PRON ADV,DET PRON ADV,DET PRON ADV VERB,-8.231813430786133,-9.232978820800781,False
164,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,-8.683151245117188,-8.416563987731934,True
165,TV,True,Chinese would use word in the given context,PRON VERB,PUNCT PRON VERB VERB,PRON VERB VERB,PRON VERB VERB DET,-6.516456127166748,-5.950233459472656,True
166,W,True,Adjective/modifier precedes described object,ADJ ADJ,ADJ ADJ ADJ NOUN,ADJ ADJ NOUN,ADJ ADJ NOUN PUNCT,-5.65710973739624,-7.02684211730957,False
