,en,zhs,en_ud
37,-77.32468929910273,-inf,PRON AUX VERB SCONJ PROPN PROPN PUNCT PRON AUX VERB ADP PROPN NUM PUNCT NUM PUNCT AUX DET ADJ NOUN CCONJ ADJ NOUN PUNCT DET ADJ NOUN ADP PROPN PROPN ADP PROPN PUNCT CCONJ DET NOUN ADP PROPN PROPN PUNCT PRON VERB SCONJ DET NOUN NOUN ADP PROPN PROPN ADP NOUN PUNCT 
38,-22.463173651105066,-inf,PROPN PROPN ADP PROPN VERB ADP DET NOUN DET AUX VERB ADP ADJ NOUN ADP DET ADJ ADJ NOUN PUNCT 
39,-138.45903438298276,-inf,PRON VERB DET NOUN PART AUX VERB ADV ADV ADP DET PROPN CCONJ ADJ ADJ NOUN PUNCT ADP DET ADJ NOUN PUNCT ADV PUNCT PRON VERB ADP PRON PART AUX VERB ADP ADV PUNCT PRON AUX VERB PART VERB ADV VERB DET NOUN ADP PROPN PROPN ADP DET NOUN ADP PROPN PROPN PUNCT SCONJ PUNCT ADJ NOUN AUX ADJ PART AUX VERB PUNCT DET NOUN AUX PART VERB PRON CCONJ PRON AUX VERB ADP ADP NOUN PUNCT 
40,-41.978841227127276,-inf,VERB PUNCT NUM NOUN PUNCT NUM NOUN NOUN AUX VERB ADP NUM NOUN PUNCT SCONJ DET NOUN ADP PROPN NOUN PUNCT DET NOUN PUNCT AUX ADV ADJ PUNCT 
41,-13.131720300766885,-inf,ADP NUM PRON VERB DET ADJ NOUN ADP NOUN ADP DET NOUN PUNCT PROPN PROPN PUNCT 
42,-20.173911626330412,-inf,ADJ PUNCT NOUN ADP NOUN DET VERB PART AUX VERB ADJ ADP DET NOUN ADP NOUN PUNCT 
43,-inf,-inf,PROPN ADJ PROPN PROPN VERB DET NOUN PART NOUN PUNCT VERB PRON PROPN AUX VERB ADV ADP DET NOUN NOUN PUNCT NUM NOUN PRON VERB VERB ADP PROPN PROPN PROPN ADP DET PROPN ADP PROPN PROPN PROPN PUNCT PUNCT PROPN PUNCT PUNCT 
44,0.0,0.0,PROPN PROPN VERB PUNCT 
45,-4.916269352266955,-inf,ADV DET PROPN CCONJ PROPN NOUN VERB PUNCT 
46,-35.85007330914741,-inf,CCONJ DET NOUN VERB AUX VERB ADP NOUN PUNCT ADV DET ADP DET PROPN PUNCT ADV DET NOUN VERB NUM NOUN PUNCT 
47,-49.07243823433227,-inf,DET NOUN VERB ADP DET NOUN NOUN ADV NOUN VERB ADP VERB ADP DET NOUN PUNCT VERB VERB PUNCT ADP NOUN PUNCT NOUN PUNCT CCONJ ADV VERB DET NOUN PUNCT 
48,-15.649596875250884,-inf,PROPN SYM PROPN PUNCT DET PROPN NOUN CCONJ NOUN PUNCT ADJ PROPN 
49,-13.178532271354902,-15.543484523520238,PRON ADV ADV VERB NOUN PART NOUN ADP DET ADJ NOUN PUNCT 
50,-11.825760550244741,-inf,PROPN PUNCT PROPN PROPN CCONJ PROPN NOUN CCONJ PROPN PUNCT ADJ PROPN 
51,0.0,0.0,DET ADJ NOUN 
52,-16.65587347998763,-21.765874399796765,DET PROPN PROPN ADP PROPN PART PUNCT PROPN PROPN PUNCT CCONJ PROPN PUNCT ADJ PROPN 
53,-17.264097155751816,-25.27345686729025,NOUN ADP DET NOUN PUNCT PROPN NOUN NOUN ADP PROPN CCONJ PROPN PUNCT ADJ PROPN 
54,0.0,0.0,PRON AUX ADJ PUNCT 
55,-24.238675086802747,-21.11895729662247,PROPN PROPN VERB DET NOUN VERB PUNCT ADV VERB PRON VERB PROPN PART NOUN PUNCT PUNCT PUNCT 
56,-inf,-inf,PROPN PUNCT PRON ADV VERB PART VERB NOUN PRON VERB NUM AUX ADJ PUNCT 
57,-23.643443085999106,-inf,PRON VERB DET NOUN ADP DET ADJ ADJ PUNCT ADJ NOUN ADP NOUN PART VERB CCONJ VERB DET NOUN PUNCT 
58,-inf,-inf,INTJ ADJ NOUN NOUN PUNCT 
59,-21.81666934078242,-inf,DET NOUN AUX DET NOUN PUNCT CCONJ AUX VERB ADP NOUN DET NOUN SCONJ PUNCT 
60,-32.37628726210732,-inf,DET NOUN NOUN VERB DET NOUN ADP DET ADJ NOUN PUNCT ADV DET PROPN AUX DET ADJ PUNCT NOUN PUNCT ADP DET NOUN PUNCT 
61,-13.427753799492926,-inf,PRON AUX VERB SCONJ NOUN AUX VERB ADP DET NOUN CCONJ VERB PUNCT 
62,-inf,-inf,PRON AUX VERB PROPN PROPN ADJ CCONJ DET VERB AUX DET ADJ NOUN ADV PUNCT 
63,-35.99962745173162,-inf,CCONJ PRON VERB DET NOUN NOUN PART NOUN PUNCT PUNCT DET NOUN PUNCT PUNCT DET AUX ADV VERB DET NOUN CCONJ NOUN PUNCT 
64,-4.396173407371,-3.217040808922471,NOUN VERB PRON ADP VERB NOUN PUNCT 
65,-65.81109662474556,-inf,DET NOUN VERB NOUN ADP DET NOUN AUX ADV VERB ADP DET NOUN CCONJ VERB ADP PRON ADP ADJ NOUN PUNCT CCONJ DET PROPN PUNCT PROPN PROPN PROPN PUNCT VERB PART VERB PRON PART VERB VERB ADP DET NOUN PUNCT ADV PUNCT 
66,-inf,-inf,ADV PUNCT SCONJ DET NOUN VERB PART AUX VERB ADP ADJ ADJ NOUN PUNCT PRON VERB AUX ADJ NOUN ADP ADJ CCONJ ADJ NOUN VERB ADP DET ADJ ADP DET CCONJ ADJ NOUN PUNCT 
67,-64.25101928688503,-inf,SCONJ VERB ADP PROPN PUNCT DET NOUN NOUN ADP PROPN ADJ NOUN VERB SCONJ NUM NOUN PRON VERB ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN AUX AUX VERB ADP NOUN CCONJ NOUN AUX ADV AUX VERB ADP ADP NOUN PUNCT 
68,-29.98309273445568,-inf,ADV DET ADJ NOUN AUX VERB ADJ ADP DET NOUN NOUN PUNCT PRON VERB PRON VERB VERB DET ADP PRON PUNCT 
69,-18.46310036326016,-inf,DET NOUN PUNCT DET ADJ NOUN PUNCT AUX VERB SCONJ DET PROPN PROPN PROPN PUNCT 
70,-72.67682356649468,-inf,DET NOUN DET VERB ADP DET NOUN AUX PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT DET PROPN PROPN CCONJ DET PROPN PROPN PUNCT VERB NOUN DET NOUN PART VERB ADP DET ADP DET NOUN PRON AUX ADV VERB ADP ADV PUNCT 
71,-41.2214460585943,-inf,ADP DET NOUN PUNCT PROPN PROPN AUX VERB ADP DET NOUN CCONJ ADJ NOUN CCONJ PRON VERB PRON AUX ADV ADV ADV ADV ADP DET ADJ PUNCT 
72,-54.43775971133118,-inf,NOUN VERB VERB NOUN PUNCT NOUN CCONJ NOUN NOUN ADV ADV ADP NUM ADP NOUN NOUN PROPN PROPN VERB SCONJ ADP ADJ NOUN ADP DET PROPN NOUN PUNCT PROPN VERB PUNCT 
73,-9.796061536907532,-inf,PROPN PUNCT VERB NOUN ADP DET PROPN CCONJ PROPN PUNCT ADJ PROPN 
74,-25.619326429922953,-inf,DET ADJ NOUN ADP NOUN NOUN CCONJ ADJ NOUN PART VERB DET NOUN ADP DET NOUN AUX DET NOUN ADV PUNCT 
75,-39.700120718527636,-inf,ADP NOUN PART VERB ADP DET ADJ ADJ ADJ NOUN PUNCT DET PROPN PROPN VERB DET ADJ ADJ NOUN PART VERB DET ADJ NOUN ADP NUM ADP PROPN PUNCT 
76,-17.51312679153064,-inf,PRON AUX DET ADP NUM NOUN PUNCT DET ADJ NOUN DET PRON VERB ADP PUNCT 
77,-91.47806938656488,-inf,DET NOUN VERB PROPN PART PROPN PROPN AUX ADV VERB PUNCT CCONJ PRON AUX ADV ADV ADJ PART VERB ADP NOUN PUNCT PROPN PART NOUN AUX VERB ADP ADJ NOUN ADP PROPN NUM PUNCT ADJ ADJ ADJ NOUN NOUN AUX ADV VERB ADP PROPN PUNCT CCONJ NOUN ADV ADV SCONJ NOUN VERB VERB ADP DET NOUN PUNCT 
78,-37.69081579519884,-inf,DET VERB DET ADJ NOUN SCONJ DET DET NOUN PUNCT NUM NOUN CCONJ VERB ADJ NOUN VERB VERB ADP DET ADJ NOUN 
79,-inf,-inf,DET NOUN ADP PROPN CCONJ PROPN AUX ADV VERB PUNCT ADP NOUN PART VERB DET NOUN NOUN CCONJ NOUN VERB ADV ADV ADV SCONJ ADJ CCONJ VERB ADV DET ADV VERB NOUN PUNCT PROPN PROPN AUX ADV VERB ADP DET NOUN ADP VERB DET NOUN NOUN ADP PROPN NUM PUNCT 
80,-1.1828856657623341,-inf,PROPN AUX ADV DET ADJ NOUN PUNCT 
81,-54.41871902533532,-inf,PROPN PROPN PROPN PROPN PROPN VERB DET ADJ NOUN ADP NOUN PROPN ADP DET NOUN ADP PUNCT ADJ NOUN PUNCT PUNCT VERB ADP NOUN CCONJ NOUN NOUN ADP DET ADJ NOUN ADP NUM ADJ NOUN PUNCT 
82,-33.85971622838892,-inf,PROPN PROPN AUX AUX VERB ADP DET NOUN ADP PROPN PROPN SCONJ DET ADJ ADJ ADJ NOUN ADP DET VERB NOUN PART ADJ ADJ NOUN PUNCT 
83,-inf,-inf,ADV PUNCT ADJ NOUN AUX ADV ADJ NOUN NOUN VERB VERB NOUN PART PART VERB PUNCT VERB NUM NOUN PUNCT 
84,0.0,0.0,PRON VERB PUNCT 
85,-inf,-inf,ADP ADV PUNCT DET NOUN VERB VERB ADP VERB ADP PROPN NOUN NOUN CCONJ DET ADP X NOUN NOUN AUX ADV NUM PUNCT NUM PROPN PROPN PUNCT PROPN NUM NOUN PUNCT PUNCT 
86,-28.943560992093367,-inf,PRON AUX ADV VERB DET NOUN NOUN ADP PROPN PART VERB DET NOUN PUNCT ADV PRON VERB NOUN PART VERB DET NOUN PUNCT 
87,-31.361826927539894,-inf,DET ADJ NOUN ADP DET PROPN PUNCT VERB ADP ADJ NOUN NOUN PROPN PROPN PUNCT AUX ADV VERB ADP NUM NOUN PUNCT 
88,-75.92253845237566,-inf,ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET PROPN PART PROPN ADP PROPN PUNCT ADJ PROPN PROPN PROPN VERB ADP DET ADV PUNCT VERB ADJ NOUN VERB ADP PROPN ADP DET NUM NOUN CCONJ NOUN ADP DET PROPN PROPN ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT 
89,-14.127617232762779,-18.20882579353765,PUNCT PROPN VERB PRON ADP DET NOUN NOUN PUNCT PUNCT PROPN VERB PUNCT 
90,-5.164374266907782,-5.38985432694662,NOUN ADP PROPN NOUN NOUN PUNCT PROPN PUNCT 
91,-inf,-inf,PUNCT DET ADJ ADJ NOUN ADP DET NOUN AUX DET ADV ADV VERB NOUN PRON VERB VERB ADP ADV PUNCT 
92,-30.43971215522406,-inf,PROPN PROPN PUNCT DET ADJ ADJ PUNCT ADJ PUNCT PRON ADV VERB ADP DET NOUN PUNCT AUX DET NOUN ADP DET NOUN PUNCT 
93,-1.5497996461143693,-inf,PROPN PROPN PRON VERB ADP VERB 
94,-38.052156930191686,-inf,ADV ADV SCONJ NOUN AUX VERB PUNCT SCONJ ADJ NOUN CCONJ NOUN PUNCT VERB NOUN AUX ADV DET NOUN NOUN ADV PUNCT 
95,-2.8094977518471023,-6.273994481170067,ADP PROPN PUNCT VERB ADP DET NOUN PUNCT 
96,0.0,0.0,CCONJ PRON VERB PUNCT 
97,-inf,-inf,DET ADJ NOUN NOUN PART AUX AUX VERB ADP DET NOUN ADP PROPN AUX ADP PROPN NUM CCONJ SCONJ ADV PUNCT ADJ NOUN ADP NOUN AUX AUX VERB PUNCT ADP ADJ NOUN ADP NOUN NOUN PUNCT VERB DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN PUNCT 
98,-46.14897085967121,-inf,PROPN PROPN PROPN AUX ADP DET NOUN ADJ ADP DET PROPN PROPN PROPN NOUN SCONJ ADP DET NOUN SCONJ PRON VERB VERB NOUN ADP DET NOUN ADP DET PROPN PROPN PUNCT 
99,-inf,-inf,DET AUX VERB PUNCT INTJ PUNCT DET ADJ NOUN AUX VERB PART AUX ADJ PART VERB PUNCT 
100,-23.082583375734643,-inf,NUM ADP DET ADJ NOUN ADP PROPN PROPN AUX ADP DET ADJ NOUN ADP ADJ NOUN PROPN PUNCT 
101,-25.395985296707252,-inf,ADV VERB PRON VERB ADP DET NOUN NOUN SCONJ DET NOUN CCONJ NOUN AUX PART VERB ADP DET ADJ NOUN PUNCT 
102,-inf,-inf,PRON AUX PART VERB ADV PRON VERB VERB PROPN PUNCT NOUN ADP DET NOUN CCONJ ADV ADJ ADP DET NOUN PUNCT SCONJ VERB ADV DET ADJ PUNCT 
103,-17.03718547210085,-inf,DET NOUN AUX VERB ADP NOUN PRON VERB ADP NOUN CCONJ NOUN NOUN PUNCT 
104,-52.75582642556141,-inf,PRON AUX VERB DET NOUN ADP DET PROPN NOUN SCONJ DET ADJ NOUN DET AUX VERB DET PROPN NOUN AUX PUNCT ADP DET ADJ ADJ ADJ PUNCT ADJ NOUN ADV PUNCT 
105,-41.2365252678413,-inf,PRON VERB ADP DET NOUN ADP DET PROPN PROPN PUNCT DET AUX DET NOUN ADP NOUN DET AUX ADV VERB DET ADJ PROPN VERB ADP DET PROPN PROPN PUNCT 
106,-inf,-inf,PUNCT PRON DET VERB PROPN SCONJ DET NOUN PRON VERB ADV AUX ADV ADP DET NOUN PUNCT CCONJ ADV PRON VERB DET NOUN PUNCT PRON PART AUX ADV ADP PUNCT NOUN PUNCT VERB DET PRON VERB PART AUX PUNCT VERB VERB ADP ADJ NOUN ADP NOUN NOUN PUNCT DET ADV ADV VERB PART VERB CCONJ VERB PUNCT 
107,-inf,-inf,DET NOUN AUX PUNCT VERB ADP DET NOUN PUNCT ADJ NOUN AUX VERB ADV PUNCT SCONJ SCONJ ADP ADJ NOUN PUNCT ADV PUNCT DET DET AUX PART AUX ADP NOUN ADJ SCONJ PROPN PUNCT PROPN PUNCT PROPN PUNCT DET ADJ PROPN NOUN CCONJ NOUN PUNCT DET ADJ VERB NOUN VERB NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN PUNCT 
108,-2.997691138039324,-3.334018843905444,DET NOUN ADV VERB ADJ PUNCT 
109,-55.26773994487825,-inf,DET ADJ NOUN ADV PUNCT DET ADJ PROPN PROPN VERB DET NOUN PART VERB DET NUM PROPN PROPN PROPN ADP PROPN PROPN ADP DET ADJ CCONJ ADJ ADJ ADJ NOUN ADP ADJ ADJ NOUN ADP PROPN PUNCT 
110,-inf,-inf,VERB NOUN DET VERB AUX ADJ AUX ADJ PUNCT 
111,-21.196798423986962,-inf,PRON AUX DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT DET VERB NUM NOUN ADP ADJ NOUN PUNCT 
112,-inf,-inf,CCONJ DET PRON VERB ADP PUNCT VERB ADP DET NOUN ADP DET NOUN PUNCT PUNCT INTJ AUX PART VERB ADP PRON PUNCT 
113,-93.00678384845774,-inf,DET ADP DET AUX VERB ADP PROPN ADP NOUN PUNCT DET NOUN AUX VERB ADP DET NOUN ADV PUNCT CCONJ DET NOUN AUX DET VERB ADP DET ADJ NOUN ADP NOUN PUNCT SCONJ VERB DET ADJ NOUN ADP NOUN ADP DET NOUN AUX DET ADV ADJ PUNCT ADV ADP NOUN VERB NOUN VERB PART VERB PUNCT 
114,-11.028552328186194,-inf,VERB ADP PROPN CCONJ PROPN ADP DET PROPN PROPN CCONJ PROPN PUNCT ADJ PROPN 
115,-55.05593603671332,-inf,PRON VERB DET ADJ NOUN ADP PROPN PART AUX ADV VERB ADP DET ADJ CCONJ ADJ NOUN PART VERB ADP ADV ADJ NOUN AUX AUX VERB ADP VERB DET NOUN ADP PROPN ADP DET NOUN PUNCT 
116,-51.58756020465772,-inf,PROPN VERB ADP DET NOUN SCONJ PRON VERB DET NOUN ADP DET NOUN VERB VERB PROPN VERB DET ADJ CCONJ NOUN NOUN ADP PROPN CCONJ VERB DET ADJ NOUN ADP DET NUM NOUN PUNCT 
117,-12.418632791941022,-inf,PROPN PUNCT PROPN NOUN ADP PROPN ADP PROPN PROPN CCONJ PROPN PUNCT ADJ PROPN 
118,-20.444322071701862,-inf,PROPN VERB DET ADJ PUNCT ADV ADJ CCONJ ADJ NOUN PUNCT ADP NOUN VERB PUNCT 
119,-14.862530951858476,-18.336216469142077,PROPN PROPN PROPN VERB DET NUM ADJ NOUN ADP PROPN ADP PROPN PUNCT 
120,-inf,-inf,PROPN ADV VERB PROPN PART NOUN PUNCT NOUN NOUN ADV ADJ PROPN NOUN PUNCT VERB DET ADJ PROPN NOUN PART AUX NUM NUM NOUN VERB ADP PART VERB DET NOUN PUNCT 
121,-6.985154270757381,-inf,PRON AUX NOUN NOUN ADP PROPN ADV PUNCT 
122,-11.278954174755993,-inf,ADV ADV PUNCT DET NOUN ADP PROPN PART ADJ NOUN AUX VERB PUNCT 
123,-42.10611506178018,-inf,PROPN AUX VERB PART VERB DET PROPN NOUN PUNCT ADP PUNCT NOUN PUNCT CCONJ DET NOUN PART ADV ADJ NOUN AUX ADJ PART VERB ADV ADV PUNCT 
124,-7.646732940821362,-inf,DET NOUN ADP DET VERB PROPN PROPN PUNCT 
125,-inf,-inf,ADV PUNCT ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET NOUN PUNCT NOUN PUNCT CCONJ NOUN DET ADJ NOUN AUX ADJ PUNCT VERB PART VERB DET ADJ NOUN ADP PUNCT PROPN PROPN PUNCT PUNCT DET AUX DET ADJ NOUN ADP NOUN CCONJ SYM NUM PUNCT DET NOUN DET AUX ADV VERB ADP DET ADJ NOUN ADP NUM NOUN ADV PUNCT 
126,-1.8801840373508552,-inf,AUX PRON VERB DET ADJ NOUN PUNCT 
127,-48.832035486497126,-inf,ADV PUNCT ADV VERB PRON AUX DET ADJ NOUN ADV PRON AUX NUM PUNCT NUM PUNCT ADV NUM NOUN VERB ADP DET ADJ NUM PUNCT NOUN PUNCT ADJ NOUN PUNCT 
128,0.0,0.0,ADP NOUN PUNCT 
129,0.0,0.0,ADJ PUNCT 
130,-12.670441122274722,-21.20822002978562,PROPN PUNCT PRON ADV VERB ADV ADP VERB DET NOUN ADP DET NOUN PUNCT 
131,-3.065555717894191,-inf,PRON VERB VERB ADV ADV PUNCT PUNCT 
132,-21.042000309366898,-inf,NOUN NOUN AUX ADV VERB DET NOUN ADP NOUN PUNCT ADV ADP NOUN ADP DET NOUN ADP ADJ NOUN PUNCT 
133,-32.4233863464807,-inf,VERB ADP PROPN PROPN PUNCT PROPN PROPN AUX VERB CCONJ DET PROPN CCONJ PROPN PART VERB NOUN DET NOUN PUNCT 
134,-11.616124398656428,-10.354218765461498,PUNCT PROPN NUM PUNCT NUM PUNCT PUNCT VERB NOUN PUNCT PUNCT 
135,-15.698241298845105,-inf,DET NOUN VERB NOUN CCONJ VERB NOUN NOUN SCONJ DET NOUN NOUN PUNCT 
136,-42.711297889500955,-inf,PROPN VERB PART VERB DET NOUN NOUN PUNCT DET NOUN NOUN PUNCT ADV NOUN VERB AUX ADJ PART VERB DET NOUN VERB ADP DET NOUN PART NOUN CCONJ NOUN PUNCT 
137,-29.831230006398396,-inf,DET NOUN VERB DET NOUN AUX VERB ADP NOUN PUNCT SCONJ ADJ NOUN AUX VERB CCONJ DET NOUN NOUN AUX VERB PUNCT 
138,-inf,-inf,PROPN VERB NOUN ADP ADV DET PROPN CCONJ PROPN VERB PROPN NOUN PART VERB VERB NOUN PUNCT CCONJ VERB PRON AUX ADJ PART VERB DET ADJ ADJ ADJ NOUN ADP PROPN VERB PUNCT 
139,-17.71926064384023,-inf,DET NOUN ADP DET NOUN NOUN VERB AUX DET NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT 
140,-32.43240926917903,-inf,ADP NUM PUNCT DET NOUN ADP PROPN ADP PROPN VERB DET ADJ NOUN VERB DET ADJ ADJ NOUN CCONJ VERB ADP PROPN PUNCT 
141,-inf,-inf,PRON VERB ADV AUX VERB SCONJ VERB PRON VERB ADP CCONJ VERB DET NOUN PUNCT DET NOUN AUX DET NOUN PART VERB ADP ADJ PROPN CCONJ PART VERB PROPN PROPN PUNCT PRON VERB PART VERB DET NOUN ADP ADJ ADJ NOUN PART NOUN PUNCT 
142,-19.395700202318984,-inf,PUNCT AUX NOUN CCONJ ADJ NOUN ADP PROPN VERB PART VERB ADV DET ADJ NOUN PUNCT 
143,-39.103761933600495,-inf,PROPN AUX VERB ADP NOUN ADP DET NOUN PART VERB ADJ NOUN NOUN PART VERB DET ADJ NOUN ADP DET NOUN ADP NOUN ADP ADP DET NOUN ADP NOUN ADP NOUN PUNCT 
