,incorrect_trigram_poss,error_type,count
1410,VERB PRON ADP,S,9
299,ADV ADJ PUNCT,RY,9
954,PUNCT _ _,M,9
1255,VERB DET NOUN,SX,9
23,ADJ ADP DET,RJ,9
687,NUM NUM NOUN,MP,9
1218,VERB DET ADJ,TV,9
737,PART VERB NOUN,FV,9
248,ADJ PUNCT _,S,9
1658,VERB VERB VERB,TV,9
293,ADV ADJ PUNCT,DY,9
1404,VERB PRON ADP,FV,8
1648,VERB VERB PUNCT,TV,8
749,PART VERB PUNCT,FV,8
928,PUNCT PRON VERB,M,8
932,PUNCT PRON VERB,MT,8
1394,VERB PART VERB,MV,8
1606,VERB VERB DET,AGV,8
41,ADJ ADP PRON,S,8
1329,VERB NOUN PUNCT,FV,8
1207,VERB DET ADJ,FV,8
1485,VERB PRON VERB,S,8
391,ADV DET NOUN,R,8
1436,VERB PRON DET,RV,8
1583,VERB VERB ADP,MA,8
980,VERB ADJ NOUN,FV,8
59,ADJ CCONJ ADJ,S,8
1045,VERB ADP NOUN,IV,8
1449,VERB PRON PART,TV,8
575,ADV _ _,DY,8
246,ADJ PUNCT _,RJ,8
630,CCONJ PRON VERB,MP,7
1094,VERB ADV ADJ,AGV,7
744,PART VERB PRON,FV,7
1389,VERB PART VERB,IV,7
965,VERB ADJ ADP,RV,7
214,ADJ PUNCT CCONJ,S,7
1294,VERB NOUN ADP,TV,7
232,ADJ PUNCT PRON,S,7
1249,VERB DET NOUN,MT,7
1248,VERB DET NOUN,MP,7
353,ADV ADV DET,MP,7
1237,VERB DET DET,RV,7
1055,VERB ADP NOUN,S,7
1470,VERB PRON PUNCT,TV,7
1285,VERB NOUN ADP,FV,7
1666,_ _ _,MP,7
1592,VERB VERB ADP,UV,7
1487,VERB PRON VERB,TV,7
1544,VERB PUNCT PRON,RV,7
1588,VERB VERB ADP,RV,7
1609,VERB VERB DET,MA,7
1437,VERB PRON DET,S,6
1576,VERB VERB ADJ,RV,6
1072,VERB ADP PRON,MT,6
1057,VERB ADP NOUN,TV,6
191,ADJ PART VERB,RJ,6
1403,VERB PRON ADP,AS,6
1205,VERB DET ADJ,AGV,6
1340,VERB NOUN PUNCT,TV,6
931,PUNCT PRON VERB,MP,6
155,ADJ NOUN PUNCT,MQ,6
1021,VERB ADP DET,AGV,6
1180,VERB ADV VERB,UV,6
1423,VERB PRON ADV,TV,6
1422,VERB PRON ADV,S,6
1626,VERB VERB PART,AGV,6
985,VERB ADJ NOUN,TV,6
500,ADV PUNCT _,RY,6
1358,VERB NUM NOUN,TV,6
174,ADJ NOUN VERB,S,6
654,INTJ PRON VERB,S,6
1105,VERB ADV ADJ,W,6
1251,VERB DET NOUN,R,6
493,ADV PUNCT _,DY,6
1164,VERB ADV PUNCT,RV,5
316,ADV ADP DET,RY,5
1132,VERB ADV DET,AGV,5
1003,VERB ADJ PUNCT,TV,5
179,ADJ NOUN VERB,UN,5
92,ADJ NOUN ADP,MD,5
1388,VERB PART VERB,FV,5
1525,VERB PUNCT DET,RV,5
1029,VERB ADP DET,MA,5
1032,VERB ADP DET,R,5
1104,VERB ADV ADJ,TV,5
1102,VERB ADV ADJ,RV,5
1081,VERB ADP PROPN,FV,5
40,ADJ ADP PRON,RJ,5
30,ADJ ADP NOUN,S,5
990,VERB ADJ PART,MA,5
841,PROPN PUNCT DET,S,5
230,ADJ PUNCT PRON,RJ,5
634,CCONJ PRON VERB,RC,5
1546,VERB PUNCT PRON,TV,5
503,ADV PUNCT _,UY,5
495,ADV PUNCT _,MA,5
484,ADV PUNCT PRON,RY,5
723,PART VERB ADV,FV,5
480,ADV PUNCT PRON,MP,5
1462,VERB PRON PUNCT,FV,5
734,PART VERB DET,TV,5
1447,VERB PRON PART,RV,5
1112,VERB ADV ADP,RV,5
1579,VERB VERB ADP,AGV,5
964,VERB ADJ ADP,MA,5
1589,VERB VERB ADP,S,5
270,ADV ADJ ADP,MV,5
140,ADJ NOUN PRON,S,5
1643,VERB VERB PUNCT,AGV,5
1222,VERB DET ADP,FV,5
48,ADJ ADP VERB,S,4
1225,VERB DET ADP,RV,4
1581,VERB VERB ADP,FV,4
1166,VERB ADV PUNCT,TV,4
1593,VERB VERB ADV,AGV,4
1282,VERB NOUN ADP,AS,4
1172,VERB ADV VERB,MA,4
1567,VERB PUNCT _,TV,4
1169,VERB ADV VERB,AGV,4
1574,VERB VERB ADJ,MA,4
1126,VERB ADV ADV,W,4
1242,VERB DET NOUN,AS,4
1480,VERB PRON VERB,MP,4
1123,VERB ADV ADV,RV,4
881,PUNCT ADP DET,MP,4
580,CCONJ ADJ NOUN,M,4
636,CCONJ PRON VERB,UC,4
666,NUM ADP PROPN,MP,4
476,ADV PUNCT PRON,FY,4
747,PART VERB PRON,MV,4
811,PROPN PRON VERB,S,4
823,PROPN PROPN PUNCT,MD,4
838,PROPN PUNCT CCONJ,RP,4
444,ADV PRON VERB,W,4
437,ADV PRON VERB,R,4
859,PROPN PUNCT _,S,4
432,ADV PRON VERB,MA,4
425,ADV PART VERB,UY,4
1640,VERB VERB PRON,UV,4
317,ADV ADP DET,S,4
17,ADJ ADP DET,DJ,4
956,PUNCT _ _,MN,4
392,ADV DET NOUN,RC,4
1001,VERB ADJ PUNCT,RV,4
1008,VERB ADP ADJ,RV,4
1623,VERB VERB NOUN,UV,4
219,ADJ PUNCT DET,S,4
1622,VERB VERB NOUN,TV,4
33,ADJ ADP PRON,DJ,4
343,ADV ADP VERB,S,4
1607,VERB VERB DET,FV,4
329,ADV ADP PRON,MP,4
1476,VERB PRON VERB,FV,4
1305,VERB NOUN CCONJ,FV,4
539,ADV VERB NOUN,MP,4
206,ADJ PUNCT ADP,S,4
1366,VERB PART ADP,TV,4
1473,VERB PRON VERB,AGV,4
1400,VERB PRON ADJ,RV,4
167,ADJ NOUN PUNCT,UJ,4
1520,VERB PUNCT CCONJ,S,4
1343,VERB NOUN VERB,FV,4
1439,VERB PRON DET,TV,4
1421,VERB PRON ADV,RV,4
1513,VERB PUNCT ADV,RV,4
119,ADJ NOUN CCONJ,S,4
1356,VERB NUM NOUN,RV,4
1368,VERB PART ADV,RV,3
802,PROPN NOUN PUNCT,S,3
349,ADV ADV ADP,UY,3
1051,VERB ADP NOUN,R,3
816,PROPN PROPN DET,MD,3
1616,VERB VERB DET,S,3
120,ADJ NOUN CCONJ,SA,3
166,ADJ NOUN PUNCT,SX,3
1448,VERB PRON PART,S,3
1064,VERB ADP PRON,AGV,3
810,PROPN PRON VERB,RP,3
807,PROPN PART PART,RP,3
1137,VERB ADV DET,TV,3
1516,VERB PUNCT ADV,TV,3
313,ADV ADP DET,R,3
301,ADV ADJ PUNCT,X,3
1136,VERB ADV DET,RV,3
1455,VERB PRON PRON,RV,3
1046,VERB ADP NOUN,MA,3
173,ADJ NOUN VERB,MP,3
469,ADV PUNCT DET,UY,3
319,ADV ADP DET,UY,3
1384,VERB PART PUNCT,RV,3
1382,VERB PART PUNCT,MP,3
1486,VERB PRON VERB,SX,3
1380,VERB PART PUNCT,FV,3
900,PUNCT ADV PRON,W,3
1101,VERB ADV ADJ,R,3
94,ADJ NOUN ADP,MV,3
1153,VERB ADV PRON,RV,3
825,PROPN PROPN PUNCT,RP,3
865,PROPN VERB DET,RP,3
99,ADJ NOUN ADP,SX,3
866,PROPN VERB DET,S,3
868,PROPN VERB NOUN,RP,3
1629,VERB VERB PART,RV,3
1636,VERB VERB PRON,RP,3
873,PROPN VERB VERB,RP,3
874,PROPN VERB VERB,S,3
958,PUNCT _ _,MY,3
144,ADJ NOUN PUNCT,AGQ,3
1429,VERB PRON CCONJ,TV,3
1432,VERB PRON DET,FV,3
139,ADJ NOUN PRON,RJ,3
418,ADV PART VERB,DJ,3
899,PUNCT ADV PRON,RP,3
133,ADJ NOUN PRON,CQ,3
439,ADV PRON VERB,RP,3
440,ADV PRON VERB,RY,3
364,ADV ADV PUNCT,R,3
163,ADJ NOUN PUNCT,RP,3
1042,VERB ADP NOUN,AGV,3
90,ADJ NOUN ADP,FJ,3
1034,VERB ADP DET,RT,3
159,ADJ NOUN PUNCT,R,3
1509,VERB PUNCT ADP,TV,3
365,ADV ADV PUNCT,RT,3
218,ADJ PUNCT DET,RJ,3
1028,VERB ADP DET,M,3
1507,VERB PUNCT ADP,S,3
836,PROPN PUNCT ADV,RP,3
130,ADJ NOUN NOUN,W,3
1024,VERB ADP DET,DV,3
154,ADJ NOUN PUNCT,MP,3
1148,VERB ADV PART,X,3
414,ADV NOUN VERB,RC,3
1243,VERB DET NOUN,DV,3
519,ADV VERB ADV,RY,3
1545,VERB PUNCT PRON,S,3
1566,VERB PUNCT _,S,3
1213,VERB DET ADJ,MV,3
522,ADV VERB ADV,UY,3
116,ADJ NOUN CCONJ,RJ,3
1217,VERB DET ADJ,S,3
501,ADV PUNCT _,S,3
114,ADJ NOUN CCONJ,MT,3
113,ADJ NOUN CCONJ,MD,3
1471,VERB PRON PUNCT,U,3
1656,VERB VERB VERB,RV,3
1333,VERB NOUN PUNCT,MD,3
1238,VERB DET DET,S,3
1208,VERB DET ADJ,IV,3
1239,VERB DET DET,TV,3
510,ADV VERB ADP,MV,3
1264,VERB DET PUNCT,RV,3
628,CCONJ PRON VERB,MA,3
64,ADJ CCONJ ADV,RJ,3
593,CCONJ ADV ADJ,RP,3
81,ADJ DET NOUN,W,3
517,ADV VERB ADV,RA,3
618,CCONJ NOUN PUNCT,RC,3
72,ADJ CCONJ PRON,RJ,3
1250,VERB DET NOUN,MV,3
209,ADJ PUNCT ADV,S,3
213,ADJ PUNCT CCONJ,RJ,3
608,CCONJ DET NOUN,RC,3
530,ADV VERB DET,R,3
1298,VERB NOUN ADV,MD,3
1350,VERB NUM ADP,MA,3
118,ADJ NOUN CCONJ,RP,3
1309,VERB NOUN CCONJ,RV,3
283,ADV ADJ NOUN,RP,3
195,ADJ PRON VERB,S,3
1181,VERB ADV VERB,W,3
688,NUM NUM NOUN,S,3
1185,VERB CCONJ ADP,RV,3
552,ADV VERB PRON,TV,2
558,ADV VERB PUNCT,MV,2
880,PUNCT ADP DET,MN,2
1434,VERB PRON DET,MT,2
869,PROPN VERB NOUN,S,2
884,PUNCT ADP NOUN,RP,2
846,PROPN PUNCT PRON,MP,2
549,ADV VERB PRON,MP,2
1442,VERB PRON NOUN,FV,2
885,PUNCT ADP NOUN,RT,2
606,CCONJ DET NOUN,MP,2
888,PUNCT ADP PRON,MY,2
897,PUNCT ADV PRON,MA,2
545,ADV VERB PRON,DY,2
840,PROPN PUNCT DET,RP,2
878,PUNCT ADP DET,M,2
879,PUNCT ADP DET,MC,2
1665,_ _ _,M,2
589,CCONJ ADP PRON,RC,2
581,CCONJ ADJ NOUN,MP,2
848,PROPN PUNCT PRON,S,2
1435,VERB PRON DET,MV,2
562,ADV VERB PUNCT,TV,2
1438,VERB PRON DET,SX,2
563,ADV VERB PUNCT,W,2
861,PROPN VERB ADJ,MD,2
1644,VERB VERB PUNCT,FV,2
872,PROPN VERB PUNCT,MD,2
577,ADV _ _,RY,2
573,ADV VERB VERB,UY,2
1659,VERB VERB VERB,UV,2
1475,VERB PRON VERB,DY,2
721,PART VERB ADP,UV,2
612,CCONJ NOUN ADP,MP,2
834,PROPN PUNCT ADP,UN,2
1646,VERB VERB PUNCT,RV,2
742,PART VERB PART,UT,2
740,PART VERB NUM,FV,2
1483,VERB PRON VERB,RP,2
735,PART VERB DET,UV,2
1460,VERB PRON PUNCT,AGV,2
1461,VERB PRON PUNCT,DV,2
733,PART VERB DET,RV,2
698,PART ADP DET,RY,2
731,PART VERB DET,MY,2
1650,VERB VERB VERB,AGV,2
703,PART DET NOUN,UY,2
726,PART VERB ADV,RV,2
707,PART PART VERB,UT,2
713,PART VERB ADJ,FV,2
1654,VERB VERB VERB,MP,2
724,PART VERB ADV,R,2
716,PART VERB ADP,M,2
717,PART VERB ADP,MV,2
1655,VERB VERB VERB,RP,2
683,NUM NOUN NOUN,MP,2
1645,VERB VERB PUNCT,MA,2
1481,VERB PRON VERB,MV,2
627,CCONJ PRON VERB,M,2
832,PROPN PUNCT ADP,MD,2
831,PROPN PROPN _,UN,2
827,PROPN PROPN PUNCT,UN,2
720,PART VERB ADP,TV,2
1443,VERB PRON NOUN,RV,2
819,PROPN PROPN PRON,MP,2
635,CCONJ PRON VERB,RP,2
674,NUM NOUN ADP,MP,2
757,PART VERB VERB,MV,2
680,NUM NOUN ADV,MT,2
795,PROPN NOUN CCONJ,RP,2
787,PROPN DET NOUN,S,2
785,PROPN CCONJ VERB,S,2
764,PROPN ADP DET,S,2
763,PROPN ADP DET,RP,2
761,PROPN ADP DET,MP,2
760,PROPN ADP ADP,RP,2
1647,VERB VERB PUNCT,S,2
1310,VERB NOUN CCONJ,S,2
902,PUNCT ADV PUNCT,MV,2
1226,VERB DET ADP,TV,2
1339,VERB NOUN PUNCT,S,2
1220,VERB DET ADJ,UV,2
537,ADV VERB DET,W,2
1341,VERB NOUN PUNCT,W,2
1584,VERB VERB ADP,MC,2
1346,VERB NOUN VERB,SX,2
1204,VERB CCONJ VERB,SX,2
1188,VERB CCONJ DET,TV,2
1352,VERB NUM CCONJ,RV,2
1353,VERB NUM NOUN,FV,2
1597,VERB VERB ADV,RV,2
1600,VERB VERB ADV,UV,2
1355,VERB NUM NOUN,MT,2
1526,VERB PUNCT DET,TV,2
1165,VERB ADV PUNCT,S,2
1357,VERB NUM NOUN,S,2
1159,VERB ADV PUNCT,IV,2
1364,VERB PART ADP,FV,2
1156,VERB ADV PRON,TV,2
1144,VERB ADV PART,FV,2
1138,VERB ADV DET,W,2
1601,VERB VERB ADV,W,2
1133,VERB ADV DET,FV,2
1365,VERB PART ADP,RV,2
1129,VERB ADV CCONJ,FV,2
1124,VERB ADV ADV,TV,2
1119,VERB ADV ADV,MA,2
1532,VERB PUNCT NOUN,MV,2
1227,VERB DET ADV,MA,2
1116,VERB ADV ADV,AGV,2
1229,VERB DET ADV,TV,2
1314,VERB NOUN DET,RV,2
1306,VERB NOUN CCONJ,MD,2
1321,VERB NOUN PART,RV,2
1303,VERB NOUN CCONJ,AGV,2
1302,VERB NOUN ADV,W,2
1295,VERB NOUN ADP,UV,2
1541,VERB PUNCT PRON,FV,2
1293,VERB NOUN ADP,SX,2
1292,VERB NOUN ADP,S,2
1533,VERB PUNCT NOUN,RV,2
1288,VERB NOUN ADP,MP,2
1287,VERB NOUN ADP,MD,2
1323,VERB NOUN PART,TV,2
1324,VERB NOUN PRON,DJ,2
1276,VERB NOUN ADJ,AGV,2
1268,VERB DET VERB,RP,2
1556,VERB PUNCT VERB,FV,2
1559,VERB PUNCT _,AGV,2
1560,VERB PUNCT _,DJ,2
1328,VERB NOUN PUNCT,AGV,2
1569,VERB VERB ADJ,AGV,2
1570,VERB VERB ADJ,DN,2
1571,VERB VERB ADJ,FV,2
1330,VERB NOUN PUNCT,IV,2
1332,VERB NOUN PUNCT,MC,2
1236,VERB DET DET,R,2
1233,VERB DET DET,FV,2
1117,VERB ADV ADV,FV,2
1115,VERB ADV ADP,W,2
903,PUNCT ADV VERB,MA,2
1022,VERB ADP DET,AS,2
1012,VERB ADP ADP,RV,2
1006,VERB ADP ADJ,FV,2
1413,VERB PRON ADV,AGV,2
1002,VERB ADJ PUNCT,S,2
1498,VERB PROPN PROPN,RV,2
999,VERB ADJ PUNCT,MA,2
998,VERB ADJ PUNCT,FV,2
997,VERB ADJ PUNCT,AGV,2
994,VERB ADJ PART,W,2
1496,VERB PROPN PART,FV,2
987,VERB ADJ NOUN,UV,2
1628,VERB VERB PART,R,2
979,VERB ADJ NOUN,DV,2
1426,VERB PRON CCONJ,FV,2
977,VERB ADJ DET,M,2
967,VERB ADJ ADP,TV,2
966,VERB ADJ ADP,S,2
1637,VERB VERB PRON,RV,2
1427,VERB PRON CCONJ,RV,2
940,PUNCT PUNCT DET,M,2
1430,VERB PRON DET,AS,2
930,PUNCT PRON VERB,MN,2
923,PUNCT NOUN PUNCT,MN,2
917,PUNCT DET VERB,MY,2
910,PUNCT DET ADJ,MP,2
909,PUNCT CCONJ PRON,MV,2
908,PUNCT CCONJ PRON,MA,2
1017,VERB ADP ADV,TV,2
1023,VERB ADP DET,DJ,2
1113,VERB ADV ADP,S,2
1627,VERB VERB PART,MA,2
1106,VERB ADV ADP,AGV,2
1387,VERB PART VERB,AGV,2
1392,VERB PART VERB,MA,2
1393,VERB PART VERB,MP,2
1100,VERB ADV ADJ,MV,2
1604,VERB VERB CCONJ,RV,2
1605,VERB VERB CCONJ,TV,2
1092,VERB ADP VERB,S,2
1522,VERB PUNCT CCONJ,TV,2
1091,VERB ADP VERB,RV,2
1090,VERB ADP PUNCT,RV,2
1084,VERB ADP PROPN,RV,2
1082,VERB ADP PROPN,IV,2
1519,VERB PUNCT CCONJ,RV,2
1399,VERB PRON ADJ,AGV,2
1612,VERB VERB DET,MV,2
1613,VERB VERB DET,R,2
1063,VERB ADP NUM,TV,2
1618,VERB VERB DET,UV,2
1050,VERB ADP NOUN,MV,2
1047,VERB ADP NOUN,MC,2
1620,VERB VERB NOUN,RV,2
1402,VERB PRON ADP,AGV,2
1037,VERB ADP DET,SX,2
1624,VERB VERB NUM,AGV,2
1625,VERB VERB NUM,TV,2
1026,VERB ADP DET,ID,2
1103,VERB ADV ADJ,S,2
833,PROPN PUNCT ADP,RP,2
88,ADJ NOUN ADJ,RP,2
512,ADV VERB ADP,S,2
363,ADV ADV PUNCT,MA,2
362,ADV ADV PUNCT,ID,2
132,ADJ NOUN PART,S,2
461,ADV PUNCT CCONJ,RP,2
357,ADV ADV PRON,MP,2
459,ADV PUNCT CCONJ,FY,2
63,ADJ CCONJ ADV,IJ,2
146,ADJ NOUN PUNCT,CQ,2
211,ADJ PUNCT CCONJ,DJ,2
147,ADJ NOUN PUNCT,DJ,2
58,ADJ CCONJ ADJ,MD,2
346,ADV ADV ADJ,X,2
149,ADJ NOUN PUNCT,ID,2
511,ADV VERB ADP,RY,2
344,ADV ADV ADJ,M,2
272,ADV ADJ ADV,RY,2
278,ADV ADJ NOUN,IJ,2
457,ADV PUNCT ADV,RY,2
208,ADJ PUNCT ADV,RJ,2
52,ADJ ADV PRON,S,2
150,ADJ NOUN PUNCT,M,2
205,ADJ PUNCT ADP,RJ,2
284,ADV ADJ NOUN,RY,2
339,ADV ADP PROPN,RY,2
514,ADV VERB ADP,UY,2
285,ADV ADJ NOUN,W,2
47,ADJ ADP VERB,RJ,2
286,ADV ADJ PART,RY,2
515,ADV VERB ADP,W,2
413,ADV NOUN VERB,R,2
366,ADV ADV PUNCT,RY,2
268,ADV ADJ ADP,MA,2
156,ADJ NOUN PUNCT,MT,2
494,ADV PUNCT _,FJ,2
395,ADV DET NOUN,S,2
486,ADV PUNCT PRON,UY,2
475,ADV PUNCT PRON,DY,2
487,ADV PUNCT PROPN,RY,2
106,ADJ NOUN ADV,RJ,2
489,ADV PUNCT PUNCT,S,2
393,ADV DET NOUN,RP,2
398,ADV NOUN ADJ,RD,2
93,ADJ NOUN ADP,MT,2
109,ADJ NOUN ADV,S,2
470,ADV PUNCT NOUN,DY,2
400,ADV NOUN ADP,DJ,2
245,ADJ PUNCT _,R,2
468,ADV PUNCT DET,RY,2
112,ADJ NOUN CCONJ,L,2
373,ADV CCONJ ADV,MP,2
235,ADJ PUNCT PUNCT,S,2
121,ADJ NOUN DET,MQ,2
253,ADJ VERB ADP,W,2
233,ADJ PUNCT PRON,SX,2
466,ADV PUNCT DET,MP,2
465,ADV PUNCT DET,MA,2
227,ADJ PUNCT PRON,DJ,2
125,ADJ NOUN DET,UJ,2
402,ADV NOUN ADP,RD,2
127,ADJ NOUN NOUN,MP,2
77,ADJ DET ADJ,W,2
76,ADJ CCONJ VERB,S,2
267,ADV ADJ ADP,IJ,2
222,ADJ PUNCT NOUN,RJ,2
516,ADV VERB ADV,DY,2
100,ADJ NOUN ADP,UJ,2
294,ADV ADJ PUNCT,IJ,2
442,ADV PRON VERB,U,2
178,ADJ NOUN VERB,UJ,2
169,ADJ NOUN PUNCT,W,2
27,ADJ ADP DET,TV,2
19,ADJ ADP DET,FJ,2
4,ADJ ADJ NOUN,MD,2
330,ADV ADP PRON,MV,2
297,ADV ADJ PUNCT,MV,2
172,ADJ NOUN VERB,MD,2
533,ADV VERB DET,RY,2
188,ADJ PART VERB,MD,2
196,ADJ PRON VERB,SX,2
527,ADV VERB DET,MP,2
311,ADV ADP DET,MA,2
526,ADV VERB DET,M,2
441,ADV PRON VERB,S,2
427,ADV PART VERB,X,2
438,ADV PRON VERB,RC,2
450,ADV PUNCT ADP,R,2
8,ADJ ADJ NOUN,S,2
534,ADV VERB DET,S,2
35,ADJ ADP PRON,IJ,2
318,ADV ADP DET,SX,2
334,ADV ADP PRON,RY,2
520,ADV VERB ADV,S,2
320,ADV ADP DET,W,2
336,ADV ADP PRON,UY,2
2,ADJ ADJ ADV,DY,2
193,ADJ PRON VERB,DN,2
43,ADJ ADP PROPN,MD,2
433,ADV PRON VERB,MC,2
34,ADJ ADP PRON,FJ,2
431,ADV PRON VERB,DY,2
322,ADV ADP NOUN,MP,2
202,ADJ PUNCT ADJ,RJ,2
1297,VERB NOUN ADV,FV,1
1289,VERB NOUN ADP,MT,1
234,ADJ PUNCT PROPN,DY,1
226,ADJ PUNCT PRON,AGQ,1
1296,VERB NOUN ADP,W,1
1290,VERB NOUN ADP,MY,1
231,ADJ PUNCT PRON,RN,1
189,ADJ PART VERB,MV,1
229,ADJ PUNCT PRON,IJ,1
1359,VERB NUM NOUN,W,1
228,ADJ PUNCT PRON,DY,1
1334,VERB NOUN PUNCT,MP,1
1286,VERB NOUN ADP,IJ,1
1360,VERB NUM PROPN,M,1
1272,VERB DET VERB,U,1
1273,VERB INTJ ADV,S,1
1274,VERB INTJ CCONJ,TV,1
1275,VERB INTJ VERB,FV,1
1367,VERB PART ADP,UP,1
185,ADJ PART VERB,IJ,1
237,ADJ PUNCT VERB,FA,1
186,ADJ PART VERB,IV,1
1277,VERB NOUN ADJ,AS,1
1278,VERB NOUN ADJ,FV,1
187,ADJ PART VERB,MA,1
1279,VERB NOUN ADJ,MA,1
1280,VERB NOUN ADJ,TV,1
1281,VERB NOUN ADP,AGV,1
1363,VERB PART ADP,DJ,1
1362,VERB PART ADJ,TV,1
190,ADJ PART VERB,R,1
236,ADJ PUNCT VERB,DJ,1
1361,VERB PART ADJ,RV,1
1283,VERB NOUN ADP,CN,1
1284,VERB NOUN ADP,DV,1
225,ADJ PUNCT NUM,S,1
1354,VERB NUM NOUN,IV,1
1299,VERB NOUN ADV,RV,1
1320,VERB NOUN PART,MA,1
1322,VERB NOUN PART,S,1
212,ADJ PUNCT CCONJ,DN,1
1348,VERB NOUN _,MT,1
1325,VERB NOUN PRON,FV,1
1347,VERB NOUN VERB,TV,1
1271,VERB DET VERB,TV,1
198,ADJ PROPN PUNCT,IV,1
1345,VERB NOUN VERB,RV,1
1327,VERB NOUN PRON,TV,1
1344,VERB NOUN VERB,R,1
210,ADJ PUNCT ADV,SX,1
199,ADJ PROPN PUNCT,RP,1
207,ADJ PUNCT ADV,DJ,1
1331,VERB NOUN PUNCT,M,1
1342,VERB NOUN VERB,DV,1
200,ADJ PUNCT ADJ,MD,1
204,ADJ PUNCT ADP,FJ,1
201,ADJ PUNCT ADJ,MY,1
203,ADJ PUNCT ADP,DY,1
1337,VERB NOUN PUNCT,RN,1
1336,VERB NOUN PUNCT,RJ,1
215,ADJ PUNCT CCONJ,SX,1
1319,VERB NOUN PART,FV,1
1300,VERB NOUN ADV,TV,1
1318,VERB NOUN PART,AGV,1
1301,VERB NOUN ADV,UV,1
224,ADJ PUNCT NOUN,SA,1
223,ADJ PUNCT NOUN,S,1
1304,VERB NOUN CCONJ,DV,1
1335,VERB NOUN PUNCT,MT,1
221,ADJ PUNCT NOUN,MD,1
1307,VERB NOUN CCONJ,MT,1
1308,VERB NOUN CCONJ,R,1
220,ADJ PUNCT NOUN,FJ,1
194,ADJ PRON VERB,RJ,1
217,ADJ PUNCT DET,DY,1
1311,VERB NOUN CCONJ,UV,1
1351,VERB NUM CCONJ,AGV,1
197,ADJ PROPN NOUN,RP,1
1312,VERB NOUN DET,MA,1
1313,VERB NOUN DET,R,1
1349,VERB NUM ADP,AGV,1
216,ADJ PUNCT DET,DN,1
1315,VERB NOUN NOUN,MP,1
1316,VERB NOUN NOUN,RV,1
1317,VERB NOUN NOUN,TV,1
1326,VERB NOUN PRON,RV,1
536,ADV VERB DET,UY,1
1270,VERB DET VERB,S,1
281,ADV ADJ NOUN,MP,1
291,ADV ADJ PRON,U,1
290,ADV ADJ PRON,MY,1
289,ADV ADJ PRON,MD,1
1167,VERB ADV PUNCT,UV,1
1168,VERB ADV PUNCT,X,1
288,ADV ADJ PART,W,1
1170,VERB ADV VERB,AS,1
1171,VERB ADV VERB,FV,1
287,ADV ADJ PART,UP,1
1173,VERB ADV VERB,MN,1
1174,VERB ADV VERB,MP,1
1175,VERB ADV VERB,MY,1
1176,VERB ADV VERB,R,1
282,ADV ADJ NOUN,R,1
1182,VERB ADV VERB,X,1
1199,VERB CCONJ VERB,DV,1
1183,VERB CCONJ ADJ,DJ,1
1184,VERB CCONJ ADP,DJ,1
279,ADV ADJ NOUN,M,1
1186,VERB CCONJ ADP,TV,1
1187,VERB CCONJ DET,RV,1
1189,VERB CCONJ PART,FJ,1
1190,VERB CCONJ PART,IV,1
1191,VERB CCONJ PART,R,1
1192,VERB CCONJ PRON,AGV,1
1193,VERB CCONJ PRON,DJ,1
