,incorrect_trigram_poss,correct_trigram_poss,count
72,ADJ NOUN ADP,DET ADJ NOUN,5
1308,VERB PRON ADP,PART VERB PRON,5
981,VERB ADP DET,PRON VERB ADP,5
422,ADV PUNCT PRON,PUNCT ADV PUNCT,5
966,VERB ADP ADJ,VERB ADP ADJ,5
1333,VERB PRON DET,VERB VERB PRON,5
1006,VERB ADP NOUN,VERB VERB ADP,5
1177,VERB DET NOUN,VERB ADP DET,5
42,ADJ CCONJ ADV,ADJ CCONJ ADV,5
1140,VERB DET ADJ,VERB VERB DET,5
1305,VERB PRON ADJ,VERB PRON ADJ,5
1429,VERB VERB ADJ,PRON VERB VERB,4
486,ADV VERB VERB,ADV VERB VERB,4
919,PUNCT _ _,ADV PUNCT _,4
1036,VERB ADV ADJ,ADV VERB ADJ,4
484,ADV VERB PUNCT,VERB ADV VERB,4
1370,VERB PRON VERB,VERB VERB PRON,4
402,ADV PUNCT CCONJ,ADV PUNCT CCONJ,4
830,PROPN VERB VERB,NOUN VERB VERB,4
778,PROPN PROPN PUNCT,DET PROPN PROPN,4
1366,VERB PRON VERB,PUNCT VERB PRON,4
921,PUNCT _ _,NOUN PUNCT _,4
1452,VERB VERB ADP,VERB VERB VERB,4
822,PROPN VERB DET,NOUN VERB DET,4
1378,VERB PROPN PUNCT,VERB PROPN PUNCT,4
1322,VERB PRON ADV,PART VERB PRON,4
798,PROPN PUNCT DET,PROPN PUNCT DET,4
1478,VERB VERB DET,VERB DET ADJ,4
961,VERB ADJ PUNCT,VERB VERB ADJ,4
1420,VERB PUNCT _,ADJ PUNCT _,4
18,ADJ ADP NOUN,ADJ ADP NOUN,4
1479,VERB VERB DET,VERB DET NOUN,4
383,ADV PRON VERB,PRON ADV PRON,4
1125,VERB CCONJ VERB,VERB CCONJ VERB,4
1504,VERB VERB PRON,VERB PRON PUNCT,4
406,ADV PUNCT DET,ADV PUNCT DET,4
688,PART VERB PRON,VERB PART VERB,4
976,VERB ADP DET,ADP DET NOUN,4
839,PUNCT ADP DET,PUNCT PUNCT ADP,4
124,ADJ NOUN PUNCT,DET NOUN PUNCT,4
445,ADV VERB ADP,VERB ADV VERB,4
691,PART VERB PRON,VERB PRON PUNCT,4
944,VERB ADJ NOUN,PART VERB ADJ,4
1389,VERB PUNCT CCONJ,ADJ PUNCT CCONJ,4
988,VERB ADP DET,VERB DET NOUN,4
253,ADV ADP DET,ADP DET NOUN,4
1362,VERB PRON VERB,PRON VERB PART,4
277,ADV ADP PRON,PUNCT ADV ADP,4
676,PART VERB NOUN,VERB NOUN ADP,3
996,VERB ADP NOUN,PRON VERB ADP,3
765,PROPN PRON VERB,NOUN PRON VERB,3
1053,VERB ADV ADV,ADV VERB ADV,3
711,PROPN ADP DET,NOUN ADP DET,3
1459,VERB VERB ADV,VERB ADV PRON,3
771,PROPN PROPN DET,DET PROPN PROPN,3
760,PROPN PART PART,PROPN PART NOUN,3
1264,VERB NUM ADP,PRON VERB NUM,3
520,CCONJ DET NOUN,CCONJ DET NOUN,3
117,ADJ NOUN PUNCT,ADJ ADJ NOUN,3
1025,VERB ADP PROPN,PART VERB ADP,3
380,ADV PRON VERB,DET NOUN PRON,3
337,ADV DET NOUN,PRON DET NOUN,3
1500,VERB VERB PRON,ADV PRON VERB,3
412,ADV PUNCT NOUN,ADV PUNCT NOUN,3
1253,VERB NOUN PUNCT,PART VERB NOUN,3
1356,VERB PRON VERB,ADV PRON VERB,3
275,ADV ADP PRON,ADV ADP PRON,3
1251,VERB NOUN PUNCT,NOUN NOUN PUNCT,3
1250,VERB NOUN PUNCT,DET NOUN NOUN,3
1061,VERB ADV CCONJ,VERB ADV CCONJ,3
331,ADV DET NOUN,ADP DET NOUN,3
1135,VERB DET ADJ,PART VERB DET,3
1099,VERB ADV VERB,ADV VERB VERB,3
979,VERB ADP DET,ADV ADP DET,3
791,PROPN PUNCT ADV,NOUN PUNCT ADV,3
426,ADV PUNCT PUNCT,ADV PUNCT PUNCT,3
5,ADJ ADJ NOUN,ADV ADJ NOUN,3
428,ADV PUNCT _,ADJ PUNCT _,3
1244,VERB NOUN PRON,VERB NOUN PRON,3
432,ADV PUNCT _,PRON ADV PUNCT,3
897,PUNCT PRON VERB,PUNCT PRON VERB,3
400,ADV PUNCT ADV,ADV PUNCT ADV,3
975,VERB ADP DET,ADJ ADP DET,3
1266,VERB NUM CCONJ,VERB NUM CCONJ,3
1009,VERB ADP NUM,VERB ADP NUM,3
90,ADJ NOUN CCONJ,ADP ADJ NOUN,3
607,NUM NUM NOUN,NUM NUM NOUN,3
1400,VERB PUNCT NOUN,VERB PUNCT NOUN,3
1293,VERB PART PUNCT,VERB PUNCT PART,3
357,ADV PART VERB,ADJ PART VERB,3
92,ADJ NOUN CCONJ,DET ADJ NOUN,3
51,ADJ CCONJ PRON,ADJ CCONJ PRON,3
1437,VERB VERB ADP,DET VERB VERB,3
1438,VERB VERB ADP,PART VERB VERB,3
858,PUNCT ADV PRON,PUNCT ADV PRON,3
302,ADV ADV PUNCT,ADP DET PUNCT,3
340,ADV NOUN ADP,ADJ NOUN ADP,3
1077,VERB ADV PART,VERB ADV VERB,3
507,CCONJ ADV ADJ,CCONJ ADV ADJ,3
1448,VERB VERB ADP,VERB ADP PROPN,3
1205,VERB NOUN ADJ,VERB NOUN ADJ,3
145,ADJ NOUN _,ADJ NOUN _,3
144,ADJ NOUN VERB,PUNCT ADJ NOUN,3
143,ADJ NOUN VERB,NOUN VERB VERB,3
690,PART VERB PRON,VERB PRON DET,3
305,ADV ADV PUNCT,ADV ADV PUNCT,3
840,PUNCT ADP NOUN,PUNCT ADP NOUN,3
531,CCONJ NOUN PUNCT,CCONJ NOUN PUNCT,3
1427,VERB VERB ADJ,NOUN VERB ADJ,3
1418,VERB PUNCT VERB,VERB PUNCT VERB,3
702,PART VERB PUNCT,VERB PUNCT _,3
36,ADJ ADV PRON,ADJ ADV PRON,3
972,VERB ADP ADV,VERB ADP ADV,3
464,ADV VERB DET,VERB DET NOUN,3
465,ADV VERB NOUN,ADV PUNCT VERB,3
1284,VERB PART DET,VERB PART DET,3
948,VERB ADJ NOUN,VERB VERB ADJ,3
1220,VERB NOUN ADP,VERB VERB NOUN,3
1190,VERB DET PUNCT,VERB DET PUNCT,3
17,ADJ ADP DET,VERB ADP DET,3
205,ADJ VERB PUNCT,ADV VERB PUNCT,3
103,ADJ NOUN NOUN,ADJ PUNCT NOUN,3
1142,VERB DET ADP,PART VERB DET,3
459,ADV VERB DET,PRON VERB ADV,3
1033,VERB ADP VERB,VERB ADP VERB,3
826,PROPN VERB NOUN,NOUN VERB NOUN,3
1423,VERB PUNCT _,VERB PART PUNCT,3
339,ADV NOUN ADJ,DET NOUN ADJ,3
1103,VERB ADV VERB,PRON VERB ADV,3
1003,VERB ADP NOUN,VERB NOUN PUNCT,2
742,PROPN NOUN ADP,NOUN NOUN ADP,2
359,ADV PART VERB,ADV PART VERB,2
395,ADV PUNCT ADP,ADV PUNCT ADP,2
385,ADV PRON VERB,PRON PRON VERB,2
379,ADV PRON VERB,CCONJ PRON VERB,2
991,VERB ADP DET,VERB VERB PRON,2
1259,VERB NOUN VERB,ADV NOUN VERB,2
992,VERB ADP NOUN,CCONJ VERB ADP,2
403,ADV PUNCT CCONJ,DET NOUN PUNCT,2
1283,VERB PART CCONJ,NOUN PUNCT NOUN,2
1289,VERB PART PUNCT,NOUN PUNCT PART,2
384,ADV PRON VERB,PRON ADV VERB,2
386,ADV PRON VERB,PRON VERB ADV,2
1267,VERB NUM NOUN,ADP VERB NUM,2
481,ADV VERB PUNCT,ADV VERB PUNCT,2
409,ADV PUNCT DET,PUNCT ADV PUNCT,2
543,CCONJ PRON VERB,ADP PRON VERB,2
666,PART VERB DET,PART VERB DET,2
552,CCONJ PRON VERB,PRON VERB VERB,2
1161,VERB DET NOUN,ADP DET NOUN,2
549,CCONJ PRON VERB,PRON CCONJ PRON,2
1162,VERB DET NOUN,ADP DET VERB,2
1164,VERB DET NOUN,ADV DET NOUN,2
1165,VERB DET NOUN,ADV VERB DET,2
1168,VERB DET NOUN,DET NOUN PRON,2
1062,VERB ADV DET,ADV VERB DET,2
1170,VERB DET NOUN,DET VERB DET,2
670,PART VERB DET,VERB DET PROPN,2
671,PART VERB DET,VERB DET VERB,2
672,PART VERB DET,VERB PART VERB,2
527,CCONJ NOUN ADP,PUNCT CCONJ NOUN,2
1055,VERB ADV ADV,PRON VERB ADV,2
1182,VERB DET NOUN,VERB PART DET,2
1060,VERB ADV CCONJ,PART VERB ADV,2
1067,VERB ADV DET,VERB ADV VERB,2
1183,VERB DET NOUN,VERB PART VERB,2
1119,VERB CCONJ PRON,VERB CCONJ PRON,2
1098,VERB ADV VERB,ADV VERB PUNCT,2
1094,VERB ADV VERB,ADV VERB ADP,2
1091,VERB ADV PUNCT,VERB VERB ADV,2
1108,VERB CCONJ ADP,VERB CCONJ ADP,2
1112,VERB CCONJ DET,VERB CCONJ DET,2
1117,VERB CCONJ PRON,ADJ CCONJ PRON,2
598,NUM NOUN ADV,ADP NUM NOUN,2
1076,VERB ADV PART,VERB ADV PART,2
656,PART VERB ADV,VERB ADV ADV,2
644,PART VERB ADP,PART VERB ADP,2
1131,VERB DET ADJ,DET ADJ NOUN,2
584,NUM ADP PROPN,PUNCT NUM ADP,2
583,NUM ADP PROPN,NOUN ADP PROPN,2
647,PART VERB ADP,VERB ADP NOUN,2
1139,VERB DET ADJ,VERB PART DET,2
655,PART VERB ADV,VERB ADV ADP,2
523,CCONJ DET NOUN,PUNCT CCONJ DET,2
1054,VERB ADV ADV,DET VERB ADV,2
411,ADV PUNCT DET,PUNCT DET VERB,2
713,PROPN ADP DET,PUNCT PROPN PUNCT,2
705,PART VERB VERB,VERB PART VERB,2
454,ADV VERB CCONJ,ADV VERB CCONJ,2
453,ADV VERB ADV,VERB ADV VERB,2
1231,VERB NOUN CCONJ,DET NOUN NOUN,2
1029,VERB ADP PUNCT,VERB ADP PUNCT,2
448,ADV VERB ADV,DET VERB ADV,2
444,ADV VERB ADP,VERB ADV ADP,2
1240,VERB NOUN NOUN,VERB NOUN NOUN,2
1224,VERB NOUN ADV,DET NOUN NOUN,2
1243,VERB NOUN PRON,ADJ NOUN PRON,2
1022,VERB ADP PRON,VERB VERB ADP,2
427,ADV PUNCT VERB,ADV PUNCT VERB,2
425,ADV PUNCT PROPN,ADV PUNCT PROPN,2
1021,VERB ADP PRON,VERB PRON PUNCT,2
423,ADV PUNCT PRON,PUNCT PRON VERB,2
1252,VERB NOUN PUNCT,NOUN VERB PUNCT,2
461,ADV VERB DET,PUNCT ADV VERB,2
1218,VERB NOUN ADP,VERB PRON NOUN,2
678,PART VERB NOUN,VERB NOUN PUNCT,2
1206,VERB NOUN ADP,ADP DET NOUN,2
682,PART VERB NUM,VERB NUM NOUN,2
685,PART VERB PART,VERB PART VERB,2
1196,VERB DET VERB,PROPN DET VERB,2
1197,VERB DET VERB,VERB DET VERB,2
504,CCONJ ADP PRON,CCONJ ADP PRON,2
1046,VERB ADV ADP,ADV VERB ADP,2
498,CCONJ ADJ NOUN,PUNCT CCONJ ADJ,2
490,ADV VERB VERB,VERB VERB ADP,2
475,ADV VERB PRON,PUNCT ADV VERB,2
1209,VERB NOUN ADP,DET NOUN NOUN,2
482,ADV VERB PUNCT,NOUN ADV PUNCT,2
352,ADV NOUN VERB,ADV NOUN VERB,2
1213,VERB NOUN ADP,PUNCT VERB NOUN,2
1215,VERB NOUN ADP,VERB DET NOUN,2
477,ADV VERB PRON,VERB PRON ADJ,2
476,ADV VERB PRON,VERB ADV VERB,2
989,VERB ADP DET,VERB PART ADP,2
1097,VERB ADV VERB,ADV VERB PRON,2
351,ADV NOUN VERB,ADP NOUN VERB,2
155,ADJ PRON VERB,NOUN PRON VERB,2
817,PROPN VERB ADJ,DET PROPN VERB,2
1505,VERB VERB PRON,VERB PRON VERB,2
910,PUNCT VERB PRON,PUNCT VERB PRON,2
193,ADJ PUNCT _,VERB PUNCT _,2
190,ADJ PUNCT _,NOUN PUNCT _,2
188,ADJ PUNCT _,ADV PUNCT _,2
943,VERB ADJ NOUN,NOUN VERB ADJ,2
182,ADJ PUNCT PUNCT,ADJ PUNCT PUNCT,2
180,ADJ PUNCT PRON,VERB PUNCT PRON,2
827,PROPN VERB NOUN,PROPN VERB NOUN,2
54,ADJ CCONJ VERB,ADV CCONJ ADV,2
829,PROPN VERB PUNCT,DET ADJ VERB,2
831,PROPN VERB VERB,PROPN VERB VERB,2
832,PUNCT ADJ NOUN,ADP PUNCT ADJ,2
56,ADJ DET ADJ,DET ADJ NOUN,2
59,ADJ DET NOUN,DET NOUN ADJ,2
159,ADJ PUNCT ADJ,ADJ PUNCT ADJ,2
950,VERB ADJ PART,ADV VERB ADJ,2
815,PROPN PUNCT _,PROPN PUNCT _,2
1408,VERB PUNCT PRON,VERB VERB PUNCT,2
80,ADJ NOUN ADP,PART VERB ADJ,2
801,PROPN PUNCT PRON,ADV PUNCT PRON,2
803,PROPN PUNCT PRON,PROPN PUNCT PRON,2
958,VERB ADJ PUNCT,PRON VERB ADJ,2
227,ADV ADJ NOUN,NOUN ADV ADV,2
805,PROPN PUNCT PRON,PUNCT PROPN PUNCT,2
879,PUNCT DET VERB,PUNCT DET VERB,2
878,PUNCT DET VERB,ADV PUNCT DET,2
1396,VERB PUNCT INTJ,VERB PUNCT INTJ,2
47,ADJ CCONJ DET,ADJ CCONJ DET,2
809,PROPN PUNCT VERB,NOUN PUNCT VERB,2
1510,VERB VERB PUNCT,PRON VERB VERB,2
212,ADV ADJ ADP,PRON ADV ADJ,2
1401,VERB PUNCT NOUN,VERB VERB PUNCT,2
1403,VERB PUNCT PART,VERB PUNCT PART,2
814,PROPN PUNCT _,NOUN PUNCT _,2
1406,VERB PUNCT PRON,PART VERB PUNCT,2
836,PUNCT ADP DET,CCONJ PUNCT ADP,2
153,ADJ PART VERB,VERB PART VERB,2
237,ADV ADJ PUNCT,ADJ PUNCT CCONJ,2
1441,VERB VERB ADP,VERB ADP ADJ,2
916,PUNCT _ _,ADP DET NOUN,2
70,ADJ NOUN ADP,ADJ PUNCT NOUN,2
1461,VERB VERB ADV,VERB ADV VERB,2
109,ADJ NOUN PART,ADJ NOUN PART,2
918,PUNCT _ _,ADP PRON PUNCT,2
1467,VERB VERB CCONJ,VERB VERB CCONJ,2
1487,VERB VERB NOUN,VERB NOUN PUNCT,2
77,ADJ NOUN ADP,NOUN NOUN ADP,2
1485,VERB VERB NOUN,VERB NOUN ADP,2
1470,VERB VERB DET,DET VERB VERB,2
923,PUNCT _ _,PUNCT _ _,2
1472,VERB VERB DET,PART VERB VERB,2
97,ADJ NOUN DET,ADJ NOUN DET,2
857,PUNCT ADV PRON,PRON VERB ADV,2
1477,VERB VERB DET,VERB ADV VERB,2
88,ADJ NOUN ADV,NOUN NOUN ADV,2
861,PUNCT ADV PUNCT,VERB PUNCT ADV,2
1492,VERB VERB NUM,VERB VERB NUM,2
933,VERB ADJ ADV,VERB ADJ ADV,2
120,ADJ NOUN PUNCT,ADP ADJ NOUN,2
1498,VERB VERB PART,VERB PART VERB,2
837,PUNCT ADP DET,NOUN PUNCT ADP,2
150,ADJ PART VERB,DET NOUN PART,2
149,ADJ PART VERB,ADV PART VERB,2
838,PUNCT ADP DET,PUNCT ADP DET,2
142,ADJ NOUN VERB,NOUN VERB PUNCT,2
140,ADJ NOUN VERB,NOUN VERB ADP,2
138,ADJ NOUN VERB,DET ADJ NOUN,2
1447,VERB VERB ADP,VERB ADP PRON,2
66,ADJ NOUN ADJ,ADJ NOUN ADJ,2
871,PUNCT DET ADJ,PUNCT PUNCT DET,2
135,ADJ NOUN PUNCT,PUNCT ADJ NOUN,2
937,VERB ADJ CCONJ,VERB ADJ CCONJ,2
130,ADJ NOUN PUNCT,NOUN PUNCT PRON,2
869,PUNCT CCONJ PRON,PRON PUNCT CCONJ,2
126,ADJ NOUN PUNCT,NOUN ADV PUNCT,2
125,ADJ NOUN PUNCT,NOUN ADJ PUNCT,2
33,ADJ ADP VERB,ADV ADP VERB,2
41,ADJ CCONJ ADJ,DET ADJ CCONJ,2
1483,VERB VERB DET,VERB VERB VERB,2
785,PROPN PROPN _,PROPN _ _,2
1331,VERB PRON DET,VERB DET NOUN,2
12,ADJ ADP ADV,ADJ ADP ADV,2
319,ADV CCONJ PRON,ADV CCONJ PRON,2
1350,VERB PRON PUNCT,VERB ADP PRON,2
274,ADV ADP PRON,ADP PRON VERB,2
1349,VERB PRON PUNCT,PUNCT _ _,2
1518,VERB VERB VERB,DET NOUN VERB,2
316,ADV CCONJ ADV,PUNCT ADV CCONJ,2
968,VERB ADP ADP,VERB ADP ADP,2
280,ADV ADP PROPN,ADV ADP PROPN,2
884,PUNCT NOUN PUNCT,NOUN PUNCT NOUN,2
1520,VERB VERB VERB,PUNCT INTJ PUNCT,2
15,ADJ ADP DET,ADV ADP DET,2
779,PROPN PROPN PUNCT,NOUN NOUN PUNCT,2
902,PUNCT PUNCT DET,ADP DET NOUN,2
1377,VERB PROPN PROPN,VERB PROPN PROPN,2
1343,VERB PRON PROPN,VERB PRON PROPN,2
286,ADV ADV ADJ,ADV ADV ADJ,2
287,ADV ADV ADJ,PRON VERB ADV,2
289,ADV ADV ADP,ADV ADP DET,2
1525,VERB VERB VERB,VERB VERB DET,2
1329,VERB PRON DET,ADP VERB PRON,2
294,ADV ADV DET,ADV ADV DET,2
775,PROPN PROPN PROPN,PROPN PROPN PROPN,2
774,PROPN PROPN PRON,PUNCT PROPN PROPN,2
298,ADV ADV PRON,ADV ADV PRON,2
300,ADV ADV PRON,PUNCT ADV ADV,2
1524,VERB VERB VERB,VERB VERB ADP,2
306,ADV ADV PUNCT,ADV PUNCT PRON,2
1320,VERB PRON ADV,DET PRON ADV,2
784,PROPN PROPN VERB,PROPN PROPN VERB,2
269,ADV ADP NOUN,PUNCT ADV ADP,2
6,ADJ ADJ NOUN,DET ADJ ADJ,2
796,PROPN PUNCT DET,NOUN PUNCT DET,2
1300,VERB PART VERB,PUNCT VERB PART,2
346,ADV NOUN PUNCT,ADJ NOUN PUNCT,2
1375,VERB PROPN PART,PART VERB PROPN,2
2,ADJ ADJ ADV,ADV ADJ ADV,2
795,PROPN PUNCT CCONJ,PROPN PUNCT CCONJ,2
30,ADJ ADP PROPN,DET NOUN ADP,2
1372,VERB PROPN ADV,VERB PROPN ADV,2
793,PROPN PUNCT CCONJ,NOUN PUNCT CCONJ,2
251,ADV ADP DET,ADJ ADP DET,2
4,ADJ ADJ NOUN,ADJ NOUN NOUN,2
1364,VERB PRON VERB,PRON VERB PUNCT,2
341,ADV NOUN ADP,DET NOUN ADP,2
258,ADV ADP DET,PRON ADV ADP,2
1363,VERB PRON VERB,PRON VERB PRON,2
965,VERB ADP ADJ,VERB ADJ NOUN,2
1317,VERB PRON ADP,VERB PROPN ADP,2
11,ADJ ADP ADP,ADJ ADP ADP,2
787,PROPN PUNCT ADP,DET PROPN PUNCT,2
788,PROPN PUNCT ADP,PROPN PUNCT ADP,2
1358,VERB PRON VERB,NOUN PRON VERB,2
789,PROPN PUNCT ADP,PUNCT ADP DET,2
261,ADV ADP DET,VERB ADP DET,2
1330,VERB PRON DET,PART VERB PRON,2
893,PUNCT PRON VERB,PART PUNCT PRON,2
766,PROPN PRON VERB,PROPN PRON VERB,2
1311,VERB PRON ADP,VERB DET NOUN,2
920,PUNCT _ _,DET NOUN PUNCT,1
915,PUNCT _ _,ADJ CCONJ ADJ,1
899,PUNCT PROPN PROPN,ADV PUNCT PROPN,1
914,PUNCT X PUNCT,NOUN PUNCT X,1
1090,VERB ADV PUNCT,VERB PUNCT PRON,1
1058,VERB ADV ADV,VERB PART ADV,1
1092,VERB ADV VERB,ADV ADV ADV,1
917,PUNCT _ _,ADP NOUN PUNCT,1
1093,VERB ADV VERB,ADV VERB ADJ,1
1059,VERB ADV ADV,VERB VERB ADV,1
1095,VERB ADV VERB,ADV VERB ADV,1
904,PUNCT VERB ADP,ADP PUNCT VERB,1
913,PUNCT X PROPN,PUNCT X PROPN,1
900,PUNCT PROPN PUNCT,CCONJ PROPN PUNCT,1
1075,VERB ADV PART,PUNCT VERB ADV,1
905,PUNCT VERB ADP,PUNCT VERB ADP,1
906,PUNCT VERB DET,PRON VERB PART,1
903,PUNCT VERB ADP,ADP DET NOUN,1
1074,VERB ADV PART,PRON VERB ADV,1
1073,VERB ADV PART,PART VERB ADV,1
1078,VERB ADV PRON,ADJ ADV PRON,1
907,PUNCT VERB NOUN,ADV PUNCT VERB,1
1072,VERB ADV NUM,VERB ADV NUM,1
908,PUNCT VERB PRON,ADP PUNCT VERB,1
1079,VERB ADV PRON,ADV ADV PRON,1
909,PUNCT VERB PRON,PUNCT PUNCT VERB,1
1080,VERB ADV PRON,AUX ADV PRON,1
1071,VERB ADV NUM,ADP VERB ADV,1
1070,VERB ADV NOUN,VERB ADV NOUN,1
1081,VERB ADV PRON,DET VERB ADV,1
911,PUNCT VERB PUNCT,NOUN VERB PUNCT,1
