,incorrect_trigram_penn,count
538,RB PRP$ NN,3
547,RB VB PRP,3
153,IN PRP DT,3
555,RB VBG IN,3
201,JJ IN NNS,3
563,RB VBP VBN,3
565,RB VBZ RB,3
341,"NNP , _",3
734,VBG PRP$ NNS,3
85,DT PRP VBD,3
270,NN CC IN,3
671,VBD IN NNS,3
878,VBZ RB IN,3
799,VBP IN NNS,3
34,CC NN IN,3
883,VBZ TO VB,3
779,VBN RB JJ,3
251,MD VB VB,3
213,JJ PRP VBD,3
249,MD VB RBR,3
8,", IN DT",3
788,VBP . _,3
875,VBZ PRP$ NN,3
802,VBP JJ .,3
756,VBN DT IN,3
806,VBP MD VB,3
27,CC DT NNS,3
26,CC DT NN,3
821,VBP PRP PRP,3
825,VBP PRP$ NNS,3
826,VBP RB .,3
225,JJ WRB PRP,3
831,VBP RB TO,3
232,JJR NN .,3
763,VBN IN NNS,3
843,VBP VBN DT,3
182,JJ . DT,3
744,VBG VBG IN,3
746,VBG VBN IN,3
452,PRP VB IN,2
863,"VBZ JJ ,",2
511,RB CC IN,2
10,", PRP VBD",2
11,", RB IN",2
517,RB IN IN,2
101,DT VBZ VBN,2
519,RB IN WP,2
99,DT VBZ IN,2
420,NNS VBD TO,2
525,RB JJ PRP,2
422,NNS VBP DT,2
861,VBZ IN PRP$,2
850,"VBZ , CC",2
849,VBP VBP TO,2
534,RB NNS IN,2
419,NNS VBD JJ,2
848,VBP VBP IN,2
418,NNS VBD IN,2
846,VBP VBN RB,2
548,RB VBD NN,2
414,NNS RB JJ,2
554,RB VBG DT,2
108,"IN , VBD",2
487,PRP$ NN JJ,2
895,WDT NN PRP,2
901,WDT VBZ JJ,2
454,PRP VBD .,2
893,WDT MD VB,2
897,WDT VBD DT,2
880,VBZ RB TO,2
899,WDT VBP IN,2
125,IN DT RBS,2
445,PRP RB JJ,2
444,"PRP RB ,",2
464,PRP VBP VBN,2
443,PRP PRP$ NN,2
118,IN DT .,2
110,IN . PRP,2
841,VBP VBG RB,2
902,WP DT NN,2
869,VBZ NN JJ,2
474,PRP VBZ VBD,2
905,WP VBD DT,2
910,WRB IN DT,2
114,IN CD IN,2
480,PRP$ DT NN,2
111,IN . RB,2
914,WRB PRP$ NN,2
735,VBG RB DT,2
86,DT PRP$ NN,2
556,RB VBG RB,2
664,VBD CC IN,2
667,VBD DT IN,2
63,DT JJ .,2
32,"CC NN ,",2
679,"VBD PRP ,",2
33,CC NN .,2
771,VBN NNS IN,2
684,VBD PRP$ NNS,2
689,VBD RB PRP$,2
690,VBD RB TO,2
694,VBD VBG DT,2
52,CD NN JJ,2
696,VBD VBG RB,2
697,VBD VBN CD,2
754,VBN CD NNS,2
699,VBD VBN JJ,2
40,CC RB PRP,2
747,"VBN , IN",2
745,VBG VBN CC,2
711,VBG CC TO,2
51,CD NN IN,2
49,CD IN NNS,2
41,CC TO VB,2
721,VBG IN WRB,2
725,VBG NN RB,2
738,VBG RP .,2
666,VBD CD NNS,2
658,VB WP VBD,2
19,. DT NN,2
650,VB VBG IN,2
832,VBP RB VBP,2
567,"RBR JJ ,",2
574,RP TO VB,2
20,. PRP VBZ,2
90,DT VBD IN,2
580,TO VB CD,2
731,VBG PRP VBD,2
588,TO VB VB,2
592,TO VB WRB,2
595,UH PRP VBZ,2
598,"VB , .",2
604,VB : NN,2
84,DT NNS VBZ,2
618,VB IN PDT,2
78,DT NNP .,2
819,VBP PRP CC,2
25,CC DT JJS,2
620,VB IN WP,2
622,VB JJ .,2
74,DT NN PRP$,2
809,VBP NN JJ,2
72,DT NN JJ,2
807,VBP NN .,2
635,VB PRP PRP$,2
801,"VBP JJ ,",2
137,IN NN JJ,2
200,JJ IN NNP,2
342,NNP . CC,2
245,MD VB NNP,2
359,NNP NNP PRP,2
283,NN IN PDT,2
166,IN VBG RB,2
195,JJ IN CD,2
242,MD VB JJR,2
212,JJ NNS JJ,2
214,JJ PRP$ NN,2
185,JJ . NNS,2
314,NN VBD DT,2
146,IN NNP RB,2
384,"NNS , NNS",2
178,"JJ , VBG",2
338,"NNP , RB",2
219,"JJ VBG ,",2
221,JJ VBG IN,2
327,NN VBZ PRP$,2
273,NN DT .,2
335,"NNP , DT",2
373,NNP VBZ JJ,2
272,NN CC VBZ,2
372,NNP VBZ DT,2
233,JJR PRP$ NN,2
265,NN : .,2
328,NN VBZ TO,2
332,NN WRB RB,2
286,NN IN VB,2
368,NNP VBD DT,2
350,NNP IN IN,2
208,JJ NN DT,2
345,NNP CC DT,2
205,JJ JJ IN,2
292,NN JJ HYPH,2
308,NN PRP$ NN,2
354,NNP NN DT,2
198,JJ IN IN,2
355,NNP NN IN,2
402,"NNS JJ ,",2
246,MD VB NNS,2
357,NNP NNP CC,2
210,JJ NNP .,2
775,VBN PRP$ $,1
261,"NN , _",1
189,"JJ CC ,",1
748,"VBN , NNP",1
749,VBN . VBP,1
777,VBN PRP$ NNS,1
778,VBN RB IN,1
260,"NN , VBD",1
186,JJ . PRP$,1
252,MD VB VBD,1
780,VBN RB PRP,1
262,NN -RRB- .,1
190,JJ CC DT,1
751,"VBN CC ,",1
743,VBG VBG DT,1
742,"VBG VBG ,",1
741,VBG VBD RB,1
740,VBG VBD JJ,1
266,NN : DT,1
782,VBN VBG CC,1
184,JJ . NNP,1
257,"NN , MD",1
752,VBN CC DT,1
753,VBN CC IN,1
767,VBN MD VB,1
766,VBN JJ IN,1
770,"VBN NNP ,",1
765,VBN JJ .,1
35,CC NNP .,1
267,NN : _,1
37,CC PRP VBZ,1
38,CC PRP$ NNS,1
254,"NN , :",1
760,VBN IN JJS,1
772,"VBN PRP ,",1
773,VBN PRP DT,1
759,VBN DT VBN,1
758,VBN DT NNS,1
39,CC RB IN,1
774,VBN PRP VBP,1
768,VBN NN DT,1
755,VBN DT CC,1
258,"NN , PRP$",1
406,"NNS NNP ,",1
728,VBG NNS RB,1
737,VBG RB WP,1
293,NN JJ IN,1
176,"JJ , NNS",1
701,VBD VBN NNS,1
284,NN IN RB,1
285,NN IN TO,1
287,NN IN WP,1
288,NN IN WRB,1
289,NN IN ``,1
290,NN JJ .,1
693,VBD VBG CD,1
692,VBD VBD IN,1
53,CD NN RB,1
291,NN JJ CC,1
54,CD NNP .,1
42,CC VB DT,1
294,NN JJR .,1
685,"VBD RB ,",1
296,NN NN CD,1
55,CD NNS CC,1
174,"JJ , FW",1
57,CD NNS JJ,1
298,NN NN JJ,1
172,"JJ '' ,",1
678,VBD POS NNS,1
677,VBD NNP RB,1
171,IN WRB .,1
58,CD NNS NN,1
704,VBD VBN VBZ,1
705,"VBG , DT",1
706,"VBG , IN",1
707,"VBG , NN",1
268,"NN CC ,",1
181,JJ . CD,1
43,CC WP NNS,1
44,CD . IN,1
271,NN CC PRP$,1
730,VBG PRP PRP$,1
729,VBG PRP DT,1
784,VBN VBZ IN,1
726,VBG NNS DT,1
724,VBG NN JJ,1
45,CD CC CD,1
722,VBG JJ CC,1
274,NN DT HYPH,1
46,CD CC NNS,1
719,VBG IN PDT,1
275,NN FW .,1
47,CD DT CD,1
716,VBG IN CC,1
276,NN IN .,1
278,NN IN FW,1
50,CD NN .,1
179,JJ . .,1
710,VBG CC IN,1
177,"JJ , RB",1
708,VBG -RRB- .,1
783,VBN VBN IN,1
796,VBP DT VBD,1
785,"VBP , CC",1
223,JJ VBN .,1
882,VBZ TO DT,1
881,"VBZ RP ,",1
215,JJ RB JJ,1
9,", NNS IN",1
876,"VBZ RB ,",1
194,JJ IN .,1
874,VBZ PRP VBZ,1
873,VBZ PRP NN,1
872,VBZ PRP IN,1
871,VBZ PRP DT,1
870,VBZ NN RB,1
217,JJ UH .,1
868,VBZ NN IN,1
218,JJ VBD IN,1
865,VBZ JJ DT,1
220,JJ VBG DT,1
862,VBZ IN WP,1
222,"JJ VBN ,",1
860,VBZ IN NNP,1
13,", VBD IN",1
858,VBZ FW .,1
857,VBZ DT NNS,1
14,", VBG DT",1
855,VBZ CC VB,1
854,VBZ : DT,1
853,VBZ . UH,1
852,VBZ . TO,1
884,VBZ VBG .,1
885,VBZ VBG DT,1
886,VBZ VBG IN,1
204,JJ JJ .,1
917,XX VBG TO,1
916,WRB VBD PRP$,1
915,WRB TO VB,1
202,JJ IN WP,1
913,WRB PRP VBZ,1
2,", : DT",1
911,WRB IN WDT,1
203,JJ IN WRB,1
3,", CC IN",1
908,WRB . CC,1
907,WP VBZ PRP$,1
906,WP VBD IN,1
904,WP NNS RB,1
7,", DT VBZ",1
903,WP IN PRP,1
206,JJ JJ RB,1
4,", CC RB",1
898,WDT VBD PRP$,1
896,WDT VBD .,1
197,JJ IN EX,1
5,", DT ,",1
892,VBZ WRB JJ,1
891,VBZ WDT VBZ,1
890,VBZ VBN RB,1
889,VBZ VBN PRP$,1
6,", DT .",1
851,"VBZ , IN",1
224,JJ WDT PRP,1
786,"VBP , IN",1
226,JJR . JJ,1
816,VBP POS IN,1
815,VBP POS CD,1
814,VBP NNS RB,1
813,VBP NNP WP,1
812,VBP NNP IN,1
811,VBP NNP .,1
810,"VBP NNP ,",1
192,JJ CC WRB,1
243,MD VB JJS,1
244,MD VB NN,1
805,VBP JJ RB,1
804,VBP JJ IN,1
803,VBP JJ CC,1
28,CC IN $,1
247,MD VB PRP$,1
798,VBP IN IN,1
797,VBP DT VBP,1
59,CD NNS PRP,1
29,CC IN PRP$,1
30,"CC JJ ,",1
793,VBP DT IN,1
31,CC JJ IN,1
791,VBP CD CC,1
790,VBP CC PRP,1
789,VBP CC IN,1
191,JJ CC RB,1
787,VBP . IN,1
193,JJ DT VBZ,1
239,MD VB .,1
238,"MD VB ,",1
230,JJR IN DT,1
847,VBP VBN VBZ,1
227,JJR . PRP,1
15,", VBZ IN",1
16,-LRB- NNP NNP,1
228,JJR CC DT,1
842,VBP VBN CD,1
229,JJR CC RB,1
840,VBP VBG JJ,1
17,"-LRB- NNS ,",1
18,. CC IN,1
837,VBP VBG .,1
836,VBP VBD IN,1
834,"VBP RP ,",1
24,CC DT .,1
833,VBP RBR IN,1
231,JJR IN PRP,1
830,VBP RB NN,1
234,"JJS , NNS",1
828,VBP RB IN,1
827,VBP RB CC,1
235,JJS PRP VBD,1
236,JJS TO VB,1
22,. WP VBZ,1
823,VBP PRP VBZ,1
23,: IN NN,1
237,JJS VBG IN,1
674,VBD JJ CD,1
662,VBD . NNP,1
301,"NN NNP ,",1
503,"RB , .",1
501,PRP$ VBD WRB,1
500,PRP$ VB .,1
499,PRP$ RB JJ,1
106,"IN , IN",1
107,"IN , RB",1
496,PRP$ NNS RB,1
495,PRP$ NNS IN,1
494,PRP$ NN WRB,1
493,PRP$ NN VBP,1
492,PRP$ NN VBG,1
490,PRP$ NN PRP,1
489,PRP$ NN NNP,1
488,PRP$ NN JJR,1
369,NNP VBD IN,1
109,IN . IN,1
370,NNP VBG DT,1
371,NNP VBG IN,1
112,IN . VBP,1
113,IN CC PRP,1
481,PRP$ JJ IN,1
479,PRP$ CD IN,1
478,PRP WRB .,1
477,PRP WDT NN,1
475,PRP VBZ VBG,1
148,IN NNS DT,1
375,NNP VBZ NNS,1
472,PRP VBZ PRP,1
502,PRP$ VBN IN,1
105,HYPH RB VBZ,1
353,NNP MD VB,1
104,EX VBZ PRP,1
96,DT VBP PDT,1
533,RB NNP RB,1
532,RB NN _,1
530,RB NN CC,1
358,NNP NNP IN,1
97,DT VBP VBN,1
527,RB JJ RB,1
526,RB JJ PRP$,1
360,"NNP NNPS ,",1
523,RB JJ CC,1
361,NNP NNS IN,1
521,RB JJ -RRB-,1
100,DT VBZ VBG,1
362,"NNP POS ,",1
149,IN NNS NNP,1
364,NNP PRP$ NN,1
102,DT WRB .,1
515,RB IN $,1
365,NNP RB IN,1
366,NNP RB JJ,1
512,RB CC NN,1
367,NNP RB PRP,1
510,"RB CC ,",1
509,RB : .,1
103,EX VBD NN,1
507,"RB , VBZ",1
506,"RB , RB",1
471,PRP VBZ NNS,1
377,NNP VBZ TO,1
116,IN CD PRP,1
378,"NNPS , :",1
435,PRP CC TO,1
128,IN DT ``,1
433,"PRP , .",1
432,PDT DT VBZ,1
129,IN EX VBD,1
131,IN IN IN,1
138,IN NN PDT,1
428,NNS VBZ PRP$,1
427,NNS VBZ JJ,1
426,NNS VBZ IN,1
425,NNS VBZ DT,1
424,NNS VBP TO,1
398,NNS IN RB,1
399,NNS IN VBD,1
421,NNS VBG NNS,1
400,NNS IN WP,1
401,NNS IN WRB,1
132,IN JJ DT,1
416,NNS RB _,1
415,NNS RB VBP,1
403,NNS JJ CC,1
413,NNS PRP VBZ,1
134,IN JJ RB,1
411,NNS NNS RB,1
410,NNS NNS PDT,1
135,IN NN FW,1
404,NNS JJ JJ,1
436,PRP CD CC,1
127,IN DT WP,1
438,PRP IN NNP,1
453,PRP VB VBP,1
379,"NNPS , RB",1
466,PRP VBZ .,1
465,PRP VBP VBP,1
380,"NNS , .",1
463,PRP VBP NNS,1
147,IN NNP VBP,1
461,PRP VBP CC,1
383,"NNS , NNP",1
1,", . DT",1
458,PRP VBG IN,1
457,PRP VBD NNS,1
124,IN DT PRP$,1
386,"NNS , VBD",1
439,"PRP JJ ,",1
387,"NNS , VBP",1
450,"PRP VB ,",1
449,"PRP UH ,",1
142,IN NN _,1
447,PRP RB VBZ,1
446,PRP RB PRP,1
391,NNS CC TO,1
392,NNS CD CC,1
393,NNS FW .,1
442,PRP NN IN,1
141,IN NN WP,1
440,PRP JJ CC,1
537,RB PRP VBZ,1
539,RB PRP$ NNS,1
302,NN NNP IN,1
69,DT NN :,1
313,NN VB IN,1
163,IN VB DT,1
634,VB PRP NNS,1
317,NN VBD NN,1
632,VB PRP MD,1
73,DT NN NNP,1
630,VB NNP CC,1
629,"VB NNP ,",1
320,NN VBP CC,1
76,DT NN WP,1
626,VB JJ RB,1
321,NN VBP DT,1
624,VB JJ DT,1
623,VB JJ CC,1
322,"NN VBZ ,",1
621,"VB JJ ,",1
160,IN RB MD,1
326,NN VBZ NN,1
79,DT NNP CD,1
80,DT NNP IN,1
81,DT NNP PRP,1
614,"VB IN ,",1
613,VB DT ``,1
612,VB DT VBD,1
611,VB DT RBS,1
82,DT NNS JJR,1
329,NN WDT DT,1
164,IN VBD IN,1
68,DT NN '',1
95,DT VBP NN,1
641,VB RB DT,1
670,VBD IN CC,1
303,NN NNS DT,1
170,IN WP NN,1
305,NN NNS JJ,1
169,IN WDT VBZ,1
665,VBD CC PRP,1
663,VBD . RB,1
407,NNS NNP CC,1
661,VBD . CC,1
660,"VBD , IN",1
659,VB WP VBZ,1
309,NN RB DT,1
657,VB WDT PRP,1
656,VB WDT MD,1
655,VB VBZ NN,1
654,VB VBZ IN,1
653,VB VBN RB,1
652,VB VBN JJ,1
651,VB VBN DT,1
167,IN VBZ IN,1
649,VB VBG DT,1
648,VB VB IN,1
647,VB VB .,1
64,DT JJ CD,1
65,DT JJ IN,1
644,VB RB PRP,1
643,VB RB NN,1
607,VB DT CD,1
157,IN PRP$ NNP,1
605,VB CC TO,1
331,NN WDT VBP,1
569,"RP , .",1
568,RBR PRP$ NN,1
343,NNP . IN,1
566,RB VBZ VBN,1
344,NNP . RB,1
564,RB VBP VBZ,1
562,RB VBP VBG,1
561,RB VBP NNS,1
560,RB VBP CC,1
346,NNP CC VBZ,1
558,RB VBN CC,1
557,RB VBN .,1
347,NNP DT NNS,1
348,"NNP IN ,",1
553,"RB VBG ,",1
552,RB VBD VBN,1
551,RB VBD TO,1
550,RB VBD RBS,1
91,DT VBD NN,1
351,NNP IN NN,1
352,NNP JJS CC,1
92,DT VBD PRP$,1
545,RB VB .,1
93,DT VBG NNP,1
543,RB RB PRP,1
542,RB RB NNP,1
94,DT VBP CC,1
570,RP CC IN,1
571,RP IN PRP$,1
572,RP NN IN,1
589,TO VB VBP,1
602,VB . UH,1
601,VB . NNS,1
600,VB . IN,1
599,"VB , DT",1
333,NNP '' IN,1
597,UH RB RB,1
596,UH RB .,1
334,"NNP , .",1
594,UH PRP VBD,1
593,UH IN PRP,1
591,TO VB WDT,1
590,TO VB VBZ,1
154,IN PRP PRP$,1
573,RP PRP NN,1
587,TO VB TO,1
337,"NNP , NN",1
87,DT RB NN,1
584,TO VB JJR,1
88,DT RB PRP,1
582,TO VB HYPH,1
89,"DT RBR ,",1
579,TO VB CC,1
578,TO VB :,1
339,"NNP , UH",1
340,"NNP , VBP",1
575,TO RP PRP,1
459,PRP VBG NNS,1
