,incorrect_trigram_poss,count
322,PRON PUNCT _,8
41,ADP NOUN NOUN,8
173,NOUN ADP NUM,7
306,PRON NOUN PUNCT,7
180,NOUN ADV ADJ,7
193,NOUN CCONJ ADP,7
167,NOUN ADJ PUNCT,7
12,ADP ADP NOUN,7
21,ADP ADV PRON,7
13,ADP ADP PRON,7
22,ADP ADV PUNCT,6
67,ADP PROPN CCONJ,6
165,NOUN ADJ NOUN,6
202,NOUN DET ADJ,6
329,PRON VERB NUM,6
107,DET ADP DET,6
277,PRON ADP NOUN,6
143,DET PROPN PUNCT,6
92,ADP VERB VERB,6
121,DET NOUN ADJ,6
72,ADP PROPN PUNCT,6
57,ADP PRON ADV,6
118,DET DET ADJ,6
215,NOUN NOUN DET,5
23,ADP ADV VERB,5
59,ADP PRON DET,5
251,NOUN PUNCT PART,5
150,DET VERB ADJ,5
253,NOUN PUNCT PROPN,5
42,ADP NOUN PART,5
40,ADP NOUN DET,5
27,ADP DET ADV,5
159,DET VERB PUNCT,4
1,ADP ADJ ADP,4
218,NOUN NOUN PART,4
316,PRON PUNCT ADV,4
170,NOUN ADP ADV,4
97,DET ADJ ADP,4
60,ADP PRON NOUN,4
189,NOUN ADV VERB,4
205,NOUN DET DET,4
318,PRON PUNCT DET,4
268,NOUN VERB PUNCT,4
232,NOUN PRON ADV,4
272,NOUN _ _,4
243,NOUN PUNCT ADJ,4
26,ADP DET ADP,4
31,ADP DET NUM,4
38,ADP NOUN ADV,4
56,ADP PRON ADP,3
256,NOUN PUNCT X,3
271,NOUN X PUNCT,3
75,ADP PUNCT ADV,3
70,ADP PROPN PRON,3
263,NOUN VERB NOUN,3
69,ADP PROPN PART,3
274,PRON ADJ NOUN,3
305,PRON NOUN CCONJ,3
68,ADP PROPN NOUN,3
290,PRON AUX ADV,3
209,NOUN DET PUNCT,3
49,ADP NUM ADJ,3
211,NOUN NOUN ADJ,3
282,PRON ADV ADV,3
216,NOUN NOUN NOUN,3
54,ADP NUM PUNCT,3
81,ADP PUNCT VERB,3
76,ADP PUNCT CCONJ,3
102,DET ADJ PROPN,3
147,DET PUNCT PRON,3
96,DET ADJ ADJ,3
88,ADP VERB NOUN,3
163,NOUN ADJ ADP,3
15,ADP ADV ADP,3
133,DET NUM NOUN,3
7,ADP ADJ PRON,3
140,DET PROPN PART,3
3,ADP ADJ CCONJ,3
120,DET DET VERB,3
149,DET PUNCT _,3
285,PRON ADV PART,2
224,NOUN NUM NOUN,2
281,PRON ADV ADJ,2
84,ADP VERB ADJ,2
317,PRON PUNCT CCONJ,2
229,NOUN PART PUNCT,2
283,PRON ADV CCONJ,2
233,NOUN PRON AUX,2
234,NOUN PRON CCONJ,2
177,NOUN ADP PUNCT,2
50,ADP NUM ADP,2
53,ADP NUM PROPN,2
241,NOUN PROPN PUNCT,2
242,NOUN PROPN VERB,2
101,DET ADJ PART,2
135,DET PART VERB,2
248,NOUN PUNCT INTJ,2
250,NOUN PUNCT NUM,2
134,DET NUM PUNCT,2
129,DET NOUN PROPN,2
36,ADP NOUN ADJ,2
108,DET ADP NOUN,2
261,NOUN VERB CCONJ,2
264,NOUN VERB NUM,2
267,NOUN VERB PROPN,2
98,DET ADJ CCONJ,2
114,DET ADV PRON,2
17,ADP ADV CCONJ,2
164,NOUN ADJ CCONJ,2
74,ADP PUNCT ADP,2
191,NOUN AUX ADV,2
298,PRON CCONJ VERB,2
295,PRON CCONJ DET,2
90,ADP VERB PRON,2
78,ADP PUNCT PRON,2
294,PRON CCONJ ADV,2
18,ADP ADV DET,2
185,NOUN ADV NOUN,2
183,NOUN ADV CCONJ,2
307,PRON NOUN VERB,2
61,ADP PRON PART,2
62,ADP PRON PRON,2
66,ADP PROPN ADV,2
86,ADP VERB ADV,2
161,DET _ _,2
4,ADP ADJ DET,1
326,PRON VERB CCONJ,1
2,ADP ADJ ADV,1
16,ADP ADV ADV,1
304,PRON NOUN ADV,1
299,PRON DET ADJ,1
303,PRON NOUN ADP,1
332,PRON VERB PROPN,1
300,PRON DET DET,1
6,ADP ADJ PART,1
302,PRON INTJ PUNCT,1
275,PRON ADJ PUNCT,1
273,PRON ADJ CCONJ,1
315,PRON PUNCT ADP,1
9,ADP ADP ADJ,1
297,PRON CCONJ PRON,1
291,PRON AUX NOUN,1
14,ADP ADV ADJ,1
19,ADP ADV NOUN,1
313,PRON PRON DET,1
312,PRON PRON CCONJ,1
286,PRON ADV PRON,1
311,PRON PRON ADV,1
284,PRON ADV NUM,1
320,PRON PUNCT PUNCT,1
321,PRON PUNCT VERB,1
296,PRON CCONJ PART,1
292,PRON AUX PART,1
309,PRON PART CCONJ,1
308,PRON NUM CCONJ,1
280,PRON ADP VERB,1
279,PRON ADP PROPN,1
10,ADP ADP ADP,1
289,PRON ADV _,1
8,ADP ADJ PUNCT,1
20,ADP ADV PART,1
225,NOUN PART ADP,1
270,NOUN X ADV,1
24,ADP CCONJ PRON,1
83,ADP SYM NUM,1
174,NOUN ADP PART,1
89,ADP VERB PART,1
91,ADP VERB PUNCT,1
166,NOUN ADJ PART,1
162,NOUN ADJ ADJ,1
93,ADP _ _,1
158,DET VERB PROPN,1
157,DET VERB PART,1
156,DET VERB NUM,1
94,AUX ADV DET,1
153,DET VERB CCONJ,1
148,DET PUNCT X,1
146,DET PUNCT CCONJ,1
145,DET PUNCT ADV,1
144,DET PUNCT ADJ,1
100,DET ADJ NUM,1
141,DET PROPN PRON,1
139,DET PROPN NUM,1
138,DET PROPN NOUN,1
137,DET PROPN ADP,1
132,DET NUM ADP,1
104,DET ADJ VERB,1
105,DET ADP ADJ,1
106,DET ADP CCONJ,1
109,DET ADP PRON,1
111,DET ADV ADV,1
112,DET ADV CCONJ,1
113,DET ADV NOUN,1
179,NOUN ADP X,1
82,ADP PUNCT _,1
80,ADP PUNCT PUNCT,1
117,DET AUX ADV,1
28,ADP DET CCONJ,1
44,ADP NOUN PROPN,1
47,ADP NOUN X,1
48,ADP NOUN _,1
52,ADP NUM PRON,1
240,NOUN PROPN PROPN,1
239,NOUN PROPN CCONJ,1
238,NOUN PROPN ADP,1
236,NOUN PRON PUNCT,1
235,NOUN PRON PART,1
231,NOUN PRON ADP,1
228,NOUN PART PART,1
226,NOUN PART CCONJ,1
223,NOUN NUM CCONJ,1
184,NOUN ADV DET,1
222,NOUN NOUN _,1
217,NOUN NOUN NUM,1
208,NOUN DET PROPN,1
204,NOUN DET ADV,1
203,NOUN DET ADP,1
200,NOUN CCONJ PUNCT,1
199,NOUN CCONJ PROPN,1
197,NOUN CCONJ PART,1
73,ADP PROPN VERB,1
77,ADP PUNCT DET,1
190,NOUN ADV _,1
79,ADP PUNCT PROPN,1
186,NOUN ADV PART,1
0,ADP ADJ ADJ,1
