,correct_trigram_poss,error_type,count
564,DET NOUN ADP,UT,3
759,NOUN PRON VERB,UA,3
1118,VERB NOUN CCONJ,UT,3
676,NOUN ADP DET,UT,3
969,PRON VERB DET,RP,2
805,NOUN PUNCT _,UT,2
801,NOUN PUNCT _,RP,2
958,PRON VERB ADV,MA,2
651,DET VERB PUNCT,RA,2
389,ADV CCONJ ADV,S,2
973,PRON VERB DET,W,2
405,ADV PRON VERB,DY,2
393,ADV DET NOUN,RT,2
966,PRON VERB DET,MA,2
640,DET PUNCT _,RA,2
815,NOUN VERB ADP,UA,2
657,INTJ PUNCT ADP,MP,2
976,PRON VERB NOUN,TV,2
808,NOUN VERB ADJ,UA,2
368,ADV ADP NOUN,R,2
980,PRON VERB PART,R,2
723,NOUN NOUN ADP,SX,2
349,ADV ADJ ADV,DY,2
348,ADV ADJ ADP,W,2
760,NOUN PRON VERB,UD,2
1003,PROPN PRON VERB,UD,2
1005,PROPN PROPN CCONJ,UT,2
343,ADP VERB NOUN,R,2
341,ADP VERB DET,R,2
790,NOUN PUNCT PRON,UJ,2
1008,PROPN PROPN PUNCT,UD,2
730,NOUN NOUN CCONJ,UD,2
743,NOUN NOUN PUNCT,U,2
334,ADP PUNCT VERB,RT,2
737,NOUN NOUN PRON,UD,2
331,ADP PUNCT PRON,MP,2
351,ADV ADJ CCONJ,RJ,2
352,ADV ADJ NOUN,L,2
354,ADV ADJ NOUN,MY,2
710,NOUN CCONJ NOUN,UT,2
355,ADV ADJ NOUN,R,2
357,ADV ADJ NOUN,UD,2
709,NOUN CCONJ NOUN,UD,2
705,NOUN CCONJ ADV,UD,2
365,ADV ADP DET,RY,2
703,NOUN ADV VERB,UA,2
697,NOUN ADV NUM,U,2
632,DET PUNCT DET,MP,2
780,NOUN PUNCT DET,UD,2
784,NOUN PUNCT PRON,R,2
989,PRON VERB VERB,MP,2
788,NOUN PUNCT PRON,U,2
378,ADV ADP VERB,S,2
636,DET PUNCT NOUN,MP,2
525,DET ADJ VERB,MD,2
955,PRON VERB ADP,TV,2
462,ADV VERB PUNCT,RY,2
913,PRON DET NOUN,MA,2
466,AUX ADV VERB,MP,2
584,DET NOUN NOUN,R,2
845,NOUN VERB PUNCT,UT,2
471,CCONJ ADJ NOUN,RC,2
580,DET NOUN DET,UT,2
474,CCONJ ADP PRON,RC,2
907,PRON AUX VERB,MP,2
847,NOUN VERB VERB,R,2
849,NOUN VERB VERB,U,2
570,DET NOUN ADV,W,2
568,DET NOUN ADV,MD,2
894,PRON ADP DET,MA,2
496,CCONJ PRON VERB,RP,2
497,CCONJ PRON VERB,SX,2
853,NOUN VERB VERB,UJ,2
501,CCONJ PUNCT PRON,MP,2
502,CCONJ PUNCT VERB,MP,2
562,DET NOUN ADP,S,2
560,DET NOUN ADP,RP,2
855,NOUN VERB VERB,UT,2
554,DET NOUN ADP,FD,2
550,DET NOUN ADJ,W,2
546,DET DET NOUN,RQ,2
542,DET ADV VERB,RA,2
881,PART VERB ADP,ID,2
867,NUM NOUN PUNCT,RQ,2
880,PART VERB ADJ,MV,2
326,ADP PUNCT ADP,MP,2
463,ADV VERB VERB,RA,2
585,DET NOUN NOUN,RD,2
411,ADV PRON VERB,RP,2
917,PRON DET VERB,MA,2
953,PRON VERB ADP,R,2
950,PRON VERB ADJ,RA,2
627,DET PUNCT ADJ,MP,2
949,PRON VERB ADJ,MP,2
948,PRON VERB ADJ,MA,2
946,PRON PUNCT _,RA,2
622,DET PROPN PROPN,MD,2
942,PRON PUNCT PUNCT,MP,2
527,DET ADJ VERB,W,2
426,ADV PUNCT DET,ID,2
428,ADV PUNCT DET,RY,2
618,DET NUM NOUN,AGD,2
835,NOUN VERB PART,UA,2
429,ADV PUNCT NOUN,ID,2
609,DET NOUN VERB,MD,2
608,DET NOUN VERB,DD,2
605,DET NOUN PUNCT,SX,2
939,PRON PUNCT PRON,MP,2
431,ADV PUNCT PRON,MP,2
433,ADV PUNCT PRON,RP,2
434,ADV PUNCT PRON,SX,2
937,PRON PUNCT INTJ,MP,2
840,NOUN VERB PRON,UT,2
594,DET NOUN PRON,RD,2
928,PRON PUNCT ADP,MP,2
926,PRON PRON VERB,MA,2
447,ADV VERB DET,AS,2
588,DET NOUN PART,MD,2
844,NOUN VERB PUNCT,UN,2
621,DET PRON VERB,S,2
604,DET NOUN PUNCT,S,2
271,ADP NOUN PRON,RT,2
42,ADJ CCONJ ADV,IJ,2
98,ADJ NOUN PUNCT,DJ,2
1182,VERB PUNCT _,UT,2
1046,SPACE PRON VERB,U,2
1181,VERB PUNCT _,UA,2
1099,VERB DET ADJ,UA,2
1161,VERB PUNCT ADV,UD,2
1101,VERB DET DET,W,2
278,ADP NUM ADJ,RT,2
1103,VERB DET NOUN,R,2
171,ADJ PUNCT PUNCT,S,2
280,ADP NUM ADP,RT,2
1194,VERB VERB DET,UA,2
1106,VERB DET NOUN,SX,2
1040,PUNCT PRON VERB,UC,2
23,ADJ ADP PRON,IJ,2
221,ADP DET ADJ,R,2
22,ADJ ADP PRON,FJ,2
107,ADJ NOUN PUNCT,UQ,2
163,ADJ PUNCT PRON,DJ,2
97,ADJ NOUN PUNCT,CQ,2
227,ADP DET ADP,RT,2
1196,VERB VERB DET,UT,2
193,ADP ADJ NOUN,R,2
192,ADP ADJ NOUN,MT,2
243,ADP DET NOUN,W,2
247,ADP DET PROPN,MT,2
190,ADP ADJ ADP,RT,2
83,ADJ NOUN PART,S,2
1089,VERB ADV PUNCT,UD,2
1153,VERB PRON VERB,UA,2
1152,VERB PRON VERB,U,2
1092,VERB ADV VERB,RV,2
253,ADP DET VERB,R,2
254,ADP DET VERB,RT,2
1054,VERB ADJ NOUN,UT,2
1052,VERB ADJ NOUN,RT,2
259,ADP NOUN ADP,R,2
33,ADJ ADV PRON,S,2
240,ADP DET NOUN,S,2
1051,VERB ADJ NOUN,R,2
263,ADP NOUN CCONJ,R,2
265,ADP NOUN CCONJ,SX,2
47,ADJ CCONJ PRON,RJ,2
1107,VERB DET NOUN,UA,2
289,ADP PRON ADP,MT,2
62,ADJ NOUN ADP,UA,2
303,ADP PRON VERB,M,2
291,ADP PRON ADV,RT,2
67,ADJ NOUN ADV,S,2
156,ADJ PUNCT NOUN,MP,2
310,ADP PRON VERB,SX,2
53,ADJ NOUN ADJ,RP,2
153,ADJ PUNCT DET,RJ,2
316,ADP PROPN NOUN,RT,2
210,ADP ADV PRON,RT,2
1200,VERB VERB PART,UT,2
319,ADP PROPN PRON,RT,2
209,ADP ADV DET,RT,2
1020,PROPN VERB VERB,UC,2
146,ADJ PUNCT CCONJ,DJ,2
5,ADJ ADJ NOUN,UD,2
133,ADJ PUNCT ADJ,MP,2
1076,VERB ADP PRON,UD,2
143,ADJ PUNCT ADV,RJ,2
1111,VERB DET VERB,W,2
199,ADP ADP DET,R,2
1185,VERB VERB ADJ,UT,2
1069,VERB ADP NOUN,R,2
296,ADP PRON PRON,MT,2
1071,VERB ADP NOUN,UT,2
1109,VERB DET NOUN,W,2
1018,PROPN VERB ADV,UD,2
1031,PUNCT NOUN NOUN,UD,2
12,ADJ ADP DET,FJ,2
299,ADP PRON PUNCT,MT,2
301,ADP PRON VERB,ID,2
831,NOUN VERB NOUN,RA,1
834,NOUN VERB NUM,UT,1
1162,VERB PUNCT ADV,UT,1
833,NOUN VERB NOUN,UD,1
836,NOUN VERB PRON,DN,1
832,NOUN VERB NOUN,UA,1
827,NOUN VERB DET,U,1
1169,VERB PUNCT NOUN,U,1
1159,VERB PUNCT ADP,RJ,1
1156,VERB PROPN PROPN,UD,1
1160,VERB PUNCT ADV,UA,1
828,NOUN VERB DET,UA,1
829,NOUN VERB DET,UD,1
1163,VERB PUNCT CCONJ,MV,1
1164,VERB PUNCT CCONJ,R,1
1165,VERB PUNCT CCONJ,UT,1
1157,VERB PROPN PUNCT,IV,1
1167,VERB PUNCT DET,UT,1
1158,VERB PROPN PUNCT,UD,1
1166,VERB PUNCT DET,UD,1
1168,VERB PUNCT INTJ,UD,1
1017,PROPN VERB ADV,UA,1
1154,VERB PRON VERB,UT,1
1138,VERB PART VERB,S,1
1136,VERB PART VERB,FV,1
848,NOUN VERB VERB,RA,1
1135,VERB PART VERB,AS,1
1134,VERB PART DET,UT,1
1133,VERB PART DET,R,1
1132,VERB NUM NOUN,SX,1
1131,VERB NUM CCONJ,UD,1
851,NOUN VERB VERB,UC,1
1130,VERB NOUN VERB,UD,1
1129,VERB NOUN VERB,R,1
1127,VERB NOUN PUNCT,UD,1
1126,VERB NOUN PUNCT,UA,1
1125,VERB NOUN PUNCT,U,1
1124,VERB NOUN PUNCT,SX,1
1123,VERB NOUN PUNCT,RT,1
854,NOUN VERB VERB,UN,1
1122,VERB NOUN PUNCT,R,1
1137,VERB PART VERB,IV,1
846,NOUN VERB VERB,DN,1
837,NOUN VERB PRON,U,1
1139,VERB PART VERB,SX,1
1151,VERB PRON VERB,FV,1
1150,VERB PRON PROPN,TV,1
838,NOUN VERB PRON,UA,1
1149,VERB PRON PRON,UT,1
1148,VERB PRON NUM,U,1
1147,VERB PRON CCONJ,TV,1
1146,VERB PRON AUX,UA,1
1170,VERB PUNCT PRON,RN,1
1145,VERB PRON ADV,UA,1
841,NOUN VERB PUNCT,M,1
842,NOUN VERB PUNCT,U,1
1144,VERB PRON ADP,UA,1
1143,VERB PART VERB,UT,1
843,NOUN VERB PUNCT,UA,1
1142,VERB PART VERB,UD,1
1141,VERB PART VERB,UC,1
1140,VERB PART VERB,UA,1
826,NOUN VERB DET,MD,1
1179,VERB PUNCT _,RJ,1
825,NOUN VERB CCONJ,R,1
770,NOUN PUNCT ADV,SX,1
764,NOUN PUNCT ADP,U,1
1198,VERB VERB PART,R,1
1197,VERB VERB DET,W,1
765,NOUN PUNCT ADP,UA,1
766,NOUN PUNCT ADP,UD,1
767,NOUN PUNCT ADP,UJ,1
768,NOUN PUNCT ADP,UT,1
1195,VERB VERB DET,UC,1
769,NOUN PUNCT ADV,MA,1
771,NOUN PUNCT ADV,U,1
824,NOUN VERB ADV,UN,1
773,NOUN PUNCT ADV,UT,1
774,NOUN PUNCT CCONJ,R,1
775,NOUN PUNCT CCONJ,RA,1
776,NOUN PUNCT CCONJ,U,1
778,NOUN PUNCT DET,DN,1
779,NOUN PUNCT DET,MN,1
1193,VERB VERB DET,U,1
781,NOUN PUNCT NOUN,MP,1
782,NOUN PUNCT NOUN,UD,1
763,NOUN PUNCT ADP,MN,1
762,NOUN PROPN VERB,RP,1
1199,VERB VERB PART,SX,1
758,NOUN PRON VERB,SX,1
1207,X PUNCT _,UD,1
1206,X NOUN PRON,UT,1
1205,X DET NOUN,UT,1
1204,VERB VERB VERB,R,1
746,NOUN NOUN VERB,SX,1
747,NOUN NOUN VERB,UC,1
1203,VERB VERB PUNCT,RT,1
748,NOUN NUM ADP,UA,1
749,NOUN PART NOUN,UD,1
750,NOUN PART NOUN,UT,1
751,NOUN PART VERB,UA,1
752,NOUN PART VERB,UD,1
1202,VERB VERB PUNCT,R,1
1201,VERB VERB PRON,UA,1
753,NOUN PART VERB,UT,1
754,NOUN PRON ADP,R,1
755,NOUN PRON VERB,DN,1
756,NOUN PRON VERB,RA,1
757,NOUN PRON VERB,RP,1
783,NOUN PUNCT PART,RP,1
1192,VERB VERB DET,SX,1
785,NOUN PUNCT PRON,RA,1
809,NOUN VERB ADJ,X,1
812,NOUN VERB ADP,RP,1
813,NOUN VERB ADP,S,1
814,NOUN VERB ADP,U,1
1180,VERB PUNCT _,U,1
1120,VERB NOUN PRON,RT,1
1178,VERB PUNCT _,R,1
816,NOUN VERB ADP,UC,1
817,NOUN VERB ADP,UD,1
818,NOUN VERB ADP,UN,1
1177,VERB PUNCT PUNCT,UT,1
1176,VERB PUNCT PUNCT,UD,1
820,NOUN VERB ADV,R,1
1175,VERB PUNCT PUNCT,UA,1
1174,VERB PUNCT PRON,UT,1
821,NOUN VERB ADV,RP,1
822,NOUN VERB ADV,UA,1
1173,VERB PUNCT PRON,UD,1
1171,VERB PUNCT PRON,S,1
823,NOUN VERB ADV,UD,1
811,NOUN VERB ADP,RA,1
807,NOUN VERB ADJ,RP,1
786,NOUN PUNCT PRON,RN,1
806,NOUN VERB ADJ,RA,1
787,NOUN PUNCT PRON,SX,1
1191,VERB VERB DET,MV,1
1190,VERB VERB CCONJ,UT,1
1189,VERB VERB ADV,X,1
791,NOUN PUNCT PUNCT,DN,1
792,NOUN PUNCT PUNCT,UT,1
793,NOUN PUNCT VERB,MN,1
1188,VERB VERB ADV,R,1
1187,VERB VERB ADP,U,1
795,NOUN PUNCT VERB,UQ,1
796,NOUN PUNCT _,DN,1
797,NOUN PUNCT _,MA,1
798,NOUN PUNCT _,MN,1
799,NOUN PUNCT _,R,1
800,NOUN PUNCT _,RA,1
1186,VERB VERB ADP,R,1
1184,VERB VERB ADJ,UA,1
804,NOUN PUNCT _,UJ,1
1183,VERB PUNCT _,UY,1
1121,VERB NOUN PRON,UT,1
871,PART ADP NOUN,RT,1
1119,VERB NOUN NOUN,UY,1
978,PRON VERB NUM,MP,1
952,PRON VERB ADP,DA,1
1053,VERB ADJ NOUN,UD,1
956,PRON VERB ADV,AGA,1
957,PRON VERB ADV,DA,1
960,PRON VERB ADV,R,1
1050,VERB ADJ NOUN,AGV,1
1049,VERB ADJ ADV,MV,1
963,PRON VERB ADV,RV,1
1048,VERB ADJ ADP,MV,1
965,PRON VERB DET,AG,1
1047,SYM PROPN PUNCT,UT,1
1045,PUNCT VERB VERB,UA,1
1044,PUNCT VERB DET,UA,1
1043,PUNCT VERB ADV,UC,1
971,PRON VERB DET,UT,1
1042,PUNCT VERB ADV,UA,1
972,PRON VERB DET,UV,1
974,PRON VERB NOUN,MP,1
1041,PUNCT PRON VERB,UP,1
951,PRON VERB ADP,AGA,1
1055,VERB ADJ NOUN,W,1
1056,VERB ADJ PART,MV,1
938,PRON PUNCT NOUN,MA,1
932,PRON PUNCT ADV,RP,1
933,PRON PUNCT CCONJ,MA,1
934,PRON PUNCT CCONJ,MP,1
935,PRON PUNCT CCONJ,S,1
936,PRON PUNCT DET,RA,1
1067,VERB ADP DET,UT,1
1065,VERB ADP DET,UC,1
1064,VERB ADP DET,U,1
1063,VERB ADP DET,TV,1
1057,VERB ADJ PUNCT,R,1
1062,VERB ADP DET,RV,1
1060,VERB ADP DET,DJ,1
1059,VERB ADP ADJ,UD,1
1058,VERB ADJ PUNCT,RV,1
943,PRON PUNCT VERB,MP,1
944,PRON PUNCT VERB,UT,1
945,PRON PUNCT _,R,1
947,PRON PUNCT _,U,1
977,PRON VERB NUM,AGA,1
979,PRON VERB PART,AGA,1
929,PRON PUNCT ADV,AGA,1
1039,PUNCT PRON VERB,UA,1
1027,PUNCT ADV VERB,UA,1
1026,PUNCT ADV PUNCT,R,1
1025,PUNCT ADP DET,U,1
1004,PROPN PROPN ADP,UD,1
1006,PROPN PROPN DET,W,1
1024,PUNCT ADP ADJ,UC,1
1023,PUNCT ADJ PRON,UT,1
1022,PUNCT ADJ NOUN,U,1
1007,PROPN PROPN NOUN,RP,1
1021,PROPN VERB VERB,UD,1
1009,PROPN PROPN PUNCT,UJ,1
1010,PROPN PUNCT ADV,UD,1
1011,PROPN PUNCT ADV,UT,1
1012,PROPN PUNCT PUNCT,AGN,1
1019,PROPN VERB PART,UC,1
1013,PROPN PUNCT PUNCT,UT,1
1014,PROPN PUNCT _,UT,1
1015,PROPN VERB ADP,UT,1
1016,PROPN VERB ADV,U,1
1002,PROPN PART NOUN,UD,1
1028,PUNCT DET NOUN,UC,1
1001,PROPN PART ADJ,W,1
1035,PUNCT NUM NOUN,UT,1
1038,PUNCT PRON VERB,U,1
982,PRON VERB PRON,RP,1
983,PRON VERB PUNCT,DA,1
1037,PUNCT PART VERB,UT,1
1036,PUNCT NUM PRON,UD,1
986,PRON VERB PUNCT,UV,1
987,PRON VERB VERB,AGA,1
988,PRON VERB VERB,DA,1
1033,PUNCT NOUN PUNCT,UD,1
1000,PROPN PART ADJ,UD,1
1032,PUNCT NOUN PUNCT,UC,1
993,PROPN ADP PRON,UT,1
994,PROPN ADP PROPN,UJ,1
995,PROPN ADV PUNCT,RA,1
997,PROPN CCONJ VERB,UT,1
998,PROPN NOUN PUNCT,UD,1
999,PROPN NUM PUNCT,UD,1
1029,PUNCT DET VERB,MP,1
930,PRON PUNCT ADV,MA,1
927,PRON PRON VERB,R,1
1117,VERB NOUN CCONJ,UA,1
890,PART VERB PUNCT,RV,1
876,PART PUNCT ADP,MY,1
877,PART PUNCT ADV,MP,1
878,PART PUNCT PRON,MY,1
879,PART PUNCT _,RJ,1
1105,VERB DET NOUN,RV,1
1100,VERB DET ADP,UA,1
1098,VERB DET ADJ,RT,1
1097,VERB DET ADJ,R,1
1096,VERB DET ADJ,MV,1
883,PART VERB ADV,R,1
1095,VERB CCONJ PRON,UT,1
1094,VERB CCONJ NUM,UA,1
884,PART VERB ADV,RV,1
1093,VERB ADV VERB,UA,1
886,PART VERB PART,MV,1
887,PART VERB PRON,W,1
888,PART VERB PUNCT,ID,1
889,PART VERB PUNCT,MV,1
1091,VERB ADV VERB,MV,1
875,PART DET VERB,MY,1
874,PART DET NOUN,W,1
873,PART DET NOUN,RT,1
862,NUM NOUN ADP,SX,1
856,NOUN X PUNCT,UT,1
857,NUM ADJ NOUN,RQ,1
858,NUM ADP CCONJ,RA,1
1116,VERB NOUN CCONJ,U,1
1115,VERB NOUN ADV,UT,1
859,NUM ADP PRON,RN,1
860,NUM NOUN ADP,R,1
861,NUM NOUN ADP,RQ,1
863,NUM NOUN CCONJ,MP,1
1108,VERB DET NOUN,UT,1
1112,VERB NOUN ADP,UC,1
864,NUM NOUN PRON,R,1
865,NUM NOUN PRON,RQ,1
866,NUM NOUN PRON,W,1
1110,VERB DET NUM,RT,1
868,NUM NOUN VERB,UD,1
869,NUM PUNCT _,UT,1
870,PART ADP DET,RY,1
1090,VERB ADV VERB,AGV,1
1088,VERB ADV PUNCT,TV,1
1070,VERB ADP NOUN,UD,1
891,PART VERB VERB,R,1
911,PRON CCONJ DET,RA,1
1079,VERB ADV ADJ,R,1
1078,VERB ADP PROPN,UY,1
1077,VERB ADP PRON,UT,1
912,PRON DET ADJ,RA,1
914,PRON DET NOUN,R,1
915,PRON DET NOUN,RA,1
1075,VERB ADP PRON,S,1
916,PRON DET NOUN,UV,1
1074,VERB ADP PRON,RV,1
918,PRON NOUN ADP,R,1
1073,VERB ADP PRON,MV,1
920,PRON NOUN ADV,RQ,1
921,PRON NOUN PRON,RQ,1
922,PRON NOUN PUNCT,RQ,1
923,PRON PART VERB,AGA,1
924,PRON PART VERB,DA,1
1072,VERB ADP NUM,UQ,1
925,PRON PRON PUNCT,RA,1
910,PRON CCONJ ADV,RA,1
1080,VERB ADV ADJ,UA,1
1081,VERB ADV ADP,W,1
1085,VERB ADV PART,UT,1
892,PRON ADJ ADP,MA,1
893,PRON ADJ PART,MA,1
1087,VERB ADV PRON,UA,1
895,PRON ADP DET,RA,1
896,PRON ADP DET,SX,1
897,PRON ADP NOUN,DA,1
898,PRON ADP PRON,AGA,1
1086,VERB ADV PRON,IV,1
900,PRON ADP PRON,R,1
908,PRON AUX VERB,MV,1
901,PRON ADP PRON,RP,1
902,PRON ADP PROPN,AGA,1
903,PRON ADV PUNCT,DA,1
904,PRON ADV PUNCT,RA,1
905,PRON ADV VERB,TV,1
1084,VERB ADV DET,UA,1
1083,VERB ADV DET,TV,1
1082,VERB ADV CCONJ,UT,1
741,NOUN NOUN PUNCT,RN,1
0,ADJ ADJ ADP,S,1
739,NOUN NOUN PUNCT,R,1
267,ADP NOUN DET,UT,1
236,ADP DET NOUN,RC,1
241,ADP DET NOUN,SX,1
242,ADP DET NOUN,U,1
245,ADP DET NUM,RT,1
249,ADP DET PUNCT,DY,1
250,ADP DET PUNCT,MT,1
252,ADP DET VERB,MT,1
255,ADP INTJ PUNCT,R,1
256,ADP NOUN ADJ,RT,1
257,ADP NOUN ADP,DT,1
261,ADP NOUN ADP,U,1
266,ADP NOUN DET,RT,1
269,ADP NOUN PART,RT,1
288,ADP PRON ADP,M,1
270,ADP NOUN PRON,R,1
272,ADP NOUN PUNCT,MT,1
273,ADP NOUN PUNCT,R,1
275,ADP NOUN VERB,R,1
276,ADP NOUN VERB,RT,1
277,ADP NOUN _,RT,1
