,correct_trigram_poss,count
159,ADV PUNCT NOUN,3
337,PART VERB CCONJ,3
233,DET PROPN ADV,3
536,VERB PART ADV,3
415,PROPN PUNCT _,3
506,VERB CCONJ PRON,3
87,ADP NOUN VERB,3
153,ADV PUNCT ADJ,3
554,VERB PROPN ADP,3
99,ADP PROPN ADP,3
224,DET NOUN CCONJ,3
83,ADP NOUN ADP,3
320,NUM PUNCT NOUN,3
307,NOUN VERB NOUN,3
200,CCONJ PUNCT ADP,3
343,PART VERB PROPN,3
252,NOUN ADJ PUNCT,3
532,VERB NUM CCONJ,3
142,ADV CCONJ PRON,3
555,VERB PROPN ADV,3
133,ADV ADV ADP,3
60,ADP ADJ PUNCT,3
193,CCONJ NOUN PUNCT,3
452,PUNCT PROPN PROPN,3
516,VERB DET PUNCT,3
558,VERB PROPN PROPN,3
474,VERB ADJ CCONJ,3
429,PUNCT ADV CCONJ,3
101,ADP PROPN PUNCT,3
502,VERB CCONJ ADP,3
199,CCONJ PROPN PUNCT,3
77,ADP DET DET,3
235,DET PROPN PUNCT,3
413,PROPN PUNCT PUNCT,2
420,PROPN _ _,2
465,PUNCT VERB PART,2
411,PROPN PUNCT PRON,2
350,PRON ADV ADP,2
409,PROPN PUNCT CCONJ,2
407,PROPN PUNCT ADP,2
389,PROPN CCONJ PROPN,2
351,PRON ADV ADV,2
349,PRON ADV ADJ,2
348,PRON ADJ PART,2
357,PRON CCONJ PRON,2
386,PROPN ADV PUNCT,2
447,PUNCT NUM ADP,2
391,PROPN DET VERB,2
431,PUNCT ADV NOUN,2
395,PROPN NOUN PUNCT,2
385,PROPN ADV ADV,2
435,PUNCT CCONJ ADJ,2
399,PROPN PRON VERB,2
426,PUNCT ADV ADJ,2
401,PROPN PROPN ADV,2
437,PUNCT CCONJ ADV,2
404,PROPN PROPN PROPN,2
457,PUNCT PUNCT DET,2
405,PROPN PROPN PUNCT,2
369,PRON PUNCT PRON,2
406,PROPN PROPN VERB,2
365,PRON PUNCT ADV,2
209,DET ADJ PUNCT,2
467,PUNCT VERB VERB,2
205,DET ADJ ADJ,2
551,VERB PRON PROPN,2
97,ADP PRON PUNCT,2
103,ADP PUNCT ADJ,2
105,ADP PUNCT DET,2
107,ADP PUNCT VERB,2
110,ADP VERB ADV,2
113,ADP VERB NUM,2
123,ADV ADP ADJ,2
129,ADV ADP PROPN,2
539,VERB PART PRON,2
136,ADV ADV DET,2
143,ADV CCONJ PUNCT,2
168,ADV VERB CCONJ,2
182,CCONJ ADP PRON,2
525,VERB NOUN NOUN,2
185,CCONJ ADV PRON,2
522,VERB NOUN ADV,2
91,ADP NUM PUNCT,2
85,ADP NOUN CCONJ,2
82,ADP DET VERB,2
23,ADJ CCONJ VERB,2
3,ADJ ADP ADP,2
4,ADJ ADP ADV,2
7,ADJ ADP NUM,2
15,ADJ ADV PUNCT,2
18,ADJ CCONJ DET,2
19,ADJ CCONJ NOUN,2
579,VERB VERB NUM,2
26,ADJ DET NOUN,2
80,ADP DET PRON,2
27,ADJ NOUN ADJ,2
42,ADJ PROPN PUNCT,2
56,ADJ VERB ADP,2
569,VERB PUNCT PUNCT,2
564,VERB PUNCT INTJ,2
68,ADP ADV DET,2
73,ADP CCONJ ADV,2
201,CCONJ VERB ADP,2
417,PROPN VERB NOUN,2
497,VERB ADV NUM,2
211,DET ADP DET,2
267,NOUN CCONJ DET,2
262,NOUN ADV ADV,2
261,NOUN ADV ADJ,2
253,NOUN ADP ADJ,2
498,VERB ADV PART,2
277,NOUN NOUN ADV,2
236,DET PROPN VERB,2
231,DET PRON ADV,2
230,DET NUM NOUN,2
504,VERB CCONJ DET,2
278,NOUN NOUN CCONJ,2
279,NOUN NOUN NOUN,2
216,DET ADV PUNCT,2
419,PROPN VERB VERB,2
291,NOUN PROPN VERB,2
511,VERB DET ADV,2
207,DET ADJ CCONJ,2
297,NOUN PUNCT PART,2
264,NOUN ADV VERB,2
210,DET ADJ VERB,2
456,PUNCT PUNCT ADV,1
476,VERB ADJ NUM,1
422,PUNCT ADJ ADP,1
572,VERB SYM NUM,1
478,VERB ADJ PRON,1
557,VERB PROPN PRON,1
483,VERB ADP CCONJ,1
459,PUNCT PUNCT VERB,1
568,VERB PUNCT PROPN,1
454,PUNCT PROPN VERB,1
471,VERB ADJ ADJ,1
421,PUNCT ADJ ADJ,1
469,PUNCT X PROPN,1
584,X PUNCT ADP,1
460,PUNCT VERB ADJ,1
514,VERB DET NUM,1
556,VERB PROPN CCONJ,1
430,PUNCT ADV DET,1
448,PUNCT NUM NOUN,1
517,VERB DET SYM,1
519,VERB INTJ ADV,1
443,PUNCT DET NOUN,1
468,PUNCT VERB X,1
449,PUNCT PART PUNCT,1
530,VERB NOUN _,1
440,PUNCT CCONJ PART,1
531,VERB NUM ADP,1
534,VERB NUM PUNCT,1
537,VERB PART CCONJ,1
507,VERB CCONJ PROPN,1
450,PUNCT PART VERB,1
505,VERB CCONJ PART,1
436,PUNCT CCONJ ADP,1
503,VERB CCONJ ADV,1
547,VERB PRON INTJ,1
446,PUNCT NOUN PUNCT,1
496,VERB ADV NOUN,1
442,PUNCT CCONJ PUNCT,1
0,ADJ ADJ ADP,1
418,PROPN VERB NUM,1
186,CCONJ ADV PUNCT,1
181,CCONJ ADP ADP,1
179,CCONJ ADJ ADP,1
177,AUX ADV PRON,1
172,ADV VERB PART,1
171,ADV VERB NUM,1
158,ADV PUNCT INTJ,1
150,ADV NUM NOUN,1
148,ADV NOUN CCONJ,1
146,ADV DET ADP,1
145,ADV DET ADJ,1
144,ADV CCONJ VERB,1
140,ADV CCONJ ADP,1
135,ADV ADV CCONJ,1
130,ADV ADP SYM,1
125,ADV ADP ADV,1
124,ADV ADP ADP,1
116,ADP VERB VERB,1
184,CCONJ ADV ADP,1
187,CCONJ ADV VERB,1
108,ADP SYM NUM,1
188,CCONJ DET ADJ,1
219,DET CCONJ PRON,1
218,DET CCONJ NOUN,1
217,DET ADV VERB,1
215,DET ADV PROPN,1
214,DET ADV PART,1
212,DET ADP PRON,1
206,DET ADJ ADP,1
204,CCONJ VERB PRON,1
203,CCONJ VERB NOUN,1
202,CCONJ VERB DET,1
197,CCONJ PRON PUNCT,1
196,CCONJ PRON NOUN,1
195,CCONJ PRON AUX,1
194,CCONJ NUM NOUN,1
192,CCONJ NOUN PRON,1
191,CCONJ NOUN ADV,1
190,CCONJ DET PUNCT,1
114,ADP VERB PART,1
104,ADP PUNCT ADP,1
237,DET PUNCT DET,1
62,ADP ADP NOUN,1
58,ADJ VERB PUNCT,1
57,ADJ VERB PART,1
54,ADJ PUNCT X,1
53,ADJ PUNCT VERB,1
51,ADJ PUNCT PROPN,1
49,ADJ PUNCT NUM,1
40,ADJ PRON PUNCT,1
35,ADJ NOUN PROPN,1
25,ADJ DET DET,1
24,ADJ DET ADV,1
22,ADJ CCONJ PUNCT,1
20,ADJ CCONJ PART,1
13,ADJ ADV PART,1
12,ADJ ADV NOUN,1
11,ADJ ADV ADV,1
9,ADJ ADP PUNCT,1
2,ADJ ADP ADJ,1
61,ADP ADP DET,1
63,ADP ADP PART,1
102,ADP PROPN VERB,1
64,ADP ADP PRON,1
100,ADP PROPN PROPN,1
96,ADP PRON PART,1
95,ADP PRON CCONJ,1
94,ADP PRON ADV,1
93,ADP PRON ADP,1
90,ADP NUM PROPN,1
88,ADP NUM ADP,1
84,ADP NOUN ADV,1
79,ADP DET NUM,1
75,ADP CCONJ VERB,1
74,ADP CCONJ PRON,1
72,ADP CCONJ ADP,1
70,ADP ADV SYM,1
69,ADP ADV PRON,1
67,ADP ADV CCONJ,1
66,ADP ADV ADP,1
65,ADP ADV ADJ,1
220,DET DET VERB,1
238,DET PUNCT NOUN,1
416,PROPN VERB DET,1
370,PRON PUNCT VERB,1
367,PRON PUNCT DET,1
363,PRON PART ADV,1
362,PRON NOUN VERB,1
361,PRON DET PROPN,1
359,PRON DET ADJ,1
358,PRON CCONJ VERB,1
356,PRON CCONJ ADV,1
352,PRON ADV NOUN,1
347,PRON ADJ NOUN,1
346,PRON ADJ ADP,1
339,PART VERB INTJ,1
333,PART PUNCT _,1
332,PART PUNCT PUNCT,1
330,PART PUNCT ADV,1
329,PART PUNCT ADP,1
328,PART PRON PRON,1
327,PART PART VERB,1
368,PRON PUNCT NOUN,1
375,PRON VERB NOUN,1
325,PART ADV ADJ,1
379,PRON VERB PROPN,1
414,PROPN PUNCT VERB,1
412,PROPN PUNCT PROPN,1
408,PROPN PUNCT ADV,1
403,PROPN PROPN NOUN,1
402,PROPN PROPN CCONJ,1
400,PROPN PROPN ADP,1
398,PROPN PART PROPN,1
396,PROPN PART ADJ,1
394,PROPN NOUN NOUN,1
393,PROPN NOUN DET,1
392,PROPN NOUN ADP,1
390,PROPN DET NOUN,1
388,PROPN CCONJ PRON,1
387,PROPN CCONJ DET,1
384,PROPN ADV ADP,1
383,PROPN ADP DET,1
382,PROPN ADP ADP,1
326,PART CCONJ PRON,1
324,PART ADP DET,1
239,DET PUNCT VERB,1
275,NOUN NOUN ADJ,1
272,NOUN DET ADJ,1
270,NOUN CCONJ PROPN,1
269,NOUN CCONJ PRON,1
266,NOUN CCONJ ADV,1
265,NOUN CCONJ ADP,1
260,NOUN ADP VERB,1
255,NOUN ADP ADV,1
254,NOUN ADP ADP,1
251,INTJ PUNCT _,1
250,INTJ PUNCT VERB,1
249,INTJ PUNCT PUNCT,1
248,INTJ PROPN PUNCT,1
246,DET VERB PUNCT,1
245,DET VERB PRON,1
244,DET VERB NOUN,1
241,DET VERB ADP,1
240,DET SYM NUM,1
273,NOUN DET PRON,1
280,NOUN NOUN PART,1
323,PART ADJ PUNCT,1
282,NOUN NOUN VERB,1
322,PART ADJ NOUN,1
319,NUM PUNCT DET,1
318,NUM PROPN PUNCT,1
316,NUM NOUN NOUN,1
315,NUM NOUN CCONJ,1
314,NUM NOUN ADP,1
313,NUM NOUN ADJ,1
312,NUM ADP NOUN,1
309,NOUN VERB PRON,1
308,NOUN VERB PART,1
301,NOUN PUNCT X,1
290,NOUN PROPN DET,1
289,NOUN PROPN ADP,1
286,NOUN PART NOUN,1
285,NOUN NUM PUNCT,1
284,NOUN NUM NOUN,1
283,NOUN NUM CCONJ,1
585,_ _ _,1
