,incorrect_trigram_poss,count
16,ADJ ADV ADV,1
17,ADJ ADV NOUN,1
308,PRON PUNCT PUNCT,1
153,ADP PUNCT NOUN,1
22,ADJ CCONJ ADP,1
152,ADP PUNCT DET,1
165,ADP VERB PART,1
166,ADP VERB PRON,1
302,PRON PUNCT ADJ,1
301,PRON PROPN VERB,1
167,ADP VERB PUNCT,1
149,ADP PUNCT ADP,1
169,ADP _ _,1
297,PRON PRON DET,1
296,PRON PRON CCONJ,1
27,ADJ CCONJ PUNCT,1
293,PRON NUM CCONJ,1
179,CCONJ ADP SYM,1
262,DET _ _,1
265,PRON ADJ PUNCT,1
198,CCONJ VERB VERB,1
192,CCONJ PRON AUX,1
127,ADP NUM PRON,1
79,ADP ADJ ADV,1
195,CCONJ PROPN PUNCT,1
81,ADP ADJ DET,1
83,ADP ADJ PART,1
196,CCONJ VERB PART,1
85,ADP ADP ADJ,1
86,ADP ADP ADP,1
90,ADP ADV ADJ,1
92,ADP ADV ADV,1
95,ADP ADV NOUN,1
234,DET NUM ADP,1
216,DET ADV NOUN,1
96,ADP ADV PART,1
214,DET ADV ADV,1
100,ADP CCONJ PRON,1
212,DET ADP PRON,1
123,ADP NOUN _,1
104,ADP DET CCONJ,1
209,DET ADP CCONJ,1
208,DET ADP ADJ,1
207,DET ADJ VERB,1
201,DET ADJ CCONJ,1
191,CCONJ PART VERB,1
73,ADJ VERB PART,1
48,ADJ NUM PROPN,1
183,CCONJ ADV PRON,1
263,PRON ADJ CCONJ,1
122,ADP NOUN X,1
49,ADJ PART NOUN,1
51,ADJ PRON AUX,1
259,DET VERB PROPN,1
258,DET VERB PART,1
53,ADJ PROPN DET,1
54,ADJ PROPN NOUN,1
182,CCONJ ADV CCONJ,1
62,ADJ PUNCT NUM,1
64,ADJ PUNCT PROPN,1
250,DET PUNCT CCONJ,1
189,CCONJ NOUN PRON,1
249,DET PUNCT ADV,1
248,DET PUNCT ADJ,1
247,DET PROPN VERB,1
185,CCONJ ADV VERB,1
244,DET PROPN PRON,1
71,ADJ VERB DET,1
242,DET PROPN NUM,1
241,DET PROPN NOUN,1
239,DET PRON AUX,1
155,ADP PUNCT PROPN,1
188,CCONJ NOUN ADP,1
160,ADP VERB ADJ,1
